Hindi,Odiya
एसीडायड,ଏସିଡଏଡ୍ |
जलोढ़ मृदा,ଆଓଲିୟାନ୍ ମାଟି |
समुच्चय,ସମୁଦାୟ
समुच्चयन,ଏକୀକରଣ
सस्य मृदा विज्ञान,ଏଗ୍ରୋଲୋଜି
सस्य विज्ञान,କୃଷି
"A-संस्तर, A-होराइजन",ଏକ ରାଶି
Ao-संस्तर/Ao-होराइजन,ଆଓ-ରାଶି
Aoo-संस्तर/होराइजन,ଆଓ-ରାଶି |
मृदा की वायु धारिता,ମାଟିର ବାୟୁ କ୍ଷମତା |
मृदा का वायु अंग,ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |
वायु पिक्नोमीटर,ବାୟୁ ପିକନୋମିଟର |
एलीटिक मृदा,ଆଲିଟିକ୍ ମାଟି |
जलोढ़ मृदा,ଆଲୁଭିଆଲ୍ ମାଟି |
एम्फोलीटायड,ଆମ୍ଫୋଲାଇଟଏଡ୍ |
ऋणायन,ଆନିଅନ୍ |
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;"
कोर,ଆରିସ୍
बारीक वराश्म चिनाई,ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |
वराश्म चिनाई,ଆଶଲାର୍ ରାଜକନିକା |
अस्तरीय मृदा/अक्षेत्रीय मृदा,ଆଜୋନାଲ ମାଟି |
कर्ष खनित्र,ପଛ ଆକ୍ଟର୍ |
पश्च डाट,ପଛ ଆର୍କ
पश्च पट्ट,ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |
उपटा प्रलेप,ପଛ ବ୍ରଶ୍ |
पश्च रोधक,ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |
पश्च पटल,ପଛ କାଉଣ୍ଟର |
पश्च कर्तन,ପଛ କାଟିବା |
उपटा झोंका अवमंदक,ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |
पश्च नली,ପଛ ଡ୍ରେନ୍ |
पश्च पट,ବ୍ୟାକ୍ ଡ୍ରପ୍ |
पृष्ठ भरण,ପଛକୁ ପୁରଣ କରନ୍ତୁ |
पश्च पट्टिका,ପଛ ଫିଲେଟ୍ |
पृष्ठ पल्ला कब्जा,ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |
प्रतीप प्रवाह संयोजन,ପଛ ପ୍ରବାହ ସଂଯୋଗ |
प्रतीप प्रवाह निरोधक,ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |
पश्चांतर,ବ୍ୟାକ୍ ଗେଜ୍ |
पश्च नली,ପଛ ଗୁଟର୍ |
अग्निस्थान पृष्ठ,ପଛ ଚୁଲି
पीठ/पृष्ठ भाग,ସମର୍ଥନ
पिछला तख्ता,ବ୍ୟାକିଂ ବୋର୍ଡ |
पश्च दाब,ପଛ ଚାପ |
पश्च टेक,ପଛ ପ୍ରପ
पश्चावलोकन,ପଛ ଦୃଶ୍ୟ |
पश्चजल,ପଛ ପାଣି |
व्यारोध,ବାଫଲ୍ |
थैला पुशताबंदो,ବ୍ୟାଗୱାର୍କ |
गिट्टी,ବାଲାଷ୍ଟ
बॉल मृत्तिका,ବଲ୍ ମାଟି |
बॉल शंकुआकार शिकंजा,ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |
काँटेदार तार,କଣ୍ଟା ତାର
छड़ कुत्ता,ବାର୍ କୁକୁର |
त्रयंकी पार्श्व फलक,ବ୍ୟାରେଜ୍ ବୋର୍ଡ |
बेरियम सल्फेट परीक्षण,ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |
बैराज,ବ୍ୟାରେଜ୍
बरेट,ବାରେଟ୍ |
क्षार,ଆଧାର
बेस विनिमय,ଆଧାର ବିନିମୟ |
आधार रेखा,ଆଧାର ରେଖା |
तहखाना/अधोभवन,ବେସମେଣ୍ଟ୍ |
