Assamese,Gujarati
এবেলিয়ান গোট,એબેલિયન જૂથ
abelian অৰ্ধগোট,અબેલીયન સેમીગ્રુપ
abscissa,એબ્સીસા
নিৰপেক্ষ,સંપૂર્ણ
নিৰপেক্ষ অভিসৰণ,સંપૂર્ણ સંકલન
নিৰপেক্ষ ভুল,સંપૂર્ણ ભૂલ
নিৰপেক্ষ সৰ্বোচ্চ,સંપૂર્ણ મહત્તમ
নিৰপেক্ষ নূন্যতম,સંપૂર્ણ લઘુત્તમ
নিৰপেক্ষ মূল্য,સંપૂર્ણ મૂલ્ય
নিৰপেক্ষ বেগ,સંપૂર્ણ વેગ
বিমূৰ্ত বীজগণিত,અમૂર્ત બીજગણિત
বিমূৰ্ত গোট তত্ত্ব,અમૂર્ત જૂથ સિદ્ધાંત
বেগ বৃদ্ধি,પ્રવેગ
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
গ্ৰহণযোগ্য পছন্দৰ ছেট,સ્વીકાર્ય પસંદગી સમૂહ
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,સ્વીકાર્ય ગુણવત્તા સ્તર
গ্ৰহণযোগ্য পৰিসৰ,સ્વીકાર્ય શ્રેણી
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,સ્વીકાર્ય નમૂના
সঞ্চিত ভুল,સંચિત ભૂલ
শুদ্ধতা,ચોકસાઈ
ক্ৰিয়াশীল শক্তি,અભિનય બળ
কাৰ্য কৰা,ક્રિયા
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ક્રિયા અને પ્રતિક્રિયા
কৃষি বিজ্ঞান,વાસ્તવિક વિજ્ઞાન
তীব্ৰ কোণীয়া ত্ৰিভুজ,તીવ્ર કોણીય ત્રિકોણ
অচক্ৰীয়,એસાયક્લિક
যোগ কৰা,ઉમેરો
adder,ઉમેરનાર
যোগ,વધુમાં
যোগ সূত্ৰ,વધારાનું સૂત્ર
জটিল সংখ্যাৰ সংযোজন,જટિલ સંખ્યાઓનો ઉમેરો
ফলনসমূহৰ সংযোজন,કાર્યોનો ઉમેરો
মেট্ৰিক্সৰ সংযোজন,મેટ્રિસિસનો ઉમેરો
বহুপদ যোগ কৰা,બહુપદીનો ઉમેરો
সম্ভাৱনাৰ সংযোজন,સંભાવનાઓનો ઉમેરો
ভেক্টৰৰ সংযোজন,વેક્ટરનો ઉમેરો
যোগ উপপাদ্য,વધારાનું પ્રમેય
যোগকৰণ গোট,ઉમેરણ જૂથ
যোগকৰণৰ বিপৰীত,ઉમેરણ વ્યસ્ત
যোগসূত্ৰৰ বৈশিষ্ট্য,ઉમેરણ મિલકત
যোগকৰণ,ઉમેરણ
সংলগ্নতা মেট্ৰিক্স,સંલગ્નતા મેટ્રિક્સ
পাৰ্শ্বৱৰ্তী,અડીને
কাষৰীয়া কোণ,અડીને આવેલા ખૂણા
কাষৰীয়া শিখৰ,અડીને શિરોબિંદુ
adjoin,સંલગ્ન
সংলগ্ন,સંલગ્ન
সংযুক্ত নিৰ্ণায়ক,સંલગ્ન નિર્ણાયક
সংযুক্ত অৱভেদ্য সমীকৰণ,સંલગ્ન વિભેદક સમીકરણ
সংযুক্ত সমীকৰণ,સંલગ્ન સમીકરણ
সংলগ্ন মেট্ৰিক্স,સંલગ્ન મેટ્રિક્સ
মেট্ৰিক্সৰ সংযুক্ত,મેટ્રિક્સનો સંલગ્ન ભાગ
এডজুগেট মেট্ৰিক্স,એડજ્યુગેટ મેટ્રિક્સ
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,સ્વીકાર્ય નિર્ણય કાર્ય
গ্ৰহণযোগ্য অনুমান,સ્વીકાર્ય પૂર્વધારણા
বায়ুগতিবিদ্যা বল,એરોડાયનેમિક બળ
বায়ুগতিবিদ্যা,એરોડાયનેમિક્સ
affine জ্যামিতি,સંલગ્ન ભૂમિતિ
affine মেপিং,affine મેપિંગ
affine ৰূপান্তৰ,સંલગ્ન રૂપાંતર
চলকসমূহ একত্ৰিত কৰা,એકંદર ચલો
বীজগণিত,બીજગણિત
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,બીજગણિતીય રીતે બંધ
বীজগণিতীয় সমীকৰণ,બીજગણિતીય સમીકરણ
বীজগণিতীয় প্ৰকাশ,બીજગણિતીય અભિવ્યક્તિ
বীজগণিতীয় ৰূপ,બીજગણિત સ્વરૂપ
বীজগণিতীয় ফলন,બીજગણિત કાર્ય
বীজগণিতীয় জ্যামিতি,બીજગણિત ભૂમિતિ
বীজগণিতীয় বহুগুণতা,બીજગણિત ગુણાકાર
বীজগণিতীয় ব্যৱস্থা,બીજગણિત સિસ્ટમ
সকলো-পূৰ্ণসংখ্যা সমস্যা,તમામ પૂર્ણાંક સમસ્યા
আবণ্টনৰ সমস্যা,ફાળવણી સમસ્યા
বৰ্ণানুক্ৰমিক সংকেত,આલ્ફાબેટીકલ નોટેશન
বৰ্ণানুক্ৰমিক আখৰ,આલ્ફાબેટીક અક્ષર
বিকল্প কোণ,વૈકલ્પિક કોણ
বিকল্প ৰূপ,વૈકલ્પિક સ્વરૂપ
বিকল্প গোট,વૈકલ્પિક જૂથ
বিকল্প মেট্ৰিক্স,વૈકલ્પિક મેટ્રિક્સ
বিকল্প শৃংখলা,વૈકલ્પિક શ્રેણી
বিকল্প অনুমান,વૈકલ્પિક પૂર્વધારણા
বিকল্প optima,વૈકલ્પિક ઓપ્ટિમા
বিকল্প ফলাফল,વૈકલ્પિક પરિણામ
এনালগ-টু-ডিজিটেল ৰূপান্তৰক,એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર
এনালগ কম্পিউটাৰ,એનાલોગ કમ્પ્યુટર
বিশ্লেষণ,વિશ્લેષણ
সহাৱস্থানৰ বিশ্লেষণ,સહપ્રવૃત્તિનું વિશ્લેષણ
গণনা তথ্যৰ বিশ্লেষণ,ગણતરી માહિતીનું વિશ્લેષણ
ভ্যাৰিয়েন্সৰ বিশ্লেষণ,વિચલનનું વિશ્લેષણ
বিশ্লেষণাত্মক জ্যামিতি,વિશ્લેષણાત્મક ભૂમિતિ
বিশ্লেষণাত্মক কাৰ্য্য,વિશ્લેષણાત્મક કાર્ય
কোণ,કોણ
সংস্পৰ্শৰ কোণ,સંપર્ક કોણ
বিচ্যুতিৰ কোণ,વિચલન કોણ
বিষণ্ণতাৰ কোণ,હતાશાનો કોણ
বিচ্যুতিৰ কোণ,વિચલન કોણ
বিবৰ্তনৰ কোণ,વિવર્તન કોણ
উচ্চতাৰ কোণ,એલિવેશન કોણ
প্ৰাদুৰ্ভাৱৰ কোণ,ઘટના કોણ
প্ৰক্ষেপণৰ কোণ,પ્રક્ષેપણ કોણ
প্ৰতিফলনৰ কোণ,પ્રતિબિંબ કોણ
বিবৰ্তনৰ কোণ,રીફ્રેક્શન કોણ
ঘূৰ্ণনৰ কোণ,પરિભ્રમણ કોણ
মুঠ প্ৰতিফলনৰ কোণ,કુલ પ્રતિબિંબ કોણ
কৌণিক ত্বৰণ,કોણીય પ્રવેગક
কৌণিক গতি,કોણીય ગતિ
কৌণিক গতি,કોણીય ઝડપ
কৌণিক বেগ,કોણીય વેગ
annulus,વલય
উত্তৰ,જવાબ
এন্টি – ডেৰাইভেটিভ,વિરોધી વ્યુત્પન્ન
এন্টিচিমেট্ৰিক ফাংচন,એન્ટિસપ્રમાણ કાર્ય
প্ৰযোজ্য,લાગુ
দৰ্খাস্ত,અરજી
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
প্ৰয়োগ কৰা জ্যামিতি,લાગુ ભૂમિતિ
