Punjabi,Kannada
ਅਬੇਲੀਅਨ ਸਮੂਹ,ಅಬೆಲಿಯನ್ ಗುಂಪು
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
abscissa,ಅಬ್ಸಿಸ್ಸಾ
ਅਸੀਮ,ಸಂಪೂರ್ಣ
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
ਪੂਰਨ ਗਲਤੀ,ಸಂಪೂರ್ಣ ದೋಷ
ਪੂਰਨ ਅਧਿਕਤਮ,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
ਸਹੀ ਮੁੱਲ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ਪੂਰਨ ਗਤੀ,ಸಂಪೂರ್ಣ ವೇಗ
ਸਾਰ ਅਲਜਬਰਾ,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ਪ੍ਰਵੇਗ,ವೇಗವರ್ಧನೆ
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
ਸੰਚਿਤ ਗਲਤੀ,ಸಂಚಿತ ದೋಷ
ਸ਼ੁੱਧਤਾ,ನಿಖರತೆ
ਐਕਟਿੰਗ ਫੋਰਸ,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
ਕਾਰਵਾਈ,ಕ್ರಮ
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
ਅਸਲ ਵਿਗਿਆਨ,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
acyclic,ಅಸೈಕ್ಲಿಕ್
ਸ਼ਾਮਲ ਕਰੋ,ಸೇರಿಸಿ
ਜੋੜਨ ਵਾਲਾ,ಸೇರಿಸುವವನು
ਇਸ ਤੋਂ ਇਲਾਵਾ,ಜೊತೆಗೆ
ਜੋੜ ਫਾਰਮੂਲਾ,ಸೇರ್ಪಡೆ ಸೂತ್ರ
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
