Gujarati,Hindi
ખર્ચ,"उपशमन, कमी"
સંક્ષેપ,संक्षिप्‍ति
અપહરણ,अपहरण
સ્થગ,प्रास्थगन
ક્ષમતા,योग्यता
આરંભ,"आदित:, आरंभ से"
કઠોર,योग्य
અસામાન્ય,अपसामान्य
નાબૂદી,"उन्मूलन, समाप्‍ति"
નાબૂદી પોસ્ટ,पद समाप्‍ति
ઉપર ઉલ્લેખ કર્યો છે,"ऊपर उल्लिखित, उपर्युक्‍त"
ઉપર જણાવેલ,ऊपर उद्‍धृत
ઉપર જણાવ્યું હતું કે,उपर्युक्‍त
ગેરહાજરી,"अनुपस्थिति, गैरहाजि़री, अभाव"
ગેરહાજર,"अनुपस्थित, ग़ैरहाजि़र"
ગેરહાજરી,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
અનુપસ્થિત નિવેદનો,अनुपस्थिति-विवरण
અબાધિત,"पूर्ण, निरपेक्ष"
અબાધિત ઈજારો,पूर्ण एकाधिकार
અબાધિત માલિકી,पूर्ण स्वामित्व
સમાવેશ,"आमेलन, अवशोषण"
નિષ્ક્રિય,सार
અખબારો,सार-विवरण
વાહિયાત,"अर्थहीन, बेतुका"
વિપુલતા,प्रचुरता
સત્તાનો દુરુપયોગ,शक्‍ति का दुरुपयोग
અપશબ્દો,गाली-गलौज
શૈક્ષણિક,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
શૈક્ષણિક ચર્ચા,शास्त्रीय चर्चा
શૈક્ષણિક રજા,अकादमिक छुट्टी
શૈક્ષણિક લાયકાત,शैक्षिणिक अर्हता
વિદ્યા,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
સહયોગ કરવો,"मान लेना, अधिमिलन होना"
સ્વીકારવું,"स्वीकार करना, मानना"
સ્વીકૃતિ,"स्वीकृति, प्रतिग्रहण"
પદની સ્વીકૃતિ,पद-स्वीकृति
પ્રતિજ્ ofા,निविदा की स्वीकृति
પ્રવેશ,पहुंच
સંચાર,"राज्यारोहण, पदारोहण, परिग्रहण"
સહાયક,"अनुषंगी, उपसाधन"
અકસ્માત,"दुर्घटना, संयोग"
સ્વાર્થીકરણ,पर्यनुकूलन
આવાસ,"आवास, निर्वाह, समंजन"
સંલગ્ન,संगकार
સંલગ્ન,"समझौता, प्रदान करना, देना"
અનુસાર,"अनुरूपता, संगति"
તદનુસાર,तदनुसार
હિસાબ,"लेखा, खाता, हिसाब"
જવાબદારી,जवाबदेही
જવાબદાર,"जवाबदेह, देनदार"
હિસાબની સંખ્યા,"लेखा विधि, लेखा कार्य"
હિસાબ રાખનાર,लेखाकार
માટે એકાઉન્ટ,"कारण बताना, लेखा-जोखा देना"
હિસાબનું માથું,लेखा-शीर्ष
ઉપાર્જિત લાભ,प्रोद्‌भूत हितलाभ
ઉપાર્જિત પેન્શન,प्रोद्‌भूत पेन्शन
સંચય,"संचय, संचयन"
ચોકસાઈ,"यथार्थता, परिशुद्‌धता"
ચોક્કસ,"यथार्थ, सही, परिशुद्‌ध"
આક્ષેપ કરવો,अभियोग लगाना
આરોપી,अभियुक्‍त
સિદ્ધિ,उपलब्‍धि
સ્વીકૃતિ,"पावती, प्राप्‍ति सूचना, अभिस्वीकृति"
સ્વીકૃતિ,"पावती पत्र, रसीदी"
પરિચય,"(व्यक्‍ति) परिचित, परिचय"
સંપાદન,"अधिग्रहण, अर्जन"
મુક્તિ,"भुगतान, भरपाई, निस्तारण"
કૃત્ય,"कार्य, कृत्य, अधिनियम"
કાર્યકારી ભથ્થું,कार्यकारी भत्‍ता
ક્રિયા,"कार्रवाई, क्रिया, कार्य, संघर्ष"
કાર્ય યોજના,कार्य योजना
સક્રિય,सक्रिय
સક્રિયપણે,"सक्रियता से, सक्रियतापूर्वक"
સક્રિયકાર્ય,"कर्मठ कार्यकता, सक्रियतावादी"
ભગવાનનો કૃત્ય,दैव कृत्य
ગેરવર્તન,कदाचार
કમિશન અને કમિશન અને બાદબાકી,भूल-चूक
વાસ્તવિક,वास्तविक
વાસ્તવિક,वास्तविक आंकडे
અનુકૂલન,"अनुकूलन, रूपांतर"
વધારા,"योग, जोड़, परिवर्धन"
વધારાનો ખર્ચ,अतिरिक्‍त प्रभार
વધારાના નિધિ,अतिरिक्‍त निधि
વધારાની અનુદાન,अतिरिक्‍त अनुदान
વધારાની માહિતી,"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी"
વધારાનો પગાર,अतिरिक्‍त वेतन
ઉમેરો અને ફેરફાર,परिवर्तन-परिवर्धन
સંબોધન,"पता, अभिभाषण, संबोधन, संबोधित करना, मानपत्र, विचार करना"
સંબોધન કરનાર,"पाने वाला, प्रेषिती"
સ્વાગતનું સરનામું,अभिनंदन पत्र
પૂરતું,पर्याप्‍त
ને અનુરૂપ બનાવવું,"पर दृढ़ रहना, पर जमे रहना"
તદર્થ,तदर्थ
તદર્થપત્ર,तदर्थ दावा
તદર્થ સમિતિ,तदर्थ समिति
તદર્થ વધારો,तदर्थ वृद्‌धि
તદ્દન ચુકવણી,तदर्थ भुगतान
અડીને,‍पार्श्‍वस्थ
અડીને (= સુસંગત),"लगा होना, सटा होना"
મોકૂફી,स्थगन
મોકૂફીની દરખાસ્ત,"स्थगन प्रस्ताव, काम रोको प्रस्ताव"
ન્યાયનિર્ણય કરવો,न्यायनिर्णीत करना
ન્યાયનિર્ણય કરવો,न्यायनिर्णय करना
ન્યાયનિર્ણય,न्यायनिर्णयन
ન્યાયનિધીકરણ કરનાર,न्यायनिर्णायक
સમાયોજન,समायोजन
સંચાલન કરવું,"प्रशासन करना, देना, दिलाना, व्यवस्था करना"
સોગંદ કરવો,शपथ दिलाना
વહીવટ,प्रशासन
ન્યાય પ્રણાલી,न्याय-प्रशासन
વહીવટી,प्रशासनिक
વહીવટી પગલાં,प्रशासनिक कार्रवाई
વહીવટી મૂલ્યાંકન,प्रशासनिक मूल्यांकन
વહીવટી મંજૂરી,प्रशासनिक अनुमोदन
વહીવટી સત્તા,प्रशासनिक प्राधिकारी
વહીવટી નિયંત્રણ,प्रशासनिक नियंत्रण
વહીવટી નિર્ણય,प्रशासनिक निर्णय
વહીવટી વિભાગ,प्रशासकीय विभाग
વહીવટી વડા,प्रशासनिक प्रधान
વહીવટી મથક,प्रशासनिक मुख्यालय
વહીવટી પગલાં,प्रशासनिक उपाय
વહીવટી સત્તા,"प्रशासी शक्‍ति, प्रशासनिक शक्ति"
વહીવટી મંજૂરી,प्रशासनिक मंजूरी
વહીવટી તકનીક,"प्रशासन तकनीक, प्रशासनिक प्रविधि"
વહીવટી પંચ,प्रशासनिक अधिकरण
સ્વીકાર્યતા,ग्राह्‌यता: स्वीकार्यता
સ્વીકાર્ય ખર્ચ,ग्राह्‌य व्यय
કબૂલવું,"प्रवेश करने देना, अंदर आने देना, स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना"
પ્રવેશ કાર્ડ,"प्रवेश पत्र, प्रवेश पत्रक"
સ્વીકૃત,"प्रविष्‍ट दाखिल, स्वीकृत"
સલાહ આપવી,भर्त्‍सना करना
દત્તક,दत्‍तक
અપનાવનાર,दत्‍तकगृहीता
દત્તક,"अंगीकरण, दत्‍तक-ग्रहण"
પુખ્ત,"प्रौढ, वयस्क"
ભેગ,"अपमिश्रण, मिलावट"
વ્યભિચાર,जारकर्म
પુખ્ત મતાધિકાર,वयस्क मताधिकार
બહાનું,यथामूल्य शुल्क
આગળ વધવું,"अग्रिम, पेशगी"
અગ્રિમ બુકિંગ,अग्रिम बुकिंग
અગ્રિમ પ્રત,अग्रिम प्रति
અગ્રિમ ઈજા,अग्रिम  वृद्‌धि
અગાઉથી ચુકવણી,"अग्रिम अदायगी, अग्रिम भुगतान"
પ્રતિકૂળ નોંધ,"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि"
પ્રતિકૂળ નોંધ,प्रतिकूल अभ्युक्‍ति
પ્રતિકૂળ અહેવાલ,प्रतिकूल रिपोर्ट
જાહેરખબર,विज्ञापन
સલાહ,"सलाह, सूचना, संज्ञापन"
ચુકવણી,"भुगतान सूचना, भुगतान-संज्ञापन"
સલાહકાર સમિતિ,सलाहकार समिति
સલાહકાર પરિષદ,सलाहकार परिषद्
હિમાયતી,"अधिवक्‍ता, एडवोकेट, पक्ष-समर्थक"
બાબતો,"कार्य, मामले"
સોગંદનામું,"शपथपत्र, हलफ़नामा"
જોડાણ,संबंधन
સમર્થન,"अभिपुष्‍टि, प्रतिज्ञान"
ખાતરીપૂર્વક,सकारात्मक
પરવડી,"समर्थ होना, प्रदान करना, दे सकना"
ઉપરોક્ત,पूर्वोक्‍त
ફરી,नए सिरे से
વિરુદ્ધ,"विरुद्‌ध, के प्रति, के सामने, के सम्मुख, की तुलना में"
ઉંમર,"आयु, उम्र, युग"
વય પ્રમાણપત્ર,आयु प्रमाणपत्र
મતાધિકાર માટે વય,मताधिकार आयु
વય -મર્યાદા,आयु सीमा
સંસ્થા,"अभिकरण, एजेंसी"
કાર્યસૂચિ,कार्यसूची
નિવૃત્તિની ઉંમર,सेवानिवृत्‍ति आयु
નિવૃત્તિની ઉંમર,अधिवर्षिता आयु
એકંદર,"समुच्चय, समूह"
નારાજ,व्यथित
આંદોલન,आंदोलन
અકસ્માત,"वार्षिक महासभा, वार्षिक आमसभा"
સહમત,"क़रार, अनुबंध, सहमति, रजामंदी"
સહમત ફોર્મ,"क़रारनामा, अनुबंध पत्र"
કૃષિ,कृषि
કૃષિ ઉદ્યોગ,कृषि-उद्‌योग
સહાય,"सहायता, मदद"
ભય,"आपद संकेत, खतरे का संकेत, अलार्म"
જાગરૂકતા,सजगता
ઉર્ફે,"उपनाम, उर्फ़ (क्रि.वि.)"
આરોપ,अभिकथन
વાન,निष्ठा
સુમેળ,मैत्री
સંલગ્ન સેવાઓ,सम्बद्‌ध सेवाएं
તમામ સમાવિષ્ટ ખર્ચ,सर्वसमावेशी लागत
અખરાબ સેવા,अखिल भारतीय सेवा
ફાળવણી,नियतन
ફાળવણી,आबंटन
ફાળવણીનો પત્ર,आबंटन-पत्र
ફાળવણી કરનાર,आबंटिति
માન્ય,"अनुज्ञेय, अनुमतियोग्य"
માન્ય -ખર્ચ,"अनुज्ञेय व्यय, अनुमतियोग्य व्यय"
અપીલ કરવાની મંજૂરી આપવી,अपील मंजूर करना
છૂટ,"भत्‍ता, छूट"
બધા હકો અમારી પાસે રાખેલા છે,सर्वाधिकार सुरक्षित
વર્ણાનુક્રમ,"वर्णक्रम, अकारादिक्रम"
બોલો,कहासुनी
વૈભવી,"एकांतर, विकल्पी"
વૈકલ્પિક,"विकल्प, वैकल्पिक"
સંવાદ,समामेलन
સુધારેલો મુસદ્દો,"संशोधित मसौदा, संशोधित प्रारूप"
સુધારો,संशोधन
સુંદરતા,सुख-सुविधा
સુખદ,"सौहार्दपूर्ण, मैत्रीपूर्ण"
દારૂગોળો,गोला-बारूद
દેવું,"ऋण परिशोधन, ऋण मुक्‍ति"
રકમ,"राशि, रक़म, मात्रा"
પેન્શનની રકમ,पेन्शन राशि
એકસમાન સ્થાન,अनुरूप पद
વિશ્લેષણ,विश्‍लेषण
વિશ્લેષણાત્મક,विश्‍लेषणात्मक अध्ययन
વડપણ,पूर्वज
આનુષંગિક ઉદ્યોગ,अनुषंगी उद्‌योग
શિષ્ટાચાર,बैर
જોડાણ,संलग्नक
વર્ષગાંઠ,वर्षगांठ
જાહેરાત,"उद्‌घोषण, ऐलान, आख्यापन"
ત્રાસ,"खिन्‍नता, चिढ, खीज"
વાર્ષિક નિવેદન,वार्षिक वित्‍तीय विवरण
વાર્ષિક હિસાબ,वार्षिक रिपोर्ट
વાર્ષિકી,वार्षिकी
અનામી,"अनाम, गुमनाम"
નામંજૂર ફરિયાદ,गुमनाम शिकायत
જવાબદારપણું,जवाबदेही
ઉત્તરવહી,उत्‍तर पत्रक
વિરોધી,विरोधी
પૂર્વવર્તીઓ,पूर्ववृत्‍त
અપેક્ષિત ખર્ચ,प्रत्याशित व्यय
અપેક્ષિત આવક,प्रत्याशित आय
અપેક્ષા,"प्रत्याशा, पूर्वानुमान"
અપેક્ષિત જામીન,अग्रिम ज़मानत
ભ્રષ્ટાચાર માપદંડ,भ्रष्‍टाचार-निरोधक उपाय
પ્રતિષ્ઠાવાન,"प्रति-पाटन, पाटन-निरोधी"
પ્રાચીન,पुरावस्तु
રંગભુળ,रंगभेद
દુ: ખ,उदासीनता
ટોચ,शीर्ष निकाय
માફી,क्षमायाचना
અપીલ,"अपील, अपील करना"
દેખાવ,"हाजि़री, उपसंजाति, रूप"
સંતાપવું,तुष्‍टीकरण
અપીલ પંચ,अपील अधिकरण
પરિશિષ્ટ,परिशिष्‍ट
ઉપકરણ,उपयंत्र
લાગુ પડે એવું,"अनुप्रयोज्य, लागू"
અરજદાર,आवेदक
નિયમ,"आवेदन, अर्ज़ी, अनुप्रयोग, लागू होना"
અરજી પત્ર,"आवेदन पत्र, अर्ज़ी"
લાગુ કરવું,अनुप्रयुक्‍त
અરજી કરવી,"आवेदन करना, अर्जी देना, लागू करना, लागू होना, अनप्रयुक्‍त होना"
નિમણૂક કરનાર,नियुक्‍त व्यक्‍ति
નિયુક્ત સત્તા,नियुक्‍ति प्राधिकारी
નિમણૂક,नियुक्‍ति
નિમણૂક -પત્ર,नियुक्‍ति पत्र
નિમણૂક સમિતિ,मंत्रीमंडलीय नियुक्‍ति समिति
વેતનનું વિભાજન,मजदूरी प्रभाजन
મૂલ્યાંકન,"मूल्यनिरूपण, आंकना"
મુલવણી કરનાર,मूल्यांक
કદર,"सराहना, वृद्‌धि"
આશંકા,"पकड़ा जाना, गिरफ़्तारी, बोध, समझ, आशंका"
ઉમેદવાર,शिक्षु
અભિગમ,"पहुंच, उपगम, उपमार्ग, दृष्‍टिकोण"
યોગ્ય,"उपयुक्‍त, उचित, विनियोजन करना"
યોગ્ય કાર્યવાહી,उचित कार्रवाई
યોગ્ય,उपयुक्‍त शीर्ष
વિનિયોગ,विनियोजन
મંજૂરી,अनुमोदन
આશરે,"लगभग, सन्‍निकट"
અભિરુચિ કસોટી,"अभिक्षमता परीक्षा, रुझान परीक्षण"
મનસ્વી,मनमाना
મધ્યસ્થી,मध्यस्थता करना
લવાદી,"विवाचन, माध्यस्थम्"
લવાદી પંચ,माध्यस्थम् अधिकरण
લવાદી,"विवाचक, मध्यस्थ"
સ્થાપત્ય,वास्तुकला
દફ્તર,अभिलेखागार
વિસ્તાર,"क्षेत्र, क्षेत्रफल"
વિસ્તારનું મુખ્ય મથક,"क्षेत्र मुख्यालय, क्षेत्रीय मुख्यालय"
દલીલ,"तर्क, बहस"
ઊગવું,"उठना, उद्‌भूत होना, पैदा होना"
સશસ્ત્ર દળો,"सशस्त्र बल, सशस्त्र सेनाएं"
વ્યવસ્થા,"व्यवस्था, विन्यास, प्रबंध"
બાકી,बक़ाया
બાકી રાખનાર પત્રક,बक़ाया विवरण
આગોતડી અહેવાલ,आगमन रिपोर्ट
ઘમંડ,"दंभ, अक्खड़पन"
શસ્ત્રસાર,"आयुधागार, शास्त्रागार"
વસ્તુ,"अनुच्छेद, वस्तु, लेख"
મંડળ,संस्था के अंतर्नियम
લેખ,नियमावली
ચડતો હુકમ,आरोही क्रम
ખાતરી કરવી,अभिनिश्‍चित करना
જ્યાં છે ત્યાં છે,जैसा है जहाँ है
દૃષ્ટિ,"पहलू, पक्ष, दृष्‍टि"
આછા,लांछन
હત્યા,"हत्या, हनन"
હુમલો,हमला
ભેગા,"जुटना, एकत्र होना, इकट्ठा होना, जोड़ना, सम्मिलित करना, एकत्र करना"
વિધાનસભા,"सभा, जमाव"
અનુમાન,अनुमति
ભારપૂર્વક કહેવું,"दृढ़ता से कहना, जोर देकर कहना"
આકારણી કરનાર,निर्धारिती
આકારણી,निर्धारण
આકારણી વર્ષ,निर्धारण वर्ष
આકારણીકાર,"कर-निर्धारक, असेसर"
અસ્ક્યામત,परिसंपत्‍ति
મુખત્ર,समनुदेशिती
સોંપણી,"समनुदेशन, सुपुर्द काम"
મુલકવનાર,समनुदेशक
સહાય,"सहायता, मदद"
સાથી,"सह, सहयुक्‍त, सम्मिलित करना, सहयुक्‍त करना"
મંડળ,"संघ, संगम, संबंध, साहचर्य"
હવાલો,कार्यभार-ग्रहण
ખાતરી,"आश्‍वासन, बीमा, हस्तांतरण पत्र"
ખાતરી કંપની,बीमा कंपनी
ખાતરી આપવી,आश्‍वस्त करना
અપટ,बट्टे पर
અણુની શક્તિ,परमाणु शक्‍ति
