Malayalam,Assamese
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,ৱেষ্টমিনিষ্টাৰৰ এবে
ഒഴിഞ്ഞുമാറുക,এবডিটৰী
അടിമത്തം നിർത്തലാക്കൽ,দাসত্ব বিলুপ্ত কৰা
ആദിവാസികൾ,আদিবাসী
അബ്രഹാം യുഗം,আব্ৰাহাম যুগ
ഹാജരാകാത്ത ഭൂവുടമകൾ,অনুপস্থিত ঘৰৰ মালিক
അക്കാദമി,একাডেমী
അക്ര സമ്മേളനം,আক্ৰা সন্মিলন
സമാഹരണങ്ങൾ,এক্ৰুৱেল
സംസ്കരണം,সংস্কৃতিকৰণ
അസെൽഡാമ,এচেলডামা
അച്ചായൻ (=അച്ചിയൻ),আখিয়ান (=আচিয়ান)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),আচায়ান লীগ (=আচিয়ান লীগ)
അക്രോപോളിസ്,এক্ৰ&#39;পলিছ
ആക്റ്റ ദിയുർന,এক্টা ডিউৰ্না
ആക്റ്റ സെനറ്റസ്,এক্টা চেনেটাছ
ആക്റ്റ് അഡീഷണൽ,এক্টে এডিচনেল
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,প্ৰাপ্তিৰ কাৰ্য্য
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
സെറ്റിൽമെന്റ് നിയമം,বন্দোবস্তৰ আইন
പരസ്യ കരാർ മുദ്ര,এড কন্ট্ৰেক্টাছ ছীল
അഡുല്ലമൈറ്റുകൾ,এডুলামাইটছ
എതിരാളി,বিৰোধী
എതിരാളി,বিৰোধী
അയോൺ,ইয়ন
എയറേറിയം,এৰেৰিয়াম
ആകാശ യുദ്ധം,আকাশী যুদ্ধ
എറ്റോലിയൻ ലീഗ്,এটলিয়ান লীগ
വയസ്സ്,বয়স
വാർദ്ധക്യം (=വാർദ്ധക്യം),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
പ്രായമാകൽ പ്രക്രിയ,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
അഗെലൈ,আগেলাই
ധീരതയുടെ പ്രായം,অশ্বাৰোহীৰ যুগ
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,এজ অৱ ইংলাইটমেণ্ট
പെരിക്കിൾസിന്റെ പ്രായം,পেৰিক্লিছৰ বয়স
യുക്തിയുടെ പ്രായം,যুক্তিৰ বয়স
കാർഷികവാദം,কৃষিবাদ
കാർഷിക പ്രസ്ഥാനം,কৃষি আন্দোলন
ആൽബിയോൺ,এলবিয়ন
ആൽബം,এলবাম
ആൽഡർമാൻ,এলডাৰমেন
വശീകരിക്കുന്ന ആയുധങ്ങൾ,আলোকসজ্জা বাহু
അമിറ്റി,এমিটি
ആംഫിക്റ്റോണിക് കൗൺസിൽ,এম্ফিক্টয়নিক কাউন্সিল
ആംഫിക്റ്റോണിക് ലീഗ്,এম্ফিক্টয়নিক লীগ
ആംഫി തിയേറ്റർ,এম্ফিথিয়েটাৰ
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),অমৰি নল গোট (মৃৎশিল্পৰ)
അനാക്രോണിസം,এনাক্ৰ’নিজম
അനാക്രോണിസ്റ്റിക്,এনাক্ৰ’নিষ্টিক
പൂർവ്വികൻ,পূৰ্বপুৰুষ
പൂർവിക ആരാധന,পূৰ্বপুৰুষ পূজা
വംശപരമ്പര,বংশ
വംശപരമ്പര,বংশ
വംശപരമ്പര,বংশ
വംശപരമ്പര,বংশ
പുരാതന ഭരണം,Ancien শাসন ব্যৱস্থা
പുരാതന,পৌৰাণিক
പുരാതന ബാലഡ്,প্ৰাচীন বেলাড
പുരാതന വിശ്വാസം,প্ৰাচীন বিশ্বাস
പുരാതന ആചാരം,প্ৰাচীন প্ৰথা
പുരാതനമായ ചരിത്രം,প্ৰাচীন ইতিহাস
പുരാതന സ്മാരകങ്ങൾ,প্ৰাচীন কীৰ্তিচিহ্ন
