Assamese,English
abacus,abacus
অস্বাভাৱিক সমাপ্তি,abnormal termination
abort,abort
নিৰপেক্ষ,absolute
নিৰপেক্ষ ঠিকনা,absolute address
নিৰপেক্ষ সম্বোধন,absolute addressing
নিৰপেক্ষ এছেম্বলাৰ,absolute assembler
নিৰপেক্ষ ক&#39;ড,absolute code
নিৰপেক্ষ আদেশ,absolute command
নিৰপেক্ষ তথ্য,absolute data
নিৰপেক্ষ নিৰ্দেশনা,absolute instruction
নিৰপেক্ষ ধৰণ,absolute mode
নিৰপেক্ষ পথ,absolute path
নিৰপেক্ষ প্ৰগ্ৰেমিং,absolute programming
বিমূৰ্ত শ্ৰেণী,abstract class
বিমূৰ্ত তথ্যৰ ধৰণ,abstract data type
বিমূৰ্ত মেচিন,abstract machine
বিমূৰ্ত চিহ্ন,abstract symbol
বিমূৰ্ত বাক্যবিন্যাস,abstract syntax
গ্ৰহণযোগ্যতা পৰীক্ষা,acceptance testing
প্ৰৱেশ প্ৰমাণীকৰণ,access authentication
প্ৰৱেশ ক&#39;ড,access code
প্ৰৱেশ নিয়ন্ত্ৰণ,access control
এক্সেছ স্কেন,access scan
আনুষংগিক বস্তু,accessory
একাউণ্ট,account
একাউণ্ট আইডি,account ID
এক্যুলেটৰ,accumulator
শুদ্ধতা,accuracy
acess,acess
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,acess control byte
acess index,acess index
acess key,acess key
acess মেট্ৰিক্স,acess matrix
প্ৰৱেশ ধৰণ,acess mode
acess বিশেষাধিকাৰ,acess privilege
acess security,acess security
এচেছ চাৰ্ভাৰ,acess server
acess সময়,acess time
স্বীকৃতি,acknowledgement
শব্দবিজ্ঞান,acoustics
সংক্ষিপ্ত ৰূপ,acronym
কাৰ্য্য বাৰ্তা,action message
সক্ৰিয়কৰণ,activation
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),active server page (ASP)
সক্ৰিয় সংস্কৰণ,active version
অচক্ৰীয়,acyclic
অচক্ৰীয় গ্ৰাফ,acyclic graph
আদা ভাষা,Ada language
এডাপ্টাৰ,adapter
যোগ কৰা,add
ফাইল যোগ কৰক,add file
অপাৰেচন যোগ কৰক,add operation
adder,adder
ঠিকনা,address
ঠিকনা বাছ,address bus
ঠিকনা নথিপত্ৰ,address file
ঠিকনা বিন্যাস,address format
ঠিকনা উৎপাদক,address generator
ঠিকনা ৰেখা,address line
ঠিকনা মেপিং,address mapping
ঠিকনা পইণ্টাৰ,address pointer
ঠিকনা পঞ্জীয়ন,address register
ঠিকনা সমাধান,address resolution
ঠিকনা অনুবাদ,address translation
ঠিকনাযুক্ত মেমৰি,addressed memory
সম্বোধন কৰা,addressing
পৰ্যাপ্ততাৰ মাপকাঠী,adequacy criteria
সংযুক্ত,adjoint
প্ৰশাসন,administration
প্ৰশাসক,administrator
এডোব এক্ৰ&#39;বেট,adobe acrobat
এডোব ফটোশ্বপ,adobe photoshop
উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP),Advance Business Application Programming (ABAP)
উন্নত তথ্য,advanced data
উন্নত তথ্য ব্যৱস্থা,advanced information system
উন্নত প্ৰযুক্তি (AT),advanced technology (AT)
এজেণ্ট,agent
একত্ৰীকৰণ,aggregation
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,airborne computer system
aldus পৃষ্ঠা নিৰ্মাতা,aldus page maker
সতৰ্কবাণী বাকচ,alert box
