Hindi,Telugu
अपाक्ष पृष्ठ,అబాక్సియల్ ఉపరితలం
उदर,ఉదరం
उदर महाधमनी,ఉదర బృహద్ధమని
उदर गुच्छिका,ఉదర గాంగ్లియా
अबेलमॉस्कस एस्कुलेन्टस,అబెల్మోస్చస్ ఎస్కులెంటస్
विपथन,అబెర్రేషన్
ऐबीज (बलूत),అబీస్
ऐबिंग्डन कछुआ,అబింగ్డన్ తాబేలు
अजीवात्जनन,అబియోజెనిసిస్
अजीवीय,అబియోటిక్
"अजीवीय कारक, अजैव कारक",అబియోటిక్ కారకం
अपसामानय मूत्र,అసాధారణ మూత్రం
ए.बी.ओ. रुधिर वर्ग,అబో బ్లడ్ గ్రూప్
एब्सिसिक अम्ल,అబ్సిసిక్ ఆమ్లం
विलगन,అబ్సిసిషన్
अवशोषण करना,గ్రహించండి
अवशोषण शिखर,శోషణ శిఖరం
अवशोषण,శోషణ
अकेशिया कैटेच्यू,అకాసియా కాటెచు
अकेशिया अरेबिका (बबूल),అకారియా అరబికా
ऐकैप्रिन,అకాప్రిన్
स्वीकार्य लैंगिक व्यवहार,ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన
सहायक ग्रंथि,అనుబంధ గ్రంథి
अतिरिक्त ग्रंथि,అనుబంధ గ్రంథి
सहायक अंग,అనుబంధ అవయవం
"पर्यनुकूलन, दशानुकूलन",అలవాటు
"पर्यनुकूलित करना, दशानुकूलित करना",అలవాటు
समंजन (फोकसन),వసతి
नेत्र की समंजन क्षमता,కంటి వసతి
अभिवर्धी वृद्धि,అక్రెషన్ పెరుగుదల
"संचय, संचयन",చేరడం
कार्बनिक पदार्थों का एकत्रीकरण,సేంద్రీయ పదార్థాలు చేరడం
मृदा संचयन,నేల చేరడం
अकोशिकीय,ఎసిల్యులర్
अकोशिकीय जीव,ఎసెల్యులర్ జీవి
"श्रोणिउलूखल, ऐसीटैबुलम",ఎసిటాబులం
ऐसीटेल्डिहाइड,ఎసిటాల్డిహైడ్
ऐसीटिल सह-ऐंजाइम,ఎసిటైల్ కోఎంజైమ్
ऐकेटाइना,అచతినా
ऐकीन प्रकार,అచెనే రకం
ऐकीन,అచెన్
ऐक्लेमाइडोस्पोरी,అచ్లామిడోస్పోరే
अम्ल वर्षा,ఆమ్ల వర్షము
अम्लीय,ఆమ్ల
अम्लीय गैस,ఆమ్ల వాయువు
अम्लता,ఆమ్లత్వం
गुच्छकोष्ठक कोशिका,అసినార్ సెల్
अगुहिक,Acoelomate
ऐकोनिटम,అకోనిటమ్
"एकॉर्न कृमि, बंजुक कृमि",ఎకార్న్ పురుగు
