Malayalam,Bengali
അബെലിയൻ ഗ്രൂപ്പ്,আবেলিয়ান গ্রুপ
അബെലിയൻ സെമിഗ്രൂപ്പ്,আবেলিয়ান সেমিগ্রুপ
abscissa,abscissa
കേവല,পরম
കേവലമായ ഒത്തുചേരൽ,পরম মিলন
സമ്പൂർണ്ണ പിശക്,পরম ত্রুটি
കേവല പരമാവധി,পরম সর্বোচ্চ
സമ്പൂർണ്ണ മിനിമം,পরম সর্বনিম্ন
യഥാർത്ഥ മൂല്യം,পরম মান
കേവല വേഗത,পরম বেগ
അമൂർത്ത ബീജഗണിതം,বিমূর্ত বীজগণিত
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,বিমূর্ত গ্রুপ তত্ত্ব
ത്വരണം,ত্বরণ
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,গ্রহণযোগ্য পছন্দ সেট
സ്വീകാര്യമായ നിലവാരം,গ্রহণযোগ্য মানের স্তর
സ്വീകാര്യമായ ശ്രേണി,গ্রহণযোগ্য পরিসীমা
സ്വീകാര്യമായ വിശ്വാസ്യത നില,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
സ്വീകാര്യമായ സാമ്പിൾ,গ্রহণযোগ্য নমুনা
സഞ്ചിത പിശക്,সঞ্চিত ত্রুটি
കൃത്യത,সঠিকতা
പ്രവർത്തന ശക്തി,অভিনয় শক্তি
നടപടി,কর্ম
പ്രവർത്തനവും പ്രതികരണവും,কর্ম এবং প্রতিক্রিয়া
യഥാർത്ഥ ശാസ്ത്രം,বাস্তব বিজ্ঞান
നിശിത കോണുള്ള ത്രികോണം,তীব্র কোণযুক্ত ত্রিভুজ
അസൈക്ലിക്,অ্যাসাইক্লিক
ചേർക്കുക,যোগ করুন
ചേർക്കുന്നയാൾ,যোগকারী
കൂട്ടിച്ചേർക്കൽ,সংযোজন
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,সংযোজন সূত্র
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,জটিল সংখ্যার সংযোজন
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,ফাংশন সংযোজন
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,ম্যাট্রিক্সের সংযোজন
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,বহুপদ সংযোজন
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,সম্ভাবনার সংযোজন
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,ভেক্টর সংযোজন
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,সংযোজন উপপাদ্য
സങ്കലന ഗ്രൂപ്പ്,সংযোজনকারী গ্রুপ
വിപരീത വിപരീതം,সংযোজন বিপরীত
അഡിറ്റീവ് പ്രോപ്പർട്ടി,সংযোজক সম্পত্তি
അഡിറ്റിവിറ്റി,সংযোজন
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,অন্তিক ম্যাট্রিক্স
തൊട്ടടുത്തുള്ള,সংলগ্ন
അടുത്തുള്ള കോണുകൾ,সন্নিহিত কোণ
തൊട്ടടുത്തുള്ള ശീർഷകം,সংলগ্ন শীর্ষবিন্দু
ചേരുക,সংলগ্ন
തൊട്ടടുത്തുള്ള,সংলগ্ন
അനുബന്ധ ഡിറ്റർമിനന്റ്,সংলগ্ন নির্ধারক
അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
അനുബന്ധ സമവാക്യം,সংলগ্ন সমীকরণ
അനുബന്ധ മാട്രിക്സ്,সংলগ্ন ম্যাট্রিক্স
മാട്രിക്സിന്റെ അനുബന്ധം,ম্যাট্রিক্সের সংলগ্ন
അഡ്ജുഗേറ്റ് മാട്രിക്സ്,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
അനുവദനീയമായ അനുമാനം,গ্রহণযোগ্য অনুমান
എയറോഡൈനാമിക് ശക്തി,এরোডাইনামিক বল
എയറോഡൈനാമിക്സ്,বায়ুগতিবিদ্যা
അഫൈൻ ജ്യാമിതി,affine জ্যামিতি
അഫൈൻ മാപ്പിംഗ്,affine ম্যাপিং
അഫൈൻ പരിവർത്തനം,affine রূপান্তর
അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ,একত্রিত ভেরিয়েবল
ബീജഗണിതം,বীজগণিত
ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു,বীজগণিতভাবে বন্ধ
ബീജഗണിത സമവാക്യം,বীজগণিত সমীকরণ
ബീജഗണിത പദപ്രയോഗം,বীজগাণিতিক এক্সপ্রেশন
ബീജഗണിത രൂപം,বীজগাণিতিক ফর্ম
ബീജഗണിത പ്രവർത്തനം,বীজগণিতীয় ফাংশন
ബീജഗണിത ജ്യാമിതി,বীজগণিত জ্যামিতি
ബീജഗണിത ഗുണിതം,বীজগণিতের বহুত্ব
ബീജഗണിത വ്യവസ്ഥ,বীজগণিত ব্যবস্থা
എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം,সমস্ত পূর্ণসংখ্যা সমস্যা
വിഹിതം പ്രശ്നം,বরাদ্দ সমস্যা
അക്ഷരമാലാ ക്രമം,বর্ণানুক্রমিক স্বরলিপি
അക്ഷരമാലാക്രമം,বর্ণানুক্রমিক অক্ষর
ഇതര കോൺ,বিকল্প কোণ
ഒന്നിടവിട്ട രൂപം,বিকল্প ফর্ম
ഇതര ഗ്രൂപ്പ്,বিকল্প গোষ্ঠী
ഒന്നിടവിട്ട മാട്രിക്സ്,বিকল্প ম্যাট্রিক্স
ഒന്നിടവിട്ട പരമ്പര,বিকল্প সিরিজ
ഇതര സിദ്ധാന്തം,বিকল্প অনুমান
ഇതര ഒപ്റ്റിമ,বিকল্প অপটিমা
ഇതര ഫലം,বিকল্প ফলাফল
അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ,এনালগ থেকে ডিজিটাল রূপান্তরকারী
അനലോഗ് കമ്പ്യൂട്ടർ,অ্যানালগ কম্পিউটার
വിശകലനം,বিশ্লেষণ
സഹവർത്തിത്വത്തിന്റെ വിശകലനം,সহভক্তির বিশ্লেষণ
എണ്ണൽ ഡാറ്റയുടെ വിശകലനം,গণনা তথ্য বিশ্লেষণ
വ്യതിയാനത്തിന്റെ വിശകലനം,বৈচিত্র্যের বিশ্লেষণ
അനലിറ്റിക് ജ്യാമിതി,বিশ্লেষণাত্মক জ্যামিতি
വിശകലന പ്രവർത്തനം,বিশ্লেষণমূলক ফাংশন
കോൺ,কোণ
കോൺടാക്റ്റ് കോൺ,যোগাযোগের কোণ
വ്യതിചലനത്തിന്റെ കോൺ,বিচ্যুতি কোণ
വിഷാദത്തിന്റെ ആംഗിൾ,বিষণ্নতা কোণ
വ്യതിയാനത്തിന്റെ കോൺ,বিচ্যুতি কোণ
ഡിഫ്രാക്ഷൻ കോൺ,বিবর্তন কোণ
എലവേഷൻ കോൺ,উচ্চতা কোণ
സംഭവത്തിന്റെ കോൺ,ঘটনার কোণ
