Hindi,Marathi
विफलन,गर्भपात
विफलन कालद,गर्भपात टाइमर
निरपेक्ष पता,परिपूर्ण पत्ता
निरपेक्ष पताभिगमन,परिपूर्ण पत्ता
निरपेक्ष कोडांतरक,परिपूर्ण असेंबलर
निरपेक्ष कूट,परिपूर्ण कोड
निरपेक्ष कूटलेखन,परिपूर्ण कोडिंग
निरपेक्ष समादेश,परिपूर्ण आज्ञा
निरपेक्ष निर्देशांक,परिपूर्ण समन्वय
निरपेक्ष आंकड़े,परिपूर्ण डेटा
निरपेक्ष त्रुटि,परिपूर्ण त्रुटी
निरपेक्ष व्यंजक,परिपूर्ण अभिव्यक्ती
निरपेक्ष अनुदेश,परिपूर्ण सूचना
निरपेक्ष भारक,परिपूर्ण लोडर
निरपेक्ष आदेश,परिपूर्ण ऑर्डर
निरपेक्ष क्रमादेशन,परिपूर्ण प्रोग्रामिंग
निरपेक्ष पद,परिपूर्ण संज्ञा
निरपेक्ष मान,परिपूर्ण मूल्य
निरपेक्ष सदिश,परिपूर्ण वेक्टर
"सारांश, अमूर्त",गोषवारा
"सारांशन, अमूर्तकरण, साराहरण",अमूर्त
अमूर्त प्रतीक,अमूर्त प्रतीक
त्वरण अवधि,प्रवेग कालावधी
त्वरण काल,प्रवेग वेळ
उच्चारण चिह्न,उच्चारण
स्वीकरण परीक्षण,स्वीकृती चाचणी
अभिगम,प्रवेश
अभिगम बाहु,प्रवेश आर्म
अभिगम व्यवस्था,प्रवेश व्यवस्था
अभिगम प्राधिकारक,प्रवेश प्राधिकरण
अभिगम शुल्क,प्रवेश शुल्क
अभिगम वर्ग,प्रवेश वर्ग
अभिगम आँकड़ासंचय प्रबंध,प्रवेश डेटा बेस व्यवस्थापन
अभिगम परिवेश,प्रवेश वातावरण
अभिगम अंतराल,प्रवेश अंतर
अभिगम सूचक,प्रवेश निर्देशांक
अभिगम लाइन,Line क्सेस लाइन
अभिगम यांत्रिकत्व,प्रवेश यंत्रणा
अभिगम विधि,प्रवेश पद्धत
अभिगम विधि नेमका,प्रवेश पद्धत दिनचर्या
अभिगम विधा,प्रवेश मोड
अभिगम अधिकार,प्रवेश बरोबर
अभिगम क्रमवीक्षण,प्रवेश स्कॅन
अभिगम काल,प्रवेश वेळ
लेखा कार्य,लेखा
लेखाकार्य वित्त तंत्र,लेखा वित्त प्रणाली
लेखा यंत्र,लेखा मशीन
खाता संख्या,खाते क्रमांक
संचयी पुनरुत्पादक,पुनरुत्पादक संचय
संचायक,संचयक
संचायक पंजी,संचयक नोंदणी
संचायक विस्थापन अनुदेश,संचयक शिफ्ट सूचना
परिशुद्धता,अचूकता
परिशुद्धता नियंत्रण संप्रतीक,अचूकता नियंत्रण वर्ण
परिशुद्धता नियंत्रण तंत्र,अचूकता नियंत्रण प्रणाली
उत्कृष्ठ मार्गदर्शी,ऐस पायलट
पावती संप्रतीक,चरित्र कबूल करा
ध्वनिक युग्मक,ध्वनिक कपलर
ध्वनिक युग्मन,ध्वनिक कपलिंग
ध्वनिक विलंब लाइन,ध्वनिक विलंब रेखा
ध्वनिक स्मृति,ध्वनिक मेमरी
ध्वनिक मोडेम,ध्वनिक मॉडेम
ध्वनिक संकेत,ध्वनिक सिग्नल
ध्वनिक भंडारण,ध्वनिक संचयन
परिवर्णी शब्द,परिवर्णी शब्द
क्रिया,क्रिया
क्रिया चक्र,कृती चक्र
क्रिया लाइन,कृती ओळ
क्रिया संदेश,कृती संदेश
क्रिया विनिर्देश,कृती तपशील
सक्रियण,सक्रियकरण
सक्रिय,सक्रिय
सक्रिय संचिका,सक्रिय फाईल
सक्रिय लाइन,सक्रिय ओळ
सक्रिय कड़ी,सक्रिय दुवा
सक्रिय प्रधान संचिका,सक्रिय मास्टर फाइल
सक्रिय प्रधान मद,सक्रिय मास्टर आयटम
सक्रिय उपग्रह,सक्रिय उपग्रह
सक्रिय केन्द्र,सक्रिय स्टेशन
सक्रिय भंडारण,सक्रिय संचयन
सक्रियता,क्रियाकलाप
सक्रियता स्तर,क्रियाकलाप पातळी
सक्रियता भारण,क्रियाकलाप लोडिंग
सक्रियता अनुपात,क्रियाकलाप प्रमाण
निरपेक्ष पता,वास्तविक पत्ता (= परिपूर्ण पत्ता)
निरपेक्ष कूट,वास्तविक कोड (= परिपूर्ण कोड)
वास्तविक आँकडा स्थानांतरण दर,वास्तविक डेटा हस्तांतरण दर
वास्तविक दशमलव बिन्दु,वास्तविक दशांश बिंदू
प्रभावी अनुदेश,वास्तविक सूचना (= प्रभावी सूचना)
वास्तविक कुंजी,वास्तविक की
वास्तविक काल,वास्तविक वेळ
वास्तविक कार्य काल,वास्तविक कामाची वेळ
प्रवर्तक संकेत,अ‍ॅक्ट्युएटिंग सिग्नल
अनुकूलनीयता,अनुकूलता
अनुकूलित्र,अ‍ॅडॉप्टर
अनुकूली प्रणाल नियतन,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
अनुकूली समाकलन,अनुकूली एकत्रीकरण
अनुकूली अनुप्रस्थ तुल्यकारक,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
योजित प्रविष्ट,जोडलेली प्रविष्टी
योज्य,परिशिष्ट
योजक,अ‍ॅडर
योजक व्यवकलक,अ‍ॅडडर सबट्रॅक्टर
योजी संचिका,फाईल जोडा
विशिष्ट संप्रतीक,अतिरिक्त वर्ण (= विशेष वर्ण)
योग अभिलेख,व्यतिरिक्त रेकॉर्डर
योग सारणी,व्यतिरिक्त सारणी
योज्य गुण,अ‍ॅडिटिव्ह विशेषता
योग विधा,मोड जोडा
योग संक्रिया,ऑपरेशन जोडा
पता,पत्ता
पतायोग्यता माप,पत्तेपणाचा उपाय
पतायोग्य क्षौतिज स्थिति,पत्ते करण्यायोग्य क्षैतिज स्थिती
पतायोग्य बिन्दु,पत्ता योग्य बिंदू
पतायोग्य स्थिति,पत्ता योग्य स्थिती
पतायोग्य पंजी,पत्ते करण्यायोग्य नोंदणी
पतायोग्य भंडारण,पत्ता योग्य स्टोरेज
पतायोग्य ऊर्ध्वाधर स्थिति,पत्ता योग्य अनुलंब स्थिती
पता बस,अ‍ॅड्रेस बस
पता कूट,पत्ता कोड
पता तुलनित्र,पत्ता तुलनात्मक
पता अभिकलन,पत्ता गणना
पता अचर,पत्ता स्थिर
पता रूपांतरण,पत्ता रूपांतरण
पता आँकड़े,पत्ता डेटा
पतायुक्त स्मृति,संबोधित मेमरी
प्रभावी पता,पत्ता प्रभावी
पता क्षेत्र,पत्ता फील्ड
पता संरूप,पत्ता स्वरूप
पता निरपेक्ष क्रमादेश,पत्ता विनामूल्य कार्यक्रम
पताभिगमन,पत्ता
पताभिगमन संप्रतीक,"पत्ता
 वर्ण"
पताभिगमन अंतरायन,व्यत्यय संबोधित करणे
पताभिगमन पाश,पळवाट पळवाट
पताभिगमन आभासी स्मृति,आभासी मेमरी संबोधित करणे
पता अंतर्ग्रथन,पत्ता इंटरलॅकिंग
पतारहित अनुदेश संरुप,पत्ता नसलेली सूचना स्वरूप
पता लाइन,पत्ता ओळ
पता प्रतिचित्रण,पत्ता मॅपिंग
पता चिह्न,पत्ता चिन्ह
पता आपरिवर्तन,पत्ता बदल
पता भाग,पत्ता भाग
पता संकेतक,पत्ता पॉईंटर
पता पंजी,पत्ता नोंदणी
पता संकेत,पत्ता सिग्नल
पता आमाप,पत्ता आकार
पता स्थान,पत्ता जागा
पता स्थान अभिज्ञापक,पत्ता जागा अभिज्ञापक
पता विराम,पत्ता थांबा
पता अनुरेख,पत्ता ट्रेस
पता मार्ग,पत्ता ट्रॅक
पता अनुवाद,पत्ता अनुवाद
पता अनुवादक,पत्ता अनुवादक
संकलन व्यवकलन काल,अ‍ॅड-सबस्ट्रॅक्ट वेळ
संकलन काल,वेळ जोडा
संलग्नता,समीप
संलग्नता संरचना,जवळची रचना
संलग्न प्रणाल,समीप चॅनेल
संलग्न प्रांत,समीप डोमेन
सहखंडज मैट्रिक्स,समीप मॅट्रिक्स
संलग्न आसंधि,समीप नोड
संलग्न उपक्षेत्र,समीप सुबेरिया
संलग्न (तंत्र),संक्षिप्त रुप (सिस्टम)
समायोजन,समायोजित करा
समायोज्य विस्तार,समायोज्य मर्यादा
समायोज्य पाठ्यांश विधा,मजकूर मोड समायोजित करा
प्रशासनिक आँकड़ा संसाधन,प्रशासकीय डेटा प्रक्रिया
प्रशासनिक प्रचालन,प्रशासकीय ऑपरेशन
प्रशासनिक प्रचालक,प्रशासकीय ऑपरेटर
प्रशासनिक प्रचालन केन्द्र,प्रशासकीय ऑपरेटर स्टेशन
प्रशासन सहाय तंत्र,प्रशासकीय समर्थन प्रणाली
उन्नत संचार सेवा,प्रगत संप्रेषण सेवा
उन्नत सूचना तंत्र,प्रगत माहिती प्रणाली
उन्नत प्रकाशिक संप्रतीक पठित्र,प्रगत ऑप्टिकल कॅरेक्टर रीडर
उन्नत वैज्ञानिक अभिकलित्र,प्रगत वैज्ञानिक संगणक
एरियल,हवाई
पुंज,एकूण
पुंज व्यंजक,एकूण अभिव्यक्ती
संधानित्र,लक्ष्य वर्तुळ
संधान प्रतीक,लक्ष्य फील्ड (= लक्ष्य चिन्ह)
संधान प्रतीक,लक्ष्य प्रतीक
वायुवाहित अभिकलित्र तंत्र,एअरबोर्न संगणक प्रणाली
बीजीय आइगनमान समस्या,बीजगणित ईगेनव्हल्यू समस्या
बीजीय समाकलन,"बीजगणित
 एकत्रीकरण"
"बीजीय भाषा, बीज भाषा",बीजगणित भाषा
बीजीय प्रकलन,बीजगणित हाताळणी
बीजीय प्रकलन भाषा,बीजगणित मॅनिपुलेशन भाषा
बीजोन्मुखी भाषा,बीजगणित ओरिएंटेड भाषा
बीजीय विस्थापन,बीजगणित शिफ्ट
बीजीय चिह्न परिपाटी,बीजगणित साइन कन्व्हेन्शन
ऐल्गॉल,अल्गोल
ऐल्गॉल लक्षण,अल्गोल वैशिष्ट्य
ऐल्गॉल क्रमादेशन,अल्गोल प्रोग्रामिंग
"कलन विधि, एल्गोरिथ्म",अल्गोरिदम
कलन विधि साहचर्य भाषा,अल्गोरिदम असोसिएटिव्ह भाषा
कलन विधि वर्गीकरण,अल्गोरिदम वर्गीकरण
कलन विधि जटिलता,अल्गोरिदम जटिलता
कलन विधि अभिकलनीयता,अल्गोरिदम संगणन
कलन विधि विश्लेषण,अल्गोरिदम विश्लेषण
कलनविधीय उपगमन,अल्गोरिदम दृष्टिकोन
कलनविधीय भाषा,अल्गोरिदम भाषा
कलनविधीय नेमका,अल्गोरिदम नित्यक्रम
कलनविधीय सिद्धांत,अल्गोरिदम सिद्धांत
अपर,उर्फ
उपघटन,अलियासिंग
"अपर नाम, उर्फ नाम",उर्फ नाव (= वैकल्पिक नाव)
सरेखण,संरेखन
नियतन,वाटप
नियतन संरचना,वाटप रचना
सर्वोद्देशीय अभिकलित्र,सर्व हेतू संगणक
अक्षरात्मक संप्रतीक,वर्णमाला वर्ण
अक्षरात्मक संप्रतीक समुच्चय,वर्णमाला वर्ण सेट
अक्षरात्मक संप्रतीक उपसमुच्चय,अल्फाबेटिक कॅरेक्टर सबसेट
अक्षरात्मक कूट,वर्णमाला कोड
अक्षरात्मक विस्थापन,वर्णमाला शिफ्ट
अक्षरात्मक रज्जु,वर्णमाला स्ट्रिंग
अक्षरात्मक शब्द,वर्णमाला शब्द
वर्णानुक्रमण,वर्णमाला
अक्षरात्मक ज्यामितिकी,अल्फेजोमेट्रिक्स
अक्षरांकीय,अल्फामेरिक
अल्फामोजेक,अल्फामोसॅक
अक्षरांकीय,अल्फान्यूमेरिक
अक्षरांकीय कुंजीपटल युक्ति,अल्फान्यूमरिकल कीबोर्ड डिव्हाइस
अक्षरांकीय संप्रतीक समुच्चय,अल्फान्यूमेरिक कॅरेक्टर सेट
अक्षरांकीय कूट,अल्फान्यूमेरिक कोड
अक्षरांकीय कूटलिखित संप्रतीक समुच्चय,अल्फान्यूमेरिक कोडेड कॅरेक्टर सेट
अक्षरांकीय आँकड़े,अल्फान्यूमेरिक डेटा
अक्षरांकीय प्रदर्श युक्ति,अल्फान्यूमेरिक डिस्प्ले डिव्हाइस
अक्षरांकीय संपादित संप्रतीक,अल्फान्यूमेरिक संपादित वर्ण
अक्षरांकीय क्षेत्र,अल्फान्यूमेरिक फील्ड
अक्षरांकीय अनुदेश,अल्फान्यूमेरिक सूचना
अक्षरांकीय कुंजी पटल,अल्फान्यूमेरिक कीबोर्ड
अक्षरांकीय शाटन,अल्फान्यूमेरिक क्रमवारी
अक्षरांकीय भंडारण,अल्फान्यूमेरिक स्टोरेज
परिवर्तनीय स्मृति,बदलण्यायोग्य मेमरी
परिवर्तन स्विच,बदल स्विच
परिवर्तन,बदल
परिवर्तन विधा,बदल मोड
वैकल्पिक पुनःप्राप्ति,वैकल्पिक पुनर्प्राप्ती
वैकल्पिक मार्ग,वैकल्पिक मार्ग
वैकल्पिक मार्गचयन,वैकल्पिक मार्ग
वैकल्पिक मार्ग,वैकल्पिक ट्रॅक
अथवा' संक्रिया,अल्टरनेशन (= किंवा ऑपरेशन)
वैकल्पिक गुण,वैकल्पिक गुणधर्म
तथा पूरक' संक्रिया,वैकल्पिक नकार (= नाही आणि ऑपरेशन)
संदिग्धता त्रुटि,अस्पष्टता त्रुटी
संदिग्धता संर्दभ,संदिग्ध संदर्भ
अनुरूप,एनालॉग
अनुरूप योजक,एनालॉग अ‍ॅडडर
अनुरूप प्रणाल,एनालॉग चॅनेल
अनुरूप अभिकलित्र,एनालॉग संगणक
अनुरूप परिवर्तक,एनालॉग कन्व्हर्टर
अनुरूप आँकड़े,एनालॉग डेटा
अनुरूप विभाजनी,एनालॉग विभाजक
