Kannada,Gujarati
ದಾಟುವುದು,ખર્ચ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,સંક્ષેપ
ಅಪಹರಣ,અપહરણ
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,સ્થગ
ಸಾಮರ್ಥ್ಯ,ક્ષમતા
ಎಬಿ ಇನಿಶಿಯೋ,આરંભ
ಸಮರ್ಥ,કઠોર
ಅಸಹಜ,અસામાન્ય
ನಿರ್ಮೂಲನ,નાબૂદી
ರದ್ದುಮಾಡುವಿಕೆ,નાબૂદી પોસ્ટ
ಮೇಲೆ ತಿಳಿಸಿದ,ઉપર ઉલ્લેખ કર્યો છે
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,ઉપર જણાવેલ
ಮೇಲೆ ಹೇಳಿದರು,ઉપર જણાવ્યું હતું કે
ಅನುಪಸ್ಥಿತಿ,ગેરહાજરી
ಗೈರುಹಾಜರಿ,ગેરહાજર
ಗೈರುಹಾಜರಿ,ગેરહાજરી
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,અનુપસ્થિત નિવેદનો
ಸಂಪೂರ್ಣ,અબાધિત
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,અબાધિત ઈજારો
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,અબાધિત માલિકી
ಹೀರುವಿಕೆ,સમાવેશ
ಅಮೂರ್ತ,નિષ્ક્રિય
ಅಮೂರ್ತತೆ,અખબારો
ಅಸಂಬದ್ಧ,વાહિયાત
ಹೇರಳವಾಗಿರುವುದು,વિપુલતા
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,સત્તાનો દુરુપયોગ
ನಿಂದಕ ಭಾಷೆ,અપશબ્દો
ಶೈಕ್ಷಣಿಕ,શૈક્ષણિક
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,શૈક્ષણિક ચર્ચા
ಶೈಕ್ಷಣಿಕ ರಜೆ,શૈક્ષણિક રજા
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,શૈક્ષણિક લાયકાત
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,વિદ્યા
ತಪ್ಪೊಟ್ಟು,સહયોગ કરવો
ಒಪ್ಪಿಕೊಳ್ಳಿ,સ્વીકારવું
ಸ್ವೀಕಾರಾರ್ಹತೆ,સ્વીકૃતિ
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,પદની સ્વીકૃતિ
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,પ્રતિજ્ ofા
ಪ್ರವೇಶ,પ્રવેશ
ಪ್ರವೇಶ,સંચાર
ಪರಿಕರ,સહાયક
ಅಪಘಾತ,અકસ્માત
ಒಗ್ಗೂಡಿಸುವಿಕೆ,સ્વાર્થીકરણ
ಸೌಕರ್ಯ,આવાસ
