Marathi,Odiya
असामान्य,ଅସ୍ୱାଭାବିକ |
गर्भपात,ପରିତ୍ୟାଗ
घर्षण,ଅଳିଆ ଆବେଗ
अचानक,ଆକସ୍ମିକ
परिपूर्ण फील्ड सामर्थ्य,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
परिपूर्ण तापमान,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
परिपूर्ण मूल्य,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
शोषून घ्या,ଶୋଷଣ
शोषण सह-कार्यक्षम,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
शोषण तोटा,ଶୋଷଣୀୟ କ୍ଷତି |
गोषवारा,ବିସ୍ତୃତ
एक्सेलरोमीटर,ଆକ୍ସଲେରୋମିଟର |
स्वीकृती चाचणी,ଗ୍ରହଣ ପରୀକ୍ଷା
प्रवेश,ପ୍ରବେଶ
प्रवेश नियंत्रण,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
प्रवेश बिंदू,ପ୍ରବେଶ ବିନ୍ଦୁ
प्रवेश वेळ,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
प्रवेशयोग्यता,ଅଭିଗମ୍ୟତା |
संचयक सेल,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
अचूकता,ସଠିକତା
अचूक,ସଠିକ୍
अ‍ॅक्रोमॅटिक लेन्स,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
आम्ल,ଏସିଡ୍ |
आम्ल पुरावा,ଏସିଡ୍ ପ୍ରମାଣ |
आंबटपणा,ଅମ୍ଳତା
पावती बिट,ସ୍ୱୀକୃତି ବିଟ୍
ध्वनिक,ଆକାଶବାଣୀ |
ध्वनिक संप्रेषण,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
ध्वनिक प्रसार,ଆକାଶବାଣୀ ବିସ୍ତାର
ध्वनिक समतुल्य,ଆକାଶବାଣୀ ସମାନତା |
ध्वनिक अभिप्राय,ଆକାଶବାଣୀ ମତାମତ |
ध्वनिक फिल्टर,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ध्वनिक प्रतिबाधा,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ध्वनिक मास्किंग,ଆକାଶବାଣୀ ମାସ୍କିଂ |
ध्वनिक शक्ती,ଆକାଶବାଣୀ ଶକ୍ତି |
ध्वनिक मालमत्ता,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
ध्वनिक प्रतिक्रिया,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ध्वनिक प्रतिक्षेप,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
ध्वनिक टाइल,ଆକାଶବାଣୀ ଟାଇଲ୍ |
ध्वनिक लाट,ଆକାଶବାଣୀ ତରଙ୍ଗ |
ध्वनिक शोषण,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
ध्वनीविषयक क्षीणन स्थिर,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
ध्वनिकी ओलसर,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ध्वनिक विलंब रेखा,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ध्वनिक विकृती,ଆକାଶବାଣୀ ବିକୃତି |
ध्वनिक नलिका,ଆକାଶବାଣୀ ନଳୀ |
