Odiya,Punjabi
ଆବଦ୍ଧ,ਪਰੇਸ਼ਾਨੀ
ସଂକ୍ଷିପ୍ତକରଣ,ਸੰਖੇਪ
ଅପହରଣ,ਅਗਵਾ
ଆବେରୀ,ਧਾਰਨਾ
ଦକ୍ଷତା,ਯੋਗਤਾ
Ab initio,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
ସକ୍ଷମ,ਯੋਗ
ଅସ୍ୱାଭାବିକ |,ਅਸਧਾਰਨ
ଚତୁରତା,ਖਤਮ
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
ଉପରେ କହିଲା,ਉਪਰੋਕਤ ਕਿਹਾ
ଅନୁପସ୍ଥିତି,ਗੈਰਹਾਜ਼ਰੀ
ଅଧ୍ୟାପୀ,ਗੈਰਹਾਜ਼ਰ
ଅନୁପସ୍ଥିତତା,ਗੈਰਹਾਜ਼ਰ
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
ସଂପୂର୍ଣ୍ଣ,ਅਸੀਮ
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,ਸੰਪੂਰਨ ਮਾਲਕੀ
ଶୋଷଣ,ਸਮਾਈ
ବିସ୍ତୃତ,ਸਾਰ
ବିସ୍ତୃତ,ਸੰਖੇਪ
ଅବ urd ଧ |,ਬੇਹੂਦਾ
ପ୍ରଚୁରତା,ਬਹੁਤਾਤ
ଶକ୍ତିର ଅପବ୍ୟବହାର |,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
ଅପମାନଜନକ ଭାଷା |,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
ଏକାଡେମିକ୍ |,ਅਕਾਦਮਿਕ
ଏକାଡେମିକ୍ ଆଲୋଚନା,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
ଏକାଡେମିକ୍ ଛୁଟି |,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
ଏକାଡେମିକ୍ ରେକର୍ଡ |,ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
ଧ୍ୟାନଦେଇ,ਐੱਸ
ଗ୍ରହଣ କର,ਸਵੀਕਾਰ ਕਰੋ
ଗ୍ରହଣ,ਮਨਜ਼ੂਰ
ଅଫିସ୍ ଗ୍ରହଣ,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
ଟେଣ୍ଡର ଗ୍ରହଣ,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
ପ୍ରବେଶ,ਪਹੁੰਚ
ପ୍ରବେଶ,ਐਕਸੈਸਿੰਗ
ଆନୁଷଙ୍ଗିକ,ਸਹਾਇਕ
ଦୁର୍ଘଟଣା,ਹਾਦਸਾ
ସୁକମ୍ଲାଇଜେସନ୍,ਅਨੁਕੂਲਤਾ
ଆବାସ,ਰਿਹਾਇਸ਼
ସାଥୀ,ਦੇ ਨਾਲ
ଆକର୍ଡ,ਸਮਝੌਤਾ
ସମ୍ପତ୍ତୀ,ਦੇ ਅਨੁਸਾਰ
ସେହି ଅନୁଯାୟୀ |,ਇਸ ਅਨੁਸਾਰ
ଖାତା,ਖਾਤਾ
ଉତ୍ତରଦାୟିତ୍ୱ,ਜਵਾਬਦੇਹੀ
ଉତ୍ତରଦାୟୀ |,ਜਵਾਬਦੇਹ
ଆକାଉଣ୍ଟାଣ୍ଟି,ਖਾਤੇ ਦੀ
ଆକାଉଣ୍ଟାଣ୍ଟ,ਲੇਖਾਕਾਰ
ଖାତା ପାଇଁ,ਲਈ ਖਾਤਾ
ଖାତା ହେଡ୍,ਖਾਤਾ ਸਿਰ
ଅଭିଯୋଗ ଲାଭ,ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ
ପେନ୍ ପେନ୍ସନ୍,ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ
ଜମା,ਇਕੱਠਾ
ସଠିକତା,ਸ਼ੁੱਧਤਾ
ସଠିକ୍,ਸਹੀ
ଅଭିଯୋଗ,ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ
ଅଭିଯୁକ୍ତ,ਦੋਸ਼ੀ
ସଫଳତା,ਪ੍ਰਾਪਤੀ
ସ୍ୱୀକୃତି,ਪ੍ਰਵਾਨਗੀ
ସ୍ୱୀକୃତି ଦେବାର |,ਬਣ ਰਹੇ
ପରିଚୟ,ਜਾਣ-ਪਛਾਣ
ଅଧିଗ୍ରହଣ,ਗ੍ਰਹਿਣ
ନିର୍ଦ୍ଦୋଷ,ਬਰੀ
କାର୍ଯ୍ୟ କର,ਐਕਟ
ଅଭିନୟ ଭତ୍ତା,ਅਦਾਕਾਰੀ ਭੱਤਾ
କାର୍ଯ୍ୟ,ਕਾਰਵਾਈ
କ୍ରିୟା ଯୋଜନା,ਕਾਰਵਾਈ ਜੁਗਤ
ସକ୍ରିୟ,ਕਿਰਿਆਸ਼ੀਲ
ସକ୍ରିୟ ଭାବରେ |,ਸਰਗਰਮੀ ਨਾਲ
କାର୍ଯ୍ୟକର୍ତ୍ତା,ਕਾਰਜਕਰਤਾ
God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ,ਰੱਬ ਦਾ ਕੰਮ
ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ,ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ
କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |,ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ
ପ୍ରକୃତ,ਅਸਲ
କାର୍ଯ୍ୟ,ਅਸਲ
ଆଡାପ୍ଟେସନ୍,ਅਨੁਕੂਲਤਾ
ଯୋଗ,ਜੋੜ
ଅତିରିକ୍ତ ଚାର୍ଜ,ਅਤਿਰਿਕਤ ਚਾਰਜ
ଅତିରିକ୍ତ ପାଣ୍ଠି,ਵਾਧੂ ਫੰਡ
ଅତିରିକ୍ତ ଅନୁଦାନ,ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ
ଅତିରିକ୍ତ ସୂଚନା,ਵਧੀਕ ਜਾਣਕਾਰੀ
ଅତିରିକ୍ତ ଦେୟ,ਵਾਧੂ ਤਨਖਾਹ
ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ,ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ
ଠିକଣା,ਪਤਾ
ଆଡ୍ରେସେେ |,ਐਡਰੈਸਸ
ସ୍ୱାଗତିବାର ଠିକଣା,ਸਵਾਗਤ ਦਾ ਪਤਾ
ପର୍ଯ୍ୟାପ୍ତ,ਕਾਫ਼ੀ
ନିୟମ ପାଳନ,ਦਾ ਪਾਲਣ ਕਰੋ
ଅନୁପଚାରି,ਐਡ ਹੋਕ
ବିଜ୍ଞାପନ ହକ୍ ଦାବି |,ਐਡਹਕ ਕਲੇਮ
ବିଜ୍ଞାପନ ହକ୍ କମିଟି |,ਐਡਹੌਕ ਕਮੇਟੀ
AD HOC ବୃଦ୍ଧି |,ਐਡਹੌਕ ਵਾਧਾ
ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |,ਐਡਹੌਕ ਭੁਗਤਾਨ
ସଂଲଗ୍ନ,ਨਾਲ ਲੱਗਦੀ
ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ),ਨਾਲ ਲੱਗਦੀ (= ਸੰਜੋਗ)
ସ୍ଥଗିତତା,ਮੁਲਤਵੀ
ଆଡଜାଇବା ଗତି,ਮੁਲਤਵੀ ਮੋਸ਼ਨ
ସମର୍ଥନ କର ଘର,ਇਜਾਜ਼ਤ
ଗୁଚିଚୀନିକ,ਨਿਰਣਾਇਕ
ସମର୍ଥନ,ਨਿਰਣਾ
ଆଦ୍ବ୍ରୀକରଣ,ਨਿਰਣਾਇਕ
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,ਵਿਵਸਥਾ
