Hindi,Tamil
ए बी वर्ग प्रवर्धक,A B வகுப்பு பெருக்கி
"विपथन, अपेरण",பிறழ்வு
असामान्य संचरण,அசாதாரண பரிமாற்றம்
"असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
लुप्त स्पेक्ट्रम,ஸ்பெக்ட்ரம் காணவில்லை
"निरपेक्ष, परम, अचर, परिशुद्ध","முழுமையான, முழுமையான, நிலையான, சரியான"
निरपेक्ष आर्द्रता,முழுமையான ஈரப்பதம்
निरपेक्ष गति,முழுமையான வேகம்
निरपेक्ष प्रेक्षण,முழுமையான கவனிப்பு
परम ताप,முழுமையான வெப்பநிலை
परम शून्य,முழுமையான பூஜ்ஜியம்
अवशोषण करना,உறிஞ்சி
"अवशोषक, अवशोषी","உறிஞ்சும், உறிஞ்சும்"
अवशोषण सामर्थ्य,உறிஞ்சும் திறன்
अवशोषणांश,உறிஞ்சுதல்
अवशोषी,உறிஞ்சக்கூடியது
अवशोषकता,உறிஞ்சும் தன்மை
बाहुल्य अनुपात,பன்மடங்கு விகிதம்
त्वरित करना,முடுக்கி
त्वरित,விரைந்தார்
त्वरण,முடுக்கம்
गुरुत्व त्वरण,ஈர்ப்பு முடுக்கம்
त्वरक,முடுக்கி
"त्वरित्र, त्वरक",முடுக்கி
त्वरणमापी,முடுக்கமானி
प्राक्प्रबलक,முன் அழுத்தம் கொடுப்பவர்
स्वीकारी परीक्षण,ஏற்றுக்கொள்ளக்கூடிய சோதனை
"ग्राही, स्वीकारी",ஏற்பவர்
आदाता अणु,நன்கொடையாளர் மூலக்கூறு
"अभिगम, प्रतीक्षा, अभिगम्यता","அணுகல், காத்திருப்பு, அணுகல்"
अभिगम्यता,அணுகல்
"अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
अभिगम काल,அணுகல் நேரம்
आगन्तुक त्रुटि,பார்வையாளர் பிழை
समंजन,சரிசெய்தல்
संचित,திரட்டப்பட்டது
"संचय, संचयन","திரட்சி, குவிப்பு"
संचायक,திரட்டி
यथार्थता,துல்லியம்
यथार्थ,யதார்த்தம்
अवर्णक लेन्स,நிறமற்ற லென்ஸ்
अवर्णक,வண்ணமயமான
अवर्णकता,வண்ணமயமான தன்மை
ध्वानिक,ஒலியியல்
ध्वनिरुद्ध,ஒலி எதிர்ப்பு
ध्वानिक फ़ओनॉन,ஒலி ஃபோனான்
ध्वनि-मात्रक,ஒலி அலகு
ध्वानिक,ஒலியியல்
ध्वनि जनित्र,ஒலி ஜெனரேட்டர்
क्रिया और प्रतिक्रिया,செயல் மற்றும் எதிர்வினை
सक्रियण,செயல்படுத்துதல்
सक्रियण उर्जा,செயல்படுத்தும் ஆற்றல்
"सक्रियकारक, सक्रियक","செயல்படுத்துபவர், செயல்படுத்துபவர்"
सक्रिय,செயலில்
सक्रियता,செயற்பாடு
वास्तविक प्रतिबल,உண்மையான மன அழுத்தம்
क्षिप्र उद्भासन,கிசுகிசுத்தல்
"योग करना, जोड़ना",மொத்தத்தில்
"योग, जोड़, संकलन (सं.), योगात्मक (वि.)","தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)"
"संयोजी स्वर, अतिरिक्त टोन (स्वर)","இணைந்த தொனி, கூடுதல் தொனி (உயிர்)"
"योज्य, योगात्मक",சேர்க்கை
आसंजन,ஒட்டுதல்
आसंजी ऊर्जा,பிசின் ஆற்றல்
ऐडियाबैट,அடியாபட்
रुद्धोष्म,அடியாபாடிக்
उष्मा-अपार्य,வெப்ப காப்பு
संलग्न,இணைப்பு
समायोज्य,அனுசரிப்பு
प्रवेश्यता,ஊடுருவல்
अधिशोषण,உறிஞ்சுதல்
अग्रगत,முன்னோக்கி
प्रगामी,முற்போக்கானது
"आकाशी, वायव (वि.), एरियल (सं.)","ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)"
ऐन्टेना धारा,ஆண்டெனா ஸ்ட்ரீம்
आकाशी सर्वेक्षण,வான்வழி ஆய்வு
वायव वेग,காற்று வேகம்
वायुगतिक गुणांक,ஏரோடைனமிக் குணகம்
वायुगतिक,காற்றியக்கவியல்
वायुगतिकी,காற்றியக்கவியல்
वैमानिक,வானூர்தி
वैमानिकी,ஏரோநாட்டிக்ஸ்
वायुस्पंद,காற்று துடிப்பு
"वातमंडल, गैसमंडल","வளிமண்டலம், வாயுக்கோளம்"
अफोकसी तंत्र,கவனம் அமைப்பு
पश्च ज्वलन,மீண்டும் பற்றவைப்பு
पश्च दीप्ति,பின் ஒளி
उत्तरघात,அதிர்ச்சி
"वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना","வயது, வயது, வயது, சகாப்தம் (பதிப்பு), நேரத்தை பாதிக்க (ver.), நேரம், காலத்தால் பாதிக்கப்படுவது"
कालप्रभावित,நேரம் பாதிக்கப்பட்டது
"कालप्रभावन, जरण","முதுமை, முதுமை"
कालप्रभावन,நேர விளைவு
कालप्रभावन परीक्षण,நேர விளைவு சோதனை
गुरुत्वहीन,புவியீர்ப்பு இல்லாதது
संधान,நல்லிணக்கம்
"वायुवाहित रेडार, हवाई रेडार","வான்வழி ரேடார், வான்வழி ரேடார்"
"वायुवर्ती लक्ष्य, हवाई लक्ष्य","வான் இலக்கு, வான் இலக்கு"
"वायुश्वासी, वायुश्वसित्र",காற்று சுவாசக் கருவி
वातानुकूलन,ஏர் கண்டிஷனிங்
वायुक्रोडी ट्रांसफार्मर,காற்று எதிர்ப்பு மின்மாற்றி
