Telugu,Malayalam
అబాక్సియల్ ఉపరితలం,നിബാക്സിയൽ ഉപരിതലം
ఉదరం,അടിവയറ്
ఉదర బృహద్ధమని,വയറുവേദന അയോട്ടോ
ఉదర గాంగ్లియా,വയറിലെ ഗാംഗ്ലിയ
అబెల్మోస్చస్ ఎస్కులెంటస్,Abelmoschus എസ്സുലന്റസ്
అబెర్రేషన్,വെറുക്കല്
అబీస్,അബി)
అబింగ్డన్ తాబేలు,അബിങ്ഡൺ ആമ
అబియోజెనిసిస్,അബിയോജെനിസിസ്
అబియోటిక్,അബിയോട്ടിക്
అబియోటిక్ కారకం,അശുഭാപ്തി ഘടകം
అసాధారణ మూత్రం,അസാധാരണമായ മൂത്രം
అబో బ్లడ్ గ్రూప్,അബോ രക്തം ഗ്രൂപ്പ്
అబ్సిసిక్ ఆమ్లం,അബ്സിസിക് ആസിഡ്
అబ్సిసిషన్,നിര്വഹണം
గ్రహించండి,ഉള്ക്കൊള്ളുക
శోషణ శిఖరం,ആഗിരണം കൊടുമുടി
శోషణ,ആഗിരണം
అకాసియా కాటెచు,അക്കേഷ്യ കാറ്റെച്ചു
అకారియా అరబికా,അക്കാര്യ അറബിക്ക
అకాప్రిన్,അകാപ്രിൻ
ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
అనుబంధ గ్రంథి,ആക്സസറി ഗ്രന്ഥി
అనుబంధ గ్రంథి,ആക്സസറി ഗ്രന്ഥി
అనుబంధ అవయవం,ആക്സസറി അവയവം
అలవాటు,ACCLIMATIES
అలవాటు,അക്ലിമിലൈസ്
వసతి,താമസം (ഫോക്കസിംഗ്)
కంటి వసతి,കണ്ണിന്റെ താമസം
అక్రెషన్ పెరుగుదల,പ്രകടിപ്പിക്കുന്ന വളർച്ച
చేరడం,കൂന്വാരം
సేంద్రీయ పదార్థాలు చేరడం,ജൈവവസ്തുക്കളുടെ ശേഖരണം
నేల చేరడం,മണ്ണിന്റെ ശേഖരണം
ఎసిల్యులర్,അസെലുലാർ
ఎసెల్యులర్ జీవి,അസെല്ലുലാർ ജീവികൾ
ఎసిటాబులం,Aecetabulum
ఎసిటాల్డిహైడ్,അസെറ്റൽഡിഹൈഡ്
ఎసిటైల్ కోఎంజైమ్,അസെറ്റി കൊവെൻസിഎംഇ
అచతినా,അച്ചാതിന
అచెనే రకం,നെച്ചെൻ തരം
అచెన్,അച്ചീൻ
అచ్లామిడోస్పోరే,ആൾമെംഡിഡോസ്പോര്പോറിയ
ఆమ్ల వర్షము,അമ്ല മഴ
ఆమ్ల,അസിഡിറ്റി
ఆమ్ల వాయువు,അസിഡിറ്റിക് വാതകം
ఆమ్లత్వం,അസിഡിറ്റി
అసినార్ సెల్,അക്കിനാർ സെൽ
Acoelomate,അക്കോമോമോമറ്റ്
అకోనిటమ్,അക്കോണിറ്റം
ఎకార్న్ పురుగు,ആക്രമണാത്മക പുഴു
ఎకౌస్టిక్ జోనింగ్,അക്കോസ്റ്റിക് സോണിംഗ്
సంపాదించిన పాత్ర,സ്വന്തമാക്കിയ പ്രതീകം
రోగనిరోధక శక్తిని సంపాదించింది,പ്രതിരോധശേഷി നേടി
ఇమ్యునో లోపం (AIDS),ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
అక్రినియా,അങ്കാരിയ
యాక్రిడిన్ డై,അക്രിക്കൈൻ ഡൈ
అక్రోసెంట్రిక్,അക്രോസെന്റ്
అక్రోమియన్,അക്രോമീൻ
అక్రోపెటల్ సీక్వెన్స్,അക്രോരേറ്റൽ സീക്വൻസ്
అక్రోపెటల్ ఆర్డర్,അക്രോപോളൽ ഓർഡർ
అక్రోసిన్,അക്രോസിൻ
ఆక్టిన్,ആക്ടിൻ
ఆక్టిన్ లాంటి ప్రోటీన్,ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ
ఆక్టినోమోర్ఫిక్,ആക്ടിനോമോർഫിക്
ఆక్టినోమైసెట్స్,ആക്റ്റിനോമൈസെറ്റുകൾ
చర్య సామర్థ్యం,പ്രവർത്തന സാധ്യത
సక్రియం చేయబడిన బురద,സജീവമാക്കിയ സ്ലഡ്ജ്
సక్రియం చేయబడిన బురద ఫ్లోక్,സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്
యాక్టివేషన్ ఎనర్జీ,സജീവമാക്കൽ .ർജ്ജം
క్రియాశీల శోషణ,സജീവമായ ആഗിരണം
క్రియాశీల రోగనిరోధక శక్తి,സജീവ പ്രതിരോധശേഷി
క్రియాశీల రేడియేషన్,സജീവ വികിരണം
క్రియాశీల సైట్,സജീവ സൈറ്റ്
యాక్టివిన్,ആധ്രിക്കുക
అక్యూమినేట్,അക്യുമിനേറ്റ്
ఆడమియా,ആദാംസിയ
అనుకూలత,പൊരുത്തപ്പെടലി
అనుసరణ,പൊരുത്തപ്പെടുത്തൽ
కాంతి పాలనకు అనుసరణ,ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ
నీటి కొరతకు అనుసరణ,ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ
అనుకూల లక్షణాలు,അഡാപ്റ്റീവ് സവിശേഷതകൾ
అనుకూల రోగనిరోధక శక్తి,അഡാപ്റ്റീവ് പ്രതിരോധശേഷി
అడాప్టివ్ రేడియేషన్,അഡാപ്റ്റീവ് വികിരണം
అనుకూల లక్షణం,അഡാപ്റ്റീവ് സ്വഭാവം
అడాక్సియల్ ఉపరితలం,അഡാക്സിയൽ ഉപരിതലം
వ్యసనపరుడైన రుగ్మత,ആസക്തി നിഴൽ
అడెనిన్,ആദൈൈൻ
అడెనోకార్టికోట్రోపిన్,Adenocortiopin
అడెనోహైపోఫిసిస్,ആദിനോഹൈപഫിസിസ്
అడెనోసిన్ డిఫాస్ఫేట్,Adenosin diphosphate
అడెనోసిన్ డీమినేస్,Adenosine deaminase
అడెనోసిన్ మోనోఫాస్ఫేట్,അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്
గ్రంధి ముడతలు,അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി)
అడెనిలేట్ సైక్లేస్,Adenileat സൈക്ലെസ്
అంటుకునే శక్తి,പശ ശക്തി
అడిపేట్,മുദവയ്ക്കുക
కొవ్వు పెండినవి,Adipocyte (FALE സെൽ)
కొవ్వు కణజాలము,അഡിപോസ് ടിഷ്യു
Adnate,ആരാധന
ప్రక్కనే ఉన్న సంఘం,സമീപ കമ്മ്യൂണിറ്റി
అడ్రినల్,അഡ്രീനല്
అడ్రినల్ గ్రంథి,അഡ്രീനൽ ഗ്രന്ഥി
ఎడ్రినల్ గ్రంథి,അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth)
ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్,അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth)
Adsorbent,ദുര്ധി പകര്
శోషణ,ദുര്ഗയോധം
అధునాతన కార్డేట్,വിപുലമായ കീടങ്ങൾ
