Marathi,Bengali
A B वर्ग अॅम्प्लीफायर,A B শ্রেণীর পরিবর্ধক
विकृती,বিকৃতি
असामान्य प्रसार,অস্বাভাবিক সংক্রমণ
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
गहाळ स्पेक्ट्रम,অনুপস্থিত বর্ণালী
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","পরম, পরম, ধ্রুবক, নিখুঁত"
परिपूर्ण आर्द्रता,পরম আর্দ্রতা
परिपूर्ण गती,পরম গতি
परिपूर्ण निरीक्षण,পরম পর্যবেক্ষণ
परिपूर्ण तापमान,পরম তাপমাত্রা
पूर्ण शून्य,পরম শূন্য
शोषून घेणे,শোষণ করা
"शोषक, शोषक","শোষক, শোষক"
शोषण क्षमता,শোষণ ক্ষমতা
शोषण,শোষণ
शोषक,শোষক
शोषकता,শোষণ
गुणोत्तर गुणोत्तर,বহুগুণ অনুপাত
गती वाढवणे,ত্বরান্বিত করা
घाई केली,তাড়াতাড়ি
प्रवेग,ত্বরণ
गुरुत्वाकर्षणाचा प्रवेग,অভিকর্ষের ত্বরণ
प्रवेगक,এক্সিলারেটর
प्रवेगक,এক্সিলারেটর
प्रवेगमापक,অ্যাক্সিলোমিটার
prestresser,prestresser
स्वीकार्य चाचणी,গ্রহণযোগ্য পরীক্ষা
स्वीकारणारा,গ্রহণকারী
दाता रेणू,দাতা অণু
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
प्रवेशयोग्यता,অ্যাক্সেসযোগ্যতা
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
प्रवेश वेळ,প্রবেশাধিকার সময়
अभ्यागत त्रुटी,ভিজিটর ত্রুটি
समायोजन,সমন্বয়
जमा,পুঞ্জীভূত
"जमा करणे, जमा करणे","accumulation, accumulation"
संचयक,সঞ্চয়কারী
अचूकता,সঠিকতা
वास्तव,বাস্তবতা
अॅक्रोमॅटिक लेन्स,অ্যাক্রোমেটিক লেন্স
अक्रोमॅटिक,অ্যাক্রোমেটিক
अक्रोमॅटिकता,বর্ণহীনতা
ध्वनिक,শাব্দিক
ध्वनीरोधक,শব্দরোধী
ध्वनिक फोनन,শাব্দিক ফোনন
ध्वनी युनिट,শব্দ ইউনিট
ध्वनिक,শাব্দিক
ध्वनी जनरेटर,শব্দ জেনারেটর
क्रिया आणि प्रतिक्रिया,কর্ম এবং প্রতিক্রিয়া
सक्रियकरण,সক্রিয়করণ
सक्रियता ऊर्जा,অ্যাক্টিভেশন শক্তি
"सक्रिय करणारा, सक्रिय करणारा","সক্রিয়কারী, সক্রিয়কারী"
सक्रिय,সক্রিয়
सक्रियता,সক্রিয়তা
वास्तविक ताण,প্রকৃত চাপ
कुजबुजणे,ফিসফিস
बेरीज करणे,যোগফল
"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)","যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)","সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
additive,সংযোজনকারী
आसंजन,আনুগত্য
चिकट ऊर्जा,আঠালো শক্তি
adiabat,adiabat
adiabatic,adiabatic
उष्णता इन्सुलेट,তাপ নিরোধক
संलग्नक,সংযুক্তি
बदलानुकारी,সামঞ্জস্যযোগ্য
प्रवेश,অনুপ্রবেশ
शोषण,শোষণ
पुढे,এগিয়ে
प्रगतीशील,প্রগতিশীল
"आकाशी, वायु (वि.), हवाई (सं.)","আকাশী, ভাইভা (v.), বায়বীয় (ed.)"
अँटेना प्रवाह,অ্যান্টেনা প্রবাহ
हवाई सर्वेक्षण,বায়বীয় জরিপ
हवेचा वेग,বায়ু বেগ
वायुगतिकीय गुणांक,এরোডাইনামিক সহগ
वायुगतिकीय,এরোডাইনামিক
वायुगतिकी,বায়ুগতিবিদ্যা
वैमानिक,বৈমানিক
वैमानिक,বৈমানিক
हवेची नाडी,বায়ু নাড়ি
"वातावरण, वायूमंडल","বায়ুমণ্ডল, গ্যাসোস্ফিয়ার"
फोकस सिस्टम,ফোকাস সিস্টেম
परत प्रज्वलन,পিছনে ইগনিশন
परत प्रकाश,পিছনের আলো
आघात,আঘাত
"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे","বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া"
वेळ प्रभावित,সময় প্রভাবিত
"वृद्धत्व, वृद्धत्व","বার্ধক্য, বার্ধক্য"
वेळेचा प्रभाव,সময়ের প্রভাব
वेळ प्रभाव चाचणी,সময় প্রভাব পরীক্ষা
गुरुत्वाकर्षणरहित,মাধ্যাকর্ষণহীন
समेट,পুনর্মিলন
"हवाई रडार, हवाई रडार","বায়ুবাহিত রাডার, বায়বীয় রাডার"
"हवाई लक्ष्य, हवाई लक्ष्य","বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য"
हवा श्वसन यंत्र,বায়ু শ্বাসযন্ত্র
वातानुकुलीत,এয়ার কন্ডিশনিং
विंडप्रूफ ट्रान्सफॉर्मर,এয়ারক্রু ট্রান্সফরমার
विमान,বিমান
संरेखन,প্রান্তিককরণ
संरेखन त्रुटी,প্রান্তিককরণ ত্রুটি
थेट सर्किट,লাইভ সার্কিট
पूर्ण काचेची ट्यूब,সম্পূর্ণ কাচের টিউব
संपूर्ण धातूची नळी,পুরো ধাতব টিউব
निराकरण,ঠিক করতে
"मिश्रातु (सं.), मिश्रत्व (क्र.)","মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)"
मिश्रत्व,mishratvan
सर्वव्यापी माध्यम,সর্বব্যাপী মাধ্যম
सर्व अँटेना,ওমনি অ্যান্টেনা
पंचांग,পঞ্জিকা
अल्फा,আলফা
अल्फा क्रियाकलाप,আলফা-ক্রিয়াকলাপ
अल्फान्यूमेरिक,আলফানিউমেরিক
अल्फा किरण,আলফা রশ্মি
बदला,পরিবর্তন
