English,Malayalam
Abaxial surface,നിബാക്സിയൽ ഉപരിതലം
Abdomen,അടിവയറ്
Abdominal aorta,വയറുവേദന അയോട്ടോ
Abdominal ganglia,വയറിലെ ഗാംഗ്ലിയ
Abelmoschus esculentus,Abelmoschus എസ്സുലന്റസ്
Aberration,വെറുക്കല്
Abies,അബി)
Abingdon tortoise,അബിങ്ഡൺ ആമ
Abiogenesis,അബിയോജെനിസിസ്
Abiotic,അബിയോട്ടിക്
Abiotic factor,അശുഭാപ്തി ഘടകം
Abnormal urine,അസാധാരണമായ മൂത്രം
ABO blood group,അബോ രക്തം ഗ്രൂപ്പ്
Abscisic acid,അബ്സിസിക് ആസിഡ്
Abscission,നിര്വഹണം
Absorb,ഉള്ക്കൊള്ളുക
Absorption peak,ആഗിരണം കൊടുമുടി
Absorption,ആഗിരണം
Acacia catechu,അക്കേഷ്യ കാറ്റെച്ചു
Acaria arabica,അക്കാര്യ അറബിക്ക
Acaprin,അകാപ്രിൻ
Acceptable sexual behaviour,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
Accessory gland,ആക്സസറി ഗ്രന്ഥി
Accessory gland,ആക്സസറി ഗ്രന്ഥി
Accessory organ,ആക്സസറി അവയവം
Acclimatization,ACCLIMATIES
Acclimatize,അക്ലിമിലൈസ്
Accommodation (focusing),താമസം (ഫോക്കസിംഗ്)
Accommodation of eye,കണ്ണിന്റെ താമസം
Accretionary growth,പ്രകടിപ്പിക്കുന്ന വളർച്ച
Accumulation,കൂന്വാരം
Accumulation of organic matter,ജൈവവസ്തുക്കളുടെ ശേഖരണം
Accumulation of soil,മണ്ണിന്റെ ശേഖരണം
Acellular,അസെലുലാർ
Acellular organism,അസെല്ലുലാർ ജീവികൾ
Acetabulum,Aecetabulum
Acetaldehyde,അസെറ്റൽഡിഹൈഡ്
Acetyl coenzyme,അസെറ്റി കൊവെൻസിഎംഇ
Achatina,അച്ചാതിന
Achene type,നെച്ചെൻ തരം
Achene,അച്ചീൻ
Achlamydosporeae,ആൾമെംഡിഡോസ്പോര്പോറിയ
Acid rain,അമ്ല മഴ
Acidic,അസിഡിറ്റി
Acidic gas,അസിഡിറ്റിക് വാതകം
Acidity,അസിഡിറ്റി
Acinar cell,അക്കിനാർ സെൽ
Acoelomate,അക്കോമോമോമറ്റ്
Aconitum,അക്കോണിറ്റം
Acorn worm,ആക്രമണാത്മക പുഴു
Acoustic zoning,അക്കോസ്റ്റിക് സോണിംഗ്
Acquired character,സ്വന്തമാക്കിയ പ്രതീകം
Acquired immunity,പ്രതിരോധശേഷി നേടി
Acquired immuno deficiency syndrome (AIDS),ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
Acrania,അങ്കാരിയ
Acridine dye,അക്രിക്കൈൻ ഡൈ
Acrocentric,അക്രോസെന്റ്
