Odiya,Marathi
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,वेस्टमिन्स्टरचे मठाधीश
ଅବକ୍ଷୟ,निषिद्ध
ଦାସତ୍ୱ ରଦ୍ଦ,गुलामगिरीचे उच्चाटन
ଆଦିବାସୀ,आदिवासी
ଅବ୍ରହାମ ଏରା,अब्राहम युग
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,अनुपस्थित जमीनदार
ଏକାଡେମୀ |,अकादमी
ଆକ୍ରା ସମ୍ମିଳନୀ |,अक्रा परिषद
ଆକ୍ରୁଏଲ୍ |,जमा
ଆକଲଚ୍ୟୁଚର୍,संवर्धन
ଆକେଲଡାମା |,एसेलडामा
ଆଖିଆନ୍ (= ଆଚିଆନ୍),आचियन (=अचियन)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),आचियन लीग (=अचियन लीग)
ଆକ୍ରୋପଲିସ୍ |,एक्रोपोलिस
ଆକ୍ଟା ଡିଆର୍ନା |,Acta Diurna
ଆକ୍ଟା ସେନାଟସ୍ |,Acta Senatus
ଆକ୍ଟ ଆଡେଲ୍ |,ऍक्ट अॅडिशनल
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,प्राप्तकर्त्याची कृती
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,नुकसानभरपाई आणि विस्मरणाचा कायदा
ସମାଧାନ ନିୟମ,सेटलमेंटचा कायदा
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,जाहिरात करार सील
ଆଡୁଲାମାଇଟ୍ସ |,अदुल्लामाइट्स
ଶତ୍ରୁ,विरोधक
ଶତ୍ରୁ,विरोधक
ଆଓନ୍,एऑन
ଏରାରିୟମ୍ |,एरेरियम
ବାୟୁ ଯୁଦ୍ଧ |,हवाई युद्ध
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,एटोलियन लीग
ବୟସ,वय
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),वृद्धत्व (=वृद्धत्व)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,वृद्धत्व प्रक्रिया
ଆଗେଲାଇ |,अगेलाय
Ival ିଭାଲିର ବୟସ |,पराक्रमाचे वय
ଜ୍ଞାନର ବୟସ |,ज्ञानाचे वय
ପେରିକଲ୍ସର ବୟସ |,पेरिकल्सचे वय
କାରଣର ବୟସ |,कारण वय
କୃଷିବାଦ,कृषीवाद
କୃଷି ଆନ୍ଦୋଳନ |,कृषी चळवळ
ଆଲବିଅନ୍ |,अल्बिओन
ଆଲବମ୍,अल्बम
ଆଲଡରମ୍ୟାନ୍ |,अल्डरमन
ଭ୍ରାନ୍ତ ବାହୁ |,मोहक हात
ବନ୍ଧୁତା,मैत्री
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,एम्फेक्टियोनिक परिषद
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,एम्फेक्टियोनिक लीग
ଆମ୍ଫିଥେଟର,अॅम्फिथिएटर
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),अमरी नल गट (मातीचा)
ଆନାକ୍ରୋନିଜିମ୍ |,अनाक्रोनिझम
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,अनाक्रोनिस्टिक
ପୂର୍ବପୁରୁଷ,पूर्वज
ପୂର୍ବପୁରୁଷ ପୂଜା |,पूर्वजांची पूजा
ପିତୃପୁରୁଷ,वंशपरंपरा
ପିତୃପୁରୁଷ,वंशपरंपरा
ପିତୃପୁରୁଷ,वंशपरंपरा
ପିତୃପୁରୁଷ,वंशपरंपरा
ପ୍ରାଚୀନ ଶାସନ,प्राचीन राजवट
ପ୍ରାଚୀନ,प्राचीन
ପ୍ରାଚୀନ ବାଲାଡ୍ |,प्राचीन बालगीत
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,प्राचीन श्रद्धा
ପ୍ରାଚୀନ ପ୍ରଥା,प्राचीन प्रथा
ପ୍ରାଚୀନ ଇତିହାସ,प्राचीन इतिहास
ପ୍ରାଚୀନ ସ୍ମାରକୀ,प्राचीन स्मारके
ଉପନ୍ୟାସ,किस्सा
ଆଞ୍ଜେଲଟ୍ |,अँजेलोट
ଆଞ୍ଜେଲସ୍ |,एंजलस
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),अँजेविन (=अंजेविन)
କୋଣ,कोन
ଅଙ୍ଗଲିକାନ୍ |,अँग्लिकन
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,अँग्लिकन कम्युनियन
ଅଙ୍ଗଲିକାନିଜିମ୍ |,अँग्लिकनवाद
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,अँग्लो-फोब
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,अँग्लो-फोबिया
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,अँग्लो-सॅक्सन
