English,Malayalam
abacus,അബാക്കസ്
abnormal termination,അസാധാരണമായ അവസാനിപ്പിക്കൽ
abort,ഉപേക്ഷിക്കുക
absolute,കേവല
absolute address,സമ്പൂർണ്ണ വിലാസം
absolute addressing,സമ്പൂർണ്ണ അഭിസംബോധന
absolute assembler,കേവല അസംബ്ലർ
absolute code,കേവല കോഡ്
absolute command,സമ്പൂർണ്ണ കമാൻഡ്
absolute data,സമ്പൂർണ്ണ ഡാറ്റ
absolute instruction,സമ്പൂർണ്ണ നിർദ്ദേശം
absolute mode,കേവല മോഡ്
absolute path,കേവല പാത
absolute programming,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
abstract class,അമൂർത്ത ക്ലാസ്
abstract data type,അമൂർത്ത ഡാറ്റ തരം
abstract machine,അമൂർത്ത യന്ത്രം
abstract symbol,അമൂർത്ത ചിഹ്നം
abstract syntax,അമൂർത്തമായ വാക്യഘടന
acceptance testing,സ്വീകാര്യത പരിശോധന
access authentication,ആക്സസ് പ്രാമാണീകരണം
access code,പ്രവേശന കോഡ്
access control,പ്രവേശന നിയന്ത്രണം
access scan,ആക്സസ് സ്കാൻ
accessory,ഉപസാധനം
account,അക്കൗണ്ട്
account ID,അക്കൗണ്ട് ID
accumulator,ശേഖരണം
accuracy,കൃത്യത
acess,പ്രവേശനം
acess control byte,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
acess index,പ്രവേശന സൂചിക
acess key,ആക്സസ് കീ
acess matrix,ആക്സസ് മാട്രിക്സ്
acess mode,ആക്സസ് മോഡ്
acess privilege,ആക്സസ് പ്രിവിലേജ്
acess security,ആക്സസ് സുരക്ഷ
acess server,ആക്സസ് സെർവർ
acess time,പ്രവേശന സമയം
acknowledgement,അംഗീകാരം
acoustics,ശബ്ദശാസ്ത്രം
acronym,സംക്ഷേപം
action message,പ്രവർത്തന സന്ദേശം
activation,സജീവമാക്കൽ
active server page (ASP),സജീവ സെർവർ പേജ് (ASP)
active version,സജീവ പതിപ്പ്
acyclic,അസൈക്ലിക്
acyclic graph,അസൈക്ലിക് ഗ്രാഫ്
Ada language,അഡാ ഭാഷ
adapter,അഡാപ്റ്റർ
add,ചേർക്കുക
add file,ഫയൽ ചേർക്കുക
add operation,പ്രവർത്തനം ചേർക്കുക
adder,ചേർക്കുന്നയാൾ
address,വിലാസം
address bus,വിലാസം ബസ്
address file,വിലാസ ഫയൽ
address format,വിലാസ ഫോർമാറ്റ്
address generator,വിലാസ ജനറേറ്റർ
address line,വിലാസ ലൈൻ
address mapping,വിലാസ മാപ്പിംഗ്
address pointer,വിലാസ സൂചിക
address register,വിലാസ രജിസ്റ്റർ
address resolution,വിലാസം റെസലൂഷൻ
address translation,വിലാസ വിവർത്തനം
addressed memory,അഭിസംബോധന ചെയ്ത മെമ്മറി
addressing,അഭിസംബോധന
adequacy criteria,പര്യാപ്തത മാനദണ്ഡം
adjoint,അനുബന്ധം
administration,ഭരണകൂടം
administrator,കാര്യനിർവാഹകൻ
adobe acrobat,അഡോബ് അക്രോബാറ്റ്
adobe photoshop,അഡോബ് ഫോട്ടോഷോപ്പ്
Advance Business Application Programming (ABAP),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
advanced data,വിപുലമായ ഡാറ്റ
advanced information system,വിപുലമായ വിവര സംവിധാനം
advanced technology (AT),നൂതന സാങ്കേതികവിദ്യ (AT)
agent,ഏജന്റ്
aggregation,സമാഹരണം
airborne computer system,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus page maker,ആൽഡസ് പേജ് മേക്കർ
alert box,മുന്നറിയിപ്പ് ബോക്സ്
algol,ആൽഗോൾ
algorithm,അൽഗോരിതം
algorithm analysis,അൽഗോരിതം വിശകലനം
algorithm efficiency,അൽഗോരിതം കാര്യക്ഷമത
alias,അപരനാമം
alignment,വിന്യാസം
allocation,വിഹിതം
alphabetic,അക്ഷരമാലാക്രമം
alphanumeric,ആൽഫാന്യൂമെറിക്
alphanumeric key board,ആൽഫാന്യൂമെറിക് കീ ബോർഡ്
alpha-test,ആൽഫ-ടെസ്റ്റ്
alpha-version,ആൽഫ പതിപ്പ്
alt key,alt കീ
altavista,അൾട്ടാവിസ്റ്റ
ambiguity,അവ്യക്തത
ambiguous grammar,അവ്യക്തമായ വ്യാകരണം
American National Standards Institute (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
American Standard Code For Information Interchange (ASCII),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII)
analog,അനലോഗ്
analog computer,അനലോഗ് കമ്പ്യൂട്ടർ
analog device,അനലോഗ് ഉപകരണം
analog modem,അനലോഗ് മോഡം
Analog To Digital Converter (ADC),അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC)
AND,ഒപ്പം
AND circuit,കൂടാതെ സർക്യൂട്ട്
AND gate,ഒപ്പം ഗേറ്റും
AND not operation (Exclusion),കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ)
animation,ആനിമേഷൻ
annotation,വ്യാഖ്യാനം
anomaly,അപാകത
antecedent,മുൻഗാമി
anticipatory paging,മുൻകൂർ പേജിംഗ്
anti-symmetric,വിരുദ്ധ സമമിതി
antivirus program,ആന്റിവൈറസ് പ്രോഗ്രാം
applet,ആപ്ലെറ്റ്
application developer,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
application programming,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
application programming interface (API),ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)
application software,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
applicative language,ബാധകമായ ഭാഷ
approximation theory,ഏകദേശ സിദ്ധാന്തം
architecture,വാസ്തുവിദ്യ
area transfer,ഏരിയ കൈമാറ്റം
argument,വാദം
