Odiya,English
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,Abelian group
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,abelian semigroup
abscissa,abscissa
ସଂପୂର୍ଣ୍ଣ,absolute
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,absolute convergence
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,absolute error
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,absolute maximum
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,absolute minimum
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,absolute value
ସଂପୂର୍ଣ୍ଣ ବେଗ,absolute velocity
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,abstract algebra
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,abstract group theory
ତ୍ୱରଣ,acceleration
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,acceleration due to gravity
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,acceptable choice set
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,acceptable quality level
ଗ୍ରହଣୀୟ ପରିସର |,acceptable range
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,acceptable reliability level
ଗ୍ରହଣୀୟ ନମୁନା,acceptable sampling
ସଂଗୃହିତ ତ୍ରୁଟି |,accumulated error
ସଠିକତା,accuracy
ଅଭିନୟ ଶକ୍ତି,acting force
କାର୍ଯ୍ୟ,action
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,action and reaction
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,acturial science
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,acute angled triangle
acyclic,acyclic
ଯୋଡନ୍ତୁ |,add
ଆଡର୍,adder
ଯୋଗ,addition
ଯୋଗ ସୂତ୍ର,addition formula
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |,addition of complex numbers
କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ,addition of functions
ମାଟ୍ରିକ୍ସର ଯୋଗ,addition of matrices
ବହୁଭାଷୀ ଯୋଗ |,addition of polynomials
ସମ୍ଭାବ୍ୟତାର ଯୋଗ |,addition of probabilities
ଭେକ୍ଟର ଯୋଗ,addition of vectors
ଯୋଗ ତତ୍ତ୍ୱ,addition theorem
ଯୋଗୀ ଗୋଷ୍ଠୀ |,additive group
ଯୋଗୀ ଓଲଟା |,additive inverse
ଯୋଗୀ ସମ୍ପତ୍ତି |,additive property
ଯୋଗୀତା |,additivity
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,adjacency matrix
ସଂଲଗ୍ନ,adjacent
ସଂଲଗ୍ନ କୋଣ,adjacent angles
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,adjacent vertex
ସଂଲଗ୍ନ,adjoin
ସଂଲଗ୍ନ,adjoining
ନିର୍ଣ୍ଣୟକାରୀ,adjoint determinant
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,adjoint differential equation
ସମୀକରଣ,adjoint equation
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,adjoint matrix
ମାଟ୍ରିକ୍ସର ଯୋଗ,adjoint of matrix
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,adjugate matrix
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,admissible decision function
ଗ୍ରହଣୀୟ ଅନୁମାନ,admissible hypothesis
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,aerodynamic force
ଏରୋଡାଇନାମିକ୍ସ |,aerodynamics
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,affine geometry
ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |,affine mapping
ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |,affine transformation
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,aggregating variables
ବୀଜ ବିବେଚନା,algebra
ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |,algebraically closed
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,algebraic equation
ବୀଜ ବର୍ଣ୍ଣନା,algebraic expression
ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |,algebraic form
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,algebraic function
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,algebraic geometry
ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |,algebraic multiplicity
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,algebraic system
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,all-integer problem
ବଣ୍ଟନ ସମସ୍ୟା,allocation problem
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,alphabetical notation
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,alphabetic character
ବିକଳ୍ପ କୋଣ,alternate angle
ବିକଳ୍ପ ଫର୍ମ |,alternating form
ବିକଳ୍ପ ଗୋଷ୍ଠୀ,alternating group
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,alternating matrix
ବିକଳ୍ପ କ୍ରମ |,alternating series
ବିକଳ୍ପ ଅନୁମାନ,alternative hypothesis
ବିକଳ୍ପ ଅପ୍ଟିମା |,alternative optima
ବିକଳ୍ପ ଫଳାଫଳ |,alternative outcome
ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |,analog-to-digital converter
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,analogue computer
ବିଶ୍ଳେଷଣ |,analysis
କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |,analysis of covariance
ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,analysis of enumeration data
ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |,analysis of variance
ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |,analytic geometry
ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ,analytic function
କୋଣ,angle
ଯୋଗାଯୋଗ କୋଣ,angle of contact
ବିଘ୍ନର କୋଣ |,angle of deflection
ଉଦାସୀନତାର କୋଣ,angle of depression
ବିଘ୍ନର କୋଣ |,angle of deviation
ବିଭାଜନର କୋଣ |,angle of diffraction
ଉଚ୍ଚତାର କୋଣ,angle of elevation
ଘଟଣାର କୋଣ,angle of incidence
ପ୍ରୋଜେକ୍ଟର କୋଣ,angle of projection
ପ୍ରତିଫଳନ କୋଣ,angle of reflection
ପ୍ରତିଫଳନ କୋଣ,angle of refraction
ଘୂର୍ଣ୍ଣନ କୋଣ,angle of rotation
ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |,angle of total reflection
କୋଣାର୍କ ତ୍ୱରଣ |,angular acceleration
କୋଣାର୍କ ଗତି |,angular motion
କୋଣାର୍କ ଗତି,angular speed
କୋଣାର୍କ ବେଗ |,angular velocity
annulus,annulus
ଉତ୍ତର ଦିଅ,answer
ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |,anti – derivative
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,antisymmetric function
ପ୍ରଯୁଜ୍ୟ |,applicable
ପ୍ରୟୋଗ,application
ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |,applied dynamic programming
