Odiya,Kannada
ଆବାକସ୍ |,ಅಬ್ಯಾಕಸ್
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,ಅಸಹಜ ಮುಕ್ತಾಯ
ପରିତ୍ୟାଗ,ಸ್ಥಗಿತಗೊಳಿಸು
ସଂପୂର୍ଣ୍ଣ,ಸಂಪೂರ್ಣ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,ಸಂಪೂರ್ಣ ಕೋಡ್
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,ಸಂಪೂರ್ಣ ಡೇಟಾ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,ಸಂಪೂರ್ಣ ಮೋಡ್
ସଂପୂର୍ଣ୍ଣ ପଥ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,ಅಮೂರ್ತ ವರ್ಗ
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
ବିସ୍ତୃତ ମେସିନ୍ |,ಅಮೂರ್ತ ಯಂತ್ರ
ବିସ୍ତୃତ ପ୍ରତୀକ |,ಅಮೂರ್ತ ಚಿಹ್ನೆ
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
ଗ୍ରହଣ ପରୀକ୍ଷା,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
