English,Bengali
Aborted organ,বাতিল অঙ্গ
Aborted seed,বাতিল বীজ
Abortion,গর্ভপাত
Absolute weed,পরম আগাছা
Absorbed cation,শোষিত কেশন
Absorption,শোষণ
Abyssinian mustard,অ্যাবিসিনিয়ান সরিষা
Acaricide,অ্যাকারিসাইড
Accentric,অ্যাকসেন্ট্রিক
Accentuate (cell),উচ্চারণ (সেল)
Accepted tolerance,স্বীকৃত সহনশীলতা
Accessory,আনুষঙ্গিক
Acclimatization,প্রশংসাপত্র
Accumulation,জমা
Accuracy,সঠিকতা
Acervulus,এসারভুলাস
Acetification,অ্যাসিটিফিকেশন
Acidification,অ্যাসিডিফিকেশন
Acidimeter,অ্যাসিডিমিটার
Acidity,অম্লতা
Acidophilic,অ্যাসিডোফিলিক
Acidulated rock phosphate,অ্যাসিডুলেটেড রক ফসফেট
Aciduric,অ্যাসিডুরিক
Aquifer,জলজ
Acquisition,অধিগ্রহণ
Acre,একর
Acreage,জমি
Acrocentric chromosome,অ্যাক্রোসেন্ট্রিক ক্রোমোজোম
Acropetal,অ্যাক্রোপেটাল
Acrosome,অ্যাক্রোসোম
Actinomycetes,অ্যাক্টিনোমাইসেটস
Active root zone,সক্রিয় মূল অঞ্চল
Acute,তীব্র
Adaptability,অভিযোজনযোগ্যতা
Adaptation,অভিযোজন
Adhesion,আঠালো
Adipose,অ্যাডিপোজ
Adjustment equation,সামঞ্জস্য সমীকরণ
Adobe soil,অ্যাডোব মাটি
Adulterant,ভেজাল
Adventitious,অ্যাডভেটিয়াস
Aecidiospore,আইসিডিওস্পোর
Aeolian process,আইওলিয়ান প্রক্রিয়া
Aeolian,আইওলিয়ান
Aerate,এয়ারেট
Aerial,এরিয়াল
Aerometer,এয়ারোমিটার
Aerosol,অ্যারোসোল
Aestivation,এ্যাস্টিভেশন
Aetiology (etiology),এটিওলজি (এটিওলজি)
Afforestation,Afforastation
Agitation,আন্দোলন
Agmark,অ্যাগমার্ক
Agrarian,কৃষি
Agricultural clinic,কৃষি ক্লিনিক
Agricultural labour,কৃষি শ্রম
Agricultural marketing,কৃষি বিপণন
Agricultural technology,কৃষি প্রযুক্তি
Agriculture,কৃষি
Agrisilviculture,এগ্রিসিলভিকালচার
Agrobiodiversity,কৃষি
Agrobiological defects,অ্যাগ্রোবায়োলজিকাল ত্রুটিগুলি
Agrobiology,অ্যাগ্রোবায়োলজি
Agroclimatic diversity,অ্যাগ্রোক্লিম্যাটিক বৈচিত্র্য
Agroclimatic zoning,অ্যাগ্রোক্লিম্যাটিক জোনিং
Agroforestry,কৃষি
Agrology,কৃষিবিদ
Agronomy,কৃষি
Agropastoral,অ্যাগ্রোপাস্টোরাল
Agroprocessing,কৃষি
Agrostology,অ্যাগ্রোস্টোলজি
Agrotype,এগ্রোটাইপ
Air plant,এয়ার প্ল্যান্ট
Akiochi soil,আকিওচি মাটি
Albinism,অ্যালবিনিজম
Alfisols,আলফিসোলস
Algae,শৈবাল
Algal disease,অ্যালগাল ডিজিজ
Alkali water,ক্ষার জল
Alkaline,ক্ষারীয়
Allele,অ্যালিল
Allelochemicals,অ্যালিলোকেমিক্যালস
Allelomorph,Allelomorph
Allelopathy,অ্যালোলোপ্যাথি
Alley cropping,অলি ক্রপিং
Allocarpy,বরাদ্দ
Allogamy,অ্যালোগ্যামি
Allometry,অ্যালোমেট্রি
Allopolyploid,অ্যালোপলিপ্লয়েড
Allosynapsis (allosyndesis),Allosynapsis (allosyndesis)
Alternate bearing,বিকল্প ভারবহন
Alternate land use,বিকল্প জমি ব্যবহার
Ambient,পরিবেষ্টিত
Ameliorant,অ্যামেলিয়োর্যান্ট
Amitosis,অ্যামিটোসিস
Amminization,গোলাবারুদ
Ammonification,অ্যামোনিফিকেশন
Ammonifier,অ্যামোনিফায়ার
Amorph,অ্যামর্ফ
Amphimixis,অ্যাম্ফিমিক্সিস
Amphoteric,এমফোটেরিক
Anabolism,অ্যানাবোলিজম
Anaerobe,অ্যানেরোব
Aneuploid,অ্যানিউপ্লয়েড
Angle planting,কোণ রোপণ
Animal husbandry,পশুপালন
Animal refuse,প্রাণী প্রত্যাখ্যান
Animate energy,অ্যানিমেট শক্তি
Anisoploid,অ্যানিসোপ্লয়েড
Annual plant,বার্ষিক উদ্ভিদ
Annual,বার্ষিক
Anthesis,অ্যান্থেসিস
Anthrax,অ্যানথ্রাক্স
Anthropogenic factor,অ্যানথ্রোপোজেনিক ফ্যাক্টর
Antibiosis,অ্যান্টিবায়োসিস
Antibiotic,অ্যান্টিবায়োটিক
Antidote,প্রতিষেধক
Antioxidants,অ্যান্টিঅক্সিডেন্টস
Antitoxin,অ্যান্টিটক্সিন
Annulus,অ্যানুলাস
Aphid,এফিড
Apical bud,অ্যাপিকাল কুঁড়ি
Apical dominance,অ্যাপিকাল আধিপত্য
Apiculture (bee keeping),এপিক্যালচার (মৌমাছি পালন)
Apomixis,অ্যাপোমিক্সিস
Apoptosis,অ্যাপোপটোসিস
Appendage,সংযোজন
Appetizer,ক্ষুধার্ত
Applied,প্রয়োগ
Aquatic weed,জলজ আগাছা
Arboreal,আরবোরিয়াল
Arborization,আর্বোরাইজেশন
Archaeo-botanical records,আর্কিও-বোটানিকাল রেকর্ডস
Area statistics,অঞ্চল পরিসংখ্যান
Area,অঞ্চল
Arid ecosystem,শুকনো বাস্তুতন্ত্র
Aril,আরিল
Aroma,সুগন্ধ
Aromatic plant,সুগন্ধযুক্ত উদ্ভিদ
Aromatic rice,সুগন্ধযুক্ত চাল
Arrowing,তীর
Asepsis,Asepsis
Aseptic,অ্যাসেপটিক
Asexual propagation,অ্যাসেক্সুয়াল প্রচার
Assay,অ্যাস
Assets,সম্পদ
Assimilation,সংমিশ্রণ
Association,সংঘ
Astringent,জ্যোতিষী
Asynapsis,অ্যাসিনাপসিস
Atavism,Atavism
Atomizer,Atomizer
Atrophy,অ্যাট্রোফি
Autogamy,অটোগামি
Autolysis,অটোলাইসিস
Autoxidation,অটোক্সিডেশন
Autopolyploid,অটোপলিপ্লয়েড
Auxins,অক্সিনস
Awn (bristle),এডাব্লুএন (ব্রিজল)
Almond,বাদাম
Aloe,অ্যালো
Amaranthus,অমরান্থাস
Ammi,আম্মি
Anjan grass,অঞ্জান ঘাস
Anthurium,অ্যান্থুরিয়াম
"Aonla, Indian gooseberry","অোনলা, ভারতীয় গুজবেরি"
Apple,অ্যাপল
Apricot,এপ্রিকট
Arbian jasmine,আরবিয়ান জেসমিন
Areca nut,সুপারি বাদাম
Arjun,অর্জুন
Asfoetida,Asfoetida
Ash gourd,অ্যাশ লাউ
Ashoka tree,অশোক গাছ
Ashthma weed (euphorbia),আশ্থমা আগাছা (ইউফোর্বিয়া)
Asparagus,অ্যাস্পারাগাস
Avocado,অ্যাভোকাডো
Alfalfa (lucerne),আলফালফা (লুসার্ন)
Ants,পিঁপড়া
Aphids,এফিডস
Army worm,সেনা কৃমি
Agricultural economist,কৃষি অর্থনীতিবিদ
Agricultural extensionist,কৃষি এক্সটেনশনিস্ট
Agricultural scientist,কৃষি বিজ্ঞানী
Agriculture engineer,কৃষি প্রকৌশলী
Agrobiologist,অ্যাগ্রোবায়োলজিস্ট
Agronomist,কৃষিবিদ
Agrophysicst,অ্যাগ্রোফিজিসট
Animal breeder,প্রাণী ব্রিডার
Bacillus virus,ব্যাসিলাস ভাইরাস
Bacillus,ব্যাসিলাস
Bacteria,ব্যাকটিরিয়া
Bacteriotoxin,ব্যাকটিরিওক্সিন
Bagasse,ব্যাগাস
Balance sheet,ব্যালেন্স শীট
Balanced fertilization,ভারসাম্যহীন নিষেক
Bar diagram,বার ডায়াগ্রাম
Bark,বাকল
Barometer,ব্যারোমিটার
Barren,বন্ধ্যা
Base,বেস
Basin,বেসিন
Basipetal,বেসিপেটাল
Basisternum,বেসস্টারনাম
Bay monsoon,উপসাগর
Bearing plant,বিয়ারিং প্ল্যান্ট
Bed,বিছানা
Bedder,বেডার
Bedding,বিছানাপত্র
Beet molasses,বীট গুড়
Bellows,বেলো
Belt,বেল্ট
Benefit-cost analysis,বেনিফিট-ব্যয় বিশ্লেষণ
Biased (sampling),পক্ষপাতদুষ্ট (নমুনা)
Biennial,দ্বিবার্ষিক
Binomial,দ্বিপদী
Bioagent,বায়োএজেন্ট
Bioclimate,বায়োক্লিমেট
Bioenergy,বায়োনারজি
Bionomics,বায়োনমিক্স
Bioreactor,বায়োরিয়্যাক্টর
Biosphere,বায়োস্ফিয়ার
Biotic,বায়োটিক
Biotype,বায়োটাইপ
Bisexual,উভকামী
Blanching,ব্লাঞ্চিং
Blast,বিস্ফোরণ
Blend,মিশ্রণ
Blight,ব্লাইট
Blister,ফোস্কা
Blue revolution,নীল বিপ্লব
Bottom heat chamber,নীচে তাপ চেম্বার
Bottom heat technique,নীচে তাপ কৌশল
Bran,ব্রান
Branching,শাখা
Branchlet,শাখা
Breed,প্রজনন
Breeding,প্রজনন
Brimming,Brimming
Brood,ব্রুড
Budding,উদীয়মান
Budget,বাজেট
Buffer,বাফার
Bulb,বাল্ব
Bunt,বুট
By-product,উপজাত
