Tamil,Marathi
ஏசி சமமான சுற்று,एसी समतुल्य सर्किट
எண் மாற்றிக்கு ஒப்புமை,एनालॉग ते अंकीय कनवर्टर
முழுமையான பூஜ்ஜியம்,पूर्ण शून्य
உறிஞ்சுதல் குணகம்,शोषण गुणांक
உறிஞ்சுதல் நிறமாலை,शोषण स्पेक्ट्रम
ஏற்பி அணு,रिसेप्टर अणू
மாற்று மின்னோட்ட இணைப்பு,पर्यायी वर्तमान जोडणी
எலக்ட்ரான் அறுவடை,इलेक्ट्रॉन कापणी
துளை சேமிப்பு,भोक संचयन
செயல்படுத்தும் ஆற்றல்,सक्रियता ऊर्जा
செயலில் பெருக்கி,सक्रिय अॅम्प्लीफायर
செயலில் உள்ள டையோடு சுற்று,सक्रिय डायोड सर्किट
செயலில் வடிகட்டி,सक्रिय फिल्टर
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,सक्रिय उच्च वारंवारता पर्केट फिल्टर
செயலில் சுமை,सक्रिय भार
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,सक्रिय कमी वारंवारता पार्स फिल्टर
செயலில் உள்ள பகுதி,सक्रिय क्षेत्र
தகவமைப்பு மின்னணுவியல்,अनुकूली इलेक्ट्रॉनिक्स
சேர்ப்பான்,जोडणारा
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,समायोज्य बँड विस्तार
ஊடுருவல்,प्रवेश
ஏரியல்,एरियल
பெப் அதிர்வெண்,pep वारंवारता
காற்றுச்சீரமைப்பி,एअर कंडिशनर
சீரமைப்பு,संरेखन
அல்காரிதம்,अल्गोरिदम
அனைத்து பாஸ் வடிகட்டி,सर्व पास फिल्टर
அலாய் சந்திப்பு,मिश्र धातु जंक्शन
தணிவு,क्षीणन
மாறுதிசை மின்னோட்டம்,पर्यायी प्रवाह
சுற்றுப்புற வெப்பநிலை,वातावरणीय तापमान
இருமுனை,द्विध्रुवीय
பெருக்கம்,प्रवर्धन
பெருக்கி,अॅम्प्लिफायर
பெருக்கி செயல்திறன்,एम्पलीफायर कार्यक्षमता
பரிமாணங்கள்,परिमाण
