Telugu,Tamil
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,வெஸ்ட்மின்ஸ்டர் அபே
పదవీ విరమణ,துறவு
బానిసత్వ నిర్మూలన,அடிமைத்தனத்தை ஒழித்தல்
ఆదివాసి,பழங்குடியினர்
అబ్రహం యుగం,ஆபிரகாம் சகாப்தம்
గైర్హాజరు భూస్వాములు,இல்லாத நில உரிமையாளர்கள்
అకాడమీ,கலைக்கூடம்
అక్ర సమావేశం,அக்ரா மாநாடு
సంపాదన,திரட்டல்கள்
సంస్కారము,வளர்ப்பு
అసెల్డామా,அசெல்டாமா
అచెయన్ (=అచియన్),அச்சேயன் (=ஆச்சியன்)
అచీయన్ లీగ్ (=అచియన్ లీగ్),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
అక్రోపోలిస్,அக்ரோபோலிஸ்
ఆక్టా డియుర్నా,ஆக்டா டைர்னா
ఆక్టా సెనాటస్,ஆக்டா செனடஸ்
యాక్టే అడిషనల్,Acte Additionel
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
సాధించేవారి చర్య,அடையும் செயல்
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,இழப்பீடு மற்றும் மறதியின் செயல்
సెటిల్మెంట్ చట్టం,தீர்வு சட்டம்
ప్రకటన ఒప్పంద ముద్ర,விளம்பர ஒப்பந்த முத்திரை
అడుల్లామైట్స్,அதுலமைட்டுகள்
విరోధి,எதிரி
విరోధి,எதிரி
అయాన్,ஏயோன்
ఏరోరియం,ஏரேரியம்
వైమానిక యుద్ధం,வான்வழிப் போர்
ఏటోలియన్ లీగ్,ஏட்டோலியன் லீக்
వయస్సు,வயது
వృద్ధాప్యం (=వృద్ధాప్యం),முதுமை (=வயதான)
వృద్ధాప్య ప్రక్రియ,வயதான செயல்முறை
అగెలై,அகெலாய்
శౌర్య యుగం,வீரத்தின் வயது
జ్ఞానోదయం వయస్సు,அறிவாற்றல் வயது
పెరికిల్స్ వయస్సు,பெரிக்கிள்ஸ் வயது
కారణం వయస్సు,பகுத்தறிவு வயது
వ్యవసాయం,விவசாயம்
వ్యవసాయ ఉద్యమం,விவசாய இயக்கம்
అల్బియాన్,அல்பியன்
ఆల్బమ్,ஆல்பம்
ఆల్డర్మాన్,ஆல்டர்மேன்
అల్లుడు చేతులు,கவர்ச்சியான ஆயுதங்கள்
సఖ్యత,அமிட்டி
యాంఫిక్యోనిక్ కౌన్సిల్,ஆம்ஃபிக்டியோனிக் கவுன்சில்
యాంఫిక్యోనిక్ లీగ్,ஆம்ஃபிக்டியோனிக் லீக்
యాంఫీ థియేటర్,ஆம்பிதியேட்டர்
అమ్రి నల్ గ్రూప్ (కుండల),அம்ரி நல் குழு (மட்பாண்டங்கள்)
అనాక్రోనిజం,அனாக்ரோனிசம்
అనాక్రోనిస్టిక్,காலமற்ற
పూర్వీకుడు,மூதாதையர்
పూర్వీకుల ఆరాధన,முன்னோர் வழிபாடு
పూర్వీకులు,பரம்பரை
పూర్వీకులు,பரம்பரை
పూర్వీకులు,பரம்பரை
పూర్వీకులు,பரம்பரை
ప్రాచీన పాలన,பண்டைய ஆட்சி
ప్రాచీన,பண்டைய
పురాతన బల్లాడ్,பழங்கால பாலாட்
పురాతన నమ్మకం,பண்டைய நம்பிக்கை
ప్రాచీన ఆచారం,பண்டைய வழக்கம்
పురాతన చరిత్ర,பண்டைய வரலாறு
పురాతన స్మారక చిహ్నాలు,பழங்கால நினைவுச்சின்னங்கள்
ఉదంతము,சிறுகதை
ఏంజెలోట్,ஏஞ்சலோட்
ఏంజెలస్,ஏஞ்சலஸ்
అంజివిన్ (=అంజెవిన్),ஆஞ்செவின் (=அஞ்செவின்)
కోణాలు,கோணங்கள்
ఆంగ్లికన్,ஆங்கிலிகன்
ఆంగ్లికన్ కమ్యూనియన్,ஆங்கிலிகன் ஒற்றுமை
ఆంగ్లికనిజం,ஆங்கிலிக்கனிசம்
ఆంగ్లో-ఫోబ్,ஆங்கிலோ-போப்
ఆంగ్లో-ఫోబియా,ஆங்கிலோ-ஃபோபியா
ఆంగ్లో-సాక్సన్,ஆங்கிலோ-சாக்சன்
ఆంగ్లో-సాక్సోనిజం,ஆங்கிலோ-சாக்சோனிசம்
అన్నలిస్ట్,அன்னாலிஸ்ட்
అన్నల్స్,அன்னல்
అనుబంధం,இணைப்பு
యాంటీ-బెల్లం,ஆன்டி-பெல்லம்
ముందు తేదీ,முன் தேதி
మత వ్యతిరేకత,மதகுருத்துவத்திற்கு எதிரானது
మతాధికారుల వ్యతిరేక చట్టం,மதகுருவுக்கு எதிரான சட்டம்
ప్రాచీనకాలం,பழமை
వ్యతిరేక అద్దె,எதிர்ப்பு வாடகை
వ్యతిరేక అద్దె,எதிர்ப்பு வாடகை
సెమిటిజం వ్యతిరేకత,யூத எதிர்ப்பு
అంజాక్,அன்சாக்
అపెల్లా,அப்பெல்லா
అరలు,அரலு
ఆర్చ్ బిషప్,பேராயர்
ఆర్చ్ డచీ,ஆர்ச் டச்சி
ఆర్చ్ డ్యూక్,ஆர்ச் டியூக்
