Tamil,Assamese
அபாகஸ்,abacus
அசாதாரண நிறுத்தம்,অস্বাভাৱিক সমাপ্তি
கருக்கலைப்பு,abort
அறுதி,নিৰপেক্ষ
முழுமையான முகவரி,নিৰপেক্ষ ঠিকনা
முழுமையான முகவரி,নিৰপেক্ষ সম্বোধন
முழுமையான அசெம்பிளர்,নিৰপেক্ষ এছেম্বলাৰ
முழுமையான குறியீடு,নিৰপেক্ষ ক&#39;ড
முழுமையான கட்டளை,নিৰপেক্ষ আদেশ
முழுமையான தரவு,নিৰপেক্ষ তথ্য
முழுமையான அறிவுறுத்தல்,নিৰপেক্ষ নিৰ্দেশনা
முழுமையான பயன்முறை,নিৰপেক্ষ ধৰণ
முழுமையான பாதை,নিৰপেক্ষ পথ
முழுமையான நிரலாக்கம்,নিৰপেক্ষ প্ৰগ্ৰেমিং
சுருக்க வர்க்கம்,বিমূৰ্ত শ্ৰেণী
சுருக்க தரவு வகை,বিমূৰ্ত তথ্যৰ ধৰণ
சுருக்க இயந்திரம்,বিমূৰ্ত মেচিন
சுருக்க சின்னம்,বিমূৰ্ত চিহ্ন
சுருக்க தொடரியல்,বিমূৰ্ত বাক্যবিন্যাস
ஏற்றுக்கொள்ளும் சோதனை,গ্ৰহণযোগ্যতা পৰীক্ষা
அணுகல் அங்கீகாரம்,প্ৰৱেশ প্ৰমাণীকৰণ
அணுகல் குறியீடு,প্ৰৱেশ ক&#39;ড
நுழைவு கட்டுப்பாடு,প্ৰৱেশ নিয়ন্ত্ৰণ
அணுகல் ஸ்கேன்,এক্সেছ স্কেন
துணை,আনুষংগিক বস্তু
கணக்கு,একাউণ্ট
கணக்கு ஐடி,একাউণ্ট আইডি
திரட்டி,এক্যুলেটৰ
துல்லியம்,শুদ্ধতা
அணுகல்,acess
அணுகல் கட்டுப்பாட்டு பைட்,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
அணுகல் குறியீடு,acess index
அணுகல் விசை,acess key
அணுகல் அணி,acess মেট্ৰিক্স
அணுகல் முறை,প্ৰৱেশ ধৰণ
அணுகல் சலுகை,acess বিশেষাধিকাৰ
அணுகல் பாதுகாப்பு,acess security
