Malayalam,Hindi
അബെലിയൻ ഗ്രൂപ്പ്,आबेली समूह
അബെലിയൻ സെമിഗ്രൂപ്പ്,आबेली सामिसमूह
abscissa,भुज
കേവല,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
കേവലമായ ഒത്തുചേരൽ,निरपेक्ष अभिसरण
സമ്പൂർണ്ണ പിശക്,निरपेक्ष त्रुटि
കേവല പരമാവധി,परम उच्चिष्ठ
സമ്പൂർണ്ണ മിനിമം,परम निम्निष्ठ
യഥാർത്ഥ മൂല്യം,निरपेक्ष मान
കേവല വേഗത,निरपेक्ष वेग
അമൂർത്ത ബീജഗണിതം,अमूर्त बीजगणित
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,अमूर्त समूह सिद्‌धांत
ത്വരണം,त्वरण
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,गुरुत्वीय त्वरण
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,स्वीकार्य वरण-समुच्चय
സ്വീകാര്യമായ നിലവാരം,स्वीकार्य गुणता स्तर
സ്വീകാര്യമായ ശ്രേണി,स्वीकार्य परिसर
സ്വീകാര്യമായ വിശ്വാസ്യത നില,मान्य विश्वसनीयता स्तर
സ്വീകാര്യമായ സാമ്പിൾ,स्वीकरण-प्रतिचयन
സഞ്ചിത പിശക്,संचित त्रुटि
കൃത്യത,यथार्थता
പ്രവർത്തന ശക്തി,लगा हुआ बल
നടപടി," क्रिया , कर्म"
പ്രവർത്തനവും പ്രതികരണവും,क्रिया और प्रतिक्रिया
യഥാർത്ഥ ശാസ്ത്രം,बीमा विज्ञान
നിശിത കോണുള്ള ത്രികോണം,न्यूनकोण त्रिभुज
അസൈക്ലിക്,अचक्रीय
ചേർക്കുക,"योग करना, जोड़ना"
ചേർക്കുന്നയാൾ,योजक
കൂട്ടിച്ചേർക്കൽ,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,योग का सूत्र
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,सम्मिश्र संख्याओं का योग
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,फलनों का योग
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,आव्यूहों का योग
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,बहुपदों का योग
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,प्रायिकताओं का योग
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,सदिशों का योग
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,"योग प्रमेय बेरीज सिद्‌धांत,"
