Bengali,Assamese
আবেলিয়ান গ্রুপ,এবেলিয়ান গোট
আবেলিয়ান সেমিগ্রুপ,abelian অৰ্ধগোট
abscissa,abscissa
পরম,নিৰপেক্ষ
পরম মিলন,নিৰপেক্ষ অভিসৰণ
পরম ত্রুটি,নিৰপেক্ষ ভুল
পরম সর্বোচ্চ,নিৰপেক্ষ সৰ্বোচ্চ
পরম সর্বনিম্ন,নিৰপেক্ষ নূন্যতম
পরম মান,নিৰপেক্ষ মূল্য
পরম বেগ,নিৰপেক্ষ বেগ
বিমূর্ত বীজগণিত,বিমূৰ্ত বীজগণিত
বিমূর্ত গ্রুপ তত্ত্ব,বিমূৰ্ত গোট তত্ত্ব
ত্বরণ,বেগ বৃদ্ধি
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
গ্রহণযোগ্য পছন্দ সেট,গ্ৰহণযোগ্য পছন্দৰ ছেট
গ্রহণযোগ্য মানের স্তর,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
গ্রহণযোগ্য পরিসীমা,গ্ৰহণযোগ্য পৰিসৰ
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
গ্রহণযোগ্য নমুনা,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
সঞ্চিত ত্রুটি,সঞ্চিত ভুল
সঠিকতা,শুদ্ধতা
অভিনয় শক্তি,ক্ৰিয়াশীল শক্তি
কর্ম,কাৰ্য কৰা
কর্ম এবং প্রতিক্রিয়া,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
বাস্তব বিজ্ঞান,কৃষি বিজ্ঞান
তীব্র কোণযুক্ত ত্রিভুজ,তীব্ৰ কোণীয়া ত্ৰিভুজ
অ্যাসাইক্লিক,অচক্ৰীয়
যোগ করুন,যোগ কৰা
যোগকারী,adder
সংযোজন,যোগ
সংযোজন সূত্র,যোগ সূত্ৰ
জটিল সংখ্যার সংযোজন,জটিল সংখ্যাৰ সংযোজন
ফাংশন সংযোজন,ফলনসমূহৰ সংযোজন
ম্যাট্রিক্সের সংযোজন,মেট্ৰিক্সৰ সংযোজন
বহুপদ সংযোজন,বহুপদ যোগ কৰা
সম্ভাবনার সংযোজন,সম্ভাৱনাৰ সংযোজন
ভেক্টর সংযোজন,ভেক্টৰৰ সংযোজন
সংযোজন উপপাদ্য,যোগ উপপাদ্য
সংযোজনকারী গ্রুপ,যোগকৰণ গোট
সংযোজন বিপরীত,যোগকৰণৰ বিপৰীত
সংযোজক সম্পত্তি,যোগসূত্ৰৰ বৈশিষ্ট্য
সংযোজন,যোগকৰণ
অন্তিক ম্যাট্রিক্স,সংলগ্নতা মেট্ৰিক্স
সংলগ্ন,পাৰ্শ্বৱৰ্তী
সন্নিহিত কোণ,কাষৰীয়া কোণ
সংলগ্ন শীর্ষবিন্দু,কাষৰীয়া শিখৰ
সংলগ্ন,adjoin
সংলগ্ন,সংলগ্ন
সংলগ্ন নির্ধারক,সংযুক্ত নিৰ্ণায়ক
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,সংযুক্ত অৱভেদ্য সমীকৰণ
সংলগ্ন সমীকরণ,সংযুক্ত সমীকৰণ
সংলগ্ন ম্যাট্রিক্স,সংলগ্ন মেট্ৰিক্স
ম্যাট্রিক্সের সংলগ্ন,মেট্ৰিক্সৰ সংযুক্ত
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,এডজুগেট মেট্ৰিক্স
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
গ্রহণযোগ্য অনুমান,গ্ৰহণযোগ্য অনুমান
এরোডাইনামিক বল,বায়ুগতিবিদ্যা বল
বায়ুগতিবিদ্যা,বায়ুগতিবিদ্যা
affine জ্যামিতি,affine জ্যামিতি
affine ম্যাপিং,affine মেপিং
affine রূপান্তর,affine ৰূপান্তৰ
একত্রিত ভেরিয়েবল,চলকসমূহ একত্ৰিত কৰা
বীজগণিত,বীজগণিত
বীজগণিতভাবে বন্ধ,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
বীজগণিত সমীকরণ,বীজগণিতীয় সমীকৰণ
বীজগাণিতিক এক্সপ্রেশন,বীজগণিতীয় প্ৰকাশ
বীজগাণিতিক ফর্ম,বীজগণিতীয় ৰূপ
বীজগণিতীয় ফাংশন,বীজগণিতীয় ফলন
বীজগণিত জ্যামিতি,বীজগণিতীয় জ্যামিতি
বীজগণিতের বহুত্ব,বীজগণিতীয় বহুগুণতা
বীজগণিত ব্যবস্থা,বীজগণিতীয় ব্যৱস্থা
সমস্ত পূর্ণসংখ্যা সমস্যা,সকলো-পূৰ্ণসংখ্যা সমস্যা
বরাদ্দ সমস্যা,আবণ্টনৰ সমস্যা
বর্ণানুক্রমিক স্বরলিপি,বৰ্ণানুক্ৰমিক সংকেত
বর্ণানুক্রমিক অক্ষর,বৰ্ণানুক্ৰমিক আখৰ
বিকল্প কোণ,বিকল্প কোণ
বিকল্প ফর্ম,বিকল্প ৰূপ
বিকল্প গোষ্ঠী,বিকল্প গোট
বিকল্প ম্যাট্রিক্স,বিকল্প মেট্ৰিক্স
বিকল্প সিরিজ,বিকল্প শৃংখলা
বিকল্প অনুমান,বিকল্প অনুমান
বিকল্প অপটিমা,বিকল্প optima
বিকল্প ফলাফল,বিকল্প ফলাফল
এনালগ থেকে ডিজিটাল রূপান্তরকারী,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
অ্যানালগ কম্পিউটার,এনালগ কম্পিউটাৰ
বিশ্লেষণ,বিশ্লেষণ
সহভক্তির বিশ্লেষণ,সহাৱস্থানৰ বিশ্লেষণ
গণনা তথ্য বিশ্লেষণ,গণনা তথ্যৰ বিশ্লেষণ
বৈচিত্র্যের বিশ্লেষণ,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
বিশ্লেষণাত্মক জ্যামিতি,বিশ্লেষণাত্মক জ্যামিতি
বিশ্লেষণমূলক ফাংশন,বিশ্লেষণাত্মক কাৰ্য্য
কোণ,কোণ
যোগাযোগের কোণ,সংস্পৰ্শৰ কোণ
বিচ্যুতি কোণ,বিচ্যুতিৰ কোণ
বিষণ্নতা কোণ,বিষণ্ণতাৰ কোণ
বিচ্যুতি কোণ,বিচ্যুতিৰ কোণ
বিবর্তন কোণ,বিবৰ্তনৰ কোণ
উচ্চতা কোণ,উচ্চতাৰ কোণ
ঘটনার কোণ,প্ৰাদুৰ্ভাৱৰ কোণ
