Hindi,Gujarati
आबेली समूह,એબેલિયન જૂથ
आबेली सामिसमूह,અબેલીયન સેમીગ્રુપ
भुज,એબ્સીસા
"निरपेक्ष, परम, अचर, परिशुद्‌ध",સંપૂર્ણ
निरपेक्ष अभिसरण,સંપૂર્ણ સંકલન
निरपेक्ष त्रुटि,સંપૂર્ણ ભૂલ
परम उच्चिष्ठ,સંપૂર્ણ મહત્તમ
परम निम्निष्ठ,સંપૂર્ણ લઘુત્તમ
निरपेक्ष मान,સંપૂર્ણ મૂલ્ય
निरपेक्ष वेग,સંપૂર્ણ વેગ
अमूर्त बीजगणित,અમૂર્ત બીજગણિત
अमूर्त समूह सिद्‌धांत,અમૂર્ત જૂથ સિદ્ધાંત
त्वरण,પ્રવેગ
गुरुत्वीय त्वरण,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
स्वीकार्य वरण-समुच्चय,સ્વીકાર્ય પસંદગી સમૂહ
स्वीकार्य गुणता स्तर,સ્વીકાર્ય ગુણવત્તા સ્તર
स्वीकार्य परिसर,સ્વીકાર્ય શ્રેણી
मान्य विश्वसनीयता स्तर,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
स्वीकरण-प्रतिचयन,સ્વીકાર્ય નમૂના
संचित त्रुटि,સંચિત ભૂલ
यथार्थता,ચોકસાઈ
लगा हुआ बल,અભિનય બળ
" क्रिया , कर्म",ક્રિયા
क्रिया और प्रतिक्रिया,ક્રિયા અને પ્રતિક્રિયા
बीमा विज्ञान,વાસ્તવિક વિજ્ઞાન
न्यूनकोण त्रिभुज,તીવ્ર કોણીય ત્રિકોણ
अचक्रीय,એસાયક્લિક
"योग करना, जोड़ना",ઉમેરો
योजक,ઉમેરનાર
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",વધુમાં
योग का सूत्र,વધારાનું સૂત્ર
सम्मिश्र संख्याओं का योग,જટિલ સંખ્યાઓનો ઉમેરો
फलनों का योग,કાર્યોનો ઉમેરો
आव्यूहों का योग,મેટ્રિસિસનો ઉમેરો
बहुपदों का योग,બહુપદીનો ઉમેરો
प्रायिकताओं का योग,સંભાવનાઓનો ઉમેરો
सदिशों का योग,વેક્ટરનો ઉમેરો
"योग प्रमेय बेरीज सिद्‌धांत,",વધારાનું પ્રમેય
योज्य समूह,ઉમેરણ જૂથ
योज्य व्युत्क्रम,ઉમેરણ વ્યસ્ત
"योज्यता, योगशीलता",ઉમેરણ મિલકત
योज्यता,ઉમેરણ
आसन्नता आव्यूह,સંલગ્નતા મેટ્રિક્સ
" संलग्न, निकटवर्ती , आसन्न",અડીને
आसन्न कोण,અડીને આવેલા ખૂણા
आसन्न शीर्ष,અડીને શિરોબિંદુ
सहबद्‌ध करना,સંલગ્ન
"संलग्न संलग्नीत,",સંલગ્ન
सहखंडज सारणिक,સંલગ્ન નિર્ણાયક
संलग्न अवकल समीकरण,સંલગ્ન વિભેદક સમીકરણ
संलग्न समीकरण,સંલગ્ન સમીકરણ
