Gujarati,Tamil
અસામાન્ય,அசாதாரணமானது
ગર્ભપાત,கருக்கலைப்பு
ઘર્ષણ,சிராய்ப்பு
અચાનક,திடீரென்று
સંપૂર્ણ ક્ષેત્ર શક્તિ,முழுமையான புல வலிமை
સંપૂર્ણ તાપમાન,முழுமையான வெப்பநிலை
અબાધિત મૂલ્ય,துல்லியமான மதிப்பு
શોષવું,உறிஞ்சும்
સહ-કાર્યક્ષમ,உறிஞ்சுதல் சக செயல்திறன்
શોષણ,உறிஞ்சுதல் இழப்பு
નિષ્ક્રિય,சுருக்கம்
પ્રવેગમાપક,முடுக்கமானி
સ્વીકૃતિ કસોટી,ஏற்பு சோதனை
પ્રવેશ,அணுகல்
વપરાશ નિયંત્રણ,நுழைவு கட்டுப்பாடு
પ્રવેશ -બિંદુ,அணுகல் புள்ளி
પ્રવેશ સમય,அணுகல் நேரம்
ઉપલ્બધતા,அணுகல்
સંકુચિત સેલી,குவிப்பான் செல்
ચોકસાઈ,துல்லியம்
ચોક્કસ,துல்லியமானது
ઘેટાંના લેન્સ,முடிச்சு லென்ஸ்
તેજાબ,அமிலம்
એસિડ પ્રૂફ,அமில ஆதாரம்
અમલ્ય,அமிலத்தன்மை
સ્વીકૃતિ,ஒப்புதல் பிட்
ધ્વનિશાસ્ત્ર,ஒலி
ધ્વનિશાસ્ત્ર,ஒலி தொடர்பு
ધ્વનિ -પ્રસરણ,ஒலி பரவல்
ધ્વનિ -બરાબરી,ஒலி சமநிலைப்படுத்தி
ધ્વનિ -પ્રતિસાદ,ஒலி கருத்து
ધ્વનિ ફિલ્ટર,ஒலி வடிகட்டி
ધ્વનિ અવરોધ,ஒலி மின்மறுப்பு
ધ્વનિ -માસ્કીંગ,ஒலி முகமூடி
ધ્વનિની શક્તિ,ஒலி சக்தி
ધ્વનિપક્ષીય મિલકત,சட்டவிரோத சொத்து
ધ્વનિની પ્રતિક્રિયા,ஒலி எதிர்வினை
ધ્વનિ -પ્રતિબિંબ,ஒலி ரிஃப்ளெக்ஸ்
ધ્વનિ ટાઇલ,ஒலி ஓடு
ધ્વનિ તરંગ,ஒலி அலை
શ્રવ -શોષણ,ஒலியியல் உறிஞ்சுதல்
શ્રવણશક્તિ એટેન્યુએશન,ஒலியியல் விழிப்புணர்வு மாறிலி
શ્રવણની ભીનાશ,ஒலியியல் ஈரமாக்குதல்
ધ્વનિ વિલંબ રેખા,ஒலியியல் தாமத வரி
ધ્વનિની વિકૃતિ,ஒலியியல் விலகல்
શ્રવણ નલિક,ஒலியியல் குழாய்
શ્રવણશક્તિ,ஒலியியல் ஆற்றல்
શ્રવણશક્તિ,ஒலியியல் கருத்து
શ્રદ્ધ ફિલ્ટર,ஒலியியல் வடிகட்டி
શ્રવણનો અવરોધ,ஒலியியல் மின்மறுப்பு
