Tamil,Gujarati
கருக்கலைப்பு,ગર્ભપાત
டைமரை நிறுத்துங்கள்,ગર્ભપાત સમય
முழுமையான முகவரி,અબાધિત સંબોધન
முழுமையான முகவரி,પૂર્ણ સંબોધન
முழுமையான அசெம்பிளர்,સંપૂર્ણ સંમેલન
முழுமையான குறியீடு,પૂર્ણ સંહિતા
முழுமையான குறியீட்டு முறை,પૂર્ણ સંહિતા
முழுமையான கட்டளை,પૂર્ણ આદેશ
முழுமையான ஒருங்கிணைப்பு,સંપૂર્ણ સંકલન
முழுமையான தரவு,અબાધિત આંકડા
முழுமையான பிழை,નિરપેક્ષ ભૂલ
முழுமையான வெளிப்பாடு,પૂર્ણ અભિવ્યક્તિ
முழுமையான அறிவுறுத்தல்,અબાધિત સૂચના
முழுமையான ஏற்றி,અબાધિત લોડર
முழுமையான வரிசை,સંપૂર્ણ
முழுமையான நிரலாக்க,પૂર્ણ કાર્યક્રમ
முழுமையான சொல்,અબાધિત મુદત
துல்லியமான மதிப்பு,અબાધિત મૂલ્ય
முழுமையான திசையன்,અબાધિત વેક્ટર
சுருக்கம்,નિષ્ક્રિય
சுருக்கம்,યોગ્યતા
சுருக்க சின்னம்,સાર -સારાંશ
முடுக்கம் காலம்,પ્રવેગશ ગાળો
முடுக்கம் நேரம்,પ્રવેગકોનો સમય
உச்சரிப்பு,ઉચ્ચારણ
ஏற்பு சோதனை,સ્વીકૃતિ કસોટી
அணுகல்,પ્રવેશ
அணுகல் கை,પ્રવેશ હાથ
அணுகல் ஏற்பாடு,પ્રવેશ -વ્યવસ્થા
அணுகல் அதிகாரம்,પ્રવેશ સત્તાવાર
அணுகல் கட்டணம்,પ્રવેશ -ખર્ચ
அணுகல் வகுப்பு,પ્રવેશ -વર્ગ
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,પ્રવેશ -આધાર વ્યવસ્થાપન
அணுகல் சூழல்,પર્યાવરણ
அணுகல் இடைவெளி,પ્રવેશ અંતર
அணுகல் அட்டவணை,પ્રવેશ -સૂચિ
அணுகல் வரி,પ્રવેશ -રેખા
அணுகல் பொறிமுறை,પ્રવેશ -પદ્ધતિ
அணுகல் முறை,પ્રવેશ પદ્ધતિ
அணுகல் முறை வழக்கமான,પ્રવેશ -પદ્ધતિ
அணுகல் பயன்முறை,પ્રવેશ -પદ્ધતિ
அணுகல் உரிமை,પ્રવેશ -હક
அணுகல் ஸ்கேன்,પ્રવેશ -સ્કેન
அணுகல் நேரம்,પ્રવેશ સમય
கணக்கியல்,નામું
கணக்கியல் நிதி அமைப்பு,હિસાબ -પદ્ધતિ પદ્ધતિ
கணக்கியல் இயந்திரம்,હિસાબ -વ્યવસ્થા
கணக்கு எண்,ખાતા નંબર
திரட்டுதல் இனப்பெருக்கம்,સંચયી પ્રજનનકર્તા
குவிப்பான்,એકઠા કરનાર
குவிப்பான் பதிவு,સંચિત રજિસ્ટર
திரட்டல் ஷிப்ட் வழிமுறை,સંચય -પાળી સૂચના
துல்லியம்,ચોકસાઈ
துல்லியம் கட்டுப்பாட்டு தன்மை,ચોકસાઈ નિયંત્રણ
துல்லியம் கட்டுப்பாட்டு அமைப்பு,ચોકસાઈ નિયંત્રણ પદ્ધતિ
ஏஸ் பைலட்,પાસાનો પાસાનો પો
தன்மையை ஒப்புக் கொள்ளுங்கள்,પાત્ર સ્વીકારવું
ஒலி கப்ளர்,ધ્વનિકર્તા
ஒலி இணைப்பு,ધ્વનિ -જોડાણ
ஒலி தாமத வரி,ધ્વનિ વિલંબ રેખા
ஒலி நினைவகம்,ધ્વનિમૂર્તિ
ஒலி மோடம்,ધ્વનિ -મોડેમ
ஒலி சமிக்ஞை,ધ્વનિ સંકેત
ஒலி சேமிப்பு,ધ્વનિ સંગ્રહ
சுருக்கம்,ટૂંકાક્ષર
செயல்,ક્રિયા
செயல் சுழற்சி,કાર્ય -ચક્ર
செயல் வரி,ક્રિયા -રેખ
செயல் செய்தி,ક્રિયા
செயல் விவரக்குறிப்பு,કાર્ય -સ્પષ્ટીકરણ
செயல்படுத்தல்,સક્રિય
செயலில்,સક્રિય
செயலில் உள்ள கோப்பு,સક્રિય ફાઈલ
செயலில் வரி,સક્રિય રેખા
செயலில் இணைப்பு,સક્રિય કડી
செயலில் உள்ள முதன்மை கோப்பு,સક્રિય માસ્ટર ફાઇલ
செயலில் உள்ள முதன்மை உருப்படி,સક્રિય મુખ્ય વસ્તુ
செயலில் உள்ள செயற்கைக்கோள்,સક્રિય ઉપગ્રહ
செயலில் நிலையம்,સક્રિય કેન્દ્ર
செயலில் சேமிப்பு,સક્રિય સંગ્રહ
செயல்பாடு,પ્રવૃત્તિ
செயல்பாட்டு நிலை,પ્રવૃત્તિ સ્તરે
செயல்பாடு ஏற்றுதல்,પ્રવૃત્તિ લોડિંગ
செயல்பாட்டு விகிதம்,પ્રવૃત્તિ ગુણોત્તર
உண்மையான முகவரி (= முழுமையான முகவரி),વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું)
உண்மையான குறியீடு (= முழுமையான குறியீடு),વાસ્તવિક કોડ (= સંપૂર્ણ કોડ)
உண்மையான தரவு பரிமாற்ற வீதம்,વાસ્તવિક ડેટા ટ્રાન્સફર રેટ
உண்மையான தசம புள்ளி,વાસ્તવિક દશાંશ બિંદુ
உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்),વાસ્તવિક સૂચના (= અસરકારક સૂચના)
உண்மையான விசை,ખરેખર ચા
உண்மையான நேரம்,વાસ્તવિક સમય
உண்மையான வேலை நேரம்,વાસ્તવિક કામનો સમય
செயல்பாட்டு சமிக்ஞை,કાર્યકારી સંકેત
