Kannada,Punjabi
ಅಬೆಲಿಯನ್ ಗುಂಪು,ਅਬੇਲੀਅਨ ਸਮੂਹ
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,ਅਸੀਮ
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
ಸಂಪೂರ್ಣ ದೋಷ,ਪੂਰਨ ਗਲਤੀ
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,ਪੂਰਨ ਅਧਿਕਤਮ
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ਸਹੀ ਮੁੱਲ
ಸಂಪೂರ್ಣ ವೇಗ,ਪੂਰਨ ਗਤੀ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,ਸਾਰ ਅਲਜਬਰਾ
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ವೇಗವರ್ಧನೆ,ਪ੍ਰਵੇਗ
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
ಸಂಚಿತ ದೋಷ,ਸੰਚਿਤ ਗਲਤੀ
ನಿಖರತೆ,ਸ਼ੁੱਧਤਾ
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,ਐਕਟਿੰਗ ਫੋਰਸ
ಕ್ರಮ,ਕਾਰਵਾਈ
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,ਅਸਲ ਵਿਗਿਆਨ
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
ಅಸೈಕ್ಲಿಕ್,acyclic
ಸೇರಿಸಿ,ਸ਼ਾਮਲ ਕਰੋ
ಸೇರಿಸುವವನು,ਜੋੜਨ ਵਾਲਾ
ಜೊತೆಗೆ,ਇਸ ਤੋਂ ਇਲਾਵਾ
ಸೇರ್ಪಡೆ ಸೂತ್ರ,ਜੋੜ ਫਾਰਮੂਲਾ
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,ਬਹੁਪਦ ਦਾ ਜੋੜ
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,ਵੈਕਟਰ ਦਾ ਜੋੜ
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,ਵਾਧੂ ਪ੍ਰਮੇਯ
ಸಂಯೋಜಕ ಗುಂಪು,additive ਗਰੁੱਪ
ಸಂಯೋಜಕ ವಿಲೋಮ,additive ਉਲਟ
ಸಂಯೋಜಕ ಆಸ್ತಿ,additive ਸੰਪਤੀ
ಸಂಕಲನ,additivity
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
ಪಕ್ಕದ,ਨੇੜੇ
ಪಕ್ಕದ ಕೋನಗಳು,ਨੇੜੇ ਦੇ ਕੋਣ
ಪಕ್ಕದ ಶೃಂಗ,ਨੇੜੇ ਦਾ ਸਿਰਾ
ಹೊಂದು,ਨਾਲ ਜੁੜੋ
ಪಕ್ಕದ,ਨਾਲ ਲੱਗਦੇ
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,ਸੰਜੋਗ ਸਮੀਕਰਨ
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
ವಾಯುಬಲವಿಜ್ಞಾನ,ਐਰੋਡਾਇਨਾਮਿਕਸ
ಅಫೈನ್ ಜ್ಯಾಮಿತಿ,affine ਜਿਓਮੈਟਰੀ
ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್,affine ਮੈਪਿੰਗ
ಅಫೈನ್ ರೂಪಾಂತರ,affine ਪਰਿਵਰਤਨ
ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
ಬೀಜಗಣಿತ,ਅਲਜਬਰਾ
ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ,ਬੀਜਗਣਿਤ ਬੰਦ
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
ಬೀಜಗಣಿತ ರೂಪ,ਬੀਜਗਣਿਤ ਰੂਪ
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ,ਬੀਜਗਣਿਤ ਗੁਣਾ
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
ಹಂಚಿಕೆ ಸಮಸ್ಯೆ,ਵੰਡ ਸਮੱਸਿਆ
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
ಪರ್ಯಾಯ ಕೋನ,ਵਿਕਲਪਕ ਕੋਣ
ಪರ್ಯಾಯ ರೂಪ,ਬਦਲਵੇਂ ਰੂਪ
ಪರ್ಯಾಯ ಗುಂಪು,ਬਦਲਵੇਂ ਸਮੂਹ
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ
ಪರ್ಯಾಯ ಸರಣಿ,ਬਦਲਵੀਂ ਲੜੀ
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ,ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,ਵਿਕਲਪਕ ਨਤੀਜਾ
ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ,ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
ವಿಶ್ಲೇಷಣೆ,ਵਿਸ਼ਲੇਸ਼ਣ
ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ,ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ,ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ,ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ,ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ
ಕೋನ,ਕੋਣ
ಸಂಪರ್ಕದ ಕೋನ,ਸੰਪਰਕ ਦਾ ਕੋਣ
ವಿಚಲನ ಕೋನ,ਭਟਕਣ ਦਾ ਕੋਣ
ಖಿನ್ನತೆಯ ಕೋನ,ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ
ವಿಚಲನ ಕೋನ,ਭਟਕਣ ਦਾ ਕੋਣ
ವಿವರ್ತನೆಯ ಕೋನ,ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ
ಎತ್ತರದ ಕೋನ,ਉਚਾਈ ਦਾ ਕੋਣ
ಘಟನೆಯ ಕೋನ,ਘਟਨਾ ਦਾ ਕੋਣ
ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
ಪ್ರತಿಬಿಂಬದ ಕೋನ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
ವಕ್ರೀಭವನದ ಕೋನ,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
ತಿರುಗುವಿಕೆಯ ಕೋನ,ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ
ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ,ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,ਕੋਣੀ ਪ੍ਰਵੇਗ
ಕೋನೀಯ ಚಲನೆ,ਕੋਣੀ ਗਤੀ
ಕೋನೀಯ ವೇಗ,ਕੋਣੀ ਗਤੀ
ಕೋನೀಯ ವೇಗ,ਕੋਣੀ ਵੇਗ
ವಾರ್ಷಿಕ,ਐਨੁਲਸ
ಉತ್ತರ,ਜਵਾਬ
ವಿರೋಧಿ ಉತ್ಪನ್ನ,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
ಆಂಟಿಸಿಮೆಟ್ರಿಕ್ ಕಾರ್ಯ,ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ
ಅನ್ವಯಿಸುವ,ਲਾਗੂ ਹੈ
ಅಪ್ಲಿಕೇಶನ್,ਐਪਲੀਕੇਸ਼ਨ
ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
ಅನ್ವಯಿಕ ಗಣಿತ,ਲਾਗੂ ਗਣਿਤ
ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು,ਲਾਗੂ ਅੰਕੜੇ
ಸರಿಸುಮಾರು,ਲਗਭਗ
ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
ಅಂದಾಜು ವಿಧಾನ,ਅੰਦਾਜ਼ਨ ਢੰਗ
ಅಂದಾಜು ಪರಿಹಾರ,ਅੰਦਾਜ਼ਨ ਹੱਲ
ಅಂದಾಜು ಸಮಸ್ಯೆ,ਲਗਭਗ ਸਮੱਸਿਆ
ಅಂದಾಜು ಆಸ್ತಿ,ਲਗਭਗ ਸੰਪਤੀ
