English,Tamil
Abelian group,அபெலியன் குழு
abelian semigroup,அபிலியன் அரைகுழு
abscissa,abscissa
absolute,அறுதி
absolute convergence,முழுமையான ஒருங்கிணைப்பு
absolute error,முழுமையான பிழை
absolute maximum,முழுமையான அதிகபட்சம்
absolute minimum,முழுமையான குறைந்தபட்சம்
absolute value,துல்லியமான மதிப்பு
absolute velocity,முழுமையான வேகம்
abstract algebra,சுருக்க இயற்கணிதம்
abstract group theory,சுருக்க குழு கோட்பாடு
acceleration,முடுக்கம்
acceleration due to gravity,புவியீர்ப்பு காரணமாக முடுக்கம்
acceptable choice set,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
acceptable quality level,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
acceptable range,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
acceptable reliability level,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
acceptable sampling,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
accumulated error,திரட்டப்பட்ட பிழை
accuracy,துல்லியம்
acting force,செயல்படும் சக்தி
action,நடவடிக்கை
action and reaction,செயல் மற்றும் எதிர்வினை
acturial science,உண்மையான அறிவியல்
acute angled triangle,கடுமையான கோண முக்கோணம்
acyclic,அசைக்ளிக்
add,கூட்டு
adder,சேர்ப்பான்
addition,கூடுதலாக
addition formula,கூட்டல் சூத்திரம்
addition of complex numbers,சிக்கலான எண்களைச் சேர்த்தல்
addition of functions,செயல்பாடுகளைச் சேர்த்தல்
addition of matrices,மெட்ரிக்குகள் சேர்த்தல்
addition of polynomials,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
addition of probabilities,நிகழ்தகவுகளைச் சேர்த்தல்
addition of vectors,திசையன்கள் சேர்த்தல்
addition theorem,கூட்டல் தேற்றம்
additive group,சேர்க்கை குழு
additive inverse,தலைகீழ் சேர்க்கை
additive property,சேர்க்கை சொத்து
additivity,சேர்க்கை
adjacency matrix,அருகாமை அணி
adjacent,அருகில்
adjacent angles,அருகில் உள்ள கோணங்கள்
adjacent vertex,அருகில் உள்ள உச்சி
adjoin,இணை
adjoining,அருகில்
adjoint determinant,இணைந்த தீர்மானிப்பான்
adjoint differential equation,இணை வேறுபாடு சமன்பாடு
adjoint equation,இணைந்த சமன்பாடு
adjoint matrix,இணை அணி
adjoint of matrix,மேட்ரிக்ஸின் இணைப்பு
adjugate matrix,adjugate matrix
admissible decision function,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
admissible hypothesis,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
aerodynamic force,காற்றியக்க விசை
aerodynamics,காற்றியக்கவியல்
affine geometry,இணைப்பு வடிவியல்
affine mapping,இணைப்பு மேப்பிங்
affine transformation,இணைப்பு மாற்றம்
aggregating variables,ஒருங்கிணைக்கும் மாறிகள்
algebra,இயற்கணிதம்
algebraically closed,இயற்கணிதப்படி மூடப்பட்டது
algebraic equation,இயற்கணித சமன்பாடு
algebraic expression,இயற்கணித வெளிப்பாடு
algebraic form,இயற்கணித வடிவம்
algebraic function,இயற்கணித செயல்பாடு
algebraic geometry,இயற்கணித வடிவியல்
algebraic multiplicity,இயற்கணிதப் பெருக்கம்
algebraic system,இயற்கணித அமைப்பு
all-integer problem,அனைத்து முழு எண் பிரச்சனை
allocation problem,ஒதுக்கீடு பிரச்சனை
alphabetical notation,அகரவரிசைக் குறியீடு
alphabetic character,அகரவரிசை எழுத்து
alternate angle,மாற்று கோணம்
alternating form,மாற்று வடிவம்
alternating group,மாற்று குழு
alternating matrix,மாற்று அணி
alternating series,மாற்று தொடர்
alternative hypothesis,மாற்று கருதுகோள்
alternative optima,மாற்று ஆப்டிமா
alternative outcome,மாற்று விளைவு
analog-to-digital converter,அனலாக்-டு-டிஜிட்டல் மாற்றி
analogue computer,அனலாக் கணினி
analysis,பகுப்பாய்வு
analysis of covariance,இணையான பகுப்பாய்வு
analysis of enumeration data,கணக்கியல் தரவு பகுப்பாய்வு
analysis of variance,மாறுபாட்டின் பகுப்பாய்வு
analytic geometry,பகுப்பாய்வு வடிவியல்
analytic function,பகுப்பாய்வு செயல்பாடு
angle,கோணம்
angle of contact,தொடர்பு கோணம்
angle of deflection,விலகல் கோணம்
angle of depression,மனச்சோர்வின் கோணம்
angle of deviation,விலகல் கோணம்
angle of diffraction,விலகல் கோணம்
angle of elevation,உயரத்தின் கோணம்
angle of incidence,நிகழ்வு கோணம்
angle of projection,திட்ட கோணம்
angle of reflection,பிரதிபலிப்பு கோணம்
angle of refraction,ஒளிவிலகல் கோணம்
angle of rotation,சுழற்சி கோணம்
angle of total reflection,மொத்த பிரதிபலிப்பு கோணம்
angular acceleration,கோண முடுக்கம்
angular motion,கோண இயக்கம்
angular speed,கோண வேகம்
angular velocity,கோண வேகம்
annulus,வளையம்
answer,பதில்
anti – derivative,எதிர்ப்பு வழித்தோன்றல்
antisymmetric function,சமச்சீரற்ற செயல்பாடு
applicable,பொருந்தும்
application,விண்ணப்பம்
applied dynamic programming,பயன்பாட்டு டைனமிக் நிரலாக்கம்
applied geometry,பயன்படுத்தப்படும் வடிவியல்
applied mathematics,பயன்பாட்டு கணிதம்
applied statistics,பயன்பாட்டு புள்ளிவிவரங்கள்
approximately,தோராயமாக
approximately continuous function,தோராயமாக தொடர்ச்சியான செயல்பாடு
approximate method,தோராயமான முறை
approximate solution,தோராயமான தீர்வு
approximation problem,தோராயமான பிரச்சனை
approximation property,தோராயமான சொத்து
aptitude test battery,திறன் சோதனை பேட்டரி
Argand diagram,அர்காண்ட் வரைபடம்
arbitrarily chosen,தன்னிச்சையாக தேர்வு
arbitrary,தன்னிச்சையான
arbitrary constant,தன்னிச்சையான மாறிலி
arbitrary element,தன்னிச்சையான உறுப்பு
arbitrary point,தன்னிச்சையான புள்ளி
Archemedean law,ஆர்க்கிமிடியன் சட்டம்
Archimedes principle,ஆர்க்கிமிடிஸ் கொள்கை
arc length,வில்லின் நீளம்
arc of circle,வட்ட வில்
arc sine distribution,ஆர்க் சைன் விநியோகம்
arc sine transformation,ஆர்க் சைன் மாற்றம்
area,பகுதி
areal texture,பகுதி அமைப்பு
argument of complex number,கலப்பு எண்ணின் வாதம்
arithmetic mean,எண்கணித சராசரி
arithmetic operation,எண்கணித செயல்பாடு
arithmetic unit,எண்கணித அலகு
arrangement,ஏற்பாடு
array,வரிசை
artificial satellite,செயற்கை செயற்கைக்கோள்
artificial variable,செயற்கை மாறி
ascend,ஏறும்
ascending,ஏறும்
ascending order of magnitude,அளவின் ஏறுவரிசை
ascending series,ஏறுவரிசை தொடர்
assembler language,அசெம்பிளர் மொழி
assignment problem,பணி நியமன பிரச்சனை
associative law,துணை சட்டம்
associative law of operators,ஆபரேட்டர்களின் துணை சட்டம்
associative operation,துணை செயல்பாடு
associativity,கூட்டுறவு
assumed mean,சராசரியாக கருதப்படுகிறது
assumed probability distribution,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
assumption,அனுமானம்
astrology,ஜோதிடம்
astronautical engineer,விண்வெளி பொறியாளர்
astronomer,வானியலாளர்
astronomical clock,வானியல் கடிகாரம்
astronomy,வானியல்
asymmetrical curve,சமச்சீரற்ற வளைவு
asymmetry,சமச்சீரற்ற தன்மை
asymptote,அறிகுறியற்றது
asymptotic,அறிகுறியற்ற
asymptotically efficient estimator,அறிகுறியற்ற திறமையான மதிப்பீட்டாளர்
asymptotically unbiased estimator,அறிகுறியற்ற பாரபட்சமற்ற மதிப்பீட்டாளர்
asymptotic behavior,அறிகுறியற்ற நடத்தை
asymptotic distribution function,அறிகுறியற்ற விநியோக செயல்பாடு
asymptotic expansion,அறிகுறியற்ற விரிவாக்கம்
atmospheric pressure,வளிமண்டல அழுத்தம்
at random,சீரற்ற முறையில்
attribute,பண்பு
attributes sampling procedure,மாதிரி செயல்முறை பண்புகளை
augmented matrix,பெரிதாக்கப்பட்ட அணி
autocorrelation coefficient,தன்னியக்க தொடர்பு குணகம்
autocorrelation function,தன்னியக்க தொடர்பு செயல்பாடு
autocovariance,தன்னியக்க மாறுபாடு
automatic computer,தானியங்கி கணினி
autoregression,தன்னியக்க பின்னடைவு
auxiliary equation,துணை சமன்பாடு
average sample number curve (A.S.N. Curve),சராசரி மாதிரி எண் வளைவு (ASN வளைவு)
axiom,கோட்பாடு
axiomatic approach,அச்சு அணுகுமுறை
axiom of probability,நிகழ்தகவு கோட்பாடு
axis,அச்சு
axis of abscissa,abscissa அச்சு
axis of earth,பூமியின் அச்சு
axis of revolution,புரட்சியின் அச்சு
axis of rotation,சுழற்சியின் அச்சு
axis of spin,சுழற்சியின் அச்சு
back-substitution,பின்-மாற்று
backward difference,பின்தங்கிய வேறுபாடு
backward-interpolation formula,பின்தங்கிய இடைக்கணிப்பு சூத்திரம்
balance,சமநிலை
balanced design,சீரான வடிவமைப்பு
balance sheet,இருப்புநிலை
ballistic missile,பாலிஸ்டிக் ஏவுகணை
ballistics,பாலிஸ்டிக்ஸ்
bar,மதுக்கூடம்
base,அடித்தளம்
base angle,அடிப்படை கோணம்
base of logarithm,மடக்கையின் அடிப்படை
basic,அடிப்படை
basic feasible solution,அடிப்படை சாத்தியமான தீர்வு
basic solution,அடிப்படை தீர்வு
basic variable,அடிப்படை மாறி
basis,அடிப்படையில்
basis element,அடிப்படை உறுப்பு
basis matrix,அடிப்படை அணி
basis of a vector space,ஒரு திசையன் இடத்தின் அடிப்படை
basis of subspace,துணைவெளியின் அடிப்படை
Bayesian estimate,பேய்சியன் மதிப்பீடு
Bayes' law,பேய்ஸ் சட்டம்
Bayes' theorem,பேய்ஸ் தேற்றம்
Bernoulli distribution,பெர்னோலி விநியோகம்
Bernoulli number,பெர்னோலி எண்
Bernoulli probability function,பெர்னோலி நிகழ்தகவு செயல்பாடு
Bernoulli's equation,பெர்னோலியின் சமன்பாடு
Berry function,பெர்ரி செயல்பாடு
best fit,சிறந்த பொருத்தம்
best - fit line,சிறந்த பொருத்தம் வரி
best solution,சிறந்த தீர்வு
best strategies,சிறந்த உத்திகள்
beta distribution,பீட்டா விநியோகம்
bias,சார்பு
biased estimate,பாரபட்சமான மதிப்பீடு
biharmonic equation,பைஹார்மோனிக் சமன்பாடு
bijection,பிஜேக்ஷன்
bijective map,இருமுனை வரைபடம்
bijective mapping,பைஜெக்டிவ் மேப்பிங்
bilinear form,இருகோடி வடிவம்
bilinear function,இருமுனை செயல்பாடு
bilinear Hermitian form,இருமுனை ஹெர்மிடியன் வடிவம்
binary,பைனரி
binary code,பைனரி குறியீடு
binary coded decimal,பைனரி குறியிடப்பட்ட தசம
binary coding,பைனரி குறியீட்டு முறை
binary computer,பைனரி கணினி
binary digit,பைனரி இலக்கம்
binary operation,பைனரி செயல்பாடு
binary system,பைனரி அமைப்பு
binary variable,பைனரி மாறி
binomial coefficient,ஈருறுப்புக் குணகம்
binomial distribution,இருவகைப் பரவல்
binomial equation,ஈருறுப்புச் சமன்பாடு
binomial expansion,ஈருறுப்பு விரிவாக்கம்
binomial expression,ஈருறுப்பு வெளிப்பாடு
binomial random variable,ஈருறுப்பு சீரற்ற மாறி
binomial theorem,ஈருறுப்பு தேற்றம்
bisection,இரு பிரிவு
bisection method,பிரித்தல் முறை
bisector,இருவகை
biserial,இருமுறை
bit,பிட்
