Odiya,Malayalam
ଆବଦ୍ଧ,ശീതീകരണം
ସଂକ୍ଷିପ୍ତକରଣ,ചുരുക്കല്
ଅପହରଣ,പിടിച്ചുകൊണ്ടുപോകല്
ଆବେରୀ,Aveyne
ଦକ୍ଷତା,കഴിവ്
Ab initio,Ab initio
ସକ୍ଷମ,കഴിവുള്ള
ଅସ୍ୱାଭାବିକ |,വിലക്ഷണമായ
ଚତୁରତା,നിർത്തലാക്കൽ
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,നിർത്തലാക്കൽ പോസ്റ്റ്
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,മുകളിൽ സൂചിപ്പിച്ച
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,മുകളിൽ ഉദ്ധരിച്ചത്
ଉପରେ କହିଲା,മുകളിൽ പറഞ്ഞത്
ଅନୁପସ୍ଥିତି,അസാന്നിദ്ധം
ଅଧ୍ୟାପୀ,ഹാജരാകാത്ത
ଅନୁପସ୍ଥିତତା,ഹാജരാകാത്തീയത
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,ഹാജരാകാതിരിക്കുക
ସଂପୂର୍ଣ୍ଣ,കേശവം
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,കേവല കുത്തക
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,കേവല ഉടമസ്ഥാവകാശം
ଶୋଷଣ,ആഗിരണം
ବିସ୍ତୃତ,വേര്പെട്ടുനില്ക്കുന്ന
ବିସ୍ତୃତ,അനുഗമിക്കുന്നു
ଅବ urd ଧ |,അസംബന്ധം
ପ୍ରଚୁରତା,സമൃദ്ധി
ଶକ୍ତିର ଅପବ୍ୟବହାର |,അധികാര ദുരുപയോഗം
ଅପମାନଜନକ ଭାଷା |,അധിക്ഷേപകരമായ ഭാഷ
ଏକାଡେମିକ୍ |,പണ്ഡിതോചിതമായ
ଏକାଡେମିକ୍ ଆଲୋଚନା,അക്കാദമിക് ചർച്ച
ଏକାଡେମିକ୍ ଛୁଟି |,അക്കാദമിക് അവധി
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,വിദ്യാഭ്യാസ യോഗ്യത
ଏକାଡେମିକ୍ ରେକର୍ଡ |,അക്കാദമിക് റെക്കോർഡ്
ଧ୍ୟାନଦେଇ,നിര്വഹിക്കുക
ଗ୍ରହଣ କର,അംഗീകരിക്കുക
ଗ୍ରହଣ,കൈക്കൊള്ളല്
ଅଫିସ୍ ଗ୍ରହଣ,ഓഫീസിന്റെ സ്വീകാര്യത
ଟେଣ୍ଡର ଗ୍ରହଣ,ടെണ്ടർ സ്വീകാര്യത
ପ୍ରବେଶ,പ്രവേശനം
ପ୍ରବେଶ,അപേക്ഷ
ଆନୁଷଙ୍ଗିକ,ഉപസാധനം
ଦୁର୍ଘଟଣା,ആകസ്മികത
ସୁକମ୍ଲାଇଜେସନ୍,ACCLIMATIES
ଆବାସ,സ്ഥലസൗകരം
ସାଥୀ,അനുഗമിച്ചു
ଆକର୍ଡ,അക്കോര്
ସମ୍ପତ୍ତୀ,അഭാവം
ସେହି ଅନୁଯାୟୀ |,അക്കാരണത്താല്
ଖାତା,കണക്ക്
ଉତ୍ତରଦାୟିତ୍ୱ,ഉത്തരവാദിത്തം
ଉତ୍ତରଦାୟୀ |,ഉത്തരവാദിയായ
ଆକାଉଣ୍ଟାଣ୍ଟି,അക്കൗണ്ടൻസി
ଆକାଉଣ୍ଟାଣ୍ଟ,കണക്കെഴുത്തുകാരി
ଖାତା ପାଇଁ,അക്കൗണ്ട്
ଖାତା ହେଡ୍,അക്കൗണ്ട് തല
ଅଭିଯୋଗ ଲାଭ,വർദ്ധിച്ച ആനുകൂല്യം
ପେନ୍ ପେନ୍ସନ୍,വർദ്ധിച്ച പെൻഷൻ
ଜମା,കൂന്വാരം
ସଠିକତା,കൃതത
ସଠିକ୍,സൂക്ഷ്മമായ
ଅଭିଯୋଗ,ബോധിപ്പിക്കുന്ന
ଅଭିଯୁକ୍ତ,കുറ്റക്കാരന്
ସଫଳତା,നേട്ടം
ସ୍ୱୀକୃତି,അംഗീകാരം
ସ୍ୱୀକୃତି ଦେବାର |,അംഗീകാരത്തിന്റെ
ପରିଚୟ,പരിചയം
ଅଧିଗ୍ରହଣ,കൈവശപ്പെടുത്തൽ
ନିର୍ଦ୍ଦୋଷ,കുറ്റപാട്വിൽപ്പന
କାର୍ଯ୍ୟ କର,പവര്ത്തിക്കുക
ଅଭିନୟ ଭତ୍ତା,അഭിനയ അലവൻസ്
କାର୍ଯ୍ୟ,പവര്ത്തി
କ୍ରିୟା ଯୋଜନା,പ്രവർത്തന പദ്ധതി
ସକ୍ରିୟ,സജീവമായ
