Gujarati,Punjabi
A B વર્ગ એમ્પ્લીફાયર,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
વિકૃતિ,ਵਿਗਾੜ
અસામાન્ય ટ્રાન્સમિશન,ਅਸਧਾਰਨ ਸੰਚਾਰ
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
ગુમ થયેલ સ્પેક્ટ્રમ,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
સંપૂર્ણ ભેજ,ਪੂਰਨ ਨਮੀ
સંપૂર્ણ ગતિ,ਪੂਰਨ ਗਤੀ
સંપૂર્ણ અવલોકન,ਪੂਰਨ ਨਿਰੀਖਣ
સંપૂર્ણ તાપમાન,ਪੂਰਨ ਤਾਪਮਾਨ
સંપૂર્ણ શૂન્ય,ਪੂਰਨ ਜ਼ੀਰੋ
શોષી લેવું,ਸੋਖਣਾ
"શોષક, શોષક","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
શોષણ ક્ષમતા,ਸਮਾਈ ਸਮਰੱਥਾ
શોષણ,ਸਮਾਈ
શોષક,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
શોષકતા,ਸਮਾਈ
ગુણાકાર ગુણોત્તર,ਗੁਣਾ ਅਨੁਪਾਤ
વેગ આપો,ਤੇਜ਼ ਕਰੋ
ઉતાવળ કરી,ਜਲਦੀ
પ્રવેગ,ਪ੍ਰਵੇਗ
ગુરુત્વાકર્ષણ પ્રવેગક,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
પ્રવેગક,ਐਕਸਲੇਟਰ
પ્રવેગક,ਐਕਸਲੇਟਰ
એક્સેલરોમીટર,ਐਕਸਲੇਰੋਮੀਟਰ
prestresser,prestresser
સ્વીકાર્ય પરીક્ષણ,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
સ્વીકારનાર,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
દાતા પરમાણુ,ਦਾਨੀ ਅਣੂ
"પ્રવેશ, રાહ, સુલભતા","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
ઉપલ્બધતા,ਪਹੁੰਚਯੋਗਤਾ
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
ઍક્સેસ સમય,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
મુલાકાતી ભૂલ,ਵਿਜ਼ਟਰ ਗਲਤੀ
ગોઠવણ,ਵਿਵਸਥਾ
સંચિત,ਇਕੱਠਾ ਕੀਤਾ
"સંચય, સંચય","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
સંચયક,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ચોકસાઈ,ਸ਼ੁੱਧਤਾ
વાસ્તવિકતા,ਅਸਲੀਅਤ
વર્ણહીન લેન્સ,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
વર્ણહીન,ਅਕ੍ਰੋਮੈਟਿਕ
વર્ણહીનતા,ਰੰਗੀਨਤਾ
એકોસ્ટિક,ਧੁਨੀ
સાઉન્ડપ્રૂફ,ਸਾਊਂਡਪਰੂਫ਼
એકોસ્ટિક ફોનોન,ਧੁਨੀ ਫੋਨੋਨ
ધ્વનિ એકમ,ਆਵਾਜ਼ ਯੂਨਿਟ
એકોસ્ટિક,ਧੁਨੀ
અવાજ જનરેટર,ਆਵਾਜ਼ ਜਨਰੇਟਰ
ક્રિયા અને પ્રતિક્રિયા,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
સક્રિયકરણ,ਸਰਗਰਮੀ
સક્રિયકરણ ઊર્જા,ਸਰਗਰਮੀ ਊਰਜਾ
"એક્ટિવેટર, એક્ટિવેટર","ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
સક્રિય,ਕਿਰਿਆਸ਼ੀਲ
સક્રિયતા,ਸਰਗਰਮੀ
વાસ્તવિક તણાવ,ਅਸਲ ਤਣਾਅ
બબડાટ,ਘੁਸਰ-ਮੁਸਰ
સારાંશ માટે,ਸੰਪੇਕਸ਼ਤ
