Hindi,Gujarati
"उपशमन, कमी",ખર્ચ
संक्षिप्‍ति,સંક્ષેપ
अपहरण,અપહરણ
प्रास्थगन,સ્થગ
योग्यता,ક્ષમતા
"आदित:, आरंभ से",આરંભ
योग्य,કઠોર
अपसामान्य,અસામાન્ય
"उन्मूलन, समाप्‍ति",નાબૂદી
पद समाप्‍ति,નાબૂદી પોસ્ટ
"ऊपर उल्लिखित, उपर्युक्‍त",ઉપર ઉલ્લેખ કર્યો છે
ऊपर उद्‍धृत,ઉપર જણાવેલ
उपर्युक्‍त,ઉપર જણાવ્યું હતું કે
"अनुपस्थिति, गैरहाजि़री, अभाव",ગેરહાજરી
"अनुपस्थित, ग़ैरहाजि़र",ગેરહાજર
"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता",ગેરહાજરી
अनुपस्थिति-विवरण,અનુપસ્થિત નિવેદનો
"पूर्ण, निरपेक्ष",અબાધિત
पूर्ण एकाधिकार,અબાધિત ઈજારો
पूर्ण स्वामित्व,અબાધિત માલિકી
"आमेलन, अवशोषण",સમાવેશ
सार,નિષ્ક્રિય
सार-विवरण,અખબારો
"अर्थहीन, बेतुका",વાહિયાત
प्रचुरता,વિપુલતા
शक्‍ति का दुरुपयोग,સત્તાનો દુરુપયોગ
गाली-गलौज,અપશબ્દો
"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय",શૈક્ષણિક
शास्त्रीय चर्चा,શૈક્ષણિક ચર્ચા
अकादमिक छुट्टी,શૈક્ષણિક રજા
शैक्षिणिक अर्हता,શૈક્ષણિક લાયકાત
"शैक्षिक रिकार्ड, शैक्षिक अभिलेख",વિદ્યા
"मान लेना, अधिमिलन होना",સહયોગ કરવો
"स्वीकार करना, मानना",સ્વીકારવું
"स्वीकृति, प्रतिग्रहण",સ્વીકૃતિ
पद-स्वीकृति,પદની સ્વીકૃતિ
निविदा की स्वीकृति,પ્રતિજ્ ofા
पहुंच,પ્રવેશ
"राज्यारोहण, पदारोहण, परिग्रहण",સંચાર
"अनुषंगी, उपसाधन",સહાયક
"दुर्घटना, संयोग",અકસ્માત
पर्यनुकूलन,સ્વાર્થીકરણ
"आवास, निर्वाह, समंजन",આવાસ
संगकार,સંલગ્ન
"समझौता, प्रदान करना, देना",સંલગ્ન
"अनुरूपता, संगति",અનુસાર
तदनुसार,તદનુસાર
"लेखा, खाता, हिसाब",હિસાબ
जवाबदेही,જવાબદારી
"जवाबदेह, देनदार",જવાબદાર
"लेखा विधि, लेखा कार्य",હિસાબની સંખ્યા
लेखाकार,હિસાબ રાખનાર
"कारण बताना, लेखा-जोखा देना",માટે એકાઉન્ટ
लेखा-शीर्ष,હિસાબનું માથું
प्रोद्‌भूत हितलाभ,ઉપાર્જિત લાભ
प्रोद्‌भूत पेन्शन,ઉપાર્જિત પેન્શન
"संचय, संचयन",સંચય
"यथार्थता, परिशुद्‌धता",ચોકસાઈ
"यथार्थ, सही, परिशुद्‌ध",ચોક્કસ
अभियोग लगाना,આક્ષેપ કરવો
अभियुक्‍त,આરોપી
उपलब्‍धि,સિદ્ધિ
"पावती, प्राप्‍ति सूचना, अभिस्वीकृति",સ્વીકૃતિ
"पावती पत्र, रसीदी",સ્વીકૃતિ
