Bengali,Hindi
অ্যাবাকাস,"1.एबेकस ,2. गिनतारा"
অস্বাভাবিক সমাপ্তি,असामान्य समापन
গর্ভপাত,अवरोधन
পরম,"1. निरपेक्ष ,2. परम"
পরম ঠিকানা,निरपेक्ष पता
পরম ঠিকানা,निरपेक्ष पताभिगमन
পরম সংযোজনকারী,निरपेक्ष कोडांतरक
পরম কোড,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
পরম আদেশ,निरपेक्ष समादेश
পরম তথ্য,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
পরম নির্দেশ,निरपेक्ष अनुदेश
পরম মোড,निरपेक्ष विधा
পরম পথ,निरपेक्ष पथ
পরম প্রোগ্রামিং,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
বিমূর্ত ক্লাস,अमूर्त वर्ग
বিমূর্ত তথ্য প্রকার,अमूर्त आंकड़ा प्रकार
বিমূর্ত মেশিন,अमूर्त मशीन
বিমূর্ত প্রতীক,अमूर्त प्रतीक
বিমূর্ত বাক্য গঠন,अमूर्त वाक्य विन्यास
স্বীকৃতি যাচাইকরণ,स्वीकृति परीक्षण
অ্যাক্সেস প্রমাণীকরণ,अभिगम प्रमाणन
প্রবেশাধিকার কোড,"1. अभिगम कूट ,2. अभिगम कोड"
প্রবেশাধিকার নিয়ন্ত্রণ,अभिगम नियंत्रण
অ্যাক্সেস স্ক্যান,अभिगम क्रमवीक्षण
আনুষঙ্গিক,सहयंत्र
অ্যাকাউন্ট,लेखा
অ্যাকাউন্ট আইডি,"1. एकाउंट आई डी ,2. लेखा पहचान"
সঞ্চয়কারী,संचायक
সঠিকতা,"1. विशुद्धता ,2. यर्थाथता"
অ্যাক্সেস,अभिगम
অ্যাক্সেস নিয়ন্ত্রণ বাইট,अभिगम नियंत्रण बाइट
অ্যাক্সেস সূচক,अभिगम सूचक
অ্যাক্সেস কী,अभिगम कुंजी
অ্যাক্সেস ম্যাট্রিক্স,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
অ্যাক্সেস মোড,अभिगम विधा
প্রবেশাধিকার,अभिगम विशेषाधिकार
অ্যাক্সেস নিরাপত্তা,अभिगम सुरक्षा
অ্যাক্সেস সার্ভার,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
অ্যাক্সেস সময়,अभिगम काल
স্বীকৃতি,अभिस्वीकृति
ধ্বনিবিদ্যা,ध्वनिकी
সংক্ষিপ্ত রূপ,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप"
কর্ম বার্তা,क्रिया संदेश
সক্রিয়করণ,सक्रियण
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),सक्रिय सर्वर पृष्ठ
সক্রিয় সংস্করণ,सक्रिय वर्जन
অ্যাসাইক্লিক,अचक्रीय
অ্যাসাইক্লিক গ্রাফ,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ"
অ্যাডা ভাষা,एडा कंप्यूटर भाषा
অ্যাডাপ্টার,"1. अनुकूलक ,2. अनुकूलित्र"
যোগ করুন,योग (करना)
ফাইল যুক্ত কর,योग संचिका
অপারেশন যোগ করুন,"1. जोड़ संक्रिया ,2. योग संक्रिया"
যোগকারী,योजक
ঠিকানা,पता
ঠিকানা বাস,पता बस
ঠিকানা ফাইল,पता संचिका
ঠিকানা বিন্যাস,पता आरूप
ঠিকানা জেনারেটর,पता जनक
ঠিকানা লাইন,पता पंक्ति
ঠিকানা ম্যাপিং,पता प्रतिचित्रण
ঠিকানা নির্দেশক,पता संकेतक
ঠিকানা রেজিস্টার,पता पंजी
ঠিকানা রেজোলিউশন,पता विघटन
ঠিকানা অনুবাদ,पता अनुवाद
ঠিকানাযুক্ত স্মৃতি,"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी"
সম্বোধন,पताभिगमन
পর্যাপ্ততার মানদণ্ড,"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी"
সংলগ্ন,संलग्न
প্রশাসন,"1. प्रबंधन ,2. नियंत्रण"
প্রশাসক,"1. प्रबंधक ,2. नियंत्रक"
অ্যাডোবি অ্যাক্রোব্যাট,ऐडोब एक्रोबेट
অ্যাডোবি ফটোশপ,ऐडोब फोटोशोप
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
উন্নত তথ্য,"1. उन्नत आंकड़ा ,2. उन्नत डाटा"
উন্নত তথ্য সিস্টেম,उन्नत सूचना तंत्र
উন্নত প্রযুক্তি (AT),उन्नत प्रौद्योगिकी (ए टी)
প্রতিনিধি,कर्मक
সমষ্টি,समुच्चयन
বায়ুবাহিত কম্পিউটার সিস্টেম,विमानवाहित कंप्यूटर तंत्र
aldus পেজ মেকার,एल्डस पेज-मेक
সতর্কতা বাক্স,सचेत पेटी
algol,ऐल्गॉल (कंप्यूटर भाषा)
অ্যালগরিদম,"1.  एल्गोरिथ्म ,2. कलन विधि"
অ্যালগরিদম বিশ্লেষণ,"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण"
অ্যালগরিদম দক্ষতা,एल्गोरिथ्म दक्षता
উপনাম,"1. एलिआस ,2. उपनाम ,3. उर्फ"
প্রান্তিককরণ,संरेखण
বরাদ্দ,"1. आवंटन ,2. नियतन"
বর্ণানুক্রমিক,"1.अक्षरात्मक ,2. वर्णानुक्रम"
আলফানিউমেরিক,अक्षरांकीय
আলফানিউমেরিক কী বোর্ড,"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड"
আলফা-পরীক্ষা,अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
আলফা-সংস্করণ,"1. अल्फा वर्जन ,2. अल्फा रूप"
alt কী,आल्ट कुंजी
আলতাভিস্তা,आल्टाविस्टा
অস্পষ্টতা,अनेकार्थकता
অস্পষ্ট ব্যাকরণ,संदिग्ध व्याकरण
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),अमेरिकी मानक कट (आस्की)
এনালগ,"1. अनुरुप ,2. एनालॉग"
এনালগ কম্পিউটার,"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
এনালগ ডিভাইস,"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस"
এনালগ মডেম,"1. एनालॉग मोडेम ,2. अनुरुप मोडेम"
