Telugu,Hindi
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,वैस्‍टम‍िन्‍स्‍टर मठ
పదవీ విరమణ,मालखाना
బానిసత్వ నిర్మూలన,दासता का उन्मूलन
ఆదివాసి,आदिवासी
అబ్రహం యుగం,अब्राहम काल
గైర్హాజరు భూస్వాములు,प्रवासी ज़मींदार
అకాడమీ,अकादमी; विद्वत्परिषद
అక్ర సమావేశం,अक्रा सम्मेलन
సంపాదన,"प्रोद्भूत सामग्री, उपचित सामग्री"
సంస్కారము,"परसंस्कृति-ग्रहण, उत्संस्करण"
అసెల్డామా,एसेलडामा
అచెయన్ (=అచియన్),एकियायी
అచీయన్ లీగ్ (=అచియన్ లీగ్),एकीयायी लीग
అక్రోపోలిస్,एक्रोपोलिस
ఆక్టా డియుర్నా,"शाही रोज़नामचा, दैनिक समाचार"
ఆక్టా సెనాటస్,सीनेट का कार्यवृत्त
యాక్టే అడిషనల్,"अपर प्रपत्र, एक्टे एडिशनेल"
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),सक्रिय रिकार्ड
సాధించేవారి చర్య,अपकीर्त्ति अधिनियम
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,दंड विमुक्ति एवं विस्मरण अधिनियम
సెటిల్మెంట్ చట్టం,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
ప్రకటన ఒప్పంద ముద్ర,संविदा मुद्रा
అడుల్లామైట్స్,आडुलम गुटवादी
విరోధి,विपक्षी
విరోధి,2. शत्रु
అయాన్,युग
ఏరోరియం,इरेरियम
వైమానిక యుద్ధం,"आकाशी युद्ध, हवाई लड़ाई"
ఏటోలియన్ లీగ్,"एटोलियन लीग, एटोलियायी संघ"
వయస్సు,"काल, युग"
వృద్ధాప్యం (=వృద్ధాప్యం),"काल-प्रभावन, जीर्णन"
వృద్ధాప్య ప్రక్రియ,जीर्णन-प्रक्रिया
అగెలై,एजिलायी
శౌర్య యుగం,शौर्य युग
జ్ఞానోదయం వయస్సు,"प्रबोध युग, ज्ञानोदय युग"
పెరికిల్స్ వయస్సు,पेरीक्लीज़ युग
కారణం వయస్సు,तर्क प्रधान युग
వ్యవసాయం,भूमि सुधारवाद
వ్యవసాయ ఉద్యమం,भूमि सुधारवादी आंदोलन
అల్బియాన్,एलबियन
ఆల్బమ్,अलबम
ఆల్డర్మాన్,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
అల్లుడు చేతులు,कुलांकित आयुध
సఖ్యత,मैत्री
యాంఫిక్యోనిక్ కౌన్సిల్,एम्फिकटिआनी परिषद
యాంఫిక్యోనిక్ లీగ్,ऊपर देo : Amphictyonic Council
యాంఫీ థియేటర్,"रंगवाट, रंगभूमि, अखाड़ा"
అమ్రి నల్ గ్రూప్ (కుండల),(मृद्भांडों का) अमरीनाल वर्ग
అనాక్రోనిజం,"काल-वैषम्य, काल-दोष"
అనాక్రోనిస్టిక్,काल-वैषम्ययुक्त
పూర్వీకుడు,पूर्वज
పూర్వీకుల ఆరాధన,पितृ-पूजा
పూర్వీకులు,कुल-परंपरा
పూర్వీకులు,2. वंश
పూర్వీకులు,3. वंश-क्रम
పూర్వీకులు,4. उच्च कुल
ప్రాచీన పాలన,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
ప్రాచీన,"पुरातन, प्राचीन"
పురాతన బల్లాడ్,प्राचीन गाथा
పురాతన నమ్మకం,प्राचीन मत
ప్రాచీన ఆచారం,प्राचीन प्रथा
పురాతన చరిత్ర,प्राचीन हतिहास
పురాతన స్మారక చిహ్నాలు,प्राचीन स्मारक
ఉదంతము,उपाख्यान
ఏంజెలోట్,एन्जिलोट
ఏంజెలస్,देवदूत पूजा
అంజివిన్ (=అంజెవిన్),आन्जवै
కోణాలు,ऐन्गल्स
ఆంగ్లికన్,आंग्लिक
ఆంగ్లికన్ కమ్యూనియన్,आंग्ल चर्च
ఆంగ్లికనిజం,आंग्ल चर्चवाद
ఆంగ్లో-ఫోబ్,आंग्ल विरोधी
ఆంగ్లో-ఫోబియా,आंग्ल-दुर्भीति
ఆంగ్లో-సాక్సన్,आंग्ल सैक्सन
ఆంగ్లో-సాక్సోనిజం,आंग्ल-सैक्सनवाद
అన్నలిస్ట్,"आख्यान-लेखक, आख्यानकार"
అన్నల్స్,"वर्षवृत्त, आख्यान, ख्यात"
అనుబంధం,"अधिनहन, मिला देना"
యాంటీ-బెల్లం,युद्ध पूर्व (स्थिति)
ముందు తేదీ,"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण"
మత వ్యతిరేకత,पादरी प्रथा विरोधी
