English,Malayalam
Abelian group,അബെലിയൻ ഗ്രൂപ്പ്
abelian semigroup,അബെലിയൻ സെമിഗ്രൂപ്പ്
abscissa,abscissa
absolute,കേവല
absolute convergence,കേവലമായ ഒത്തുചേരൽ
absolute error,സമ്പൂർണ്ണ പിശക്
absolute maximum,കേവല പരമാവധി
absolute minimum,സമ്പൂർണ്ണ മിനിമം
absolute value,യഥാർത്ഥ മൂല്യം
absolute velocity,കേവല വേഗത
abstract algebra,അമൂർത്ത ബീജഗണിതം
abstract group theory,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
acceleration,ത്വരണം
acceleration due to gravity,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
acceptable choice set,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
acceptable quality level,സ്വീകാര്യമായ നിലവാരം
acceptable range,സ്വീകാര്യമായ ശ്രേണി
acceptable reliability level,സ്വീകാര്യമായ വിശ്വാസ്യത നില
acceptable sampling,സ്വീകാര്യമായ സാമ്പിൾ
accumulated error,സഞ്ചിത പിശക്
accuracy,കൃത്യത
acting force,പ്രവർത്തന ശക്തി
action,നടപടി
action and reaction,പ്രവർത്തനവും പ്രതികരണവും
acturial science,യഥാർത്ഥ ശാസ്ത്രം
acute angled triangle,നിശിത കോണുള്ള ത്രികോണം
acyclic,അസൈക്ലിക്
add,ചേർക്കുക
adder,ചേർക്കുന്നയാൾ
addition,കൂട്ടിച്ചേർക്കൽ
addition formula,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
addition of complex numbers,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
addition of functions,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
addition of matrices,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
addition of polynomials,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
addition of probabilities,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
addition of vectors,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
addition theorem,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
additive group,സങ്കലന ഗ്രൂപ്പ്
additive inverse,വിപരീത വിപരീതം
additive property,അഡിറ്റീവ് പ്രോപ്പർട്ടി
additivity,അഡിറ്റിവിറ്റി
adjacency matrix,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
adjacent,തൊട്ടടുത്തുള്ള
adjacent angles,അടുത്തുള്ള കോണുകൾ
adjacent vertex,തൊട്ടടുത്തുള്ള ശീർഷകം
adjoin,ചേരുക
adjoining,തൊട്ടടുത്തുള്ള
adjoint determinant,അനുബന്ധ ഡിറ്റർമിനന്റ്
adjoint differential equation,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
adjoint equation,അനുബന്ധ സമവാക്യം
adjoint matrix,അനുബന്ധ മാട്രിക്സ്
adjoint of matrix,മാട്രിക്സിന്റെ അനുബന്ധം
adjugate matrix,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
admissible decision function,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
admissible hypothesis,അനുവദനീയമായ അനുമാനം
aerodynamic force,എയറോഡൈനാമിക് ശക്തി
aerodynamics,എയറോഡൈനാമിക്സ്
affine geometry,അഫൈൻ ജ്യാമിതി
affine mapping,അഫൈൻ മാപ്പിംഗ്
affine transformation,അഫൈൻ പരിവർത്തനം
aggregating variables,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
algebra,ബീജഗണിതം
algebraically closed,ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
algebraic equation,ബീജഗണിത സമവാക്യം
algebraic expression,ബീജഗണിത പദപ്രയോഗം
algebraic form,ബീജഗണിത രൂപം
algebraic function,ബീജഗണിത പ്രവർത്തനം
algebraic geometry,ബീജഗണിത ജ്യാമിതി
algebraic multiplicity,ബീജഗണിത ഗുണിതം
algebraic system,ബീജഗണിത വ്യവസ്ഥ
all-integer problem,എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം
allocation problem,വിഹിതം പ്രശ്നം
alphabetical notation,അക്ഷരമാലാ ക്രമം
alphabetic character,അക്ഷരമാലാക്രമം
alternate angle,ഇതര കോൺ
alternating form,ഒന്നിടവിട്ട രൂപം
alternating group,ഇതര ഗ്രൂപ്പ്
alternating matrix,ഒന്നിടവിട്ട മാട്രിക്സ്
alternating series,ഒന്നിടവിട്ട പരമ്പര
alternative hypothesis,ഇതര സിദ്ധാന്തം
alternative optima,ഇതര ഒപ്റ്റിമ
alternative outcome,ഇതര ഫലം
analog-to-digital converter,അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ
analogue computer,അനലോഗ് കമ്പ്യൂട്ടർ
analysis,വിശകലനം
analysis of covariance,സഹവർത്തിത്വത്തിന്റെ വിശകലനം
analysis of enumeration data,എണ്ണൽ ഡാറ്റയുടെ വിശകലനം
analysis of variance,വ്യതിയാനത്തിന്റെ വിശകലനം
analytic geometry,അനലിറ്റിക് ജ്യാമിതി
analytic function,വിശകലന പ്രവർത്തനം
angle,കോൺ
angle of contact,കോൺടാക്റ്റ് കോൺ
angle of deflection,വ്യതിചലനത്തിന്റെ കോൺ
angle of depression,വിഷാദത്തിന്റെ ആംഗിൾ
angle of deviation,വ്യതിയാനത്തിന്റെ കോൺ
angle of diffraction,ഡിഫ്രാക്ഷൻ കോൺ
angle of elevation,എലവേഷൻ കോൺ
angle of incidence,സംഭവത്തിന്റെ കോൺ
angle of projection,പ്രൊജക്ഷൻ കോൺ
angle of reflection,പ്രതിഫലനത്തിന്റെ കോൺ
angle of refraction,അപവർത്തന കോൺ
angle of rotation,ഭ്രമണകോണ്
angle of total reflection,മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ
angular acceleration,കോണീയ ത്വരണം
angular motion,കോണീയ ചലനം
angular speed,കോണീയ വേഗത
angular velocity,കോണീയ പ്രവേഗം
annulus,വാർഷികം
answer,ഉത്തരം
anti – derivative,ആന്റി-ഡെറിവേറ്റീവ്
antisymmetric function,ആന്റിസിമെട്രിക് പ്രവർത്തനം
applicable,ബാധകമാണ്
application,അപേക്ഷ
applied dynamic programming,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
applied geometry,പ്രയോഗിച്ച ജ്യാമിതി
applied mathematics,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
