English,Odiya
Abbey of Westminster,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
Abditory,ଅବକ୍ଷୟ
Abolition of slavery,ଦାସତ୍ୱ ରଦ୍ଦ
Aboriginal,ଆଦିବାସୀ
Abraham Era,ଅବ୍ରହାମ ଏରା
Absentee landlords,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
Academy,ଏକାଡେମୀ |
Accra conference,ଆକ୍ରା ସମ୍ମିଳନୀ |
Accruals,ଆକ୍ରୁଏଲ୍ |
Acculturation,ଆକଲଚ୍ୟୁଚର୍
Aceldama,ଆକେଲଡାମା |
Achaean (=Achian),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
Achaean League (=Achian League),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
Acropolis,ଆକ୍ରୋପଲିସ୍ |
Acta Diurna,ଆକ୍ଟା ଡିଆର୍ନା |
Acta Senatus,ଆକ୍ଟା ସେନାଟସ୍ |
Acte Additionel,ଆକ୍ଟ ଆଡେଲ୍ |
Active record (=current record),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
Act of attainder,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
Act of Indemnity and oblivion,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
Act of Settlement,ସମାଧାନ ନିୟମ
Ad contractus seal,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
Adullamites,ଆଡୁଲାମାଇଟ୍ସ |
Adversary,ଶତ୍ରୁ
Adversary,ଶତ୍ରୁ
Aeon,ଆଓନ୍
Aerarium,ଏରାରିୟମ୍ |
Aerial warfare,ବାୟୁ ଯୁଦ୍ଧ |
Aetolian League,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
Age,ବୟସ
