Assamese,Hindi
ৱেষ্টমিনিষ্টাৰৰ এবে,वैस्‍टम‍िन्‍स्‍टर मठ
এবডিটৰী,मालखाना
দাসত্ব বিলুপ্ত কৰা,दासता का उन्मूलन
আদিবাসী,आदिवासी
আব্ৰাহাম যুগ,अब्राहम काल
অনুপস্থিত ঘৰৰ মালিক,प्रवासी ज़मींदार
একাডেমী,अकादमी; विद्वत्परिषद
আক্ৰা সন্মিলন,अक्रा सम्मेलन
এক্ৰুৱেল,"प्रोद्भूत सामग्री, उपचित सामग्री"
সংস্কৃতিকৰণ,"परसंस्कृति-ग्रहण, उत्संस्करण"
এচেলডামা,एसेलडामा
আখিয়ান (=আচিয়ান),एकियायी
আচায়ান লীগ (=আচিয়ান লীগ),एकीयायी लीग
এক্ৰ&#39;পলিছ,एक्रोपोलिस
এক্টা ডিউৰ্না,"शाही रोज़नामचा, दैनिक समाचार"
এক্টা চেনেটাছ,सीनेट का कार्यवृत्त
এক্টে এডিচনেল,"अपर प्रपत्र, एक्टे एडिशनेल"
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),सक्रिय रिकार्ड
প্ৰাপ্তিৰ কাৰ্য্য,अपकीर्त्ति अधिनियम
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,दंड विमुक्ति एवं विस्मरण अधिनियम
বন্দোবস্তৰ আইন,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
এড কন্ট্ৰেক্টাছ ছীল,संविदा मुद्रा
এডুলামাইটছ,आडुलम गुटवादी
বিৰোধী,विपक्षी
বিৰোধী,2. शत्रु
ইয়ন,युग
এৰেৰিয়াম,इरेरियम
আকাশী যুদ্ধ,"आकाशी युद्ध, हवाई लड़ाई"
এটলিয়ান লীগ,"एटोलियन लीग, एटोलियायी संघ"
বয়স,"काल, युग"
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),"काल-प्रभावन, जीर्णन"
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,जीर्णन-प्रक्रिया
আগেলাই,एजिलायी
অশ্বাৰোহীৰ যুগ,शौर्य युग
এজ অৱ ইংলাইটমেণ্ট,"प्रबोध युग, ज्ञानोदय युग"
পেৰিক্লিছৰ বয়স,पेरीक्लीज़ युग
যুক্তিৰ বয়স,तर्क प्रधान युग
কৃষিবাদ,भूमि सुधारवाद
কৃষি আন্দোলন,भूमि सुधारवादी आंदोलन
এলবিয়ন,एलबियन
এলবাম,अलबम
এলডাৰমেন,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
আলোকসজ্জা বাহু,कुलांकित आयुध
এমিটি,मैत्री
এম্ফিক্টয়নিক কাউন্সিল,एम्फिकटिआनी परिषद
এম্ফিক্টয়নিক লীগ,ऊपर देo : Amphictyonic Council
এম্ফিথিয়েটাৰ,"रंगवाट, रंगभूमि, अखाड़ा"
অমৰি নল গোট (মৃৎশিল্পৰ),(मृद्भांडों का) अमरीनाल वर्ग
এনাক্ৰ’নিজম,"काल-वैषम्य, काल-दोष"
এনাক্ৰ’নিষ্টিক,काल-वैषम्ययुक्त
পূৰ্বপুৰুষ,पूर्वज
পূৰ্বপুৰুষ পূজা,पितृ-पूजा
বংশ,कुल-परंपरा
বংশ,2. वंश
বংশ,3. वंश-क्रम
বংশ,4. उच्च कुल
Ancien শাসন ব্যৱস্থা,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
পৌৰাণিক,"पुरातन, प्राचीन"
প্ৰাচীন বেলাড,प्राचीन गाथा
প্ৰাচীন বিশ্বাস,प्राचीन मत
প্ৰাচীন প্ৰথা,प्राचीन प्रथा
প্ৰাচীন ইতিহাস,प्राचीन हतिहास
প্ৰাচীন কীৰ্তিচিহ্ন,प्राचीन स्मारक
উপাখ্যান,उपाख्यान
এঞ্জেলট,एन्जिलोट
এঞ্জেলছ,देवदूत पूजा
এঞ্জেভিন (=anjevin),आन्जवै
কোণ,ऐन्गल्स
এংলিকান,आंग्लिक
এংলিকান কমিউনিয়ন,आंग्ल चर्च
এংলিকানিজম,आंग्ल चर्चवाद
এংলো-ফ’ব,आंग्ल विरोधी
এংলো-ফ’বিয়া,आंग्ल-दुर्भीति
এংলো-চেক্সন,आंग्ल सैक्सन
এংলো-চেক্সনবাদ,आंग्ल-सैक्सनवाद
এনালিষ্ট,"आख्यान-लेखक, आख्यानकार"
এনালছ,"वर्षवृत्त, आख्यान, ख्यात"
সংলগ্নকৰণ,"अधिनहन, मिला देना"
এণ্টে-বেলাম,युद्ध पूर्व (स्थिति)
এণ্টে তাৰিখ,"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण"
কেৰাণীবাদ বিৰোধী,पादरी प्रथा विरोधी
কেৰাণী বিৰোধী আইন,पादरी प्रथा विरोधी विधान
প্ৰাচীনতা,"पुरावशेष, पुरावस्तु"
ভাড়া বিৰোধী,लगान-विरोधी
ভাড়া বিৰোধী,2. एन्टी रैन्ट पार्टी
চেমিটিজম বিৰোধী,"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद"
এঞ্জেক,ऐन्ज़ेक
এপেলা,नागरिक सभा
আৰালু,अरालू
আৰ্ক বিচপ,आर्च बिशप
আৰ্ক ডাচি,आर्च डची
আৰ্ক ড্যুক,आर्च ड्यूक
আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ),पुरालेख संग्रह
আৰ্কিপিস্কোপেট,महाधर्माध्यक्ष का पद
অভিজাত শ্ৰেণী,अभिजाततंत्र
অভিজাত,अभिजात
অভিজাত স্নোবৰী,अभिजातीय दंभ
এৰিষ্ট&#39;টেলিয়ান,अरस्तूवादी
আৰ্মাডা,आर्मेडा
আৰ্মাডা (=স্পেনিছ আৰ্মাডা),स्पेन का आर्मेडा
আৰ্মৰিষ্ট (=armourist),कवच-विशारद
কৱচ (=কৱচ),"कवच, बख्तर, वर्म"
আৰ্মৰিষ্ট,अo देo armorist
আৰ্য্য,आर्य
আৰ্য্য,2. कुलीन
আস্কৰী,अस्कारी
Assignat,"आसिग्ना, भू-प्रतिभृत मुद्रा"
Assize,अभिसत्र
Assize,2. विधिपृच्छा
Assize,3. अभिसत्राधिनियम
এছাইজ অৱ আৰ্মছ এক্ট,आयुध अभिसत्राधिनियम
ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ,डारेन उपस्थापन अभिसत्राधिनियम
মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ,मृत पूर्वज अभिसत्राधिनियम
নভেল ডিচেইচিনৰ এছাইজ,अभिनव अधिधारणोत्सादन अभिसत्राधिनियम
অত্যাচাৰ,नृशंसता
আক্ৰমণ,आक्रमण
অলিক কাউন্সিল,"सर्वोच्च न्यायालय, ऑलिक काउन्सिल"
গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ),गेडिस समाधान
অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ),धुरी राष्ट्र
বেবিলন,"बाबुल, बेबीलोन"
বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব),बेबीलोनी बंदीकरण
বচনাল ভক্ত,बाखुसी उपासक
বাচনালিয়া,मद्यपानोत्सव
অবিবাহিত লোক,युवा योद्धा
বাগদাদ চুক্তি,"बगदाद अनुबंध, बगदाद पैक्ट"
বাল্কন লীগ,बाल्कन लीग
বাল্কন চুক্তি,बाल्कन अनुबंध
বাল্কন যুদ্ধ,बाल्कन युद्ध
বাল্টিক চুক্তি,बाल्टिक अनुबंध
ডাকাত,दस्यु
বাণ্ডুং সন্মিলন,बांडुंग सम्मेलन
নিৰ্বাসন,"निर्वासन, देश-निकाला"
বেনাৰ,"पताका, ध्वजा"
বৰ্বৰ,बर्बर
বাৰ্বিকান,कोट-घूँघट
বৰদলৈ সত্যাগ্ৰহ,बारदोली सत्याग्रह
বাৰ্ন বাৰ্নাৰ্ছ,बार्न बर्नस
বেৰন,"बैरन, सामंत"
বেৰনেজ,बैरोनेज
বেৰনছ মেজৰ,महासामंत
বেৰনেছ নাবালক,लघु सामंत
বেৰনেছ,सामंत पत्नी
বেৰনেট,उपसामंत
বেৰনেটেজ,उपसामंत वर्ग
বেৰনেটেজ,2. बैरोनेट वंशावली
বেৰনেটচি,उपसामंत
বেৰনি,बैरोनी
বেৰাকুন,दास बंदीगृह
বেৰাকুন,2. दास-गृह
বেৰিকেড (=barricade),अवरोध
বেৰিকেড (=barricade),2. घिराव
বেৰিকেড (=barricade),3. मोचबिंदी
বেচ কেম্প,आधार शिबिर
বেচিলিকা,वैसिलिका
বেচিলিকা,2. सभा भवन
বাষ্টিলা,बैस्टील
বেষ্টিল,बैस्टील
বেষ্টিল,2. कारागार
বেটাৰি,तोपखाना
যুদ্ধ,"रण, समर, युद्ध"
বাটলে-এৰে,रण-व्यूह
যুদ্ধৰ চিঞৰ,युद्ध-घोष
যুদ্ধৰ ডিন,युद्ध कोलाहल
যুদ্ধক্ষেত্ৰ,"रण भूमि, रण क्षेत्र, समरांगण"
যুদ্ধ গীত,युद्ध-गान
স্পাৰ্ছৰ যুদ্ধ,एड़-युद्ध
ষ্টেণ্ডাৰ্ডৰ যুদ্ধ,ध्वज-संग्राम
যুদ্ধজাহাজ,"रणपोत, जंगी जहाज़, संगरपोत"
যুদ্ধজাহাজ-শক্তি,"संगरपोत शक्ति, रणपोत-शक्ति"
Bayeux টেপেষ্ট্ৰি,बेयू चित्रपट
বিকন,संकेत प्रकाश
বিকন টাৱাৰ,प्रकाश स्तंभ
বিভাৰ,मुखरक्षी
বিভাৰ,2. बीवर सिक्का
সাগৰৰ ভিক্ষাৰী,समुद्री बैगर
বেলিকোজ,युयुत्यु
বেলিকোজ,2. लड़ाकू
বেলিকোজ,3. युद्धप्रिय
