Punjabi,Marathi
ਅਬੇਲੀਅਨ ਸਮੂਹ,अबेलियन गट
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,अबेलियन अर्धसमूह
abscissa,abscissa
ਅਸੀਮ,निरपेक्ष
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,परिपूर्ण अभिसरण
ਪੂਰਨ ਗਲਤੀ,पूर्ण त्रुटी
ਪੂਰਨ ਅਧਿਕਤਮ,परिपूर्ण कमाल
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,परिपूर्ण किमान
ਸਹੀ ਮੁੱਲ,परिपूर्ण मूल्य
ਪੂਰਨ ਗਤੀ,परिपूर्ण वेग
ਸਾਰ ਅਲਜਬਰਾ,अमूर्त बीजगणित
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,अमूर्त गट सिद्धांत
ਪ੍ਰਵੇਗ,प्रवेग
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,गुरुत्वाकर्षणामुळे प्रवेग
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,स्वीकार्य निवड संच
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,स्वीकार्य गुणवत्ता पातळी
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,स्वीकार्य श्रेणी
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,स्वीकार्य विश्वसनीयता पातळी
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,स्वीकार्य नमुना
ਸੰਚਿਤ ਗਲਤੀ,संचित त्रुटी
ਸ਼ੁੱਧਤਾ,अचूकता
ਐਕਟਿੰਗ ਫੋਰਸ,अभिनय शक्ती
ਕਾਰਵਾਈ,क्रिया
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,क्रिया आणि प्रतिक्रिया
