Marathi,Hindi
ऍसिडॉइड,एसीडायड
एओलियन माती,जलोढ़ मृदा
एकूण,समुच्चय
एकत्रीकरण,समुच्चयन
कृषीशास्त्र,सस्य मृदा विज्ञान
कृषीशास्त्र,सस्य विज्ञान
A-क्षितिज,"A-संस्तर, A-होराइजन"
Ao-क्षितिज,Ao-संस्तर/Ao-होराइजन
Aoo-क्षितिज,Aoo-संस्तर/होराइजन
मातीची हवेची क्षमता,मृदा की वायु धारिता
मातीतील हवेचे प्रमाण,मृदा का वायु अंग
एअर पिकनोमीटर,वायु पिक्नोमीटर
ऍलिटिक माती,एलीटिक मृदा
गाळाची माती,जलोढ़ मृदा
अॅम्फोलायटॉइड,एम्फोलीटायड
आयन,ऋणायन
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
ऍरिस,कोर
Ashlar दंड दगडी बांधकाम,बारीक वराश्म चिनाई
Ashlar दगडी बांधकाम,वराश्म चिनाई
अझोनल माती,अस्तरीय मृदा/अक्षेत्रीय मृदा
मागचा अभिनेता,कर्ष खनित्र
मागची कमान,पश्च डाट
बॅक बँड,पश्च पट्ट
मागे ब्रश,उपटा प्रलेप
परत तपासणी,पश्च रोधक
मागे काउंटर,पश्च पटल
परत कटिंग,पश्च कर्तन
बॅक ड्राफ्ट डँपर,उपटा झोंका अवमंदक
मागे निचरा,पश्च नली
बॅक ड्रॉप,पश्च पट
परत भरा,पृष्ठ भरण
बॅक फिलेट,पश्च पट्टिका
बॅक फ्लॅप बिजागर,पृष्ठ पल्ला कब्जा
परत प्रवाह कनेक्शन,प्रतीप प्रवाह संयोजन
परत प्रवाह प्रतिबंधक,प्रतीप प्रवाह निरोधक
बॅक गेज,पश्चांतर
मागे गटार,पश्च नली
मागे चूल,अग्निस्थान पृष्ठ
पाठीराखा,पीठ/पृष्ठ भाग
बॅकिंग बोर्ड,पिछला तख्ता
पाठीचा दाब,पश्च दाब
बॅक प्रोप,पश्च टेक
मागची दृष्टी,पश्चावलोकन
परत पाणी,पश्चजल
गोंधळ,व्यारोध
बॅगवर्क,थैला पुशताबंदो
गिट्टी,गिट्टी
बॉल क्ले,बॉल मृत्तिका
बॉल कोन क्लॅम्प,बॉल शंकुआकार शिकंजा
काटेरी तार,काँटेदार तार
बार कुत्रा,छड़ कुत्ता
बार्ज बोर्ड,त्रयंकी पार्श्व फलक
बेरियम सल्फेट चाचणी,बेरियम सल्फेट परीक्षण
बॅरेज,बैराज
बॅरेट,बरेट
पाया,क्षार
बेस एक्सचेंज,बेस विनिमय
बेस लाइन,आधार रेखा
तळघर,तहखाना/अधोभवन
तळघर भिंत,अधोगृह भित्ति
तळपट्टी,आधार पट्टिका
"बेस प्लेट, समायोज्य",समायोज्य आधार पट्टिका
बेस संपृक्तता,क्षार संतृप्ति
बेसॉइड,बेसाइड
वटवाघूळ,रोड़ा
बाथ आणि WC,स्नानागर व शौच कुण्ड
पिठात पेग,सलामी खूँटी
पिठात घाट,सलामी पाया
पिठात नियम,सलामी नियम
बल्क (बाल्क),बॉक
खाडी,खंडक
वाहक,धारक
सहन करण्याची क्षमता,धारण क्षमता
पत्करणे ब्लॉकला,धारक पाइल
बेअरिंग स्ट्रॅटम,धारक स्तर
पलंग,आधार तल
बेडिंग विमान,संस्तरण तल
बेड संयुक्त,पड़ी दरज
बेड रॉक,अश्माधार
बेड रूम,शयन कक्ष
मेण,मधुमोम
बेल बॉक्स,बैल बॉक्स
बेलिंग बादली,बैलिंग बकेट
बेलोफ्राम,बैलोफ्राम
बेंच केलेला पाया,पैड़ीदार नींव
बेंचिंग,पैड़ी बनाना
बेंच मार्क,निदेश तलचिह्न
लाभ खर्चाचे विश्लेषण,हितलाभ लागत विश्लेषण
बर्म,उपतट
Bevelled बंद,ढालू डेली
"B-क्षितिज,&quot;B-",संस्तर/B-होराइजन
बायट,बीएट
बाईंडर,बंधक
बंधनकारक साहित्य,बंधक पदार्थ
बायोटचा सिद्धांत,बायोट का सिद्धांत
बिटुमेन,बीटूमन
काळी कापूस माती,काली मृदा
काळी पृथ्वी,काली मिट्टी
काळी हरळीची माती,काली शाब्दल मृदा
ब्लेड,फलक
ब्लास्ट फर्नेस स्लॅग सिमेंट,वात्या भट्टी धातुमल सीमेंट
ब्लॉक रचना,खंडीय संरचना
बोगी प्रतिकार,बोगी संचलन प्रतिरोध
बोग-लोह धातू,दलदल लोह खनित्र
बाँड,चाल (चिनाई की)
बंधपत्रित सदस्य,बद्ध अवयव
बंध पोस्ट टेंशनिंग,बद्ध प्रत्ययित तनन
बोंड दगड,बंधक पत्थर
बांधलेले पाणी,बद्ध जल
पेटी गटर,पेटिकाकार नाली
ब्रेस,बंधनी
वीट-ऑन-एज,खड़ी ईंट
लगाम,ब्राइडल
तेज,द्युति
तपकिरी माती,भूरी मृदा
इमारत,भवन
इमारत सर्वेक्षक,भवन सर्वेक्षक
बफर,बफर (रोधक)
बफर वक्र,रोधनवक या अनुपामन वक
बफरिंग,रोधन
बफरिंग क्षमता,रोधन क्षमता
बंदर,बन्दर
बट्रेस,पुश्ता
सी-क्षितिज,c-संस्तर/c-होराइजन
केबल,तार/केबल
केबल मोल्डिंग,तारगढ़ाई
केबल टाकणे,केबिल तंत्र
केबिन,केबिन
केबिन हुक,केबिन अंकुश
कपाट,मंजूषा
कॅबोल्ट सोडला,ध्वनि शोषण चादर
कॅफेटेरिया,कैफेटेरिया
पिंजरा,पिंजरा
पिंजरा बांधकाम,पिंजरानुमा निर्माण
काईनचे सूत्र,केनसूत्र
कैसन,कैसन (या कॉफर)
कॅसन रोग,कैसन रोग
Caisson पाया,केसन नींव
Caisson ढीग,कैसन पाइल
चुनखडीची वीट,चूनेदार ईंट
चुनखडीयुक्त चिकणमाती,चूनेदार मिट्टी
चुनखडीयुक्त कवच,चूनेदार पपड़ी
कॅल्सिफिकेशन,केल्सीकरण
कॅल्सीनेशन,निस्तापन
कॅल्सीन,कैलसाइन
कॅल्साइट,कैल्साइट
कॅल्शियम-अल्युमिनेट सिमेंट,कैल्शियम एल्यूमिनेट सीमेंट
कॅल्शियम-सिलिकेट वीट,कैल्शियम सिलीकेट ईंट
कॅल्शियम-सिलिकेट हायड्रेट,कैल्शियम सिलिकेट हाईड्रेट
