English,Hindi
Abort,विफलन
Abort timer,विफलन कालद
Absolute address,निरपेक्ष पता
Absolute addressing,निरपेक्ष पताभिगमन
Absolute assembler,निरपेक्ष कोडांतरक
Absolute code,निरपेक्ष कूट
Absolute coding,निरपेक्ष कूटलेखन
Absolute command,निरपेक्ष समादेश
Absolute coordinate,निरपेक्ष निर्देशांक
Absolute data,निरपेक्ष आंकड़े
Absolute error,निरपेक्ष त्रुटि
Absolute expression,निरपेक्ष व्यंजक
Absolute instruction,निरपेक्ष अनुदेश
Absolute loader,निरपेक्ष भारक
Absolute order,निरपेक्ष आदेश
Absolute programming,निरपेक्ष क्रमादेशन
Absolute term,निरपेक्ष पद
Absolute value,निरपेक्ष मान
Absolute vector,निरपेक्ष सदिश
Abstract,"सारांश, अमूर्त"
Abstracting,"सारांशन, अमूर्तकरण, साराहरण"
Abstract symbol,अमूर्त प्रतीक
Acceleration period,त्वरण अवधि
Acceleration time,त्वरण काल
Accent,उच्चारण चिह्न
Acceptance test,स्वीकरण परीक्षण
Access,अभिगम
Access arm,अभिगम बाहु
Access arrangement,अभिगम व्यवस्था
Access authority,अभिगम प्राधिकारक
Access charge,अभिगम शुल्क
Access class,अभिगम वर्ग
Access data base management,अभिगम आँकड़ासंचय प्रबंध
Access environment,अभिगम परिवेश
Access gap,अभिगम अंतराल
Access index,अभिगम सूचक
Access line,अभिगम लाइन
Access mechanism,अभिगम यांत्रिकत्व
Access method,अभिगम विधि
Access method routine,अभिगम विधि नेमका
Access mode,अभिगम विधा
Access right,अभिगम अधिकार
Access scan,अभिगम क्रमवीक्षण
Access time,अभिगम काल
Accounting,लेखा कार्य
Accounting finance system,लेखाकार्य वित्त तंत्र
Accounting machine,लेखा यंत्र
Account number,खाता संख्या
Accumulating reproducer,संचयी पुनरुत्पादक
Accumulator,संचायक
Accumulator register,संचायक पंजी
Accumulator shift instruction,संचायक विस्थापन अनुदेश
Accuracy,परिशुद्धता
Accuracy control character,परिशुद्धता नियंत्रण संप्रतीक
Accuracy control system,परिशुद्धता नियंत्रण तंत्र
Ace pilot,उत्कृष्ठ मार्गदर्शी
Acknowledge character,पावती संप्रतीक
Acoustic coupler,ध्वनिक युग्मक
Acoustic coupling,ध्वनिक युग्मन
Acoustic delay line,ध्वनिक विलंब लाइन
Acoustic memory,ध्वनिक स्मृति
Acoustic modem,ध्वनिक मोडेम
Acoustic signal,ध्वनिक संकेत
Acoustic storage,ध्वनिक भंडारण
Acronym,परिवर्णी शब्द
Action,क्रिया
Action cycle,क्रिया चक्र
Action line,क्रिया लाइन
Action message,क्रिया संदेश
Action specification,क्रिया विनिर्देश
Activation,सक्रियण
Active,सक्रिय
Active file,सक्रिय संचिका
Active line,सक्रिय लाइन
Active link,सक्रिय कड़ी
Active master file,सक्रिय प्रधान संचिका
Active master item,सक्रिय प्रधान मद
Active satellite,सक्रिय उपग्रह
Active station,सक्रिय केन्द्र
Active storage,सक्रिय भंडारण
Activity,सक्रियता
Activity level,सक्रियता स्तर
Activity loading,सक्रियता भारण
Activity ratio,सक्रियता अनुपात
Actual address (=absolute address),निरपेक्ष पता
Actual code (=absolute code),निरपेक्ष कूट
Actual data transfer rate,वास्तविक आँकडा स्थानांतरण दर
Actual decimal point,वास्तविक दशमलव बिन्दु
Actual instruction (=effective instruction),प्रभावी अनुदेश
Actual key,वास्तविक कुंजी
Actual time,वास्तविक काल
Actual work time,वास्तविक कार्य काल
Actuating signal,प्रवर्तक संकेत
Adaptability,अनुकूलनीयता
Adapter,अनुकूलित्र
Adaptive channel allocation,अनुकूली प्रणाल नियतन
Adaptive integration,अनुकूली समाकलन
Adaptive transversal equalizer,अनुकूली अनुप्रस्थ तुल्यकारक
Added entry,योजित प्रविष्ट
Addend,योज्य
Adder,योजक
