Malayalam,Telugu
ശീതീകരണം,తగ్గింపు
ചുരുക്കല്,సంక్షిప్తీకరణ
പിടിച്ചുകൊണ്ടുപോകല്,అపహరణ
Aveyne,Abeyance
കഴിവ്,సామర్థ్యం
Ab initio,అబ్ ఇనిషియో
കഴിവുള്ള,సామర్థ్యం
വിലക്ഷണമായ,అసాధారణ
നിർത്തലാക്കൽ,రద్దు
നിർത്തലാക്കൽ പോസ്റ്റ്,నిర్మూలన పోస్ట్
മുകളിൽ സൂചിപ്പിച്ച,పైన పేర్కొన్నారు
മുകളിൽ ഉദ്ധരിച്ചത്,పైన కోట్ చేయబడింది
മുകളിൽ പറഞ്ഞത്,పైన చెప్పారు
അസാന്നിദ്ധം,లేకపోవడం
ഹാജരാകാത്ത,హాజరుకాని
ഹാജരാകാത്തീയത,హాజరుకానితనం
ഹാജരാകാതിരിക്കുക,హాజరుకాని ప్రకటన
കേശവം,సంపూర్ణ
കേവല കുത്തക,సంపూర్ణ గుత్తాధిపత్యం
കേവല ഉടമസ്ഥാവകാശം,సంపూర్ణ యాజమాన్యం
ആഗിരണം,శోషణ
വേര്പെട്ടുനില്ക്കുന്ന,నైరూప్య
അനുഗമിക്കുന്നു,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
അസംബന്ധം,అసంబద్ధం
സമൃദ്ധി,సమృద్ధి
അധികാര ദുരുപയോഗം,అధికార దుర్వినియోగం
അധിക്ഷേപകരമായ ഭാഷ,దుర్వినియోగ భాష
പണ്ഡിതോചിതമായ,విద్యావేత్త
അക്കാദമിക് ചർച്ച,విద్యా చర్చ
അക്കാദമിക് അവധി,విద్యా సెలవు
വിദ്യാഭ്യാസ യോഗ്യത,విద్యా అర్హత
അക്കാദമിക് റെക്കോർഡ്,విద్యా రికార్డు
നിര്വഹിക്കുക,ACCEDE
അംഗീകരിക്കുക,అంగీకరించండి
കൈക്കൊള്ളല്,అంగీకారం
ഓഫീസിന്റെ സ്വീകാര്യത,కార్యాలయం అంగీకారం
ടെണ്ടർ സ്വീകാര്യത,టెండర్ అంగీకారం
പ്രവേശനം,యాక్సెస్
അപേക്ഷ,ప్రవేశం
ഉപസാധനം,అనుబంధ
ആകസ്മികത,ప్రమాదం
ACCLIMATIES,అలవాటు
സ്ഥലസൗകരം,వసతి
അനുഗമിച്ചു,తోడు
അക്കോര്,ఒప్పందం
അഭാവം,అనుగుణంగా
അക്കാരണത്താല്,దీని ప్రకారం
കണക്ക്,ఖాతా
ഉത്തരവാദിത്തം,జవాబుదారీతనం
ഉത്തരവാദിയായ,జవాబుదారీతనం
അക്കൗണ്ടൻസി,అకౌంటెన్సీ
കണക്കെഴുത്തുകാരി,అకౌంటెంట్
അക്കൗണ്ട്,ఖాతా
അക്കൗണ്ട് തല,ఖాతా హెడ్
വർദ്ധിച്ച ആനുകൂല്യം,సేకరించిన ప్రయోజనం
വർദ്ധിച്ച പെൻഷൻ,పెన్షన్ పెన్షన్
കൂന്വാരം,చేరడం
കൃതത,ఖచ్చితత్వం
സൂക്ഷ്മമായ,ఖచ్చితమైనది
ബോധിപ്പിക്കുന്ന,నిందించండి
കുറ്റക്കാരന്,ఆరోపణలు
നേട്ടം,సాధన
അംഗീകാരം,గుర్తింపు
അംഗീകാരത്തിന്റെ,రసీదు గడువు
പരിചയം,పరిచయము
കൈവശപ്പെടുത്തൽ,సముపార్జన
കുറ്റപാട്വിൽപ്പന,సముపార్జన
പവര്ത്തിക്കുക,చట్టం
അഭിനയ അലവൻസ്,నటన భత్యం
പവര്ത്തി,చర్య
പ്രവർത്തന പദ്ധതി,కార్య ప్రణాళిక
സജീവമായ,క్రియాశీల
സജീവമായി,చురుకుగా
ചുറുചുറുക്കുള്ളവള്,కార్యకర్త
ദൈവിക പ്രവൃത്തി,దైవఘటన
ദുരാചാരത്തിന്റെ പ്രവർത്തനം,దుష్ప్రవర్తన చర్య
കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം,కమీషన్ మరియు కమీషన్
യഥാര്ത്ഥത്തിലുള്ള,అసలు
വാസ്തവങ്ങൾ,వాస్తవాలు
പൊരുത്തപ്പെടുത്തൽ,అనుసరణ
കൂട്ടല്,అదనంగా
അധിക നിരക്ക്,అదనపు ఛార్జ్
അധിക ഫണ്ട്,అదనపు ఫండ్
അധിക ഗ്രാന്റ്,అదనపు గ్రాంట్
അധിക വിവരം,అదనపు సమాచారం
അധിക വേതനം,అదనపు వేతనం
കൂട്ടിച്ചേർക്കലും മാറ്റവും,అదనంగా మరియు మార్పు
അഭിസംബോധന ചെയ്യുക,చిరునామా
വിലാസശാല,చిరునామా
സ്വാഗത വിലാസം,స్వాగత చిరునామా
പരാപ്തമായ,తగినంత
ഇത് പാലിക്കുക,కట్టుబడి
ആഡ് ഹോക്ക്,తాత్కాలిక హాక్
AD HOC ക്ലെയിം,తాత్కాలిక దావా
താൽക്കാലിക സമിതി,తాత్కాలిక కమిటీ
താൽക്കാലിക വർദ്ധനവ്,తాత్కాలిక పెరుగుదల
