Gujarati,English
અસામાન્ય,Abnormal
ગર્ભપાત,Abort
ઘર્ષણ,Abrasion
અચાનક,Abrupt
સંપૂર્ણ ક્ષેત્ર શક્તિ,Absolute field strength
સંપૂર્ણ તાપમાન,Absolute temperature
અબાધિત મૂલ્ય,Absolute value
શોષવું,Absorb
સહ-કાર્યક્ષમ,Absorption co-efficient
શોષણ,Absorption loss
નિષ્ક્રિય,Abstract
પ્રવેગમાપક,Accelerometer
સ્વીકૃતિ કસોટી,Acceptance test
પ્રવેશ,Access
વપરાશ નિયંત્રણ,Access control
પ્રવેશ -બિંદુ,Access point
પ્રવેશ સમય,Access time
ઉપલ્બધતા,Accessibility
સંકુચિત સેલી,Accumulator cell
ચોકસાઈ,Accuracy
ચોક્કસ,Accurate
ઘેટાંના લેન્સ,Achromatic lens
તેજાબ,Acid
એસિડ પ્રૂફ,Acid proof
અમલ્ય,Acidity
સ્વીકૃતિ,Acknowledgement bit
ધ્વનિશાસ્ત્ર,Acoustic
ધ્વનિશાસ્ત્ર,Acoustic communication
ધ્વનિ -પ્રસરણ,Acoustic diffusion
ધ્વનિ -બરાબરી,Acoustic equalizer
ધ્વનિ -પ્રતિસાદ,Acoustic feedback
ધ્વનિ ફિલ્ટર,Acoustic filter
ધ્વનિ અવરોધ,Acoustic impedance
ધ્વનિ -માસ્કીંગ,Acoustic masking
ધ્વનિની શક્તિ,Acoustic power
ધ્વનિપક્ષીય મિલકત,Acoustic property
ધ્વનિની પ્રતિક્રિયા,Acoustic reactance
ધ્વનિ -પ્રતિબિંબ,Acoustic reflex
ધ્વનિ ટાઇલ,Acoustic tile
ધ્વનિ તરંગ,Acoustic wave
શ્રવ -શોષણ,Acoustical absorption
શ્રવણશક્તિ એટેન્યુએશન,Acoustical attenuation constant
શ્રવણની ભીનાશ,Acoustical damping
ધ્વનિ વિલંબ રેખા,Acoustical delay line
ધ્વનિની વિકૃતિ,Acoustical distortion
શ્રવણ નલિક,Acoustical duct
શ્રવણશક્તિ,Acoustical energy
શ્રવણશક્તિ,Acoustical feedback
શ્રદ્ધ ફિલ્ટર,Acoustical filter
શ્રવણનો અવરોધ,Acoustical impedance
ધ્વનિ -પ્રચાર,Acoustical propagation constant
શ્રવણ પ્રતિકાર,Acoustical resistance
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,Acoustically insulated
ધ્વનિશાસ્ત્ર,Acoustics
સંપાદન,Acquisition
ટૂંકાક્ષર,Acronym
કાર્યવાહી ક્ષેત્ર,Action area
સક્રિય ફિલામેન્ટ,Activated filament
સક્રિય,Active
સક્રિય ક્ષેત્ર,Active area
સક્રિય બારી,Active window
અનુકૂલનક્ષમતા,Adaptability
એડેપ્ટર (એડેપ્ટર),Adapter (adaptor)
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,Adaptive differential pulse code modulation
સરનામા પુસ્તિકા,Address book
સરનાવ બસ,Address bus
ઠરાવ,Address resolution
સંલગ્ન ચેનલ દખલ,Adjacent channel interference
સંલગ્ન ચેનલ પસંદગી,Adjacent channel selectivity
સંલગ્ન આવર્તન,Adjacent frequency
સંલગ્ન આવર્તન ચેનલ,Adjacent frequency channel
અડીને ચિત્ર વાહક,Adjacent picture carrier
અડીને ધ્વનિ વાહક,Adjacent sound carrier
સંલગ્ન મથક,Adjacent station
ગોઠવણપાત્ર,Adjustable
ગોઠવણપાત્ર કન્ડેન્સર,Adjustable condenser
ગોઠવણ,Adjusting pressure
સમાયોજન,Adjusting wrench
સમાયોજન,Adjustment
વહીવટકર્તા,Administrator
અદ્યતન ટેકનોલોજી,Advanced technology
હવાઈ,Aerial
હવાઈ ​​એરે,Aerial array
હવાઈ ​​બૂસ્ટર,Aerial booster
હવાઈ ​​પ્રવાહ,Aerial current
હવાઈ ​​કમાણી સ્વીચ,Aerial earthing switch
હવાઈ ​​કાર્યક્ષમતા,Aerial efficiency
હવાઈ ​​અવરોધ,Aerial impedance
હવાઈ ​​લિટક્શન,Aerial inductance
હવાઈ ​​ઇન્સ્યુલેટર,Aerial insulator
હવાઈ ​​લોડિંગ કોઇલ,Aerial loading coil
હવાઈ ​​ફોટોગ્રાફી,Aerial photography
હવાઈ ​​શક્તિ,Aerial power
