Hindi,Bengali
रुद्ध-वृद्धि अंग,বাতিল অঙ্গ
रुद्ध वृद्धि बीज,বাতিল বীজ
"गर्भपात, गर्भस्राव, वृद्धि विरोध",গর্ভপাত
"अवांछित अपतृण, पूर्ण खरपतवार",পরম আগাছা
अवशोषित धनायन,শোষিত কেশন
अवशोषण,শোষণ
ऐबिसिनी सरसों,অ্যাবিসিনিয়ান সরিষা
"एकेरेसनाशी, चिचड़ीनाशी",অ্যাকারিসাইড
अकेंद्री,অ্যাকসেন্ট্রিক
प्रवर्धन (कोशिका),উচ্চারণ (সেল)
स्वीकृत सहायता,স্বীকৃত সহনশীলতা
"अतिरिक्त, सहायक, गौण",আনুষঙ্গিক
पर्यनुकूलन,প্রশংসাপত্র
संचय,জমা
"यथार्थता, परिशुद्धता",সঠিকতা
"एसर्वुलस, बीजाणुपात्र",এসারভুলাস
"ऐसीटीकरण, सिरका बनाना",অ্যাসিটিফিকেশন
"अम्लीकरण, अम्लन",অ্যাসিডিফিকেশন
"अम्लतामापी, एसिडीमीटर",অ্যাসিডিমিটার
अम्लता,অম্লতা
अम्लरागी,অ্যাসিডোফিলিক
अम्लीकृत रॉक फॉस्फेट,অ্যাসিডুলেটেড রক ফসফেট
अम्लसह,অ্যাসিডুরিক
जलभृत,জলজ
अधिग्रहण,অধিগ্রহণ
एकड़,একর
"क्षेत्रफल, रकबा",জমি
उपांत बिंदु क्रोमोसोम,অ্যাক্রোসেন্ট্রিক ক্রোমোজোম
अग्राभिसारी,অ্যাক্রোপেটাল
ऐक्रोसोम,অ্যাক্রোসোম
एक्टिनोमाइसिटीज,অ্যাক্টিনোমাইসেটস
सक्रिय मूलक्षेत्र,সক্রিয় মূল অঞ্চল
"उग्र, तीव्र",তীব্র
अनुकूलनशीलता,অভিযোজনযোগ্যতা
अनुकूलन,অভিযোজন
"आसंजन, अभिलाग, बन्ध",আঠালো
वसामय,অ্যাডিপোজ
समायोजन समीकरण,সামঞ্জস্য সমীকরণ
ऐडोब मृदा,অ্যাডোব মাটি
अपमिश्रक,ভেজাল
अपस्थानिक,অ্যাডভেটিয়াস
"एसीडियोस्पोर, एसीडियम बीजाणु",আইসিডিওস্পোর
वातोढ़ प्रक्रिया,আইওলিয়ান প্রক্রিয়া
वातोढ़,আইওলিয়ান
वातन करना,এয়ারেট
"वायव, आकाशी",এরিয়াল
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",এয়ারোমিটার
ऐरोसॉल,অ্যারোসোল
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",এ্যাস্টিভেশন
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",এটিওলজি (এটিওলজি)
वनरोपण,Afforastation
"विलोडन, प्रक्षोभन",আন্দোলন
"ऐगमार्क, कृष्यंक",অ্যাগমার্ক
"भूमी संबंधी, कृषि संबंधी",কৃষি
कृषि निदानालय,কৃষি ক্লিনিক
"कृषि श्रम, खेतिहर मजदूर",কৃষি শ্রম
कृषि विपणन,কৃষি বিপণন
कृषि प्रद्योगिकी,কৃষি প্রযুক্তি
"कृषि, खेतीबारी, कृषि विज्ञान",কৃষি
कृषि वनवर्धन,এগ্রিসিলভিকালচার
कृषि जैविक विविधता,কৃষি
कृषि जैविक दोष,অ্যাগ্রোবায়োলজিকাল ত্রুটিগুলি
कृषि जैविकी,অ্যাগ্রোবায়োলজি
कृषि जलवायुवीय विविधता,অ্যাগ্রোক্লিম্যাটিক বৈচিত্র্য
कृषि जलवायुवीय क्षेत्रीकरण,অ্যাগ্রোক্লিম্যাটিক জোনিং
कृषि वानिकी,কৃষি
सस्य मृदा विज्ञान,কৃষিবিদ
सस्य विज्ञान,কৃষি
कृषि पशुचारणिक,অ্যাগ্রোপাস্টোরাল
फसल प्रसंस्करण,কৃষি
घास विज्ञान,অ্যাগ্রোস্টোলজি
सस्य प्ररूप,এগ্রোটাইপ
अधिपादप,এয়ার প্ল্যান্ট
ऐकिओची मृदा,আকিওচি মাটি
"वर्णकहीनता, अवर्णता",অ্যালবিনিজম
एल्फिसॉल,আলফিসোলস
"शैवाल, काई",শৈবাল
शैवाल रोग,অ্যালগাল ডিজিজ
क्षार जल,ক্ষার জল
क्षारीय,ক্ষারীয়
विकल्पी,অ্যালিল
एलीलो रसायन,অ্যালিলোকেমিক্যালস
युग्मविकल्पी,Allelomorph
एलीलोपैथी,অ্যালোলোপ্যাথি
वीथी सस्यन,অলি ক্রপিং
परनिषेक-फलता,বরাদ্দ
परनिषेचन,অ্যালোগ্যামি
"सापेक्षमिति, ऐलोमैट्री",অ্যালোমেট্রি
परबहुगुणित,অ্যালোপলিপ্লয়েড
"परयुग्मन, अपायुग्लन",Allosynapsis (allosyndesis)
"एकातंर वर्ष फलन, एकांतरित फलन",বিকল্প ভারবহন
वैकल्पिक भूमि उपयोग,বিকল্প জমি ব্যবহার
परिवेश,পরিবেষ্টিত
सुधारक,অ্যামেলিয়োর্যান্ট
असूत्रीविभाजन,অ্যামিটোসিস
ऐमीनन,গোলাবারুদ
अमोनियन,অ্যামোনিফিকেশন
अमोनीकारक,অ্যামোনিফায়ার
"अप्रभावी रूप, अरूपी",অ্যামর্ফ
उभय मिश्रण,অ্যাম্ফিমিক্সিস
उभयधर्मी,এমফোটেরিক
उपचय,অ্যানাবোলিজম
"अवायुजीव, अनॉक्सी जीव",অ্যানেরোব
असुगुणित,অ্যানিউপ্লয়েড
कोणीय रोपण,কোণ রোপণ
पशुपालन,পশুপালন
पशु उच्छिष्ट,প্রাণী প্রত্যাখ্যান
सजीव ऊर्जा,অ্যানিমেট শক্তি
असमगुणित,অ্যানিসোপ্লয়েড
एकवर्षीय पादप,বার্ষিক উদ্ভিদ
वार्षिक,বার্ষিক
"परागोद्भव, प्रफुल्लन",অ্যান্থেসিস
ऐन्थ्रेक्स,অ্যানথ্রাক্স
मानवजनिक कारक,অ্যানথ্রোপোজেনিক ফ্যাক্টর
प्रतिजीविता,অ্যান্টিবায়োসিস
"प्रतिजैविक, ऐन्टीबायोटिक",অ্যান্টিবায়োটিক
प्रतिकारक,প্রতিষেধক
प्रतिऑक्सीकारक,অ্যান্টিঅক্সিডেন্টস
प्रतिआविष,অ্যান্টিটক্সিন
वलयिका,অ্যানুলাস
"ऐफिड, माहू, चेपा",এফিড
शीर्ष कलिका,অ্যাপিকাল কুঁড়ি
शिखाग्र प्रभाविता,অ্যাপিকাল আধিপত্য
मधुमक्खी पालन,এপিক্যালচার (মৌমাছি পালন)
असंगजनन,অ্যাপোমিক্সিস
एपोप्टोसिस,অ্যাপোপটোসিস
उपांग,সংযোজন
क्षुधावर्धक,ক্ষুধার্ত
अनुप्रयुक्त,প্রয়োগ
जलीय खरपतवार,জলজ আগাছা
"वृक्षीय, वृक्षवासी",আরবোরিয়াল
प्रशाखायन,আর্বোরাইজেশন
आद्य वानस्पतिक अभिलेख,আর্কিও-বোটানিকাল রেকর্ডস
क्षेत्रांकड़,অঞ্চল পরিসংখ্যান
"क्षेत्र, क्षेत्रफल",অঞ্চল
शुष्क पारितंत्र,শুকনো বাস্তুতন্ত্র
"बीजचोल, बीजोपांग",আরিল
"सौरभ, सुवास",সুগন্ধ
सुगंधी पादप,সুগন্ধযুক্ত উদ্ভিদ
सुगंधित चावल,সুগন্ধযুক্ত চাল
इक्षु पुष्पन,তীর
अपूति,Asepsis
"अपूतित, अज़र्म",অ্যাসেপটিক
अलैंगिक प्रवर्धन,অ্যাসেক্সুয়াল প্রচার
"आमाप, परख",অ্যাস
परिसंपत्ति,সম্পদ
"स्वांगीकरण, आत्मसात्करण",সংমিশ্রণ
"साहचर्य, संघ",সংঘ
"स्तंभक, कषाय",জ্যোতিষী
असूत्रयुग्मन,অ্যাসিনাপসিস
"पूर्वजता, ऐटाविज्म",Atavism
कणित्र,Atomizer
"अपुष्टि, क्षीणता",অ্যাট্রোফি
स्वयुग्मन,অটোগামি
स्वलयन,অটোলাইসিস
"स्वतः उपचयन, स्वतः ऑक्सीकरण",অটোক্সিডেশন
स्वबहुगुणित,অটোপলিপ্লয়েড
ऑक्सिन,অক্সিনস
"शूक, तूड़",এডাব্লুএন (ব্রিজল)
बादाम,বাদাম
धीकुवार,অ্যালো
"चौलाई, रामदाना",অমরান্থাস
अजवाइन,আম্মি
"अंजन घास, धामन घास",অঞ্জান ঘাস
एंथूरियम,অ্যান্থুরিয়াম
आंवला,"অোনলা, ভারতীয় গুজবেরি"
सेब,অ্যাপল
खुबानी,এপ্রিকট
"मोगरा, बेला",আরবিয়ান জেসমিন
सुपारी,সুপারি বাদাম
अर्जुन,অর্জুন
हींग,Asfoetida
पेठा,অ্যাশ লাউ
अशोक,অশোক গাছ
दूधी,আশ্থমা আগাছা (ইউফোর্বিয়া)
सतावर,অ্যাস্পারাগাস
अवोकाडो,অ্যাভোকাডো
"रिजक्रा, लूसर्न",আলফালফা (লুসার্ন)
चींटी,পিঁপড়া
"तेला, माहू",এফিডস
सैनिक कीट,সেনা কৃমি
कृषि अर्थशास्त्री,কৃষি অর্থনীতিবিদ
कृषि प्रसार विज्ञानी,কৃষি এক্সটেনশনিস্ট
कृषि वैज्ञानिक,কৃষি বিজ্ঞানী
कृषि अभियंता,কৃষি প্রকৌশলী
कृषि जीवविज्ञानी,অ্যাগ্রোবায়োলজিস্ট
सस्य विज्ञानी,কৃষিবিদ
कृषि भौतिकीविद्,অ্যাগ্রোফিজিসট
"प्राणि प्रजनक, पशु प्रजनक",প্রাণী ব্রিডার
दंड विषाणु,ব্যাসিলাস ভাইরাস
"दंडाणु, बैसिलस",ব্যাসিলাস
"जीवाणु, बैक्टीरिया",ব্যাকটিরিয়া
जीवविष,ব্যাকটিরিওক্সিন
खोई,ব্যাগাস
"तुलन-पत्र, चिट्ठा",ব্যালেন্স শীট
संतुलित निषेचन,ভারসাম্যহীন নিষেক
दंड आरेख,বার ডায়াগ্রাম
छाल,বাকল
"वायुदाबमापी, बैरोमीटर",ব্যারোমিটার
"बजर, अकृष्य, बांझ",বন্ধ্যা
"आधार, बेस, कपांग",বেস
"थाला, द्रोणी",বেসিন
तलाभिसारी,বেসিপেটাল
"बेसिस्टर्नम, मूलाधारक",বেসস্টারনাম
खाड़ी मानसून,উপসাগর
फलदायी पौधा,বিয়ারিং প্ল্যান্ট
क्यारी,বিছানা
क्यारी - पौधा,বেডার
क्यारी बनाना,বিছানাপত্র
चुंकदर शीरा,বীট গুড়
धौंकनी,বেলো
"पट्टी, इलाका",বেল্ট
लाभ-लागत विश्लेषण,বেনিফিট-ব্যয় বিশ্লেষণ
अभिनत (प्रतिचयन),পক্ষপাতদুষ্ট (নমুনা)
द्विवर्षीय पादप,দ্বিবার্ষিক
द्विपद,দ্বিপদী
जैवकारक,বায়োএজেন্ট
जीव जलवायु,বায়োক্লিমেট
जैव ऊर्जा,বায়োনারজি
जीव पारिस्थितिकी,বায়োনমিক্স
"जैव-प्रक्रियापात्र, बायो रिएक्टर",বায়োরিয়্যাক্টর
जीव-मंडल,বায়োস্ফিয়ার
जैविक,বায়োটিক
जीव प्रारूप,বায়োটাইপ
द्विलिंगी,উভকামী
धवलन,ব্লাঞ্চিং
"प्रध्वसं (रोग), झोंका रोग",বিস্ফোরণ
सम्मिश्रण,মিশ্রণ
"अंगमारी (रोग), ब्लाइट (रोग)",ব্লাইট
"छाला, फफोला, उद्वर्त, ब्लिस्टर",ফোস্কা
नीली क्रांति,নীল বিপ্লব
तलीय ताप चैंबर,নীচে তাপ চেম্বার
तलीय ताप तकनीक,নীচে তাপ কৌশল
चोकर,ব্রান
शाखन,শাখা
"टहनी, उपशाखा",শাখা
नस्ल,প্রজনন
"प्रजनन, अभिजनन",প্রজনন
शीघ्र अंकुरण उपचार,Brimming
"शाव, अंड, भ्रूण",ব্রুড
कलिकायन,উদীয়মান
बजट,বাজেট
"उभयप्रतिरोधी, बफर",বাফার
शल्ककंद,বাল্ব
"बंट (रोग), चोट",বুট
"उपजात, उपोत्पाद",উপজাত
"बबूल, कीकर",বাবুল অ্যাকাসিয়া
बेबी कॉर्न,শিশুর ভূট্টা
बेल,বেল
लाजालु,বেল
गुलमेंहदी,বালসাম
बांस,বাঁশ
केला,কলা
बरगद,বটগাছ
जौ,বার্লি
सावां,বার্নইয়ার্ড মিললেট
तुलसी,পুদিনা
रुद्राक्ष,জারজ সিডার
बहेड़ा,জারজ মাইরোবালান
कचनार,বাউহিনিয়া
कैफल,বে বেরি
सेम,বিন
चुकंदर,বীট
बेलाडोना,বেলাদোনা
बेर,বের
बरसीम,বার্সিম
पान,সুপারি
बिलिंबी,বিলিম্বি
करेला,বিটার লাউ
उड़द,কালো গ্রাম
मकोय,কালো নাইটশেড
बोगेनविलिया,বোগেনভিলিয়া
बोटल ब्रश,বোতল ব্রাশ
लौकी,বোতল লাউ
"चीकदी, पापरी",বক্স ট্রি
ब्रेड फ्रूट,রুটি ফল
डेला,ব্রাইডাল লতা
बैंगन,ব্রিনজাল
"बाकला, चौड़ी बीन",ব্রড শিম
ब्रोकोली,ব্রোকলি
ब्रुसेल्स स्प्राउट,ব্রাসেলের স্প্রাউট
कुटू,বাকউইট
"पलाश लता, किंशुक",বুটিয়া
घूंस,ব্যান্ডিকুট
भालू,ভাল্লুক
भृंग,বিটল
फफोला भृंग,ফোস্কা বিটল
नील गाय,নীল ষাঁড়
कपास की सूंड़ी,বোল কৃমি
तितली,প্রজাপতি
जीवाणु विज्ञानी,ব্যাকটিরিওলজিস্ট
जैव रसायनविद्,বায়োকেমিস্ট
जीव विज्ञानी,জীববিজ্ঞানী
जैव प्रौद्योगिकीविद्,বায়োটেকনোলজিস্ট
वनस्पतिविद्,উদ্ভিদবিদ
c नमी विशिष्टता वक्र,সি আর্দ্রতা বৈশিষ্ট্যযুক্ত বক্ররেখা
खली,কেক
"चूनेदार, कैल्सियमी",ক্যালারিয়াস
कैल्सीयन,ক্যালিফিকেশন
फॉस्फेट का निस्तापन,ফসফেটের ক্যালকিনেশন
"किणता, कैलसता",Calost
"कैलस, किण",কলাস
"बाह्यदल पुंज, कैलिक्स",ক্যালিক্স
बाह्यदल अंत,ক্যালিক্স-এন্ড
एधा,ক্যাম্বিয়াম
कैंकर (जीवाणु रोग),ক্যান্সার
डिब्बाबंदी,ক্যানিং
वितान,ক্যানোপি
पूंजी,মূলধন
परागण (अंजीर का),ক্যাপরিফিকেশন
"संपुट, संपुटिका, कैप्सूल",ক্যাপসুল
कार्बोनीकृत,কার্বনেটেড
कार्बनन,কার্বনাইজেশন
अंडप,কার্পেল
मणिबंध,কার্পাস
"ढलाई (लोहे की), क्षिप्ति (कीट)",ঢালাই
अपचय,ক্যাটাবোলিজম
