Bengali,English
অ্যাসিডয়েড,Acidoid
বায়বীয় মাটি,Aeolian soil
সমষ্টি,Aggregate
সমষ্টি,Aggregation
কৃষিবিদ্যা,Agrology
কৃষিবিদ্যা,Agronomy
A- দিগন্ত,A-horizon
আও-দিগন্ত,Ao-horizon 
আও-দিগন্ত,Aoo-horizon
মাটির বায়ু ক্ষমতা,Air capacity of soil
মাটির বায়ু উপাদান,Air content of soil
এয়ার পিকনোমিটার,Air picnometer
অ্যালিটিক মাটি,Allitic soil
পলিমাটি,Alluvial soil
অ্যামফোলাইটয়েড,Ampholytoid
অ্যানিয়ন,Anion
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
আরিস,Arris
আশলার সূক্ষ্ম গাঁথনি,Ashlar fine masonry
আশলার রাজমিস্ত্রি,Ashlar masonry
অ্যাজোনাল মাটি,Azonal soil
পেছনের অভিনেতা,Back acter 
পিছনের খিলান,Back arch
ব্যাক ব্যান্ড,Back band
পিছনের ব্রাশ,Back brush
ফিরে চেক,Back check
পিছনে কাউন্টার,Back counter
পিছনে কাটা,Back cutting
ব্যাক ড্রাফ্ট ড্যাম্পার,Back draft damper
পিছনের ড্রেন,Back drain
ব্যাকড্রপ,Back drop
ব্যাক ফিল,Back fill
ব্যাক ফিললেট,Back fillet
পিছনে ফ্ল্যাপ কবজা,Back flap hinge
পিছনে প্রবাহ সংযোগ,Back flow connection
পিছনে প্রবাহ প্রতিরোধক,Back flow preventer
ব্যাক গেজ,Back gauge 
পিছনে নর্দমা,Back gutter 
পিছনের চুলা,Back hearth
ব্যাকিং,Backing
ব্যাকিং বোর্ড,Backing board
ফিরতি চাপ,Back pressure
পিছনে প্রপ,Back prop
পিছনের দৃষ্টি,Back sight 
পিঠের জল,Back water
বিভ্রান্ত,Baffle
ব্যাগওয়ার্ক,Bagwork 
ব্যালাস্ট,Ballast
বল কাদামাটি,Ball clay
বল শঙ্কু বাতা,Ball cone clamp
কাঁটাতার,Barbed wire
বার কুকুর,Bar dog
বার্জ বোর্ড,Barge board
বেরিয়াম সালফেট পরীক্ষা,Barium sulphate test
ব্যারেজ,Barrage
ব্যারেট,Barrett
বেস,Base
বেস বিনিময়,Base exchange
বেস লাইন,Base line 
বেসমেন্ট,Basement
বেসমেন্ট প্রাচীর,Basement wall
বেস প্লেট,Base plate
"বেস প্লেট, নিয়মিত","Base plate, adjustable"
বেস স্যাচুরেশন,Base saturation
বেসয়েড,Basoid
ব্যাট,Bat
স্নান এবং WC,Bath and W.C.
ব্যাটার পেগ,Batter peg
ব্যাটার পিয়ার,Batter pier
ব্যাটারের নিয়ম,Batter rule
বাল্ক (বাল্ক),Baulk (balk)
বে,Bay
বহনকারী,Bearer
ভারবহন ক্ষমতা,Bearing capacity
ভারবহন গাদা,Bearing pile
ভারবহন স্তর,Bearing stratum
বিছানা,Bed
বেডিং প্লেন,Bedding plane
বেড জয়েন্ট,Bed joint
বিছানা শিলা,Bed rock
শয়নকক্ষ,Bed room
মোম,Beeswax
বেল বক্স,Bell box
বেলিং বালতি,Belling bucket
বেলোফ্রাম,Bellofram
বেঞ্চড ফাউন্ডেশন,Benched foundation
বেঞ্চিং,Benching
মাপকাঠি,Bench mark
বেনিফিট খরচ বিশ্লেষণ,Benefit cost analysis
বারম,Berm
বেভেলড ক্লোজার,Bevelled closure
"বি-দিগন্ত,&quot;বি-","B-horizon,""B-"
বিয়াট,Biat
বাইন্ডার,Binder
বাঁধাই উপাদান,Binding material
বায়োটের তত্ত্ব,Biot's theory
বিটুমেন,Bitumen
কালো তুলার মাটি,Black cotton soil
কালো পৃথিবী,Black earth 
কালো টার্ফ মাটি,Black turf soil
ব্লেড,Blade
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,Blast furnace slag cement
অবরুদ্ধ কাঠামো,Blocky structure
বগি প্রতিরোধ,Bogie resistance
বগ-লোহা আকরিক,Bog-iron ore
বন্ধন,Bond
বন্ডেড সদস্য,Bonded member
বন্ধন পোস্ট উত্তেজনা,Bonded post tensioning
বন্ড পাথর,Bond stone
আবদ্ধ জল,Bound water
বক্স নর্দমা,Box gutter
বন্ধনী,Brace
ইট-অন-এজ,Brick-on-edge
লাগাম,Bridle
উজ্জ্বলতা,Brightness
বাদামী মাটি,Brown soil
বিল্ডিং,Building
বিল্ডিং সার্ভেয়ার,Building surveyor
বাফার,Buffer
বাফার বক্ররেখা,Buffer curve
বাফারিং,Buffering
বাফার ক্ষমতা,Buffering capacity
বান্দর,Bunder
বাট্রেস,Buttress
সি-দিগন্ত,C-horizon
তারের,Cable
তারের ছাঁচনির্মাণ,Cable moulding
ক্যাবলিং,Cabling
কেবিন,Cabin
কেবিন হুক,Cabin hook
মন্ত্রিসভা,Cabinet
ক্যাবল্টের পদত্যাগ,Cabolt's quit
ক্যাফেটারিয়া,Cafeteria
খাঁচা,Cage
খাঁচা নির্মাণ,Cage construction
কেইনের সূত্র,Cain's formula
কাইসন,Caisson
ক্যাসন রোগ,Caisson disease
ক্যাসন ফাউন্ডেশন,Caisson foundation
Caisson pile,Caisson pile
চুনযুক্ত ইট,Calcareous brick
চুনযুক্ত কাদামাটি,Calcareous clay
চুনযুক্ত ভূত্বক,Calcareous crust
ক্যালসিফিকেশন,Calcification
ক্যালসিনেশন,Calcination
ক্যালসিন,Calcine 
ক্যালসাইট,Calcite
