English,Gujarati
A (Ampere unit of current),એમ્પીયર (એકમ)
A (angstrom),એંગસ્ટ્રમ
A amplifier,એ-ક્લાસ એમ્પ્લીફાયર
A-N radio range,એએન રેડિયો સહાય
A-scan presentation,a-સ્કેનીંગ પ્રસ્તુતિ
A-scope,a-દર્શ
A-scope display,A-સ્કોપ કામગીરી
A-T Cut crystal,A-T વક્ર ક્રિસ્ટલ
A.c-d.c. gain,"એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન"
A.M. (ante meridiem),છું
A.m.u. (atomic mass unit),AMU (અણુ સમૂહ એકમ)
Aard-vark,આર્ડ-વાર્ક*
Ab ampere,એબ-એમ્પીયર
AB amplifier,A-B વર્ગ એમ્પ્લીફાયર
Ab initio,અદાહ
AB power pack,A-B શક્તિ પિટક
Abac=alignment chart=nomograph,abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ
Abbe number (=Abbe constant),અબે નંબર (અબે સતત)
ABBE refractometer,અબે રીફ્રેક્ટોમીટર
Abbe sine condition,અબે સાઈન સ્ટેટ
Abc (automatic bias compensation),આપોઆપ પૂર્વગ્રહ વળતર
Abcoulomb,abcoulom
Aberration,વિકૃતિ
Aberration corrector lens,વિકૃતિ સુધારક લેન્સ
Aberration of light,આકાશ વિકૃતિ
Abfarad,અફરદ
Abhenry,એબેનરી
Abney effect (=Abney law),ઇબોની અસર
Abnormal polarisation,અસામાન્ય ધ્રુવીકરણ
Abnormal propagation,અસામાન્ય ટ્રાન્સમિશન
Abnormal reflection,પેરાનોર્મલ પ્રતિબિંબ
Abnormal refraction,અસામાન્ય રીફ્રેક્શન*
Abnormal resistance,પેરાનોર્મલ પ્રતિકાર
Abohm,ab-om
Abortion,"પ્રબળતા, નિષ્ફળતા"
Abrupt,"જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત"
Abrupt jump,ઘણી વાર કૂદકો
Abscissa,હાથ*
Absent reflection,પ્રતિબિંબ ગુમાવ્યું
Absent spectrum,ગુમ થયેલ સ્પેક્ટ્રમ
Absolute,"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
Absolute acceleration,સંપૂર્ણ પ્રવેગક
Absolute accuracy,સંપૂર્ણ વાસ્તવિકતા
Absolute address-specific address,સંપૂર્ણ સરનામું
Absolute altimeter,જિયો-રિલેટિવ અલ્ટીમીટર
Absolute altitude,ભૌગોલિક ઊંચાઈ
Absolute ampere,સંપૂર્ણ એમ્પીયર
Absolute boilling point,સંપૂર્ણ ઉત્કલન બિંદુ
Absolute bolometric luminosity,સંપૂર્ણ તેજ
Absolute capacity,સંપૂર્ણ ક્ષમતા
Absolute ceiling,ચોક્કસ ઊંચાઈ
Absolute colour index,સંપૂર્ણ રંગદ્રવ્ય
Absolute configuration,"સંપૂર્ણ રૂપરેખાંકન, અસ્પષ્ટ રૂપરેખાંકન"
Absolute coulomb,સંપૂર્ણ કૂલમ્બ
Absolute darkness,સંપૂર્ણ અંધકાર
Absolute dating,સંપૂર્ણ સમયપત્રક
Absolute density,સંપૂર્ણ ઘનતા*
Absolute drift,સંપૂર્ણ ડ્રેનેજ
Absolute e.m.u.,સંપૂર્ણ EMU (ઇલેક્ટ્રોમેગ્નેટિક એકમ)
Absolute e.s.u.,સંપૂર્ણ ESU (સ્થિર એકમ)
Absolute efficiency,સંપૂર્ણ કાર્યક્ષમતા
Absolute electrometer,સંપૂર્ણ ઇલેક્ટ્રોમીટર
Absolute frequency,સંપૂર્ણ આવર્તન સંપૂર્ણ આવર્તન
Absolute humidity,સંપૂર્ણ ભેજ
Absolute incidence,સંપૂર્ણ ઘટના
Absolute index of refraction,સંપૂર્ણ રીફ્રેક્ટિવ ઇન્ડેક્સ
Absolute instability,સંપૂર્ણ અસ્થિરતા
Absolute intensity,સંપૂર્ણ અસ્થિરતા
Absolute length,"સંપૂર્ણ તીવ્રતા, સંપૂર્ણ તીવ્રતા"
Absolute limit of hysteresis,અસ્થેનિયાની સંપૂર્ણ મર્યાદા
Absolute luminance threshold,સંપૂર્ણ રોશની
Absolute luminosity curve,સંપૂર્ણ પ્રકાશ વળાંક
Absolute magnitude,સંપૂર્ણ તીવ્રતા
Absolute manometer,સંપૂર્ણ બેરોમીટર
Absolute maximum,સર્વોચ્ચ સર્વોચ્ચ
Absolute maximum rating,સંપૂર્ણ મર્યાદા
Absolute minimum,એકદમ નીચું
Absolute momentum,સંપૂર્ણ વેગ
Absolute motion,સંપૂર્ણ ઝડપ
Absolute music=pure music,સંપૂર્ણ સંગીત
Absolute observation,સંપૂર્ણ અવલોકન
Absolute ohm,સંપૂર્ણ ઓહ્મ
Absolute orientation,સંપૂર્ણ અભિગમ
Absolute permittivity,સંપૂર્ણ ઇલેક્ટ્રોનેગેટિવિટી
Absolute pitch,સંપૂર્ણ ગુરુત્વાકર્ષણ
Absolute pressure = true pressure,સંપૂર્ણ દબાણ
Absolute property,સંપૂર્ણ મિલકત
Absolute scalar,સંપૂર્ણ સ્કેલર
Absolute scale of temperature,તાપમાનનું સંપૂર્ણ માપ*
Absolute simultancity,"સંપૂર્ણ સુમેળ, સંપૂર્ણ સુમેળ"
Absolute stress,સંપૂર્ણ તણાવ
Absolute symmetry,સંપૂર્ણ સમપ્રમાણતા
Absolute system of motion,સંપૂર્ણ ગતિ શરીર
Absolute system of units,સંપૂર્ણ એકમ સિસ્ટમ
Absolute temperature,સંપૂર્ણ તાપમાન
Absolute time,ચોક્કસ સમય
Absolute unit,સંપૂર્ણ એકમો
Absolute value,સંપૂર્ણ મૂલ્ય
Absolute value computer,પૂર્ણાંક કેલ્ક્યુલેટર
Absolute velocity,સંપૂર્ણ વેગ
Absolute viscosity,સંપૂર્ણ સ્નિગ્ધતા
Absolute weight,સંપૂર્ણ વજન
Absolute zero,સંપૂર્ણ શૂન્ય*
Absolute zero devisor,શૂન્યનો સંપૂર્ણ વિભાજક
Absorb,શોષી લેવું
Absorbance,શોષણ સૂચકાંક*
Absorbed energy,શોષિત ઊર્જા
Absorber,"શોષક, શોષક"
Absorbing medium,શોષક માધ્યમ*
Absorbing power,શોષણ ક્ષમતા
Absorptance,શોષણ
Absorptiometer,શોષણમાપક*
Absorptiometry,શોષણમેટ્રી*
Absorption,શોષણ
Absorption band,શોષણ - બેન્ડ*
Absorption circuit,શોષણ સર્કિટ
Absorption coeffieient,શોષણ ગુણાંક
Absorption column,શોષણ કૉલમ
