Tamil,Hindi
அபெலியன் குழு,आबेली समूह
அபிலியன் அரைகுழு,आबेली सामिसमूह
abscissa,भुज
அறுதி,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
முழுமையான ஒருங்கிணைப்பு,निरपेक्ष अभिसरण
முழுமையான பிழை,निरपेक्ष त्रुटि
முழுமையான அதிகபட்சம்,परम उच्चिष्ठ
முழுமையான குறைந்தபட்சம்,परम निम्निष्ठ
துல்லியமான மதிப்பு,निरपेक्ष मान
முழுமையான வேகம்,निरपेक्ष वेग
சுருக்க இயற்கணிதம்,अमूर्त बीजगणित
சுருக்க குழு கோட்பாடு,अमूर्त समूह सिद्‌धांत
முடுக்கம்,त्वरण
புவியீர்ப்பு காரணமாக முடுக்கம்,गुरुत्वीय त्वरण
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,स्वीकार्य वरण-समुच्चय
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,स्वीकार्य गुणता स्तर
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,स्वीकार्य परिसर
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,मान्य विश्वसनीयता स्तर
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,स्वीकरण-प्रतिचयन
திரட்டப்பட்ட பிழை,संचित त्रुटि
துல்லியம்,यथार्थता
செயல்படும் சக்தி,लगा हुआ बल
நடவடிக்கை," क्रिया , कर्म"
செயல் மற்றும் எதிர்வினை,क्रिया और प्रतिक्रिया
உண்மையான அறிவியல்,बीमा विज्ञान
கடுமையான கோண முக்கோணம்,न्यूनकोण त्रिभुज
அசைக்ளிக்,अचक्रीय
கூட்டு,"योग करना, जोड़ना"
சேர்ப்பான்,योजक
கூடுதலாக,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
கூட்டல் சூத்திரம்,योग का सूत्र
சிக்கலான எண்களைச் சேர்த்தல்,सम्मिश्र संख्याओं का योग
செயல்பாடுகளைச் சேர்த்தல்,फलनों का योग
மெட்ரிக்குகள் சேர்த்தல்,आव्यूहों का योग
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,बहुपदों का योग
நிகழ்தகவுகளைச் சேர்த்தல்,प्रायिकताओं का योग
திசையன்கள் சேர்த்தல்,सदिशों का योग
கூட்டல் தேற்றம்,"योग प्रमेय बेरीज सिद्‌धांत,"
சேர்க்கை குழு,योज्य समूह
தலைகீழ் சேர்க்கை,योज्य व्युत्क्रम
சேர்க்கை சொத்து,"योज्यता, योगशीलता"
சேர்க்கை,योज्यता
அருகாமை அணி,आसन्नता आव्यूह
அருகில்," संलग्न, निकटवर्ती , आसन्न"
அருகில் உள்ள கோணங்கள்,आसन्न कोण
அருகில் உள்ள உச்சி,आसन्न शीर्ष
இணை,सहबद्‌ध करना
அருகில்,"संलग्न संलग्नीत,"
இணைந்த தீர்மானிப்பான்,सहखंडज सारणिक
இணை வேறுபாடு சமன்பாடு,संलग्न अवकल समीकरण
இணைந்த சமன்பாடு,संलग्न समीकरण
இணை அணி,सहखंडज आव्यूह
மேட்ரிக்ஸின் இணைப்பு,आव्यूह सहखंडज
adjugate matrix,सहखंडज आव्यूह
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,ग्राह्य निर्णय फलन
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,ग्राह्य परिकल्पना
காற்றியக்க விசை,वायुगतिक बल
காற்றியக்கவியல்,वायु गतिकी
இணைப்பு வடிவியல்,सजातीय ज्यामिति
இணைப்பு மேப்பிங்,सजातीय प्रतिचित्रण
இணைப்பு மாற்றம்,सजातीय रूपांतरण
ஒருங்கிணைக்கும் மாறிகள்,समुच्चयी चर
இயற்கணிதம்," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
இயற்கணிதப்படி மூடப்பட்டது,"बीजतः संवृत, बीजतः"
