Bengali,Malayalam
A B শ্রেণীর পরিবর্ধক,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
বিকৃতি,അപഭ്രംശം
অস্বাভাবিক সংক্রমণ,അസാധാരണമായ സംക്രമണം
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
অনুপস্থিত বর্ণালী,സ്പെക്ട്രം കാണുന്നില്ല
"পরম, পরম, ধ্রুবক, নিখুঁত","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
পরম আর্দ্রতা,കേവല ഈർപ്പം
পরম গতি,കേവല വേഗത
পরম পর্যবেক্ষণ,സമ്പൂർണ നിരീക്ഷണം
পরম তাপমাত্রা,കേവല താപനില
পরম শূন্য,കേവല പൂജ്യം
শোষণ করা,ആഗിരണം ചെയ്യുക
"শোষক, শোষক","ആഗിരണം, ആഗിരണം"
শোষণ ক্ষমতা,ആഗിരണം ശേഷി
শোষণ,ആഗിരണം
শোষক,ആഗിരണം ചെയ്യാവുന്ന
শোষণ,ആഗിരണം
বহুগুণ অনুপাত,ഗുണിത അനുപാതം
ত্বরান্বিত করা,ത്വരിതപ്പെടുത്തുക
তাড়াতাড়ি,തിടുക്കപ്പെട്ടു
ত্বরণ,ത്വരണം
অভিকর্ষের ত্বরণ,ഗുരുത്വാകർഷണ ത്വരണം
এক্সিলারেটর,ആക്സിലറേറ്റർ
এক্সিলারেটর,ആക്സിലറേറ്റർ
অ্যাক্সিলোমিটার,ആക്സിലറോമീറ്റർ
prestresser,പ്രിസ്ട്രെസർ
গ্রহণযোগ্য পরীক্ষা,സ്വീകാര്യമായ പരിശോധന
গ্রহণকারী,സ്വീകർത്താവ്
দাতা অণু,ദാതാവിന്റെ തന്മാത്ര
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
অ্যাক্সেসযোগ্যতা,പ്രവേശനക്ഷമത
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
প্রবেশাধিকার সময়,പ്രവേശന സമയം
ভিজিটর ত্রুটি,സന്ദർശക പിശക്
সমন্বয়,ക്രമീകരിക്കൽ
পুঞ্জীভূত,കുമിഞ്ഞുകൂടി
"accumulation, accumulation","ശേഖരണം, ശേഖരണം"
সঞ্চয়কারী,ശേഖരണം
সঠিকতা,കൃത്യത
বাস্তবতা,റിയാലിറ്റി
অ্যাক্রোমেটিক লেন্স,അക്രോമാറ്റിക് ലെൻസ്
অ্যাক্রোমেটিক,അക്രോമാറ്റിക്
বর্ণহীনতা,അക്രോമാറ്റിറ്റി
শাব্দিক,അക്കോസ്റ്റിക്
শব্দরোধী,ശബ്ദപ്രതിരോധം
শাব্দিক ফোনন,അക്കോസ്റ്റിക് ഫോണോൺ
শব্দ ইউনিট,ശബ്ദ യൂണിറ്റ്
শাব্দিক,അക്കോസ്റ്റിക്
শব্দ জেনারেটর,ശബ്ദ ജനറേറ്റർ
