Tamil,Hindi
அபாக்ஸியல் மேற்பரப்பு,अपाक्ष पृष्ठ
அடிவயிறு,उदर
வயிற்று பெருநாடி,उदर महाधमनी
வயிற்று கேங்க்லியா,उदर गुच्छिका
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,अबेलमॉस्कस एस्कुलेन्टस
மாறுபாடு,विपथन
அபிஸ்,ऐबीज (बलूत)
அபிங்டன் ஆமை,ऐबिंग्डन कछुआ
அபியோஜெனெஸிஸ்,अजीवात्जनन
அஜியோடிக்,अजीवीय
அஜியோடிக் காரணி,"अजीवीय कारक, अजैव कारक"
அசாதாரண சிறுநீர்,अपसामानय मूत्र
ABO இரத்தக் குழு,ए.बी.ओ. रुधिर वर्ग
அப்சிசிக் அமிலம்,एब्सिसिक अम्ल
கஷ்டம்,विलगन
உறிஞ்சும்,अवशोषण करना
உறிஞ்சுதல் உச்சம்,अवशोषण शिखर
உறிஞ்சுதல்,अवशोषण
அகாசியா கேடெச்சு,अकेशिया कैटेच्यू
அகாரியா அரபிகா,अकेशिया अरेबिका (बबूल)
அகப்ரின்,ऐकैप्रिन
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,स्वीकार्य लैंगिक व्यवहार
துணை சுரப்பி,सहायक ग्रंथि
துணை சுரப்பி,अतिरिक्त ग्रंथि
துணை உறுப்பு,सहायक अंग
பழக்கவழக்கமயமாக்கல்,"पर्यनुकूलन, दशानुकूलन"
பழக்கப்படுத்துங்கள்,"पर्यनुकूलित करना, दशानुकूलित करना"
தங்குமிடம் (கவனம் செலுத்துதல்),समंजन (फोकसन)
கண் தங்குமிடம்,नेत्र की समंजन क्षमता
திரட்டல் வளர்ச்சி,अभिवर्धी वृद्धि
குவிப்பு,"संचय, संचयन"
கரிமப் பொருட்களின் குவிப்பு,कार्बनिक पदार्थों का एकत्रीकरण
மண்ணின் குவிப்பு,मृदा संचयन
அசெல்லுலர்,अकोशिकीय
அசெல்லுலர் உயிரினம்,अकोशिकीय जीव
அசிடபூலம்,"श्रोणिउलूखल, ऐसीटैबुलम"
அசிடால்டிஹைட்,ऐसीटेल्डिहाइड
அசிடைல் கோஎன்சைம்,ऐसीटिल सह-ऐंजाइम
அச்சாடினா,ऐकेटाइना
அச்சீன் வகை,ऐकीन प्रकार
அச்சீன்,ऐकीन
அச்ச்சைடோஸ்போரே,ऐक्लेमाइडोस्पोरी
அமில மழை,अम्ल वर्षा
அமிலத்தன்மை,अम्लीय
அமில வாயு,अम्लीय गैस
அமிலத்தன்மை,अम्लता
அசிநார் செல்,गुच्छकोष्ठक कोशिका
அகோலோமேட்,अगुहिक
அகோனிட்டம்,ऐकोनिटम
ஏகோர்ன் புழு,"एकॉर्न कृमि, बंजुक कृमि"
ஒலி மண்டலம்,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
வாங்கிய எழுத்து,उपार्जित लक्षण
நோய் எதிர்ப்பு சக்தி,उपार्जित प्रतिरक्षा
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स)
அக்னியா,ऐक्रैनिया
அக்ரிடைன் சாயம்,एक्रिडीन रंजक
அக்ரோஷென்ட்ரிக்,अग्रकेंद्री
அக்ரோமியன்,अंसकूट
அக்ரோபெட்டல் வரிசை,अग्राभिसारी अनुक्रम
அக்ரோபெட்டல் ஆர்டர்,अग्राभिसारी क्रम
அக்ரோசின்,एक्रोसिन
ஆக்டின்,ऐक्टिन
ஆக்டின் போன்ற புரதம்,ऐक्टिन-सम प्रोटीन
ஆக்டினோமார்பிக்,त्रिज्यासममित
ஆக்டினோமைசீட்கள்,एक्टिनोमाइसिटीज
செயல்பாட்டு திறன்,क्रिया विभव
செயல்படுத்தப்பட்ட கசடு,सक्रियित आपंक
செயல்படுத்தப்பட்ட கசடு மிதவை,सक्रियित आपंक फ्लॉक
செயல்படுத்தும் ஆற்றல்,सक्रियण ऊर्जा
செயலில் உறிஞ்சுதல்,सक्रिय अवशोषण
செயலில் நோய் எதிர்ப்பு சக்தி,सक्रिय प्रतिरक्षा
செயலில் கதிர்வீச்சு,सक्रिय विकिरण
செயலில் உள்ள தளம்,सक्रिय स्थल
ஆக்டிவின்,ऐक्टिविन
அக்யூமினேட்,लंबाग्र
ஆடம்ஸியா,ऐडैम्सिया
தகவமைப்பு,अनुकूलनशीलता
தழுவல்,अनुकूलन
ஒளி ஆட்சிக்கு தழுவல்,प्रकाश प्रवृत्ति के प्रति अनुकूलन
நீர் பற்றாக்குறைக்கு தழுவல்,जलाभाव के प्रति अनुकूलन
தகவமைப்பு பண்புகள்,अनुकूली (अभि) लक्षण
தகவமைப்பு நோய் எதிர்ப்பு சக்தி,अनुकूली प्रतिरक्षा
தகவமைப்பு கதிர்வீச்சு,अनुकूली विकिरण
தகவமைப்பு பண்பு,अनुकूली विशेषक
அடாக்ஸியல் மேற்பரப்பு,अभ्यक्ष पृष्ठ
போதை கோளாறு,व्यसनी विकार
அடினின்,ऐडेनीन
அடினோகார்டிகோட்ரோபின்,ऐडिनोकॉर्टिकोट्रॉपिन
அடினோஹைபோஃபிசிஸ்,ऐडेनोहाइपोफाइसिस
அடினோசின் டைபாஸ்பேட்,ऐडेनोसिन डाइफास्फेट
அடினோசின் டீமினேஸ்,ऐडेनोसिन डीएमीनेज
அடினோசின் மோனோபாஸ்பேட்,ऐडेनोसिन मोनोफॉस्फेट
அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி),ऐडेनोसिन ट्राइफॉस्फेट
அடினிலேட் சைக்லேஸ்,एडेनिलेट साइक्लेज
பிசின் சக்தி,आसंजी बल
கொழுப்பு,ऐडिपेट
அடிபோசைட் (கொழுப்பு செல்),वसाणु (वसा कोशिका)
கொழுப்பு திசு,वसा ऊतक
Adnate,संलग्न
அருகிலுள்ள சமூகம்,संलग्न समुदाय
அட்ரீனல்,अधिवृक्क
அட்ரினல் சுரப்பி,अधिवृक्क ग्रंथि
அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH),एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन
அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH),एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन
Adsorbent,अधिशोषक
