English,Malayalam
Acidoid,ആസിഡോയിഡ്
Aeolian soil,അയോലിയൻ മണ്ണ്
Aggregate,ആകെത്തുകയായുള്ള
Aggregation,സമാഹരണം
Agrology,അഗ്രോളജി
Agronomy,അഗ്രോണമി
A-horizon,എ-ചക്രവാളം
Ao-horizon ,Ao-ചക്രവാളം
Aoo-horizon,Aoo-ചക്രവാളം
Air capacity of soil,മണ്ണിന്റെ വായു ശേഷി
Air content of soil,മണ്ണിന്റെ വായു ഉള്ളടക്കം
Air picnometer,എയർ പിക്നോമീറ്റർ
Allitic soil,അല്ലിറ്റിക് മണ്ണ്
Alluvial soil,എക്കൽ മണ്ണ്
Ampholytoid,ആംഫോളിറ്റോയ്ഡ്
Anion,അനിയോൺ
"Apparent specific gravity volume weight or bulk specific gravity,""","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
Arris,ആരിസ്
Ashlar fine masonry,അഷ്ലാർ നല്ല കൊത്തുപണി
Ashlar masonry,ആഷ്ലാർ കൊത്തുപണി
Azonal soil,അസോണൽ മണ്ണ്
Back acter ,പിന്നണി നടൻ
Back arch,പിന്നിലെ കമാനം
Back band,ബാക്ക് ബാൻഡ്
Back brush,ബാക്ക് ബ്രഷ്
Back check,തിരികെ പരിശോധിക്കുക
Back counter,ബാക്ക് കൗണ്ടർ
Back cutting,ബാക്ക് കട്ടിംഗ്
Back draft damper,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
Back drain,ബാക്ക് ഡ്രെയിനേജ്
Back drop,ബാക്ക് ഡ്രോപ്പ്
Back fill,തിരികെ പൂരിപ്പിക്കുക
Back fillet,ബാക്ക് ഫില്ലറ്റ്
Back flap hinge,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
Back flow connection,ബാക്ക് ഫ്ലോ കണക്ഷൻ
Back flow preventer,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
Back gauge ,ബാക്ക് ഗേജ്
Back gutter ,പിന്നിലെ ഗട്ടർ
Back hearth,പിന്നിലെ അടുപ്പ്
Backing,പിന്തുണ
Backing board,ബാക്കിംഗ് ബോർഡ്
Back pressure,പിന്നിലെ മർദ്ദം
Back prop,ബാക്ക് പ്രോപ്പ്
Back sight ,പിന്നാമ്പുറ കാഴ്ച
Back water,പിൻ വെള്ളം
Baffle,തടസ്സപ്പെടുത്തുക
Bagwork ,ബാഗ് വർക്ക്
Ballast,ബാലസ്റ്റ്
Ball clay,പന്ത് കളിമണ്ണ്
Ball cone clamp,ബോൾ കോൺ ക്ലാമ്പ്
Barbed wire,മുള്ളുകമ്പി
Bar dog,ബാർ നായ
Barge board,ബാർജ് ബോർഡ്
Barium sulphate test,ബേരിയം സൾഫേറ്റ് പരിശോധന
Barrage,തടയണ
Barrett,ബാരറ്റ്
Base,അടിസ്ഥാനം
Base exchange,അടിസ്ഥാന കൈമാറ്റം
Base line ,അടിസ്ഥാന ലൈൻ
Basement,നിലവറ
Basement wall,ബേസ്മെൻറ് മതിൽ
Base plate,അടിസ്ഥാന പ്ലേറ്റ്
"Base plate, adjustable","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
Base saturation,അടിസ്ഥാന സാച്ചുറേഷൻ
Basoid,ബസോയ്ഡ്
Bat,ബാറ്റ്
Bath and W.C.,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
Batter peg,ബാറ്റർ കുറ്റി
Batter pier,ബാറ്റർ പിയർ
Batter rule,ബാറ്റർ ഭരണം
Baulk (balk),ബോൾക്ക് (ബാക്ക്)
Bay,ബേ
Bearer,ചുമക്കുന്നയാൾ
Bearing capacity,വഹിക്കാനുള്ള ശേഷി
Bearing pile,ബെയറിംഗ് പൈൽ
Bearing stratum,ബെയറിംഗ് സ്ട്രാറ്റം
Bed,കിടക്ക
Bedding plane,ബെഡ്ഡിംഗ് വിമാനം
Bed joint,കിടക്ക ജോയിന്റ്
Bed rock,കിടക്ക പാറ
Bed room,കിടപ്പുമുറി
Beeswax,തേനീച്ചമെഴുകിൽ
Bell box,മണി പെട്ടി
Belling bucket,ബെല്ലിംഗ് ബക്കറ്റ്
Bellofram,ബെല്ലോഫ്രം
Benched foundation,ബെഞ്ച് ചെയ്ത അടിത്തറ
Benching,ബെഞ്ചിംഗ്
Bench mark,ബെഞ്ച് മാർക്ക്
Benefit cost analysis,ആനുകൂല്യ ചെലവ് വിശകലനം
Berm,ബെർം
Bevelled closure,ബെവൽഡ് ക്ലോഷർ
"B-horizon,""B-","ബി-ചക്രവാളം,&quot;ബി-"
Biat,ബിയാറ്റ്
Binder,ബൈൻഡർ
Binding material,ബൈൻഡിംഗ് മെറ്റീരിയൽ
Biot's theory,ബയോട്ടിന്റെ സിദ്ധാന്തം
Bitumen,ബിറ്റുമെൻ
Black cotton soil,കറുത്ത പരുത്തി മണ്ണ്
Black earth ,കറുത്ത ഭൂമി
Black turf soil,കറുത്ത ടർഫ് മണ്ണ്
Blade,ബ്ലേഡ്
Blast furnace slag cement,ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്
Blocky structure,ബ്ലോക്കി ഘടന
Bogie resistance,ബോഗി പ്രതിരോധം
Bog-iron ore,ബോഗ്-ഇരുമ്പ് അയിര്
Bond,ബോണ്ട്
Bonded member,ബന്ധിത അംഗം
Bonded post tensioning,ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്
Bond stone,ബോണ്ട് കല്ല്
Bound water,കെട്ടിയ വെള്ളം
Box gutter,ബോക്സ് ഗട്ടർ
Brace,ബ്രേസ്
Brick-on-edge,ബ്രിക്ക്-ഓൺ-എഡ്ജ്
Bridle,കടിഞ്ഞാൺ
Brightness,തെളിച്ചം
Brown soil,തവിട്ട് മണ്ണ്
Building,കെട്ടിടം
Building surveyor,ബിൽഡിംഗ് സർവേയർ
Buffer,ബഫർ
Buffer curve,ബഫർ കർവ്
Buffering,ബഫറിംഗ്
Buffering capacity,ബഫറിംഗ് ശേഷി
Bunder,ബണ്ടർ
Buttress,ബട്രസ്
C-horizon,സി-ചക്രവാളം
Cable,കേബിൾ
Cable moulding,കേബിൾ മോൾഡിംഗ്
Cabling,കേബിളിംഗ്
Cabin,ചെറിയമുറി
Cabin hook,ക്യാബിൻ ഹുക്ക്
Cabinet,കാബിനറ്റ്
Cabolt's quit,കാബോൾട്ട് ഉപേക്ഷിച്ചു
Cafeteria,കഫറ്റീരിയ
Cage,കൂട്ടിൽ
Cage construction,കൂട് നിർമ്മാണം
Cain's formula,കയീൻ ഫോർമുല
Caisson,കൈസൺ
Caisson disease,കെയ്സൺ രോഗം
Caisson foundation,കൈസൺ ഫൗണ്ടേഷൻ
Caisson pile,കൈസൺ ചിത
Calcareous brick,കാൽക്കറിയസ് ഇഷ്ടിക
Calcareous clay,സുഷിരമുള്ള കളിമണ്ണ്
Calcareous crust,സുഷിരമുള്ള പുറംതോട്
Calcification,കാൽസിഫിക്കേഷൻ
Calcination,കാൽസിനേഷൻ
Calcine ,കാൽസൈൻ
Calcite,കാൽസൈറ്റ്
Calcium-aluminate cement,കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്
Calcium-silicate brick,കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക
Calcium-silicate hydrate,കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്
Caliche,കാലിച്ചെ
California bearing ratio,കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ
Caliper,കാലിപ്പർ
Calorimeter,കലോറിമീറ്റർ
Camber,കാംബർ
Canal,കനാൽ
Canopy,മേലാപ്പ്
Cantilever footing,കാന്റിലിവർ ഫൂട്ടിംഗ്
Cap,തൊപ്പി
Capacity,ശേഷി
Capacity of ail track,എയിൽ ട്രാക്കിന്റെ ശേഷി
Cap cable,തൊപ്പി കേബിൾ
Capillarity,കാപ്പിലാരിറ്റി
Capillary break,കാപ്പിലറി ബ്രേക്ക്
Capillary flow,കാപ്പിലറി ഒഴുക്ക്
Capillary moisture or capillary water,കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം
Capillary pore space,കാപ്പിലറി പോർ സ്പേസ്
Capillary porosity,കാപ്പിലറി പൊറോസിറ്റി
Capillary space,കാപ്പിലറി സ്പേസ്
Capture velocity,ക്യാപ്‌ചർ വേഗത
Carbonation,കാർബണേഷൻ
Carbon black,കാർബൺ കറുപ്പ്
Castble refractory,കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി
Cast-in-place or cast-in-situ,കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു
Cast-in-place pile,കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ
Castor,ജാതി
Cast stone,എറിയുന്ന കല്ല്
Catalyst,കാറ്റലിസ്റ്റ്
Catena,കാറ്റെന
Cat face,പൂച്ച മുഖം
Cat head,പൂച്ചയുടെ തല
Cation,കാറ്റേഷൻ
Cat walk,പൂച്ച നടത്തം
Cavitation damage,കാവിറ്റേഷൻ കേടുപാടുകൾ
Celite,സെലൈറ്റ്
Cellular concrete,സെല്ലുലാർ കോൺക്രീറ്റ്
Cellular construction,സെല്ലുലാർ നിർമ്മാണം
Cement,സിമന്റ്
"Cement, bituminous","സിമന്റ്, ബിറ്റുമിനസ്"
"Cement, high strength","സിമന്റ്, ഉയർന്ന ശക്തി"
"Cement, hydraulic","സിമന്റ്, ഹൈഡ്രോളിക്"
"Cement, low heat","സിമന്റ്, കുറഞ്ഞ ചൂട്"
"Cement, masonary","സിമന്റ്, കൊത്തുപണി"
"Cement, natural","സിമന്റ്, പ്രകൃതി"
"Cement, portland","സിമന്റ്, പോർട്ട്ലാൻഡ്"
"Cement, portland blast furnace slag","സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്"
"Cement, portland pozzolan","സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ"
