Bengali,Telugu
বাতিল অঙ্গ,గర్భస్రావం చేసిన అవయవం
বাতিল বীজ,గర్భస్రావం చేసిన విత్తనం
গর্ভপাত,గర్భస్రావం
পরম আগাছা,సంపూర్ణ కలుపు
শোষিত কেশন,గ్రహించిన కేషన్
শোষণ,శోషణ
অ্যাবিসিনিয়ান সরিষা,అబిస్సినియన్ ఆవాలు
অ্যাকারিসাইড,అకారిసైడ్
অ্যাকসেন্ট্রিক,యాక్సెంట్రిక్
উচ্চারণ (সেল),ఉచ్ఛారణ (సెల్)
স্বীকৃত সহনশীলতা,అంగీకరించబడిన సహనం
আনুষঙ্গিক,అనుబంధ
প্রশংসাপত্র,అలవాటు
জমা,చేరడం
সঠিকতা,ఖచ్చితత్వం
এসারভুলাস,అసర్వులస్
অ্যাসিটিফিকেশন,ఎసిటిఫికేషన్
অ্যাসিডিফিকেশন,ఆమ్లీకరణ
অ্যাসিডিমিটার,అసిడిమీటర్
অম্লতা,ఆమ్లత్వం
অ্যাসিডোফিলিক,అసిడోఫిలిక్
অ্যাসিডুলেটেড রক ফসফেট,ఆమ్లీకృత రాక్ ఫాస్ఫేట్
অ্যাসিডুরিক,యాసిడ్యూరిక్
জলজ,జలాశయం
অধিগ্রহণ,సముపార్జన
একর,ఎకరాలు
জমি,ఎకరాల
অ্যাক্রোসেন্ট্রিক ক্রোমোজোম,అక్రోసెంట్రిక్ క్రోమోజోమ్
অ্যাক্রোপেটাল,అక్రోపెటల్
অ্যাক্রোসোম,అక్రోసోమ్
অ্যাক্টিনোমাইসেটস,ఆక్టినోమైసెట్స్
সক্রিয় মূল অঞ্চল,యాక్టివ్ రూట్ జోన్
তীব্র,తీవ్రమైన
অভিযোজনযোগ্যতা,అనుకూలత
অভিযোজন,అనుసరణ
আঠালো,సంశ్లేషణ
অ্যাডিপোজ,కొవ్వు
সামঞ্জস্য সমীকরণ,సర్దుబాటు సమీకరణం
অ্যাডোব মাটি,అడోబ్ నేల
ভেজাল,కల్తీ
অ্যাডভেটিয়াস,సాహసోపేతమైనది
আইসিডিওস্পোর,Aecidiospore
আইওলিয়ান প্রক্রিয়া,అయోలియన్ ప్రక్రియ
আইওলিয়ান,అయోలియన్
এয়ারেট,ఎఫరేట్
এরিয়াল,ఆకాశయాన
এয়ারোমিটার,ఏరోమీటర్
অ্যারোসোল,ఏరోసోల్
এ্যাস্টিভেশন,ఎస్టివేషన్
এটিওলজি (এটিওলজি),పశ్చాత్తాప విజ్ఞానము
Afforastation,అటవీ నిర్మూలన
আন্দোলন,ఆందోళన
অ্যাগমার্ক,అగ్మార్క్
কৃষি,వ్యవసాయం
কৃষি ক্লিনিক,వ్యవసాయ క్లినిక్
কৃষি শ্রম,వ్యవసాయ శ్రమ
কৃষি বিপণন,వ్యవసాయ మార్కెటింగ్
কৃষি প্রযুক্তি,వ్యవసాయ సాంకేతిక పరిజ్ఞానం
কৃষি,వ్యవసాయం
এগ্রিসিলভিকালচার,అగ్రిసిల్వికల్చర్
কৃষি,అగ్రోబియోడివైవర్సిటీ
অ্যাগ্রোবায়োলজিকাল ত্রুটিগুলি,అగ్రోబయోలాజికల్ లోపాలు
অ্যাগ্রোবায়োলজি,అగ్రోబయాలజీ
অ্যাগ্রোক্লিম্যাটিক বৈচিত্র্য,అగ్రోక్లిమాటిక్ వైవిధ్యం
অ্যাগ্রোক্লিম্যাটিক জোনিং,అగ్రోక్లిమాటిక్ జోనింగ్
কৃষি,అగ్రోఫారెస్ట్రీ
কৃষিবিদ,వ్యవసాయ శాస్త్రం
কৃষি,వ్యవసాయ శాస్త్రం
অ্যাগ্রোপাস্টোরাল,అగ్రోపాస్టోరల్
কৃষি,అగ్రోప్రాసెసింగ్
অ্যাগ্রোস্টোলজি,అగ్రోస్టాలజీ
এগ্রোটাইপ,అగ్రోటైప్
এয়ার প্ল্যান্ট,ఎయిర్ ప్లాంట్
আকিওচি মাটি,అకియోచి నేల
অ্যালবিনিজম,అల్బినిజం
আলফিসোলস,ఆల్ఫిసోల్స్
শৈবাল,ఆల్గే
অ্যালগাল ডিজিজ,ఆల్గల్ వ్యాధి
ক্ষার জল,క్షార నీరు
ক্ষারীয়,ఆల్కలీన్
অ্যালিল,యుగ్మ వికల్పం
অ্যালিলোকেমিক্যালস,అల్లెలోకెమికల్స్
Allelomorph,అల్లెలోమోర్ఫ్
অ্যালোলোপ্যাথি,అల్లెలోపతి
অলি ক্রপিং,అల్లే క్రాపింగ్
বরাদ্দ,కేటాయింపు
অ্যালোগ্যামি,అయోగాగమి
অ্যালোমেট্রি,అలోమెట్రీ
অ্যালোপলিপ্লয়েড,అల్లోపాలిప్లోయిడ్
Allosynapsis (allosyndesis),(అలోసిన్సిస్ఐలు
বিকল্প ভারবহন,ప్రత్యామ్నాయ బేరింగ్
বিকল্প জমি ব্যবহার,ప్రత్యామ్నాయ భూ వినియోగం
পরিবেষ্টিত,పరిసర
অ্যামেলিয়োর্যান্ট,అమేలియోరెంట్
অ্যামিটোসিস,అమిటోసిస్
গোলাবারুদ,అమినైజేషన్
অ্যামোনিফিকেশন,అమ్మోనిఫికేషన్
অ্যামোনিফায়ার,అమ్మోనిఫైయర్
অ্যামর্ফ,AMORFH
অ্যাম্ফিমিক্সিস,యాంఫిమిక్సిస్
এমফোটেরিক,యాంఫోటెరిక్
অ্যানাবোলিজম,అనాబాలిజం
অ্যানেরোব,Anaerobe
অ্যানিউপ্লয়েড,అనూప్లోయిడ్
কোণ রোপণ,యాంగిల్ నాటడం
পশুপালন,పశుసంరక్షణ
প্রাণী প্রত্যাখ্যান,జంతు తిరస్కరణ
অ্যানিমেট শক্তি,శక్తిని యానిమేట్ చేయండి
অ্যানিসোপ্লয়েড,అనిసోప్లాయిడ్
বার্ষিক উদ্ভিদ,వార్షిక ప్లాంట్
বার্ষিক,వార్షిక
অ্যান্থেসিস,సంశ్లేషణ
অ্যানথ্রাক্স,ఆంత్రాక్స్
অ্যানথ্রোপোজেনিক ফ্যাক্টর,మానవ కారకం
অ্যান্টিবায়োসিস,యాంటీబయోసిస్
অ্যান্টিবায়োটিক,యాంటీబయాటిక్
প্রতিষেধক,విరుగుడు
অ্যান্টিঅক্সিডেন্টস,యాంటీఆక్సిడెంట్లు
অ্যান্টিটক্সিন,యాంటిటాక్సిన్
অ্যানুলাস,యాన్యులస్
এফিড,అఫిడ్
অ্যাপিকাল কুঁড়ি,ఎపికల్ బడ్
অ্যাপিকাল আধিপত্য,ఎపికల్ ఆధిపత్యం
এপিক্যালচার (মৌমাছি পালন),పుష్పగుచ్ఛము
অ্যাপোমিক্সিস,అపోమిక్సిస్
অ্যাপোপটোসিস,అపోప్టోసిస్
সংযোজন,అనుబంధం
ক্ষুধার্ত,ఆకలి
প্রয়োগ,అనువర్తిత
জলজ আগাছা,జల కలుపు
আরবোরিয়াল,అర్బోరియల్
আর্বোরাইজেশন,అర్బరైజేషన్
আর্কিও-বোটানিকাল রেকর্ডস,ఆర్కియో-బొటానికల్ రికార్డులు
অঞ্চল পরিসংখ্যান,ప్రాంత గణాంకాలు
অঞ্চল,ప్రాంతం
শুকনো বাস্তুতন্ত্র,శుష్క పర్యావరణ వ్యవస్థ
আরিল,అరిల్
সুগন্ধ,వాసన
সুগন্ধযুক্ত উদ্ভিদ,సుగంధ మొక్క
সুগন্ধযুক্ত চাল,సుగంధ బియ్యం
তীর,బాంజింగ్
Asepsis,అసేప్సిస్
অ্যাসেপটিক,అసెప్టిక్
অ্যাসেক্সুয়াল প্রচার,అలైంగిక ప్రచారం
অ্যাস,పరీక్ష
সম্পদ,ఆస్తులు
সংমিশ্রণ,సమీకరణ
সংঘ,అసోసియేషన్
জ্যোতিষী,రక్తస్రావం
অ্যাসিনাপসিস,అసినప్సిస్
Atavism,అటావిజం
Atomizer,అటామైజర్
অ্যাট্রোফি,క్షీణత
অটোগামি,ఆటోగామి
অটোলাইসিস,ఆటోలిసిస్
অটোক্সিডেশন,ఆటోక్సీడేషన్
অটোপলিপ্লয়েড,ఆటోపోలిప్లోయిడ్
অক্সিনস,ఆక్సిన్లు
এডাব্লুএন (ব্রিজল),దంపతులు
বাদাম,బాదం
অ্যালো,కలబంద
অমরান্থাস,అమరాంథస్
আম্মি,Ammi
অঞ্জান ঘাস,అంజన్ గడ్డి
অ্যান্থুরিয়াম,ఆంథూరియం
"অোনলা, ভারতীয় গুজবেরি","అయోన్లా, ఇండియన్ గూస్బెర్రీ"
অ্যাপল,ఆపిల్
এপ্রিকট,నేరేడు పండు
আরবিয়ান জেসমিন,అర్బియన్ జాస్మిన్
সুপারি বাদাম,అరేకా గింజ
অর্জুন,అర్జున్
Asfoetida,అస్ఫోటిడా
অ্যাশ লাউ,యాష్ పొట్లకాయ
অশোক গাছ,అశోక చెట్టు
আশ্থমা আগাছা (ইউফোর্বিয়া),కవచము కలుపు
অ্যাস্পারাগাস,ఆస్పరాగస్
অ্যাভোকাডো,అవోకాడో
আলফালফা (লুসার্ন),అంతా అల్నాఫ్న్నే
পিঁপড়া,చీమలు
এফিডস,అఫిడ్స్
সেনা কৃমি,ఆర్మీ పురుగు
কৃষি অর্থনীতিবিদ,వ్యవసాయ ఆర్థికవేత్త
কৃষি এক্সটেনশনিস্ট,వ్యవసాయ పొడిగింపు
কৃষি বিজ্ঞানী,వ్యవసాయ శాస్త్రవేత్త
কৃষি প্রকৌশলী,వ్యవసాయ ఇంజనీర్
অ্যাগ্রোবায়োলজিস্ট,అగ్రోబయాలజిస్ట్
কৃষিবিদ,వ్యవసాయ శాస్త్రవేత్త
অ্যাগ্রোফিজিসট,అగ్రోఫిసిక్
প্রাণী ব্রিডার,జంతువుల పెంపకందారుడు
ব্যাসিলাস ভাইরাস,బాసిల్లస్ వైరస్
ব্যাসিলাস,బాసిల్లస్
ব্যাকটিরিয়া,బాక్టీరియా
ব্যাকটিরিওক্সিন,బాక్టీరియోటాక్సిన్
ব্যাগাস,బాగస్సే
ব্যালেন্স শীট,బ్యాలెన్స్ షీట్
ভারসাম্যহীন নিষেক,సమతుల్య ఫలదీకరణం
বার ডায়াগ্রাম,బార్ రేఖాచిత్రం
বাকল,బెరడు
ব্যারোমিটার,బేరోమీటర్
বন্ধ্যা,బంజరు
বেস,బేస్
বেসিন,బేసిన్
বেসিপেটাল,బాసిపెటల్
বেসস্টারনাম,బేసిథెర్నమ్
উপসাগর,బే రుతుపవనాలు
বিয়ারিং প্ল্যান্ট,బేరింగ్ ప్లాంట్
বিছানা,మం చం
বেডার,బెడర్
বিছানাপত্র,పరుపు
বীট গুড়,దుంప మొలాసిస్
বেলো,బెలోస్
বেল্ট,బెల్ట్
বেনিফিট-ব্যয় বিশ্লেষণ,బెనిఫిట్-కాస్ట్ అనాలిసిస్
পক্ষপাতদুষ্ট (নমুনা),పక్షపాతం
দ্বিবার্ষিক,ద్వైవార్షిక
দ্বিপদী,ద్విపద
বায়োএজেন্ট,బయోజెంట్
বায়োক্লিমেট,బయోక్లైమేట్
বায়োনারজি,బయోఎనర్జీ
বায়োনমিক্স,బయోనోమిక్స్
বায়োরিয়্যাক্টর,బయోఇయాక్టర్
বায়োস্ফিয়ার,బయోస్పియర్
বায়োটিক,బయోటిక్
বায়োটাইপ,బయోటైప్
উভকামী,ద్విలింగ
ব্লাঞ্চিং,బ్లాంచింగ్
বিস্ফোরণ,పేలుడు
মিশ্রণ,కలపండి
ব্লাইট,ముడత
ফোস্কা,పొక్కు
নীল বিপ্লব,నీలం విప్లవం
নীচে তাপ চেম্বার,దిగువ వేడి గది
নীচে তাপ কৌশল,దిగువ ఉష్ణ సాంకేతికత
ব্রান,బ్రాన్
শাখা,శాఖ
শাখা,బ్రాంచ్లెట్
প্রজনন,జాతి
প্রজনন,పెంపకం
Brimming,బ్రిమ్మింగ్
ব্রুড,సంతానం
উদীয়মান,బడ్డింగ్
বাজেট,బడ్జెట్
বাফার,బఫర్
বাল্ব,బల్బ్
বুট,బంట్
উপজাত,ఉప-ఉత్పత్తి
বাবুল অ্যাকাসিয়া,బాబుల్ అకాసియా
শিশুর ভূট্টা,బేబీ మొక్కజొన్న
বেল,బేల్
বেল,బైల్
বালসাম,బాల్సం
বাঁশ,వెదురు
কলা,అరటి
বটগাছ,మర్రి చెట్టు
বার্লি,బార్లీ
বার্নইয়ার্ড মিললেট,బార్నియార్డ్ మిల్లెట్
পুদিনা,తులసి
জারজ সিডার,బాస్టర్డ్ సెడార్
জারজ মাইরোবালান,బాస్టర్డ్ మైరోబాలన్
বাউহিনিয়া,బౌహినియా
বে বেরি,బే బెర్రీ
বিন,బీన్
বীট,దుంప
বেলাদোনা,బెల్లడోన్నా
বের,బెర్
বার্সিম,బెర్సీమ్
সুপারি,బెటెల్
বিলিম্বি,బిలింబి
বিটার লাউ,కాకరకాయ
কালো গ্রাম,బ్లాక్ గ్రామ్
কালো নাইটশেড,బ్లాక్ నైట్ షేడ్
বোগেনভিলিয়া,బౌగెన్విలియా
বোতল ব্রাশ,బాటిల్ బ్రష్
বোতল লাউ,బాటిల్ పొట్లకాయ
বক্স ট্রি,బాక్స్ ట్రీ
রুটি ফল,బ్రెడ్ ఫ్రూట్
ব্রাইডাল লতা,పెళ్లి లత
ব্রিনজাল,బ్రింజల్
ব্রড শিম,బ్రాడ్ బీన్
ব্রোকলি,బ్రోకలీ
ব্রাসেলের স্প্রাউট,బ్రస్సెల్ మొలక
বাকউইট,బుక్వీట్
বুটিয়া,బ్యూటియా
ব্যান্ডিকুট,బాండికూట్
ভাল্লুক,ఎలుగుబంటి
বিটল,బీటిల్
ফোস্কা বিটল,బొబ్బ బీటిల్
নীল ষাঁড়,బ్లూ బుల్
বোল কৃমি,బోల్ పురుగు
প্রজাপতি,సీతాకోకచిలుక
ব্যাকটিরিওলজিস্ট,బాక్టీరియాలజిస్ట్
বায়োকেমিস্ট,బయోకెమిస్ట్
জীববিজ্ঞানী,జీవశాస్త్రవేత్త
বায়োটেকনোলজিস্ট,బయోటెక్నాలజిస్ట్
উদ্ভিদবিদ,వృక్షశాస్త్రజ్ఞుడు
সি আর্দ্রতা বৈশিষ্ট্যযুক্ত বক্ররেখা,సి తేమ లక్షణ వక్రత
কেক,కేక్
ক্যালারিয়াস,కాల్కారియస్
ক্যালিফিকেশন,కాల్సిఫికేషన్
