Tamil,Hindi
ஆம்பியர் (அலகு),ऐम्पियर (मात्रक)
ஆங்ஸ்ட்ரம்,ऐंगस्ट्रम
ஏ-வகுப்பு பெருக்கி,ए-वर्ग प्रवर्धक
ஏஎன் ரேடியோ சஹே,ए.एन रेडियो सहाय
ஒரு ஸ்கேனிங் விளக்கக்காட்சி,ए-क्रमवीक्षण प्रस्तुति
ஒரு-தர்ஷ்,ए-दर्श
ஏ-ஸ்கோப் செயல்திறன்,ए-स्कोप प्रदर्शन
ஏ-டி வளைந்த படிகம்,ए-टी कर्तित क्रिस्टल
"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
நான்,पूर्वाह्न
AMU (அணு நிறை அலகு),ए.एम.यू. (परमाणु संहति मात्रक)
aard-vark*,आर्ड-वार्क*
ab-ஆம்பியர்,ऐब-ऐम्पियर
A-B வகுப்பு பெருக்கி,ए-बी वर्ग प्रवर्धक
அட,आदितः
ஏ-பி சக்தி பிடகா,ए-बी शक्ति पिटक
abc = சீரமைப்பு விளக்கப்படம் = nomograph,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
அபே எண் (அபே மாறிலி),ऐबे संख्या (ऐबे नियतांक)
அபே ரிஃப்ராக்டோமீட்டர்,ऐबे अपवर्तनमापी
அபே சைன் நிலை,ऐबे ज्या अवस्था
தானியங்கி சார்பு இழப்பீடு,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
"பிறழ்வு, பிறழ்வு","विपथन, अपेरण"
பிறழ்வு திருத்தி லென்ஸ்,विपथन संशोधक लेन्स
வானம் பிறழ்வு,आकाश-विपथन
அபராட்,एबफैराड
எபென்ரி,एबहेनरी
கருங்காலி விளைவு,ऐबनी प्रभाव (ऐबनी नियम)
அசாதாரண துருவமுனைப்பு,अपसामान्य ध्रुवण
அசாதாரண பரிமாற்றம்,अपसामान्य संचरण
அமானுஷ்ய பிரதிபலிப்பு,अपसामान्य परावर्तन
அசாதாரண ஒளிவிலகல்*,अपसामान्य अपवर्तन*
அமானுஷ்ய எதிர்ப்பு,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"முன்னுரிமை, தோல்வி","पूर्वपात, विफलन"
"இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
அடிக்கடி குதிக்கிறது,सहसा जंप
கை*,भुज*
பிரதிபலிப்பு இழந்தது,लुप्त परावर्तन
ஸ்பெக்ட்ரம் காணவில்லை,लुप्त स्पैक्ट्रम
"முழுமையான, முழுமையான, நிலையான, சரியான","निरपेक्ष, परम, अचर, परिशुद्ध"
முழுமையான முடுக்கம்,निरपेक्ष त्वरण
முழுமையான உண்மை,निरपेक्ष यथार्थता
முழுமையான முகவரி,निरपेक्ष पता
புவிசார்ந்த உயரமானி,भूसापेक्ष तुंगतामापी
புவியியல் உயரம்,भूसापेक्ष तुंगता
முழுமையான ஆம்பியர்,निरपेक्ष ऐम्पियर
முழுமையான கொதிநிலை,परम क्वथनांक
முழுமையான ஒளிர்வு,निरपेक्ष तेजमापीय दीप्ति
முழுமையான கொள்ளளவு,निरपेक्ष धारिता
முழுமையான உயரம்,निरपेक्ष ऊँचाई
முழுமையான நிறமி,निरपेक्ष वर्णाक
"முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு","निरपेक्ष विन्यास, असंदिग्ध विन्यास"
முழுமையான கூலம்,निरपेक्ष कूलॉम
முழு இருள்,पूर्ण अंधकार
முழுமையான திட்டமிடல்,निरपेक्ष कालनिर्धारण
முழுமையான அடர்த்தி*,निरपेक्ष घनत्व*
முழுமையான வடிகால்,निरपेक्ष अपवहन
முழுமையான EMU (மின்காந்த அலகு),निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक)
முழுமையான ESU (நிலையான அலகு),निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक)
முழுமையான செயல்திறன்,निरपेक्ष दक्षता
முழுமையான எலக்ட்ரோமீட்டர்,निरपेक्ष विद्युतमापी
முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்,"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति"
முழுமையான ஈரப்பதம்,निरपेक्ष आर्द्रता
முழுமையான நிகழ்வு,निरपेक्ष आपतन
முழுமையான ஒளிவிலகல் குறியீடு,निरपेक्ष अपवर्तनांक
முழுமையான உறுதியற்ற தன்மை,निरपेक्ष अस्‍थायित्व
முழுமையான உறுதியற்ற தன்மை,निरपेक्ष अस्‍थायित्व
"முழுமையான தீவிரம், முழுமையான தீவிரம்","निरपेक्ष तीव्रता, निरपेक्ष उग्रता"
ஆஸ்தீனியாவின் முழுமையான வரம்பு,शैथिल्य की निरपेक्ष सीमा
முழுமையான வெளிச்சம் சன்னல்,निरपेक्ष ज्योतिर्मयता देहली
முழுமையான ஒளி வளைவு,निरपेक्ष ज्योति वक्र
முழுமையான அளவு,निरपेक्ष कांतिमान
முழுமையான காற்றழுத்தமானி,निरपेक्ष दाबांतरमापी
உச்ச உச்ச,परम उच्चिष्ठ
முழுமையான தீவிர,निरपेक्ष चरम सीमांक
முற்றிலும் குறைந்த,परम निम्निष्ठ
முழுமையான வேகம்,निरपेक्ष संवेग
முழுமையான வேகம்,निरपेक्ष गति
முழுமையான இசை,निरपेक्ष संगीत
முழுமையான கவனிப்பு,निरपेक्ष प्रेक्षण
முழுமையான ஓம்,निरपेक्ष ओम
முழுமையான நோக்குநிலை,निरपेक्ष दिगविन्यास
முழுமையான எலக்ட்ரோநெக்டிவிட்டி,निरपेक्ष विद्युत्-शीलता
முழுமையான ஈர்ப்பு,निरपेक्ष तारत्व
முழுமையான அழுத்தம்,निरपेक्ष दाब
முழுமையான சொத்து,निरपेक्ष गुणधर्म
முழுமையான அளவிடல்,निरपेक्ष अदिश
வெப்பநிலையின் இறுதி அளவு*,ताप का परम मापक्रम*
"absolute synchrony, absolute synchrony","निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता"
முழுமையான மன அழுத்தம்,निरपेक्ष प्रतिबल
முழுமையான சமச்சீர்,निरपेक्ष सममिति
முழுமையான இயக்க உடல்,निरपेक्ष गति-निकाय
முழுமையான அலகு அமைப்பு,निरपेक्ष मात्रक पद्धति
முழுமையான வெப்பநிலை,परम ताप
முழுமையான நேரம்,निरपेक्ष काल
முழுமையான அலகுகள்,निरपेक्ष मात्रक
துல்லியமான மதிப்பு,निरपेक्ष मान
முழு எண் கால்குலேட்டர்,पूर्णाक अभिकलित्र
முழுமையான வேகம்,निरपेक्ष वेग
முழுமையான பாகுத்தன்மை,निरपेक्ष श्यानता
முழுமையான எடை,निरपेक्ष भार
முழுமையான பூஜ்ஜியம்*,परम शून्य*
பூஜ்ஜியத்தின் முழுமையான வகுப்பான்,शून्य का निरपेक्ष भाजक
உறிஞ்சி,अवशोषण करना
உறிஞ்சுதல் குறியீடு*,अवशोषणांक*
உறிஞ்சப்பட்ட ஆற்றல்,अवशोषित ऊर्जा
"உறிஞ்சும், உறிஞ்சும்","अवशोषक, अवशोषी"
உறிஞ்சும் ஊடகம்*,अवशोषी माध्यम*
உறிஞ்சும் திறன்,अवशोषण सामर्थ्य
உறிஞ்சுதல்,अवशोषणांश
உறிஞ்சும் அளவி*,अवशोषणमापी*
உறிஞ்சும் அளவீடு*,अवशोषणामिति*
உறிஞ்சுதல்,अवशोषण
உறிஞ்சுதல் - இசைக்குழு*,अवशोषण - बैन्ड*
உறிஞ்சுதல் சுற்று,अवशोषण परिपथ
உறிஞ்சுதல் குணகம்,अवशोषण-गुणांक
உறிஞ்சுதல் நெடுவரிசை,अवशोषण-स्तम्भ
உறிஞ்சுதல் மாறிலி,अवशोषण-स्थिरांक
உறிஞ்சுதல் தொடர்ச்சி,अवशोषण सांतत्यक
