Hindi,Gujarati
ए बी वर्ग प्रवर्धक,A B વર્ગ એમ્પ્લીફાયર
"विपथन, अपेरण",વિકૃતિ
असामान्य संचरण,અસામાન્ય ટ્રાન્સમિશન
"असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
लुप्त स्पेक्ट्रम,ગુમ થયેલ સ્પેક્ટ્રમ
"निरपेक्ष, परम, अचर, परिशुद्ध","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
निरपेक्ष आर्द्रता,સંપૂર્ણ ભેજ
निरपेक्ष गति,સંપૂર્ણ ગતિ
निरपेक्ष प्रेक्षण,સંપૂર્ણ અવલોકન
परम ताप,સંપૂર્ણ તાપમાન
परम शून्य,સંપૂર્ણ શૂન્ય
अवशोषण करना,શોષી લેવું
"अवशोषक, अवशोषी","શોષક, શોષક"
अवशोषण सामर्थ्य,શોષણ ક્ષમતા
अवशोषणांश,શોષણ
अवशोषी,શોષક
अवशोषकता,શોષકતા
बाहुल्य अनुपात,ગુણાકાર ગુણોત્તર
त्वरित करना,વેગ આપો
त्वरित,ઉતાવળ કરી
त्वरण,પ્રવેગ
गुरुत्व त्वरण,ગુરુત્વાકર્ષણ પ્રવેગક
त्वरक,પ્રવેગક
"त्वरित्र, त्वरक",પ્રવેગક
त्वरणमापी,એક્સેલરોમીટર
प्राक्प्रबलक,prestresser
स्वीकारी परीक्षण,સ્વીકાર્ય પરીક્ષણ
"ग्राही, स्वीकारी",સ્વીકારનાર
आदाता अणु,દાતા પરમાણુ
"अभिगम, प्रतीक्षा, अभिगम्यता","પ્રવેશ, રાહ, સુલભતા"
अभिगम्यता,ઉપલ્બધતા
"अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
अभिगम काल,ઍક્સેસ સમય
आगन्तुक त्रुटि,મુલાકાતી ભૂલ
समंजन,ગોઠવણ
संचित,સંચિત
"संचय, संचयन","સંચય, સંચય"
संचायक,સંચયક
यथार्थता,ચોકસાઈ
यथार्थ,વાસ્તવિકતા
अवर्णक लेन्स,વર્ણહીન લેન્સ
अवर्णक,વર્ણહીન
अवर्णकता,વર્ણહીનતા
ध्वानिक,એકોસ્ટિક
ध्वनिरुद्ध,સાઉન્ડપ્રૂફ
ध्वानिक फ़ओनॉन,એકોસ્ટિક ફોનોન
ध्वनि-मात्रक,ધ્વનિ એકમ
ध्वानिक,એકોસ્ટિક
ध्वनि जनित्र,અવાજ જનરેટર
क्रिया और प्रतिक्रिया,ક્રિયા અને પ્રતિક્રિયા
सक्रियण,સક્રિયકરણ
सक्रियण उर्जा,સક્રિયકરણ ઊર્જા
"सक्रियकारक, सक्रियक","એક્ટિવેટર, એક્ટિવેટર"
सक्रिय,સક્રિય
सक्रियता,સક્રિયતા
वास्तविक प्रतिबल,વાસ્તવિક તણાવ
क्षिप्र उद्भासन,બબડાટ
"योग करना, जोड़ना",સારાંશ માટે
"योग, जोड़, संकलन (सं.), योगात्मक (वि.)","સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)"
"संयोजी स्वर, अतिरिक्त टोन (स्वर)","સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
"योज्य, योगात्मक",ઉમેરણ
आसंजन,સંલગ્નતા
आसंजी ऊर्जा,એડહેસિવ ઊર્જા
ऐडियाबैट,adiabat
रुद्धोष्म,એડિબેટિક
उष्मा-अपार्य,હીટ ઇન્સ્યુલેટીંગ
संलग्न,જોડાણ
समायोज्य,એડજસ્ટેબલ
प्रवेश्यता,પ્રવેશ
अधिशोषण,શોષણ
अग्रगत,આગળ
प्रगामी,પ્રગતિશીલ
"आकाशी, वायव (वि.), एरियल (सं.)","આકાશી, હવા (વિ.), હવાઈ (સં.)"
ऐन्टेना धारा,એન્ટેના સ્ટ્રીમ
आकाशी सर्वेक्षण,હવાઈ સર્વેક્ષણ
वायव वेग,હવાનો વેગ
वायुगतिक गुणांक,એરોડાયનેમિક ગુણાંક
वायुगतिक,એરોડાયનેમિક
वायुगतिकी,એરોડાયનેમિક્સ
वैमानिक,એરોનોટિકલ
वैमानिकी,એરોનોટિક્સ
वायुस्पंद,હવા નાડી
"वातमंडल, गैसमंडल","વાતાવરણ, ગેસોસ્ફિયર"
अफोकसी तंत्र,ફોકસ સિસ્ટમ
पश्च ज्वलन,પાછળની ઇગ્નીશન
पश्च दीप्ति,પાછળનો પ્રકાશ
उत्तरघात,ઉશ્કેરાટ
"वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना","ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો"
कालप्रभावित,અસરગ્રસ્ત સમય
"कालप्रभावन, जरण","વૃદ્ધાવસ્થા, વૃદ્ધત્વ"
कालप्रभावन,સમયની અસર
कालप्रभावन परीक्षण,સમય અસર પરીક્ષણ
गुरुत्वहीन,ગુરુત્વાકર્ષણ રહિત
संधान,સમાધાન
"वायुवाहित रेडार, हवाई रेडार","એરબોર્ન રડાર, એરિયલ રડાર"
"वायुवर्ती लक्ष्य, हवाई लक्ष्य","હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય"
"वायुश्वासी, वायुश्वसित्र",હવા શ્વસન કરનાર
वातानुकूलन,એર કન્ડીશનીંગ
वायुक्रोडी ट्रांसफार्मर,એરક્રુ ટ્રાન્સફોર્મર
वायुयान,વિમાન
संरेखण,ગોઠવણી
सरेखण त्रुटि,સંરેખણ ભૂલ
सजीव परिपथ,જીવંત સર્કિટ
संपूर्ण कांच नलिका,સંપૂર્ણ કાચની નળી
संपूर्ण धातुनलिका,આખી મેટલ ટ્યુબ
नियत करना,ઠીક
"मिश्रातु (सं.), मिश्रात्वन (क्रि.)","મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)"
मिश्रात्वन,મિશ્રત્વ
सर्वव्यापी माध्यम,સર્વવ્યાપક માધ્યમ
सर्वतरंग ऐन्टेना,ઓમ્ની એન્ટેના
पंचांग,પંચાંગ
ऐल्फा,આલ્ફા
ऐल्फा-सक्रियता,આલ્ફા-પ્રવૃત્તિ
अक्षरांकीय,આલ્ફાન્યૂમેરિક
ऐल्फा किरण,આલ્ફા કિરણ
परिवर्तन,બદલો
"एकांतर, प्रत्यावर्ती","વૈકલ્પિક, વૈકલ્પિક"
प्रत्यावर्तित्र,વૈકલ્પિક
तुंगतालेखी,અલ્ટિમીટર
तुंगतामापी,અલ્ટિમીટર
तुंगतामापिकी,અલ્ટાઇમટ્રી
"तुंगता, उंचाई, उन्नतांश, शीर्षलम्ब","ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ"
अंकगणित तर्क एकक (ए एल यू),અંકગણિત તર્ક એકમ (ALU)
एमागेट नियम,amaget નિયમ
परिवेश,પર્યાવરણ
एमाइक्रोन,એમીક્રોન
ऐमीटर,એમીટર
ऐम्पियर,એમ્પીયર
ऐम्पियर-नियम,એમ્પીયર કાયદો
उभयावेशी आयन,ઉભયજીવી આયન
प्रवर्धन,એમ્પ્લીફિકેશન
प्रवर्धक,એમ્પ્લીફાયર
"कोणांक, आयाम","કોણ, પરિમાણ"
ए. एम. यू. (परमाणु संहति मात्रक),a એમ. યુ. (અણુ સમૂહ એકમ)
अनुरूप,સુસંગત
सादृश्य,સામ્યતા
विश्लेषक,વિશ્લેષક
विश्लेषण,વિશ્લેષણ
विश्लेषीय,વિશ્લેષણાત્મક
अन-अबिन्दुक,બિન-બિંદુ
अन-अबिंदुकता,વિસંગત
तथा द्वार,અને દરવાજો
अप्रतिध्वनिक,બિન-એકોસ્ટિક
विषम प्रत्यास्थता,વિસંગત સ્થિતિસ્થાપકતા
निर्द्रव,નિર્જળ
कोण,કોણ
ऐंग्स्ट्रम मात्रक,એંગસ્ટ્રોમ એકમ
कोणीय,કોણીય
कोणमापी वर्नियर,પ્રોટ્રેક્ટર વેર્નિયર
अप्रसंवादी,વિવાદાસ્પદ
अप्रसवादिता,આદરહીન
अशैथिल्य चुंबकन,વર્ણહીન ચુંબકીયકરણ
अशिथिलित,ઢીલું
ऋणायन,anion
असमविम,અસમપ્રમાણ
विषमदैशिक,આઇસોટ્રોપિક
विषमदैशिकता,આઇસોટ્રોપિઝમ
विलोपन,કાઢી નાખવું
आख्यापित्र,કાવતરાખોરો
ऐनोड,એનોડ
ऐनोडीकरण,એનોડાઇઝેશન
अंसगत,અસંગત
प्रकाशयंत्रहीन तंत्र,ઓપ્ટિકલ સિસ્ટમ
ऐन्टेना,એન્ટેના
ऐन्टिबेरियॉन,એન્ટિબેરિયન
बंधन विरोधी गुणधर्म,વિરોધી બંધન ગુણધર્મો
प्रति-आबंधन,કાઉન્ટર બોન્ડ
प्रतिलोह विद्युत,વિપરીત શક્તિ
प्रतिलोहचुंबकीय,ડાયમેગ્નેટિક
प्रतिलोहचुबकीय पदार्थ,ડાયમેગ્નેટિક સામગ્રી
प्रतिकूहाकारक,બળતરા વિરોધી
प्रतिगुरुत्व,એન્ટિગ્રેવિટી
प्रतिलेम्डा कण,એન્ટિલામડા કણ
ऐल्टीलेप्टॉन,એલેપ્ટન
प्रतिचुंबकीय,ડાયમેગ્નેટિક
ऐन्टिद्रव्य,એન્ટિમેટર
मिसाइल विरोधी,વિરોધી મિસાઇલ
ऐन्टिन्यूट्रॉन,એન્ટિન્યુટ્રોન
प्रस्पंद,ધબકતું
प्रतिन्यूक्लिऑन,એન્ટિન્યુક્લિયોન
प्रतिकण,એન્ટિપાર્ટિકલ
प्रतिप्रोटॉन,એન્ટિપ્રોટોન
परावर्तनरोधी,પ્રતિબિંબ વિરોધી
प्रतिसममित,અસમપ્રમાણ
अनावर्ती,નોન રિકરિંગ
अनावर्तिता,અનાક્રોનિઝમ
छिद्रित क्रमवीक्षण डिस्क,છિદ્રિત સ્કેનિંગ ડિસ્ક
द्वारक,દ્વારક
"शीर्ष, शिखर, अग्रक","ટોચ, ટોચ, આગળ"
"सूर्योच्च, रवि उच्च, अपसौर","સૂર્ય ઉચ્ચ, સૂર્ય ઉચ્ચ, અપ્સૂર"
अविपथी लेस,ઉદાસીન ફીત
अविपथी,બિન-દયનીય
अविपथिता,બિન-વિકલાંગતા
अति अवर्णी,ખૂબ વર્ણહીન
"भूमि-उच्च, अपभू","જમીન-ઊંચી, apogee"
"अध्रुवी, परिध्रुवी","બિનધ્રુવીય, ગોળાકાર"
परिध्रुविता,પેરાપોલરીટી
उपकरण,ઉપકરણ
"आभासी, दृष्ट","વર્ચ્યુઅલ, વિઝ્યુઅલ"
दृष्ट सूर्य,દૃશ્યમાન સૂર્ય
दृष्ट समय,દ્રશ્ય સમય
"उदभावी, प्रकटन",ઉભરતો દેખાવ
अनुप्रयुक्ति,અરજી
अनुप्रयोज्यता,લાગુ પડવાની ક્ષમતા
अनुप्रयुक्त,લાગુ
सुप्रेक्ष्य,અવલોકનક્ષમ
उपगमन,અભિગમ
"सन्निकट, लगभग","નજીક, આશરે"
सन्निकटन,અંદાજ
वाष्प दाब,બાષ્પ દબાણ
स्वेच्छ,સ્વૈચ્છિક
"आर्क भट्टी, चाप भट्टी","આર્ક ફર્નેસ, આર્ક ફર્નેસ"
आर्किमीडीज़ का नियम,આર્કિમિડીઝનો કાયદો
स्थापत्य ध्वानिकी,આર્કિટેક્ચરલ ધ્વનિશાસ્ત્ર
आर्क लैंप,ચાપ દીવો
आर्क-स्पेक्ट्रम,આર્ક-સ્પેક્ટ્રમ
"क्षेत्र, क्षेत्रफल","વિસ્તાર, વિસ્તાર"
"क्षेत्रफलीय, क्षेत्रीय","પ્રાદેશિક, પ્રાદેશિક"
"बाहु, भुजा, शाखिका","હાથ, હાથ, શાખા"
आमेचर,કલાપ્રેમી
"व्यूह, सरणी","એરે, એરે"
प्रग्राही,રીસીવર
उच्चारण स्पष्टता,ઉચ્ચાર સ્પષ્ટતા
कृत्रिम,કૃત્રિમ
कृत्रिम तत्वांतरण,કૃત્રિમ ટ્રાન્સમ્યુટેશન
आरोही,ચડતા
तारारोहण,ચઢાણ
आरोहांक,ચડવું
अगोली,અગોલી
अगोलीकरण,એકત્રીકરણ
समुच्चय,નો સમૂહ
"समुच्चय करना, समुच्चयन","એસેમ્બલીંગ, એસેમ્બલીંગ"
"समुच्चय, समुच्चयन, कोडांतरण","એસેમ્બલીંગ, એસેમ્બલીંગ, એસેમ્બલીંગ"
परिशुद्धता आकलन,ચોકસાઇ અંદાજ
निर्दिष्ट (क्वांटम संख्याओं का) निर्दिष्टीकरण,ઉલ્લેખિત (ક્વોન્ટમ નંબરોની) વિશિષ્ટતાઓ
"संबंद्ध, सहचारी, संगुणित","સંબંધિત, સહયોગી, જોડાણ"
स्वरावृत्ति,સ્વર અવાજ
स्वचलित बहुकंपित्र,સ્વચાલિત મલ્ટિવાઇબ્રેટર
अस्थैतिक,અસ્થેનિક
"अबिन्दुकता, एस्टिग्मेटिज्म","ત્યાગ, અસ્પષ્ટતા"
