Hindi,Odiya
आबेली समूह,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
आबेली सामिसमूह,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",ସଂପୂର୍ଣ୍ଣ
निरपेक्ष अभिसरण,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
निरपेक्ष त्रुटि,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
परम उच्चिष्ठ,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
परम निम्निष्ठ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
निरपेक्ष मान,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
निरपेक्ष वेग,ସଂପୂର୍ଣ୍ଣ ବେଗ
अमूर्त बीजगणित,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
अमूर्त समूह सिद्‌धांत,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
त्वरण,ତ୍ୱରଣ
गुरुत्वीय त्वरण,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
स्वीकार्य वरण-समुच्चय,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
स्वीकार्य गुणता स्तर,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
स्वीकार्य परिसर,ଗ୍ରହଣୀୟ ପରିସର |
मान्य विश्वसनीयता स्तर,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
स्वीकरण-प्रतिचयन,ଗ୍ରହଣୀୟ ନମୁନା
संचित त्रुटि,ସଂଗୃହିତ ତ୍ରୁଟି |
यथार्थता,ସଠିକତା
लगा हुआ बल,ଅଭିନୟ ଶକ୍ତି
" क्रिया , कर्म",କାର୍ଯ୍ୟ
क्रिया और प्रतिक्रिया,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
बीमा विज्ञान,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
न्यूनकोण त्रिभुज,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
अचक्रीय,acyclic
"योग करना, जोड़ना",ଯୋଡନ୍ତୁ |
योजक,ଆଡର୍
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",ଯୋଗ
योग का सूत्र,ଯୋଗ ସୂତ୍ର
सम्मिश्र संख्याओं का योग,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |
फलनों का योग,କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ
आव्यूहों का योग,ମାଟ୍ରିକ୍ସର ଯୋଗ
बहुपदों का योग,ବହୁଭାଷୀ ଯୋଗ |
प्रायिकताओं का योग,ସମ୍ଭାବ୍ୟତାର ଯୋଗ |
सदिशों का योग,ଭେକ୍ଟର ଯୋଗ
"योग प्रमेय बेरीज सिद्‌धांत,",ଯୋଗ ତତ୍ତ୍ୱ
योज्य समूह,ଯୋଗୀ ଗୋଷ୍ଠୀ |
योज्य व्युत्क्रम,ଯୋଗୀ ଓଲଟା |
"योज्यता, योगशीलता",ଯୋଗୀ ସମ୍ପତ୍ତି |
योज्यता,ଯୋଗୀତା |
