Gujarati,Malayalam
એબેલિયન જૂથ,അബെലിയൻ ഗ്രൂപ്പ്
અબેલીયન સેમીગ્રુપ,അബെലിയൻ സെമിഗ്രൂപ്പ്
એબ્સીસા,abscissa
સંપૂર્ણ,കേവല
સંપૂર્ણ સંકલન,കേവലമായ ഒത്തുചേരൽ
સંપૂર્ણ ભૂલ,സമ്പൂർണ്ണ പിശക്
સંપૂર્ણ મહત્તમ,കേവല പരമാവധി
સંપૂર્ણ લઘુત્તમ,സമ്പൂർണ്ണ മിനിമം
સંપૂર્ણ મૂલ્ય,യഥാർത്ഥ മൂല്യം
સંપૂર્ણ વેગ,കേവല വേഗത
અમૂર્ત બીજગણિત,അമൂർത്ത ബീജഗണിതം
અમૂર્ત જૂથ સિદ્ધાંત,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
પ્રવેગ,ത്വരണം
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
સ્વીકાર્ય પસંદગી સમૂહ,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
સ્વીકાર્ય ગુણવત્તા સ્તર,സ്വീകാര്യമായ നിലവാരം
સ્વીકાર્ય શ્રેણી,സ്വീകാര്യമായ ശ്രേണി
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,സ്വീകാര്യമായ വിശ്വാസ്യത നില
સ્વીકાર્ય નમૂના,സ്വീകാര്യമായ സാമ്പിൾ
સંચિત ભૂલ,സഞ്ചിത പിശക്
ચોકસાઈ,കൃത്യത
અભિનય બળ,പ്രവർത്തന ശക്തി
ક્રિયા,നടപടി
ક્રિયા અને પ્રતિક્રિયા,പ്രവർത്തനവും പ്രതികരണവും
વાસ્તવિક વિજ્ઞાન,യഥാർത്ഥ ശാസ്ത്രം
તીવ્ર કોણીય ત્રિકોણ,നിശിത കോണുള്ള ത്രികോണം
એસાયક્લિક,അസൈക്ലിക്
ઉમેરો,ചേർക്കുക
ઉમેરનાર,ചേർക്കുന്നയാൾ
વધુમાં,കൂട്ടിച്ചേർക്കൽ
વધારાનું સૂત્ર,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
જટિલ સંખ્યાઓનો ઉમેરો,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
કાર્યોનો ઉમેરો,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
મેટ્રિસિસનો ઉમેરો,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
બહુપદીનો ઉમેરો,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
