Hindi,Bengali
ऐम्पियर (मात्रक),অ্যাম্পিয়ার (একক)
ऐंगस्ट्रम,অ্যাংস্ট্রাম
ए-वर्ग प्रवर्धक,A-শ্রেণীর পরিবর্ধক
ए.एन रेडियो सहाय,এএন রেডিও সহায়
ए-क्रमवीक्षण प्रस्तुति,একটি-স্ক্যানিং উপস্থাপনা
ए-दर्श,a-দর্শ
ए-स्कोप प्रदर्शन,A-স্কোপ কর্মক্ষমতা
ए-टी कर्तित क्रिस्टल,A-T বাঁকা স্ফটিক
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন"
पूर्वाह्न,am
ए.एम.यू. (परमाणु संहति मात्रक),এএমইউ (পারমাণবিক ভর একক)
आर्ड-वार्क*,আর্ড-ওয়ার্ক*
ऐब-ऐम्पियर,ab-ampere
ए-बी वर्ग प्रवर्धक,A-B শ্রেণীর পরিবর্ধক
आदितः,adah
ए-बी शक्ति पिटक,A-B শক্তি পিটক
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ
ऐबे संख्या (ऐबे नियतांक),আবে নম্বর (আবে ধ্রুবক)
ऐबे अपवर्तनमापी,abe রিফ্র্যাক্টোমিটার
ऐबे ज्या अवस्था,অ্যাবে সাইন স্টেট
स्वचालित बायस प्रतिकार,স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ
ऐबकूलॉम,abcoulom
"विपथन, अपेरण","aberration, aberration"
विपथन संशोधक लेन्स,বিকৃতি সংশোধনকারী লেন্স
आकाश-विपथन,আকাশ বিকৃতি
एबफैराड,আবফারদ
एबहेनरी,ইবেনরি
ऐबनी प्रभाव (ऐबनी नियम),আবলুস প্রভাব
अपसामान्य ध्रुवण,অস্বাভাবিক মেরুকরণ
अपसामान्य संचरण,অস্বাভাবিক সংক্রমণ
अपसामान्य परावर्तन,অলৌকিক প্রতিফলন
अपसामान्य अपवर्तन*,অস্বাভাবিক প্রতিসরণ*
अपसामान्य प्रतिरोध,অস্বাভাবিক প্রতিরোধ
ऐब-ओम,ab-om
"पूर्वपात, विफलन","preponderance, ব্যর্থতা"
