Malayalam,Bengali
എ.സി തുല്യമായ സർക്യൂട്ട്,এসি সমতুল্য সার্কিট
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
കേവല പൂജ്യം,পরম শূন্য
ആഗിരണം ഗുണകം,শোষণ গুণাঙ্ক
ആഗിരണം സ്പെക്ട്രം,শোষণ বর্ণালী
റിസപ്റ്റർ ആറ്റം,রিসেপ্টর পরমাণু
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,বিকল্প বর্তমান যুগল
ഇലക്ട്രോൺ വിളവെടുപ്പ്,ইলেক্ট্রন সংগ্রহ
ദ്വാര സംഭരണം,গর্ত স্টোরেজ
സജീവമാക്കൽ ഊർജ്ജം,অ্যাক্টিভেশন শক্তি
സജീവ ആംപ്ലിഫയർ,সক্রিয় পরিবর্ধক
സജീവ ഡയോഡ് സർക്യൂട്ട്,সক্রিয় ডায়োড সার্কিট
സജീവ ഫിൽട്ടർ,সক্রিয় ফিল্টার
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
സജീവ ലോഡ്,সক্রিয় লোড
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
സജീവമായ പ്രദേശം,সক্রিয় এলাকা
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,অভিযোজিত ইলেকট্রনিক্স
ചേർക്കുന്നയാൾ,যোগকারী
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
നുഴഞ്ഞുകയറ്റം,অনুপ্রবেশ
ഏരിയൽ,এরিয়েল
പെപ് ആവൃത്തി,পিপ ফ্রিকোয়েন্সি
എയർ കണ്ടീഷണർ,এয়ার কন্ডিশনার
വിന്യാസം,প্রান্তিককরণ
അൽഗോരിതം,অ্যালগরিদম
എല്ലാ പാസ് ഫിൽട്ടറും,সমস্ত পাস ফিল্টার
അലോയ് ജംഗ്ഷൻ,খাদ জংশন
ശോഷണം,ক্ষয়
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,বিবর্তিত বিদ্যুৎ
അന്തരീക്ഷ ഊഷ്മാവ്,পরিবেষ্টিত তাপমাত্রা
ബൈപോളാർ,বাইপোলার
ആംപ്ലിഫിക്കേഷൻ,পরিবর্ধন
ആംപ്ലിഫയർ,পরিবর্ধক
ആംപ്ലിഫയർ കാര്യക്ഷമത,পরিবর্ধক দক্ষতা
അളവുകൾ,মাত্রা
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,প্রশস্ততা ক্ষয়
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,প্রশস্ততা মডুলেটেড এএম অসিলেটর
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,প্রশস্ততা মড্যুলেশন
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,প্রশস্ততা মডুলেটর
angstrom യൂണിറ്റ്,অ্যাংস্ট্রম ইউনিট
അനലോഗ് സർക്യൂട്ട്,এনালগ সার্কিট
അനലോഗ് കമ്പ്യൂട്ടർ,এনালগ কম্পিউটার
അനലോഗ് ഫിൽട്ടർ,এনালগ ফিল্টার
അനലോഗ് മൾട്ടിമീറ്റർ,এনালগ মাল্টিমিটার
അനലോഗ് സ്വിച്ച്,এনালগ সুইচ
ഒപ്പം ഗേറ്റും,এবং গেট
കോണീയ ആവൃത്തി,কৌণিক কম্পাংক
"അയോൺ, അയോൺ","anion, anion"
അനീലിംഗ് താപനില,অ্যানিলিং তাপমাত্রা
ആനോഡ്,অ্যানোড
ആനോഡ് ആംപ്ലിഫയർ,অ্যানোড পরিবর্ধক
അനോഡൈൻ,anodyne
ആന്റിന,অ্যান্টেনা
ആന്റിന ഘടകം,অ্যান্টেনা উপাদান
ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്,বিরোধী প্রতিফলিত আবরণ
ആന്റിലോഗിൻ ആംപ്ലിഫയർ,অ্যান্টিলগইন পরিবর্ধক
antiresonant സർക്യൂട്ട്,অ্যান্টিরেজোন্যান্ট সার্কিট
ദ്വാരക കാലഘട്ടം,দ্বারক যুগ
വെർച്വൽ പവർ,ভার্চুয়াল শক্তি
വയർ കണക്ഷൻ,তারের সংযোগ
ഏകദേശ വോൾട്ടേജ് നേട്ടം,আনুমানিক ভোল্টেজ লাভ
ആംസ്ട്രോങ് മോഡുലേറ്റർ,আর্মস্ট্রং মডুলেটর
ആന്റിന അറേ,অ্যান্টেনা অ্যারে
"വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം","সাইজ রেশিও, অ্যাসপেক্ট রেশিও"
ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്),ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট)
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ,ভাসমান মাল্টিভাইব্রেটর
അസമമായ ജംഗ്ഷൻ,অপ্রতিসম জংশন
അസിൻക്രണസ് കാൽക്കുലേറ്റർ,অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর
ആണവ,পারমাণবিক
ആറ്റോമിക നമ്പർ,পারমাণবিক সংখ্যা
ആറ്റോമിക് ഘടന,পারমাণবিক গঠন
ഓഡിയോ ആംപ്ലിഫയർ,অডিও পরিবর্ধক
ഓഡിയോ ആംപ്ലിഫയർ,অডিও পরিবর্ধক
ഓഡിയോ കാസറ്റ്,অডিও ক্যাসেট
ഓഡിയോ സർക്യൂട്ട്,অডিও সার্কিট
കേൾക്കാവുന്ന ആവൃത്തി,শ্রবণযোগ্য ফ্রিকোয়েন্সি
ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ
ഹിമപാതം,তুষারপাত
ശരാശരി ഡിറ്റക്ടർ,গড় আবিষ্কারক
അക്ഷീയ മോഡ്,অক্ষীয় মোড
അക്ഷീയ അനുപാതം,অক্ষীয় অনুপাত
ആന്റിന,অ্যান্টেনা
ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്,ব্যাক ইলেক্ট্রোমোটিভ ফোর্স
പിൻ പ്രദേശം,পিছনের এলাকা
തിരികെ ചിതറിക്കിടക്കുക,ব্যাক স্ক্যাটার
പശ്ചാത്തല ചാർജ്,ব্যাকগ্রাউন্ড চার্জ
സൈഡ് ശബ്ദം,পার্শ্ব গোলমাল
പിന്നോക്കാവസ്ഥ,পশ্চাদপসরণ
പിൻഭാഗത്തെ വികിരണം,পোস্টেরিয়র বিকিরণ
ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്,ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড
ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ,ব্যাকওয়ার্ড ওয়েভ অসিলেটর
"തടസ്സം, തടസ്സം","বাধা, বাধা"
തടസ്സം,বাধা
സമതുലിതമായ പാലം,সুষম সেতু
സമതുലിതമായ മോഡുലേറ്റർ,সুষম মডুলেটর
സമതുലിതമായ മോഡുലേറ്റർ,সুষম মডুলেটর
സമതുലിതമായ സർക്യൂട്ട്,সুষম সার্কিট
സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ,সুষম গ্রেডিয়েন্ট ডিটেক্টর
നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം,বর্তমান স্টেবিলাইজার প্রতিরোধের
ബൊലോമീറ്റർ,বোলোমিটার
ബോലോമീറ്റർ പാലം,বোলোমিটার সেতু
ബലൂണ്,বেলুন
ബനാന ജാക്ക്,কলা জ্যাক
ബനാന പ്ലഗ്,কলা প্লাগ
"ബാൻഡ്, ബാൻഡേജ്","ব্যান্ড, ব্যান্ডেজ"
ബാൻഡ് ഡ്രൈവർ,ব্যান্ড ড্রাইভার
ബാൻഡ് ഊർജ്ജം,ব্যান্ড শক্তি
ബാൻഡ് വിടവ്,ব্যান্ড ফাঁক
ബാഡ്പാർക്ക് ആംപ്ലിഫയർ,ব্যাডপার্ক পরিবর্ধক
ബാൻഡ് പാസ് ഫിൽട്ടർ,ব্যান্ড পাস ফিল্টার
ബോഡ് റേറ്റ് ജനറേറ്റർ,বড রেট জেনারেটর
ബാൻഡ് ഡിസ്പെർഷൻ,banddispersion
ബാൻഡ് റെസിസ്റ്റർ,ব্যান্ড প্রতিরোধক
ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ,ব্যান্ড ব্রেকার ফিল্টার
ബാൻഡ് വിപുലീകരണം,ব্যান্ড সম্প্রসারণ
ബാൻഡ് റിമൂവർ ഫിൽട്ടർ,ব্যান্ড রিমুভার ফিল্টার
ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ,ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার
ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ,ব্যান্ড এক্সটেনশন দূরত্ব গুণক
"ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ","বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর"
"ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്","বার্কার কোড, বার্কার কোড"
barravaugen മാനദണ്ഡം,barravaugen মানদণ্ড
ബാരേറ്റർ,বাধাদানকারী
തടസ്സം,বাধা
ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ,অন্তরক ক্যাপাসিটর
തടസ്സം ഊർജ്ജം,বাধা শক্তি
റെസിസ്റ്റർ വോൾട്ടേജ്,প্রতিরোধক ভোল্টেজ
ബാർട്ട്ലെറ്റ് വിൻഡോ,বার্টলেট উইন্ডো
"അടിസ്ഥാനം, അടിസ്ഥാനം","ভিত্তি, ভিত্তি"
അടിസ്ഥാന ബാൻഡ്,বেস ব্যান্ড
അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ,বেস ব্যান্ড ট্রান্সমিশন
അടിസ്ഥാന ചാർജ്,বেস চার্জ
അടിസ്ഥാന കറന്റ്,ভিত্তি বর্তমান
അടിസ്ഥാന നിലവിലെ ഉറവിടം,ভিত্তি বর্তমান উৎস
അടിസ്ഥാന കത്രിക,বেস শিয়ারিং
ആധാർ മദൻ,আধার মদন
അടിസ്ഥാന എമിറ്റർ ഫീഡ്,বেস ইমিটার ফিড
അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ,বেস ইমিটার জংশন
അടിസ്ഥാന കുത്തിവയ്പ്പ്,বেস ইনজেকশন
ഗ്രൗണ്ട് ലൈൻ,স্থল লাইন
അടിസ്ഥാന പ്രതിരോധം,বেস প্রতিরোধের
അടിസ്ഥാന ഉറവിടം,ভিত্তি উৎস
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,বেস সম্প্রসারণ প্রতিরোধের
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,বেস সম্প্রসারণ প্রতিরোধের
അടിസ്ഥാന കനം,ভিত্তি বেধ
അടിസ്ഥാന പ്രവേശനം,বেস অ্যাক্সেস
"ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ","বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন"
അടിസ്ഥാന കളക്ടർ ഉടമ്പടി,বেস কালেক্টর চুক্তি
മണം,গন্ধ
ബാസ് ആവൃത്തി,খাদ ফ্রিকোয়েন্সি
ബാറ്ററി,ব্যাটারি
ബൗഡ്,বউড
ബാഡ് നിരക്ക്,বড হার
ബോഡ് റേറ്റ് ജനറേറ്റർ,বড রেট জেনারেটর
ബോഡോ കോഡ്,বোডো কোড
"സിഗ്നൽ, ബീക്കൺ","সংকেত, বীকন"
"മാണിക, ബീഡ്","মানিকা, বিড"
മാനിക് കപ്പാസിറ്റർ,ম্যানিক ক্যাপাসিটর
മണികർത്താപി റെസിസ്റ്ററുകൾ,মানিকর্তপি প্রতিরোধক
"ബീം ആന്റിന, ബീം ആന്റിന","মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা"
ബീം ഡിറ്റക്ടർ,মরীচি আবিষ্কারক
ബീം പവർ ഹോസ്,মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ
ബീം സ്വിച്ചിംഗ് നോസിലുകൾ,মরীচি সুইচিং অগ্রভাগ
ബീം വികാസം,মরীচি সম্প্রসারণ
അടി ആവൃത്തി,বীট ফ্রিকোয়েন্সি
ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ,বীট-ফ্রিকোয়েন্সি অসিলেটর
പൾസ് ഓസിലേറ്റർ,পালস অসিলেটর
മണി,বেল
വളയുന്ന നഷ്ടം,নমন ক্ষতি
ബെസൽ ഫിൽട്ടർ,বেসেল ফিল্টার
ബീറ്റ,বেটা
b-h വക്രം,b-h বক্ররেখা
"പക്ഷപാതം, പക്ഷപാതം","পক্ষপাত, পক্ষপাত"
ബയസ് കറന്റ്,পক্ষপাত বর্তমান
പക്ഷപാത പ്രതിരോധം,পক্ষপাত প্রতিরোধ
ഇരട്ട ആന്റിന,ডবল অ্যান্টেনা
ദ്വിദിശ ലോഡ് കറന്റ്,দ্বিমুখী লোড বর্তমান
ദ്വിദിശ ആന്റിന,দ্বিমুখী অ্যান্টেনা
ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്,দ্বিমুখী আলো নির্গত ডায়োড
ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ,দ্বিমুখী থাইরিস্টর
bi FET സാങ്കേതികവിദ്യ,bi FET প্রযুক্তি
ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ,দ্বি-বিন্দু ট্রান্সফরমার
ഇരട്ട സംയോജനം,ডবল ফিউশন
ഉഭയകക്ഷി സർക്യൂട്ട്,দ্বিপাক্ষিক সার্কিট
ബൈനറി,বাইনারি
ബൈനറി തുക,বাইনারি যোগফল
ബൈനറി സർക്യൂട്ട്,বাইনারি সার্কিট
ബൈനറി കോഡ് ചെയ്ത ദശാംശം,বাইনারি কোডেড দশমিক
ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം,বাইনারি কোডেড দশমিক সিস্টেম
ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ,বাইনারি ডাইপোল ক্যাপাসিটর
ബൈനറി കാൽക്കുലേറ്റർ,বাইনারি ক্যালকুলেটর
ബൈനറി കാൽക്കുലേറ്റർ,বাইনারি ক্যালকুলেটর
ബൈനറി ഡീകോഡർ,বাইনারি ডিকোডার
ബൈനറി ഗോവണി,বাইনারি মই
ബൈനറി പാത്തോമീറ്റർ,বাইনারি প্যাথোমিটার
ബൈനറി അവസ്ഥ,বাইনারি অবস্থা
ബൈനറി-ഡെസിമൽ ഡീകോഡർ,বাইনারি-ডেসিমেল ডিকোডার
ബൈനറി ലോഡ്,বাইনারি লোড
ബൈനറി വാക്കുകൾ,বাইনারি শব্দ
ബൈപോളാർ,বাইপোলার
ബൈപോളാർ കപ്പാസിറ്റർ,বাইপোলার ক্যাপাসিটর
ബൈപോളാർ ഉപകരണം,বাইপোলার ডিভাইস
ബൈപോളാർ ഉറവിടം,বাইপোলার উৎস
ബൈപോളാർ ട്രാൻസിസ്റ്റർ,বাইপোলার ট্রানজিস্টর
ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ,বাইপোলার জংশন ট্রানজিস্টর
ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ,দ্বিঘাত ফিল্টার
ഇരട്ട സ്ഥാനം,ডবল অবস্থান
രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ,দুই-পর্যায়ের মাল্টিভাইব্রেটর
ദ്വിദിശ റിലേ,দ্বিমুখী রিলে
രണ്ട്-ഘട്ട സംസ്ഥാനം,দুই-পর্যায়ের রাষ্ট্র
രണ്ട്-സ്ഥാന ട്രിഗർ,দুই-পজিশন ট্রিগার
ബിറ്റ് പിശക്,বিট ত্রুটি
ബിറ്റ് പിശക് നിരക്ക്,বিট ত্রুটি হার
ബിറ്റ് പിശക്,বিট ত্রুটি
ബിറ്റ്കാൽ പിശക്,বিটকল ত্রুটি
അന്ധമായ പെട്ടി,অন্ধ বাক্স
ഘനീഭവിച്ച പൾസ്,ঘনীভূত নাড়ি
സ്രഷ്ടാവ്,সচিব
സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ,সিক্রেটরি ইনহিবিটার
അന്ധത,অন্ধত্ব
സെഗ്മെന്റ് ഡയഗ്രം,সেগমেন্ট ডায়াগ্রাম
തടസ്സം തടയൽ,ব্লকিং প্রতিবন্ধকতা
ശകലം കൈമാറ്റം,খণ্ড স্থানান্তর
തടസ്സപ്പെടുത്തുക,পথিমধ্যে রোধ করা
തടയൽ കപ്പാസിറ്റർ,প্রতিরোধক ক্যাপাসিটর
റെസിസ്റ്റർ കപ്പാസിറ്റർ,প্রতিরোধক ক্যাপাসিটর
തടയുന്ന ഓസിലേറ്റർ,ব্লকিং অসিলেটর
തടയുന്ന ഓസിലേറ്റർ,প্রতিরোধক অসিলেটর
റെസിസ്റ്റർ വോൾട്ടേജ്,প্রতিরোধক ভোল্টেজ
ഊതുന്നയാൾ,ব্লোয়ার
ബോഡ് ഡയഗ്രം,বোড ডায়াগ্রাম
വോൾട്ട്സ്മാൻ ബന്ധം,voltzmann সম্পর্ক
വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം,voltzmann ধ্রুবক
ബോണ്ട്,বন্ধন
ബന്ധിത സ്ട്രെയിൻ ഗേജ്,আবদ্ধ স্ট্রেন গেজ
സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ,স্ব-চালিত পরিবর্ধক
ബൂളിയൻ ബീജഗണിതം,বুলিয়ান বীজগণিত
ബൂളിയൻ സമവാക്യം,বুলিয়ান সমীকরণ
ബൂട്ട് സ്ട്രാപ്പൺ,বুট Strapon
ബൂത്തിന്റെ അൽഗോരിതം,বুথের অ্যালগরিদম
ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്,বুটস্ট্র্যাপ প্রিজম সার্কিট
bosscutts ഭരണം,bosscutts নিয়ম
ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്,বোস-চৌধুরী হকেনহাম (বিসিএইচ) কোড
"ചാടുക, ചാടുക","লাফ, লাফ"
ബന്ധിത ഇലക്ട്രോൺ,আবদ্ধ ইলেকট্রন
ബ്രാഗ് റിഫ്ലക്ടർ,ব্র্যাগ প্রতিফলক
ഇഴചേർന്ന വയർ,জড়িত তার
ശാഖ,শাখা
ശാഖകൾ,শাখা
പരീക്ഷണ ബോർഡ്,পরীক্ষা বোর্ড
ബ്രേക്ക് സോൺ,বিরতি জোন
ബ്രേക്കിംഗ് വോൾട്ടേജ്,ব্রেকিং ভোল্টেজ
ബ്രേക്ക്ഡൗൺ ഡയോഡ്,ব্রেকডাউন ডায়োড
ഒടിവ് പരിഹരിക്കൽ,ফ্র্যাকচার ফিক্সেশন
ബ്രേക്കിംഗ് വോൾട്ടേജ്,ব্রেকিং ভোল্টেজ
പാലം,সেতু
പാലം റക്റ്റിഫയർ,সেতু সংশোধনকারী
വിശാലമായ ബാൻഡ്,প্রশস্ত ব্যান্ড
ബ്രോഡ്കാസ്റ്റ് ബാൻഡ്,সম্প্রচার ব্যান্ড
ആസ്ട്രൽ അറേ,অ্যাস্ট্রাল অ্যারে
പ്രക്ഷേപണം,সম্প্রচার
ബ്രോഡ്കാസ്റ്റ് ആന്റിന,সম্প্রচার অ্যান্টেনা
