Marathi,Punjabi
वेस्टमिन्स्टरचे मठाधीश,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
निषिद्ध,ਨਿਮਰਤਾ
गुलामगिरीचे उच्चाटन,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
आदिवासी,ਆਦਿਵਾਸੀ
अब्राहम युग,ਅਬਰਾਹਮ ਯੁੱਗ
अनुपस्थित जमीनदार,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
अकादमी,ਅਕੈਡਮੀ
अक्रा परिषद,ਅਕਰਾ ਕਾਨਫਰੰਸ
जमा,ਪ੍ਰਾਪਤੀ
संवर्धन,ਐਕਲਚਰੇਸ਼ਨ
एसेलडामा,ਐਸੇਲਡਾਮਾ
आचियन (=अचियन),ਅਚੀਅਨ (=ਅਚੀਅਨ)
आचियन लीग (=अचियन लीग),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
एक्रोपोलिस,ਐਕ੍ਰੋਪੋਲਿਸ
Acta Diurna,ਐਕਟਾ ਦਿਉਰਨਾ
Acta Senatus,ਐਕਟਾ ਸੇਨੇਟਸ
ऍक्ट अॅडिशनल,ਐਕਟ ਐਡੀਸ਼ਨਲ
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
प्राप्तकर्त्याची कृती,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
नुकसानभरपाई आणि विस्मरणाचा कायदा,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
सेटलमेंटचा कायदा,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
जाहिरात करार सील,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
अदुल्लामाइट्स,ਅਦੁਲਾਮਾਈਟਸ
विरोधक,ਵਿਰੋਧੀ
विरोधक,ਵਿਰੋਧੀ
