Hindi,Marathi
ए.सी. समतुल्य परिपथ,एसी समतुल्य सर्किट
अनुरूप से अंकीय परिवर्तक,एनालॉग ते अंकीय कनवर्टर
परम शून्य,पूर्ण शून्य
अवशोषण गुणांक,शोषण गुणांक
अवशोषण स्पेक्ट्रम,शोषण स्पेक्ट्रम
ग्राही परमाणु,रिसेप्टर अणू
प्रत्यावर्ती धारा युग्मन,पर्यायी वर्तमान जोडणी
इलेक्ट्रॉन संचयन,इलेक्ट्रॉन कापणी
होल संचयन,भोक संचयन
सक्रियण ऊर्जा,सक्रियता ऊर्जा
सक्रिय प्रवर्धक,सक्रिय अॅम्प्लीफायर
सक्रिय डायोड परिपथ,सक्रिय डायोड सर्किट
सक्रिय फिल्टर,सक्रिय फिल्टर
सक्रिय उच्च आवृत्ति पारक फिल्टर,सक्रिय उच्च वारंवारता पर्केट फिल्टर
सक्रिय लोड,सक्रिय भार
सक्रिय निमन आवृत्ति पारक फिल्टर,सक्रिय कमी वारंवारता पार्स फिल्टर
सक्रिय क्षेत्र,सक्रिय क्षेत्र
अनुकूली इलेक्ट्रॉनिकी,अनुकूली इलेक्ट्रॉनिक्स
योजक,जोडणारा
समायोजी बैंड विस्तार,समायोज्य बँड विस्तार
प्रवेश्यता,प्रवेश
एरियल,एरियल
स्फूर्ति आवृत्ति,pep वारंवारता
वातानुकूलक,एअर कंडिशनर
संरेखन,संरेखन
आल्गोरिदम,अल्गोरिदम
समस्त पारक फिल्टर,सर्व पास फिल्टर
मिश्रधातु संधि,मिश्र धातु जंक्शन
क्षीणन,क्षीणन
प्रत्यावर्ती धारा,पर्यायी प्रवाह
परिवेश ताप,वातावरणीय तापमान
उभयध्रुवीय,द्विध्रुवीय
प्रवर्धन,प्रवर्धन
प्रवर्धक,अॅम्प्लिफायर
प्रवर्धक दक्षता,एम्पलीफायर कार्यक्षमता
आयाम,परिमाण
आयाम क्षीणन,मोठेपणा क्षीणन
आयाम मॉडुलित ए.एम. दोलित्र,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
आयाम मॉडुलन,मोठेपणा मॉड्यूलेशन
आयाम मॉडुलक,मोठेपणा मॉड्युलेटर
एंगस्ट्रॉम इकाई,अँग्स्ट्रोम युनिट
अनुरूप परिपथ,अॅनालॉग सर्किट
अनुरूप कंप्यूटर,अॅनालॉग संगणक
अनुरूप फिल्टर,अॅनालॉग फिल्टर
अनुरूप बहुमापी,अॅनालॉग मल्टीमीटर
अनुरूप स्विच,अॅनालॉग स्विच
AND गेट,आणि गेट
कोणीय आवृत्ति,कोनीय वारंवारता
"ऋणायन, एनॉयन","anion, anion"
अनीलन तापमान,एनीलिंग तापमान
ऐनोड,एनोड
ऐनोड प्रवर्धक,एनोड अॅम्प्लिफायर
ऐनोडी करण,anodyne
ऐन्टेना,अँटेना
ऐन्टेना घटक,अँटेना घटक
परावर्तन रोधी लेपन,विरोधी परावर्तक कोटिंग
प्रतिलघुगुणक प्रवर्धक,अँटिलॉगिन अॅम्प्लिफायर
प्रतिअनुनादी परिपथ,अँटीरेझोनंट सर्किट
द्वारक काल,द्वारक काळ
आभासीय शक्ति,आभासी शक्ती
तार संयोजन,वायर कनेक्शन
सन्निकट वोल्टता लब्धि,अंदाजे व्होल्टेज वाढ
आर्मस्ट्रांग माडुलक,आर्मस्ट्राँग मॉड्युलेटर
ऐन्टेना-व्यूह,अँटेना अॅरे
"आकार अनुपात, अभिमुखता अनुपात","आकार गुणोत्तर, गुणोत्तर"
अस्थायी परिपथ (मुक्तचालित परिपथ),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
स्वचालित बहुकंपित्र,स्वयंचलित मल्टीव्हायब्रेटर
अस्थायी बहुकंपित्र,फ्लोटिंग मल्टीव्हायब्रेटर
असममित संधि,असममित जंक्शन
अतुल्यकाली गणक,असिंक्रोनस कॅल्क्युलेटर
परमाणु,आण्विक
परमाणु संख्या,अणुक्रमांक
परमाणु संरचना,अणु रचना
श्रव्य प्रवर्धक,ऑडिओ अॅम्प्लीफायर
श्रव्य प्रवर्धक,ऑडिओ अॅम्प्लीफायर
श्रव्य कैसेट,ऑडिओ कॅसेट
श्रव्य परिपथ,ऑडिओ सर्किट
श्रव्य आवृत्ति,ऐकण्यायोग्य वारंवारता
स्वत: वोल्टता नियंत्रण,स्वयंचलित व्होल्टेज नियंत्रण
एवलांश,हिमस्खलन
औसत संसूचक,सरासरी डिटेक्टर
अक्षीय विधा,अक्षीय मोड
अक्षीय अनुपात,अक्षीय प्रमाण
ऐन्टेना,अँटेना
पश्च विद्युत वाहक बल,बॅक इलेक्ट्रोमोटिव्ह फोर्स
पश्च क्षेत्र,मागील क्षेत्र
पश्च प्रकीर्णन,परत स्कॅटर
पृष्ठभूमि आवेश,पार्श्वभूमी शुल्क
पार्श्व रव,बाजूचा आवाज
पश्चगमन,प्रतिगामी
पश्चपालि विकिरण,पोस्टरियर इरॅडिएशन
बैकवार्ड डायोड/पश्च डायोड,बॅकवर्ड डायोड / बॅकवर्ड डायोड
पश्चगामी तरंग दोलक,बॅकवर्ड वेव्ह ऑसिलेटर
"बाधिका, व्यारोध","अडथळा, अडथळा"
बाधिका,अडथळा
संतुलित सेतु,संतुलित पूल
संतुलित विमॉडुलक,संतुलित मॉड्युलेटर
संतुलित मॉडुलक,संतुलित मॉड्युलेटर
संतुलित परिपथ,संतुलित सर्किट
संतुलित ढाल संसूचक,संतुलित ग्रेडियंट डिटेक्टर
धारा स्थिरक प्रतिरोध,वर्तमान स्टॅबिलायझर प्रतिरोध
बोलोमीटर,बोलोमीटर
बोलोमीटर सेतु,बोलोमीटर पूल
बलून,फुगा
बनाना जैक,केळी जॅक
बनाना प्लग,केळी प्लग
"बैंड, पट्टी","पट्टी, पट्टी"
बैंड चालक,बँड चालक
बैंड ऊर्जा,बँड ऊर्जा
बैंड अंतराल,बँड अंतर
बैडपारक प्रवर्धक,बॅडपार्क अॅम्प्लीफायर
बैंड पारक फिल्टर,बँड पास फिल्टर
बॉड दर जनित्र,बॉड रेट जनरेटर
बैंडफैलाव,banddispersion
बैंड रोधक,बँड रेझिस्टर
बैंड विरामक फिल्टर,बँड ब्रेकर फिल्टर
बैंड विस्तार,बँड विस्तार
बैंड वर्जक फिल्टर,बँड रिमूव्हर फिल्टर
बैंड विस्तार विक्षेपण गुणक,बँड विस्तार विक्षेप गुणक
बैंड विस्तार दूरी गुणक,बँड विस्तार अंतर गुणक
"पुंज संधारित्र, बैंक संधारित्र","बीम कॅपेसिटर, बँक कॅपेसिटर"
"बारकर कूट, बारकर कोड","बार्कर कोड, बार्कर कोड"
बार्रवाउजेन कसौटी,barravaugen निकष
बैरेटर,बॅरेटर
रोध,अडथळा
रोध संधारित्र,इन्सुलेट कॅपेसिटर
रोधिका उर्जा,अडथळा ऊर्जा
रोधी वोल्टता,रेझिस्टर व्होल्टेज
बार्टलेट विंडो,बार्टलेट विंडो
"आधार, बेस","आधार, आधार"
आधार बैंड,बेस बँड
आधार बैंड संचरण,बेस बँड ट्रान्समिशन
आधार आवेश,बेस चार्ज
आधार धारा,बेस करंट
आधार धारा स्रोत,मूळ वर्तमान स्रोत
आधार कर्तन,बेस कातरणे
आधार मादन,आधार मदन
आधार उत्सर्जक संभरण,बेस एमिटर फीड
आधार उत्सर्जक संधि,बेस एमिटर जंक्शन
आधार अंतःक्षेपण,बेस इंजेक्शन
आधार रेखा,ग्राउंड लाईन
आधार प्रतिरोध,बेस प्रतिकार
आधार स्रोत,मूळ स्रोत
आधार विस्तारण प्रतिरोध,बेस विस्तार प्रतिकार
आधार विस्तारण प्रतिरोध,बेस विस्तार प्रतिकार
आधार मोटाई,बेस जाडी
आधार अभिगमन,बेस प्रवेश
"आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन","बेस विड्थ मॉड्युलेशन, बेस एक्सपेन्शन मॉड्युलेशन"
आधार संग्राहक संधि,बेस कलेक्टर करार
बास,वास
बास आवृत्ति,बास वारंवारता
बैटरी,बॅटरी
बॉड,बॉड
बॉड रेट,बॉड दर
बॉड दर जनित्र,बॉड रेट जनरेटर
बोदो कोड,बोडो कोड
"संकेत देना, बीकन","सिग्नल, बीकन"
"मणिका, बीड","माणिका, बीड"
मणिक संधारित्र,मॅनिक कॅपेसिटर
मणिकातापी प्रतिरोधक,मणिकर्तपी प्रतिरोधक
"किरणपुंज ऐन्टेना, बीम ऐन्टेना","बीम अँटेना, बीम अँटेना"
किरणपुंज खोजी,बीम डिटेक्टर
किरणपुंज शक्ति नली,बीम पॉवर नळी
किरणपुंज स्विचन नलिका,बीम स्विचिंग नोजल
किरणपुंज विस्तार,तुळई विस्तार
विस्पंद आवृत्ति,बीट वारंवारता
विस्पन्द-आवृत्ति दोलक,बीट-फ्रिक्वेंसी ऑसिलेटर
विस्पंद दोलक,पल्स ऑसिलेटर
बेल,घंटा
बंकन हानि,वाकणे नुकसान
बेसेल फिल्टर,बेसल फिल्टर
बीटा,बीटा
बी-एच वक्र,b-h वक्र
"अभिनति, बायस","पक्षपात, पक्षपात"
बायस धारा,पूर्वाग्रह वर्तमान
बायस-प्रतिरोधक,पूर्वाग्रह प्रतिकार
द्विशंकु ऐन्टेना,दुहेरी अँटेना
द्विदिशी लोड धारा,द्विदिशात्मक भार प्रवाह
द्विदैशिक ऐन्टेना,द्विदिश अँटेना
द्विदैशिक प्रकाश उत्सर्जक डायोड,द्विदिश प्रकाश उत्सर्जक डायोड
द्विदिक् थाइरिस्टर,द्विदिशात्मक थायरिस्टर
द्वि FET तकनीक,bi FET तंत्रज्ञान
द्विसूत्री ट्रांसफार्मर,द्वि-बिंदू ट्रान्सफॉर्मर
द्विसूत्री आआवलन,दुहेरी संलयन
द्विपार्श्विक परिपथ,द्विपक्षीय सर्किट
द्विआधारी,बायनरी
द्विआधारी योग,बायनरी बेरीज
द्विआधारी परिपथ,बायनरी सर्किट
द्वि-आधारी कोडित दशमलव,बायनरी कोडेड दशांश
द्वि-आधारी कोडित दशमलव प्रणाली,बायनरी कोडेड दशांश प्रणाली
द्विआधारी द्विपरिवर्तक संधारित्र,बायनरी द्विध्रुवीय कॅपेसिटर
द्विआधारी गणक,बायनरी कॅल्क्युलेटर
द्विआधारी गणित्र,बायनरी कॅल्क्युलेटर
द्विआधारी कूट वाचक,बायनरी डीकोडर
द्विआधारी सीढ़ी,बायनरी शिडी
द्विआधारी पथमापी,बायनरी पॅथोमीटर
द्विआधारी अवस्था,बायनरी स्थिती
द्विआधारी-दशमिक विकोडक,बायनरी-दशांश डिकोडर
द्विआधारी भार,बायनरी लोड
द्विआधारी शब्द,बायनरी शब्द
द्विध्रुवी,द्विध्रुवीय
द्विध्रुवी संधारित्र,द्विध्रुवीय कॅपेसिटर
द्विध्रुवी युक्ति,द्विध्रुवीय उपकरण
द्विध्रुवी स्रोत,द्विध्रुवीय स्रोत
द्विध्रुवी ट्राजिस्टर,द्विध्रुवीय ट्रान्झिस्टर
द्विध्रुवी संधि ट्रांजिस्टर,द्विध्रुवीय जंक्शन ट्रान्झिस्टर
द्विघाती फिल्टर,चतुर्भुज फिल्टर
द्विस्थितिक,दुहेरी स्थिती
द्विस्थितिक बहुकंपित्र,दोन-स्टेज मल्टीव्हायब्रेटर
द्विस्थितिक रिले,द्विदिशात्मक रिले
द्विस्थितिक अवस्था,biphasic स्थिती
द्विस्थितिक ट्रिगर,दोन-स्थिती ट्रिगर
बिट त्रुटि,बिट त्रुटी
बिट त्रुटि दर,बिट त्रुटी दर
बिट त्रुटि,बिट त्रुटी
