Marathi,Kannada
अॅबॅकस,ಅಬ್ಯಾಕಸ್
असामान्य समाप्ती,ಅಸಹಜ ಮುಕ್ತಾಯ
गर्भपात,ಸ್ಥಗಿತಗೊಳಿಸು
निरपेक्ष,ಸಂಪೂರ್ಣ
परिपूर्ण पत्ता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
निरपेक्ष संबोधन,ಸಂಪೂರ್ಣ ವಿಳಾಸ
परिपूर्ण असेंबलर,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
परिपूर्ण कोड,ಸಂಪೂರ್ಣ ಕೋಡ್
निरपेक्ष आज्ञा,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
परिपूर्ण डेटा,ಸಂಪೂರ್ಣ ಡೇಟಾ
परिपूर्ण सूचना,ಸಂಪೂರ್ಣ ಸೂಚನೆ
परिपूर्ण मोड,ಸಂಪೂರ್ಣ ಮೋಡ್
परिपूर्ण मार्ग,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
परिपूर्ण प्रोग्रामिंग,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
अमूर्त वर्ग,ಅಮೂರ್ತ ವರ್ಗ
अमूर्त डेटा प्रकार,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
अमूर्त मशीन,ಅಮೂರ್ತ ಯಂತ್ರ
अमूर्त चिन्ह,ಅಮೂರ್ತ ಚಿಹ್ನೆ
अमूर्त वाक्यरचना,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
स्वीकृती चाचणी,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
प्रवेश प्रमाणीकरण,ಪ್ರವೇಶ ದೃಢೀಕರಣ
प्रवेश कोड,ಪ್ರವೇಶ ಕೋಡ್
प्रवेश नियंत्रण,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
प्रवेश स्कॅन,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
ऍक्सेसरी,ಪರಿಕರ
खाते,ಖಾತೆ
खाते आयडी,ಖಾತೆ ID
संचयक,ಸಂಚಯಕ
अचूकता,ನಿಖರತೆ
प्रवेश,ಪ್ರವೇಶ
ऍक्सेस कंट्रोल बाइट,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
प्रवेश निर्देशांक,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
प्रवेश की,ಪ್ರವೇಶ ಕೀ
ऍक्सेस मॅट्रिक्स,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
प्रवेश मोड,ಪ್ರವೇಶ ಮೋಡ್
प्रवेश विशेषाधिकार,ಪ್ರವೇಶ ಸವಲತ್ತು
प्रवेश सुरक्षा,ಪ್ರವೇಶ ಭದ್ರತೆ
ऍक्सेस सर्व्हर,ಪ್ರವೇಶ ಸರ್ವರ್
प्रवेश वेळ,ಪ್ರವೇಶ ಸಮಯ
पोचपावती,ಸ್ವೀಕೃತಿ
ध्वनीशास्त्र,ಅಕೌಸ್ಟಿಕ್ಸ್
परिवर्णी शब्द,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
क्रिया संदेश,ಕ್ರಿಯೆಯ ಸಂದೇಶ
सक्रियकरण,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
सक्रिय सर्व्हर पृष्ठ (एएसपी),ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
सक्रिय आवृत्ती,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
अॅसायक्लिक,ಅಸೈಕ್ಲಿಕ್
अॅसायक्लिक आलेख,ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
अडा भाषा,ಅದಾ ಭಾಷೆ
अडॅप्टर,ಅಡಾಪ್ಟರ್
जोडा,ಸೇರಿಸಿ
