Punjabi,Bengali
ਐਸਿਡੌਇਡ,অ্যাসিডয়েড
ਏਓਲੀਅਨ ਮਿੱਟੀ,বায়বীয় মাটি
ਕੁੱਲ,সমষ্টি
ਐਗਰੀਗੇਸ਼ਨ,সমষ্টি
ਖੇਤੀ ਵਿਗਿਆਨ,কৃষিবিদ্যা
ਖੇਤੀ ਵਿਗਿਆਨ,কৃষিবিদ্যা
ਏ-ਹੋਰੀਜ਼ਨ,A- দিগন্ত
ਆਉ-ਦਿਮਾਗ,আও-দিগন্ত
ਆਉ—ਅੰਦਾਜ਼,আও-দিগন্ত
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,মাটির বায়ু ক্ষমতা
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,মাটির বায়ু উপাদান
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,এয়ার পিকনোমিটার
ਐਲੀਟਿਕ ਮਿੱਟੀ,অ্যালিটিক মাটি
ਐਲਵੀਅਲ ਮਿੱਟੀ,পলিমাটি
ਐਮਫੋਲੀਟੋਇਡ,অ্যামফোলাইটয়েড
ਐਨੀਅਨ,অ্যানিয়ন
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
ਅਰਿਸ,আরিস
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,আশলার সূক্ষ্ম গাঁথনি
ਐਸ਼ਲਰ ਚਿਣਾਈ,আশলার রাজমিস্ত্রি
ਅਜੋਨਲ ਮਿੱਟੀ,অ্যাজোনাল মাটি
ਪਿਛਲਾ ਅਦਾਕਾਰ,পেছনের অভিনেতা
ਪਿਛਲਾ arch,পিছনের খিলান
ਬੈਕ ਬੈਂਡ,ব্যাক ব্যান্ড
ਪਿੱਛੇ ਬੁਰਸ਼,পিছনের ব্রাশ
ਵਾਪਸ ਜਾਂਚ,ফিরে চেক
ਪਿੱਛੇ ਕਾਊਂਟਰ,পিছনে কাউন্টার
ਵਾਪਸ ਕੱਟਣਾ,পিছনে কাটা
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,ব্যাক ড্রাফ্ট ড্যাম্পার
ਬੈਕ ਡਰੇਨ,পিছনের ড্রেন
ਬੈਕ ਡਰਾਪ,ব্যাকড্রপ
ਵਾਪਸ ਭਰੋ,ব্যাক ফিল
ਬੈਕ ਫਿਲਲੇਟ,ব্যাক ফিললেট
ਬੈਕ ਫਲੈਪ ਹਿੰਗ,পিছনে ফ্ল্যাপ কবজা
ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ,পিছনে প্রবাহ সংযোগ
ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ,পিছনে প্রবাহ প্রতিরোধক
ਬੈਕ ਗੇਜ,ব্যাক গেজ
ਪਿਛਲਾ ਗਟਰ,পিছনে নর্দমা
ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ,পিছনের চুলা
ਬੈਕਿੰਗ,ব্যাকিং
ਬੈਕਿੰਗ ਬੋਰਡ,ব্যাকিং বোর্ড
ਪਿੱਠ ਦਾ ਦਬਾਅ,ফিরতি চাপ
ਬੈਕ ਪ੍ਰੋਪ,পিছনে প্রপ
ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ,পিছনের দৃষ্টি
ਵਾਪਸ ਪਾਣੀ,পিঠের জল
ਘਬਰਾਹਟ,বিভ্রান্ত
ਬੈਗਵਰਕ,ব্যাগওয়ার্ক
ਬੈਲਸਟ,ব্যালাস্ট
ਬਾਲ ਮਿੱਟੀ,বল কাদামাটি
ਬਾਲ ਕੋਨ ਕਲੈਂਪ,বল শঙ্কু বাতা
ਕੰਡਿਆਲੀ ਤਾਰ,কাঁটাতার
ਬਾਰ ਕੁੱਤਾ,বার কুকুর
ਬਾਰਜ ਬੋਰਡ,বার্জ বোর্ড
ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ,বেরিয়াম সালফেট পরীক্ষা
ਬੈਰਾਜ,ব্যারেজ
ਬੈਰੇਟ,ব্যারেট
ਅਧਾਰ,বেস
ਬੇਸ ਐਕਸਚੇਂਜ,বেস বিনিময়
ਬੇਸ ਲਾਈਨ,বেস লাইন
ਬੇਸਮੈਂਟ,বেসমেন্ট
ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ,বেসমেন্ট প্রাচীর
ਬੇਸ ਪਲੇਟ,বেস প্লেট
"ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ","বেস প্লেট, নিয়মিত"
ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ,বেস স্যাচুরেশন
ਬੇਸੌਇਡ,বেসয়েড
ਬੱਲਾ,ব্যাট
ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ,স্নান এবং WC
ਬੈਟਰ ਪੈਗ,ব্যাটার পেগ
ਬੈਟਰ ਪੀਅਰ,ব্যাটার পিয়ার
ਬੈਟਰ ਨਿਯਮ,ব্যাটারের নিয়ম
ਬਾਲਕ (ਬਾਲਕ),বাল্ক (বাল্ক)
ਬੇ,বে
ਧਾਰਕ,বহনকারী
ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ,ভারবহন ক্ষমতা
ਬੇਅਰਿੰਗ ਪਾਇਲ,ভারবহন গাদা
ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ,ভারবহন স্তর
ਬਿਸਤਰਾ,বিছানা
ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼,বেডিং প্লেন
ਬਿਸਤਰਾ ਜੋੜ,বেড জয়েন্ট
