Punjabi,Malayalam
ਅਬੇਲੀਅਨ ਸਮੂਹ,അബെലിയൻ ഗ്രൂപ്പ്
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,അബെലിയൻ സെമിഗ്രൂപ്പ്
abscissa,abscissa
ਅਸੀਮ,കേവല
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,കേവലമായ ഒത്തുചേരൽ
ਪੂਰਨ ਗਲਤੀ,സമ്പൂർണ്ണ പിശക്
ਪੂਰਨ ਅਧਿਕਤਮ,കേവല പരമാവധി
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,സമ്പൂർണ്ണ മിനിമം
ਸਹੀ ਮੁੱਲ,യഥാർത്ഥ മൂല്യം
ਪੂਰਨ ਗਤੀ,കേവല വേഗത
ਸਾਰ ਅਲਜਬਰਾ,അമൂർത്ത ബീജഗണിതം
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
ਪ੍ਰਵੇਗ,ത്വരണം
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,സ്വീകാര്യമായ നിലവാരം
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,സ്വീകാര്യമായ ശ്രേണി
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,സ്വീകാര്യമായ വിശ്വാസ്യത നില
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,സ്വീകാര്യമായ സാമ്പിൾ
ਸੰਚਿਤ ਗਲਤੀ,സഞ്ചിത പിശക്
ਸ਼ੁੱਧਤਾ,കൃത്യത
ਐਕਟਿੰਗ ਫੋਰਸ,പ്രവർത്തന ശക്തി
ਕਾਰਵਾਈ,നടപടി
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,പ്രവർത്തനവും പ്രതികരണവും
ਅਸਲ ਵਿਗਿਆਨ,യഥാർത്ഥ ശാസ്ത്രം
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,നിശിത കോണുള്ള ത്രികോണം
acyclic,അസൈക്ലിക്
ਸ਼ਾਮਲ ਕਰੋ,ചേർക്കുക
ਜੋੜਨ ਵਾਲਾ,ചേർക്കുന്നയാൾ
ਇਸ ਤੋਂ ਇਲਾਵਾ,കൂട്ടിച്ചേർക്കൽ
ਜੋੜ ਫਾਰਮੂਲਾ,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
ਬਹੁਪਦ ਦਾ ਜੋੜ,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
ਵੈਕਟਰ ਦਾ ਜੋੜ,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
ਵਾਧੂ ਪ੍ਰਮੇਯ,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
additive ਗਰੁੱਪ,സങ്കലന ഗ്രൂപ്പ്
additive ਉਲਟ,വിപരീത വിപരീതം
additive ਸੰਪਤੀ,അഡിറ്റീവ് പ്രോപ്പർട്ടി
additivity,അഡിറ്റിവിറ്റി
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
ਨੇੜੇ,തൊട്ടടുത്തുള്ള
ਨੇੜੇ ਦੇ ਕੋਣ,അടുത്തുള്ള കോണുകൾ
ਨੇੜੇ ਦਾ ਸਿਰਾ,തൊട്ടടുത്തുള്ള ശീർഷകം
ਨਾਲ ਜੁੜੋ,ചേരുക
ਨਾਲ ਲੱਗਦੇ,തൊട്ടടുത്തുള്ള
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,അനുബന്ധ ഡിറ്റർമിനന്റ്
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
ਸੰਜੋਗ ਸਮੀਕਰਨ,അനുബന്ധ സമവാക്യം
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,അനുബന്ധ മാട്രിക്സ്
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,മാട്രിക്സിന്റെ അനുബന്ധം
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ,അനുവദനീയമായ അനുമാനം
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,എയറോഡൈനാമിക് ശക്തി
ਐਰੋਡਾਇਨਾਮਿਕਸ,എയറോഡൈനാമിക്സ്
affine ਜਿਓਮੈਟਰੀ,അഫൈൻ ജ്യാമിതി
affine ਮੈਪਿੰਗ,അഫൈൻ മാപ്പിംഗ്
affine ਪਰਿਵਰਤਨ,അഫൈൻ പരിവർത്തനം
ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
ਅਲਜਬਰਾ,ബീജഗണിതം
ਬੀਜਗਣਿਤ ਬੰਦ,ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,ബീജഗണിത സമവാക്യം
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,ബീജഗണിത പദപ്രയോഗം
ਬੀਜਗਣਿਤ ਰੂਪ,ബീജഗണിത രൂപം
ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ,ബീജഗണിത പ്രവർത്തനം
ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ,ബീജഗണിത ജ്യാമിതി
ਬੀਜਗਣਿਤ ਗੁਣਾ,ബീജഗണിത ഗുണിതം
ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ,ബീജഗണിത വ്യവസ്ഥ
ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ,എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം
ਵੰਡ ਸਮੱਸਿਆ,വിഹിതം പ്രശ്നം
ਵਰਣਮਾਲਾ ਸੰਕੇਤ,അക്ഷരമാലാ ക്രമം
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,അക്ഷരമാലാക്രമം
ਵਿਕਲਪਕ ਕੋਣ,ഇതര കോൺ
ਬਦਲਵੇਂ ਰੂਪ,ഒന്നിടവിട്ട രൂപം
ਬਦਲਵੇਂ ਸਮੂਹ,ഇതര ഗ്രൂപ്പ്
ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ,ഒന്നിടവിട്ട മാട്രിക്സ്
ਬਦਲਵੀਂ ਲੜੀ,ഒന്നിടവിട്ട പരമ്പര
ਵਿਕਲਪਕ ਅਨੁਮਾਨ,ഇതര സിദ്ധാന്തം
ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ,ഇതര ഒപ്റ്റിമ
ਵਿਕਲਪਕ ਨਤੀਜਾ,ഇതര ഫലം
ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ,അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,അനലോഗ് കമ്പ്യൂട്ടർ
ਵਿਸ਼ਲੇਸ਼ਣ,വിശകലനം
ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,സഹവർത്തിത്വത്തിന്റെ വിശകലനം
