Bengali,Gujarati
A B শ্রেণীর পরিবর্ধক,A B વર્ગ એમ્પ્લીફાયર
বিকৃতি,વિકૃતિ
অস্বাভাবিক সংক্রমণ,અસામાન્ય ટ્રાન્સમિશન
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
অনুপস্থিত বর্ণালী,ગુમ થયેલ સ્પેક્ટ્રમ
"পরম, পরম, ধ্রুবক, নিখুঁত","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
পরম আর্দ্রতা,સંપૂર્ણ ભેજ
পরম গতি,સંપૂર્ણ ગતિ
পরম পর্যবেক্ষণ,સંપૂર્ણ અવલોકન
পরম তাপমাত্রা,સંપૂર્ણ તાપમાન
পরম শূন্য,સંપૂર્ણ શૂન્ય
শোষণ করা,શોષી લેવું
"শোষক, শোষক","શોષક, શોષક"
শোষণ ক্ষমতা,શોષણ ક્ષમતા
শোষণ,શોષણ
শোষক,શોષક
শোষণ,શોષકતા
বহুগুণ অনুপাত,ગુણાકાર ગુણોત્તર
ত্বরান্বিত করা,વેગ આપો
তাড়াতাড়ি,ઉતાવળ કરી
ত্বরণ,પ્રવેગ
অভিকর্ষের ত্বরণ,ગુરુત્વાકર્ષણ પ્રવેગક
এক্সিলারেটর,પ્રવેગક
এক্সিলারেটর,પ્રવેગક
অ্যাক্সিলোমিটার,એક્સેલરોમીટર
prestresser,prestresser
গ্রহণযোগ্য পরীক্ষা,સ્વીકાર્ય પરીક્ષણ
গ্রহণকারী,સ્વીકારનાર
দাতা অণু,દાતા પરમાણુ
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","પ્રવેશ, રાહ, સુલભતા"
অ্যাক্সেসযোগ্যতা,ઉપલ્બધતા
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
প্রবেশাধিকার সময়,ઍક્સેસ સમય
ভিজিটর ত্রুটি,મુલાકાતી ભૂલ
সমন্বয়,ગોઠવણ
পুঞ্জীভূত,સંચિત
"accumulation, accumulation","સંચય, સંચય"
সঞ্চয়কারী,સંચયક
সঠিকতা,ચોકસાઈ
বাস্তবতা,વાસ્તવિકતા
অ্যাক্রোমেটিক লেন্স,વર્ણહીન લેન્સ
অ্যাক্রোমেটিক,વર્ણહીન
বর্ণহীনতা,વર્ણહીનતા
শাব্দিক,એકોસ્ટિક
শব্দরোধী,સાઉન્ડપ્રૂફ
শাব্দিক ফোনন,એકોસ્ટિક ફોનોન
শব্দ ইউনিট,ધ્વનિ એકમ
শাব্দিক,એકોસ્ટિક
শব্দ জেনারেটর,અવાજ જનરેટર
কর্ম এবং প্রতিক্রিয়া,ક્રિયા અને પ્રતિક્રિયા
সক্রিয়করণ,સક્રિયકરણ
অ্যাক্টিভেশন শক্তি,સક્રિયકરણ ઊર્જા
"সক্রিয়কারী, সক্রিয়কারী","એક્ટિવેટર, એક્ટિવેટર"
সক্রিয়,સક્રિય
সক্রিয়তা,સક્રિયતા
প্রকৃত চাপ,વાસ્તવિક તણાવ
ফিসফিস,બબડાટ
যোগফল,સારાંશ માટે
"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)","સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)"
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)","સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
সংযোজনকারী,ઉમેરણ
আনুগত্য,સંલગ્નતા
আঠালো শক্তি,એડહેસિવ ઊર્જા
adiabat,adiabat
adiabatic,એડિબેટિક
তাপ নিরোধক,હીટ ઇન્સ્યુલેટીંગ
সংযুক্তি,જોડાણ
সামঞ্জস্যযোগ্য,એડજસ્ટેબલ
অনুপ্রবেশ,પ્રવેશ
শোষণ,શોષણ
এগিয়ে,આગળ
প্রগতিশীল,પ્રગતિશીલ
"আকাশী, ভাইভা (v.), বায়বীয় (ed.)","આકાશી, હવા (વિ.), હવાઈ (સં.)"
অ্যান্টেনা প্রবাহ,એન્ટેના સ્ટ્રીમ
বায়বীয় জরিপ,હવાઈ સર્વેક્ષણ
বায়ু বেগ,હવાનો વેગ
এরোডাইনামিক সহগ,એરોડાયનેમિક ગુણાંક
এরোডাইনামিক,એરોડાયનેમિક
বায়ুগতিবিদ্যা,એરોડાયનેમિક્સ
বৈমানিক,એરોનોટિકલ
বৈমানিক,એરોનોટિક્સ
বায়ু নাড়ি,હવા નાડી
"বায়ুমণ্ডল, গ্যাসোস্ফিয়ার","વાતાવરણ, ગેસોસ્ફિયર"
ফোকাস সিস্টেম,ફોકસ સિસ્ટમ
পিছনে ইগনিশন,પાછળની ઇગ્નીશન
পিছনের আলো,પાછળનો પ્રકાશ
আঘাত,ઉશ્કેરાટ
"বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া","ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો"
সময় প্রভাবিত,અસરગ્રસ્ત સમય
"বার্ধক্য, বার্ধক্য","વૃદ્ધાવસ્થા, વૃદ્ધત્વ"
সময়ের প্রভাব,સમયની અસર
সময় প্রভাব পরীক্ষা,સમય અસર પરીક્ષણ
মাধ্যাকর্ষণহীন,ગુરુત્વાકર્ષણ રહિત
পুনর্মিলন,સમાધાન
"বায়ুবাহিত রাডার, বায়বীয় রাডার","એરબોર્ન રડાર, એરિયલ રડાર"
"বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য","હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય"
বায়ু শ্বাসযন্ত্র,હવા શ્વસન કરનાર
এয়ার কন্ডিশনিং,એર કન્ડીશનીંગ
এয়ারক্রু ট্রান্সফরমার,એરક્રુ ટ્રાન્સફોર્મર
বিমান,વિમાન
প্রান্তিককরণ,ગોઠવણી
প্রান্তিককরণ ত্রুটি,સંરેખણ ભૂલ
লাইভ সার্কিট,જીવંત સર્કિટ
সম্পূর্ণ কাচের টিউব,સંપૂર્ણ કાચની નળી
পুরো ধাতব টিউব,આખી મેટલ ટ્યુબ
ঠিক করতে,ઠીક
"মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)","મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)"
mishratvan,મિશ્રત્વ
সর্বব্যাপী মাধ্যম,સર્વવ્યાપક માધ્યમ
ওমনি অ্যান্টেনা,ઓમ્ની એન્ટેના
পঞ্জিকা,પંચાંગ
আলফা,આલ્ફા
আলফা-ক্রিয়াকলাপ,આલ્ફા-પ્રવૃત્તિ
আলফানিউমেরিক,આલ્ફાન્યૂમેરિક
আলফা রশ্মি,આલ્ફા કિરણ
পরিবর্তন,બદલો
"বিকল্প, বিকল্প","વૈકલ્પિક, વૈકલ્પિક"
বিকল্প,વૈકલ્પિક
altimeter,અલ્ટિમીટર
altimeter,અલ્ટિમીટર
অলটাইমেট্রি,અલ્ટાઇમટ્રી
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা","ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ"
অ্যারিথমেটিক রিজনিং ইউনিট (ALU),અંકગણિત તર્ક એકમ (ALU)
amaget নিয়ম,amaget નિયમ
পরিবেশ,પર્યાવરણ
অ্যামিক্রন,એમીક્રોન
অ্যামিটার,એમીટર
অ্যাম্পিয়ার,એમ્પીયર
অ্যাম্পিয়ার-ল,એમ્પીયર કાયદો
উভচর আয়ন,ઉભયજીવી આયન
পরিবর্ধন,એમ્પ્લીફિકેશન
পরিবর্ধক,એમ્પ્લીફાયર
"কোণ, মাত্রা","કોણ, પરિમાણ"
ক এম.উ. (পারমাণবিক ভর একক),a એમ. યુ. (અણુ સમૂહ એકમ)
উপযুক্ত,સુસંગત
সাদৃশ্য,સામ્યતા
বিশ্লেষক,વિશ્લેષક
বিশ্লেষণ,વિશ્લેષણ
বিশ্লেষণাত্মক,વિશ્લેષણાત્મક
অ-বিন্দু,બિન-બિંદુ
অস্বাভাবিক,વિસંગત
এবং দরজা,અને દરવાજો
অ শাব্দিক,બિન-એકોસ્ટિક
অস্বাভাবিক স্থিতিস্থাপকতা,વિસંગત સ્થિતિસ્થાપકતા
নির্জল,નિર્જળ
কোণ,કોણ
অ্যাংস্ট্রম ইউনিট,એંગસ્ટ્રોમ એકમ
কৌণিক,કોણીય
প্রটেক্টর ভার্নিয়ার,પ્રોટ્રેક્ટર વેર્નિયર
বিতর্কিত,વિવાદાસ્પદ
অসম্মান,આદરહીન
অ্যাক্রোম্যাটিক চুম্বকীয়করণ,વર્ણહીન ચુંબકીયકરણ
শিথিল,ઢીલું
anion,anion
অপ্রতিসম,અસમપ્રમાણ
আইসোট্রপিক,આઇસોટ્રોપિક
আইসোট্রপিজম,આઇસોટ્રોપિઝમ
মুছে ফেলা,કાઢી નાખવું
বর্ণনাকারী,કાવતરાખોરો
অ্যানোড,એનોડ
anodization,એનોડાઇઝેશન
অসামঞ্জস্যপূর্ণ,અસંગત
অপটিক্যাল সিস্টেম,ઓપ્ટિકલ સિસ્ટમ
অ্যান্টেনা,એન્ટેના
antiberion,એન્ટિબેરિયન
বিরোধী বন্ধন সম্পত্তি,વિરોધી બંધન ગુણધર્મો
পাল্টা বন্ড,કાઉન્ટર બોન્ડ
বিপরীত শক্তি,વિપરીત શક્તિ
ডায়ম্যাগনেটিক,ડાયમેગ્નેટિક
ডায়ম্যাগনেটিক উপাদান,ડાયમેગ્નેટિક સામગ્રી
প্রদাহ বিরোধী,બળતરા વિરોધી
বিরোধী মাধ্যাকর্ষণ,એન્ટિગ્રેવિટી
